s,o,h,l,c,v,t
ok,111.1,122.2,111.1,122.2,376,1686441600
ok,120.8,134.4,120.8,134.4,279,1686528000
ok,135.7,147.8,135.7,147.8,201,1686614400
ok,147.8,162.5,147.8,162.5,167,1686700800
ok,165.7,178.7,165.7,178.7,122,1686787200
ok,182.2,196.5,182.2,196.5,240,1687046400
ok,193.3,216.1,193.3,216.1,370,1687132800
ok,220.4,237.7,220.4,237.7,379,1687219200
ok,242.4,261.4,242.4,261.4,411,1687305600
ok,265.0,287.5,265.0,287.5,650,1687392000
ok,293.2,316.2,293.2,316.2,1379,1687651200
ok,315.0,347.8,315.0,347.8,1571,1687737600
ok,350.8,382.5,350.8,382.5,1170,1687824000
ok,390.1,420.7,390.1,420.7,2020,1687910400
ok,429.0,462.7,429.0,462.7,3300,1688256000
ok,471.0,508.9,471.0,508.9,6980,1688342400
ok,519.0,559.7,519.0,559.7,7617,1688428800
ok,570.8,615.6,570.8,615.6,9080,1688515200
ok,627.9,677.1,591.0,677.1,231095,1688601600
ok,690.6,744.0,650.0,741.5,62258,1688860800
ok,726.7,740.0,695.0,695.1,126319,1688947200
ok,685.0,715.0,671.0,686.0,58697,1689033600
ok,675.0,692.0,673.0,690.0,33430,1689120000
ok,680.0,725.0,680.0,696.1,48946,1689206400
ok,695.0,710.0,680.0,680.1,35142,1689465600
ok,680.0,701.7,675.2,694.0,27694,1689552000
ok,695.0,704.0,682.1,684.0,35422,1689638400
ok,678.0,691.0,678.0,681.0,24277,1689724800
ok,680.0,689.0,670.0,673.0,35863,1689811200
ok,662.0,711.1,662.0,703.0,43400,1690070400
ok,703.0,718.0,690.0,690.0,43206,1690156800
ok,690.0,754.0,690.0,743.4,89503,1690243200
ok,740.0,782.5,730.0,758.0,60581,1690329600
ok,758.0,759.0,725.0,727.0,52373,1690416000
ok,715.1,734.0,715.1,722.0,34251,1690675200
ok,718.0,744.0,716.3,720.0,44320,1690761600
ok,730.0,731.0,696.1,702.0,29963,1690848000
ok,716.0,744.9,694.0,715.0,20705,1690934400
ok,729.0,743.8,705.0,706.1,23273,1691020800
ok,700.0,703.0,685.0,690.0,30666,1691280000
ok,682.0,707.0,680.0,685.0,11376,1691366400
ok,678.0,696.0,678.0,678.0,17741,1691452800
ok,678.0,690.0,671.0,690.0,13669,1691539200
ok,680.0,729.5,680.0,706.5,45639,1691625600
ok,701.1,730.0,701.1,720.0,39511,1691884800
ok,711.0,730.0,709.0,712.0,24937,1691971200
ok,697.8,705.0,686.0,693.1,41263,1692057600
ok,685.0,693.0,680.0,690.0,17406,1692144000
ok,680.0,713.8,680.0,712.7,23199,1692230400
