s,o,h,l,c,v,t
ok,262.23,262.23,262.23,262.23,0.0,1325376000
ok,263.87,263.87,263.87,263.87,0.0,1325462400
ok,263.38,263.38,263.38,263.38,0.0,1325548800
ok,261.69,261.69,261.69,261.69,0.0,1325635200
ok,261.05,261.05,261.05,261.05,0.0,1325721600
ok,260.9,260.9,260.9,260.9,0.0,1325980800
ok,260.44,260.44,260.44,260.44,0.0,1326067200
ok,258.23,258.23,258.23,258.23,0.0,1326153600
ok,256.48,256.48,256.48,256.48,0.0,1326240000
ok,255.64,255.64,255.64,255.64,0.0,1326326400
ok,256.2,256.2,256.2,256.2,0.0,1326758400
ok,256.04,256.04,256.04,256.04,0.0,1326844800
ok,255.78,255.78,255.78,255.78,0.0,1326931200
ok,255.8,255.8,255.8,255.8,0.0,1327190400
ok,255.26,255.26,255.26,255.26,0.0,1327276800
ok,254.91,254.91,254.91,254.91,0.0,1327449600
ok,254.92,254.92,254.92,254.92,0.0,1327536000
ok,254.62,254.62,254.62,254.62,0.0,1327795200
ok,253.49,253.49,253.49,253.49,0.0,1327968000
ok,253.89,253.89,253.89,253.89,0.0,1328054400
ok,253.54,253.54,253.54,253.54,0.0,1328140800
ok,252.18,252.18,252.18,252.18,0.0,1328400000
ok,251.92,251.92,251.92,251.92,0.0,1328486400
ok,252.21,252.21,252.21,252.21,0.0,1328572800
ok,250.81,250.81,250.81,250.81,0.0,1328659200
ok,249.64,249.64,249.64,249.64,0.0,1328745600
ok,249.03,249.03,249.03,249.03,0.0,1329004800
ok,248.32,248.32,248.32,248.32,0.0,1329091200
ok,247.58,247.58,247.58,247.58,0.0,1329177600
ok,246.6,246.6,246.6,246.6,0.0,1329264000
ok,246.54,246.54,246.54,246.54,0.0,1329350400
ok,246.13,246.13,246.13,246.13,0.0,1329782400
ok,245.64,245.64,245.64,245.64,0.0,1329955200
ok,295.55,295.55,295.55,295.55,0.0,1330214400
ok,293.69,293.69,293.69,293.69,0.0,1330300800
ok,293.82,293.82,293.82,293.82,0.0,1330387200
ok,293.98,293.98,293.98,293.98,0.0,1330473600
ok,294.05,294.05,294.05,294.05,0.0,1330560000
ok,294.61,294.61,294.61,294.61,0.0,1330819200
ok,295.21,295.21,295.21,295.21,0.0,1330905600
ok,294.2,294.2,294.2,294.2,0.0,1330992000
ok,293.57,293.57,293.57,293.57,0.0,1331424000
ok,292.51,292.51,292.51,292.51,0.0,1331510400
ok,293.25,293.25,293.25,293.25,0.0,1331596800
ok,293.03,293.03,293.03,293.03,0.0,1331683200
ok,234.86,234.86,234.86,234.86,0.0,1331769600
ok,237.75,237.75,237.75,237.75,0.0,1332028800
ok,237.82,237.82,237.82,237.82,0.0,1332115200
ok,237.58,237.58,237.58,237.58,0.0,1332201600
ok,236.15,236.15,236.15,236.15,0.0,1332288000
ok,235.66,235.66,235.66,235.66,0.0,1332633600
ok,235.15,235.15,235.15,235.15,0.0,1332720000
ok,234.39,234.39,234.39,234.39,0.0,1332806400
ok,235.3,235.3,235.3,235.3,0.0,1332892800
ok,233.65,233.65,233.65,233.65,0.0,1332979200
ok,233.17,233.17,233.17,233.17,0.0,1333238400
ok,232.72,232.72,232.72,232.72,0.0,1333324800
ok,231.97,231.97,231.97,231.97,0.0,1333411200
ok,230.97,230.97,230.97,230.97,0.0,1333497600
ok,231.15,231.15,231.15,231.15,0.0,1333584000
ok,231.67,231.67,231.67,231.67,0.0,1333843200
ok,232.03,232.03,232.03,232.03,0.0,1333929600
ok,231.61,231.61,231.61,231.61,0.0,1334016000
ok,232.5,232.5,232.5,232.5,0.0,1334102400
