s,o,h,l,c,v,t
ok,35.02,33.9,33.9,33.9,2640,1325376000
ok,33.9,35.02,35.02,35.02,82,1326326400
ok,35.02,34.72,34.14,34.14,92,1327190400
ok,34.14,35.6,33.84,35.6,428,1328400000
ok,35.6,36.25,35.9,36.25,21,1328486400
ok,36.25,36.6,36.6,36.6,10,1328572800
ok,36.6,36.25,34.78,34.78,300,1330300800
ok,34.78,35.07,34.49,35.07,51,1330387200
ok,35.07,35.37,35.37,35.37,418,1332201600
ok,35.37,35.07,34.2,34.2,80,1332288000
ok,34.2,33.9,32.67,32.67,502,1333584000
ok,32.67,32.44,32.2,32.2,60,1333843200
ok,32.2,32.44,32.44,32.44,50,1334016000
ok,32.44,32.44,32.44,32.44,50,1334102400
ok,32.44,32.67,31.97,32.67,573,1334188800
ok,32.67,32.91,32.91,32.91,200,1334448000
ok,32.91,33.14,33.14,33.14,500,1334534400
ok,33.14,33.43,33.43,33.43,10,1334620800
ok,33.43,33.26,32.96,32.96,200,1334707200
ok,32.96,32.67,32.67,32.67,203,1334793600
ok,32.67,33.14,32.85,33.14,2271,1335052800
ok,33.14,33.43,33.43,33.43,82,1335225600
ok,33.43,34.61,33.73,34.61,120,1335312000
ok,34.61,36.07,34.9,36.07,200,1335398400
ok,36.07,37.13,36.42,37.13,40,1335657600
ok,37.13,38.18,36.77,38.18,81,1335744000
ok,38.18,38.53,38.53,38.53,50,1336003200
ok,38.53,38.18,38.18,38.18,194,1337212800
ok,38.18,37.83,37.83,37.83,153,1340841600
ok,37.83,37.48,36.42,36.42,41,1341705600
ok,36.42,36.07,36.07,36.07,100,1342569600
ok,36.07,36.07,34.84,36.07,7903,1343174400
ok,36.07,35.72,35.72,35.72,40,1343260800
ok,35.72,35.43,34.55,34.55,307,1344211200
ok,34.55,34.25,34.2,34.2,230,1344297600
ok,34.2,34.37,32.96,33.9,3630,1344384000
ok,33.9,33.67,33.67,33.67,41,1344729600
ok,33.67,33.67,33.26,33.26,2268,1344816000
ok,33.26,33.79,33.49,33.49,4038,1344902400
ok,33.49,33.96,33.67,33.96,1110,1344988800
ok,33.96,34.25,34.25,34.25,31,1345507200
ok,34.25,34.72,34.43,34.43,494,1345593600
ok,34.43,34.43,34.14,34.43,110,1345680000
ok,34.43,34.72,34.72,34.72,20,1345939200
ok,34.72,34.43,34.43,34.43,10,1346025600
ok,34.43,34.14,34.14,34.14,300,1346112000
ok,34.14,34.14,34.14,34.14,82,1346198400
ok,34.14,34.14,34.14,34.14,50,1346284800
ok,34.14,34.72,34.2,34.72,662,1346544000
ok,34.72,34.55,34.49,34.55,123,1346630400
ok,34.55,34.55,34.55,34.55,349,1346716800
ok,34.55,34.72,34.43,34.72,550,1346803200
ok,34.72,34.84,34.72,34.84,562,1346889600
ok,34.84,35.02,35.02,35.02,113,1347148800
ok,35.02,35.02,35.02,35.02,160,1347408000
ok,35.02,35.37,35.07,35.37,714,1347494400
ok,35.37,37.07,35.66,37.07,60,1348531200
ok,37.07,38.12,36.72,36.83,1119,1348617600
ok,36.83,36.72,36.54,36.54,205,1348704000
ok,36.54,36.19,35.9,35.9,778,1349308800
ok,35.9,35.9,35.25,35.31,3148,1349568000
ok,35.31,35.54,35.02,35.31,3485,1349654400
ok,35.31,36.01,35.43,36.01,1141,1349740800
ok,36.01,36.36,35.66,35.66,93,1349827200
ok,35.66,35.95,35.95,35.95,10,1349913600
ok,35.95,35.6,35.6,35.6,500,1351555200
ok,35.6,35.9,35.6,35.78,1194,1351728000
ok,35.78,36.01,36.01,36.01,141,1351987200
ok,36.01,36.6,36.31,36.6,702,1352073600
ok,36.6,37.07,36.89,36.89,1102,1352160000
ok,36.89,37.07,37.07,37.07,403,1352246400
ok,37.07,36.72,36.72,36.72,605,1352332800
ok,36.72,36.77,36.72,36.72,182,1352592000
ok,36.72,37.07,36.72,36.72,300,1352678400
ok,36.72,37.42,36.36,37.42,1233,1353196800
ok,37.42,37.71,37.01,37.01,254,1353369600
ok,37.01,36.95,36.72,36.72,464,1353456000
ok,36.72,36.72,36.66,36.72,92,1353542400
ok,36.72,36.72,36.72,36.72,369,1353888000
ok,36.72,37.07,36.77,36.77,557,1353974400
ok,36.77,38.59,36.89,38.24,5426,1354060800
ok,38.24,38.83,38.24,38.24,2530,1354147200
ok,38.24,38.01,37.89,37.89,260,1354406400
ok,37.89,37.54,37.54,37.54,600,1354579200
ok,37.54,38.24,37.89,37.95,600,1354665600
ok,37.95,38.3,37.95,37.95,142,1354752000
ok,37.95,37.95,37.65,37.65,1000,1355011200
ok,37.65,37.3,37.13,37.13,462,1355097600
ok,37.13,37.95,37.48,37.95,523,1355184000
ok,37.95,38.36,38.01,38.36,133,1355356800
ok,38.36,38.71,38.71,38.71,80,1355616000
ok,38.71,38.83,38.36,38.36,1530,1355702400
ok,38.36,38.06,38.06,38.06,500,1355788800
ok,38.06,38.42,38.06,38.42,211,1355875200
ok,38.42,38.06,37.65,37.95,2575,1356220800
ok,37.95,39.0,38.3,38.83,1386,1356307200
ok,38.83,39.53,39.06,39.06,1167,1356480000
ok,39.06,39.82,38.83,39.12,1679,1356566400
ok,44.32,38.31,38.31,38.31,185,1359504000
ok,38.31,38.02,31.13,38.02,60,1360022400
ok,38.02,37.65,37.65,37.65,10,1360195200
ok,37.65,37.36,36.99,36.99,67,1360454400
ok,36.99,36.63,36.63,36.63,262,1360713600
ok,36.63,36.26,36.26,36.26,41,1361923200
ok,36.26,35.97,35.97,35.97,31,1362441600
ok,35.97,35.9,35.9,35.9,153,1364169600
ok,35.9,36.19,36.19,36.19,50,1365638400
ok,36.19,35.9,35.9,35.9,82,1366502400
ok,35.9,35.6,35.6,35.6,155,1366848000
ok,35.6,35.9,35.9,35.9,124,1367107200
ok,35.9,35.6,35.31,35.31,223,1367193600
ok,35.31,35.02,34.72,34.87,625,1373760000
ok,34.87,35.02,34.8,35.02,144,1373932800
ok,35.02,35.31,35.31,35.31,80,1374451200
ok,35.31,35.6,35.31,35.6,205,1374537600
ok,35.6,35.31,35.31,35.31,46,1374624000
ok,35.31,35.16,35.16,35.16,361,1374710400
ok,35.16,35.75,35.46,35.75,605,1375056000
ok,35.75,36.33,35.46,36.33,538,1375142400
ok,36.33,36.63,36.63,36.63,112,1375228800
ok,36.63,36.63,36.55,36.63,552,1375315200
ok,36.63,37.36,36.99,37.36,467,1375574400
ok,37.36,37.07,36.63,36.63,450,1375660800
ok,36.63,36.99,36.99,36.99,753,1375747200
ok,36.99,37.36,37.36,37.36,1830,1375833600
ok,37.36,37.73,37.73,37.73,1000,1375920000
ok,37.73,38.09,38.09,38.09,92,1376179200
ok,38.09,38.46,38.46,38.46,103,1376265600
ok,38.46,39.92,38.83,39.92,523,1376352000
ok,39.92,41.17,40.22,41.17,750,1376438400
ok,41.17,40.73,40.29,40.29,112,1376524800
ok,40.29,39.85,39.19,39.19,1053,1376784000
ok,39.19,38.9,38.53,38.9,286,1376870400
ok,38.9,39.63,38.68,39.63,519,1376956800
ok,39.63,39.63,39.27,39.27,484,1377388800
ok,39.27,38.9,38.9,38.9,91,1377475200
ok,38.9,39.12,39.12,39.12,102,1377561600
ok,39.12,38.9,38.9,38.9,70,1377734400
ok,38.9,39.63,39.27,39.63,358,1377993600
ok,39.63,40.0,40.0,40.0,292,1378080000
ok,40.0,41.17,40.29,41.17,287,1378166400
ok,41.17,41.61,40.29,40.29,894,1378252800
ok,40.29,41.1,40.66,40.95,956,1378339200
ok,40.95,41.02,41.02,41.02,200,1378598400
ok,41.02,41.46,41.46,41.46,303,1378684800
ok,41.46,42.12,41.9,42.12,142,1378771200
ok,42.12,44.47,42.56,43.0,3270,1378857600
ok,43.0,44.69,43.44,44.69,4119,1378944000
ok,44.69,45.2,44.69,44.76,654,1379203200
ok,44.76,45.79,45.27,45.79,50,1379289600
ok,45.79,45.42,45.42,45.42,100,1379376000
ok,45.42,45.79,45.05,45.05,356,1379548800
ok,45.05,45.27,44.61,44.69,1292,1379808000
ok,44.69,45.2,44.69,45.2,206,1379894400
ok,45.2,45.71,45.71,45.71,30,1379980800
ok,45.71,48.35,45.2,45.79,5712,1380067200
ok,45.79,45.79,45.27,45.27,133,1380153600
ok,45.27,45.79,45.79,45.79,25,1380412800
ok,45.79,45.79,45.42,45.79,176,1380585600
ok,45.79,45.79,45.27,45.27,406,1380672000
ok,45.27,45.27,45.05,45.05,287,1380758400
ok,45.05,45.57,45.57,45.57,10,1381017600
ok,45.57,45.05,45.05,45.05,100,1381104000
ok,45.05,45.42,45.42,45.42,726,1381190400
ok,45.42,44.91,43.88,43.88,1692,1381276800
ok,43.88,43.44,43.44,43.44,20,1381363200
ok,43.44,43.88,43.88,43.88,62,1382313600
ok,43.88,46.37,44.32,46.37,121,1382572800
ok,46.37,49.16,46.88,47.54,1811,1382832000
ok,47.54,48.06,47.62,48.06,751,1382918400
ok,48.06,47.62,47.47,47.54,649,1383004800
ok,47.54,48.57,47.98,48.35,684,1383091200
ok,48.35,48.35,48.35,48.35,75,1383782400
ok,48.35,48.94,48.35,48.94,380,1384041600
ok,48.94,49.52,49.52,49.52,10,1384128000
ok,49.52,48.94,47.76,47.76,2876,1384214400
ok,47.76,49.08,48.35,48.35,771,1384300800
ok,48.35,48.72,47.76,48.72,2453,1384387200
ok,48.72,49.89,49.3,49.89,1526,1385251200
ok,49.89,51.65,49.82,51.65,1410,1385337600
ok,51.65,51.43,50.69,50.99,1404,1385424000
ok,50.99,51.28,50.84,50.84,1259,1385510400
ok,50.84,53.26,51.43,53.26,4803,1385596800
ok,53.26,54.21,53.48,53.62,1896,1385856000
ok,53.62,56.41,54.21,56.41,2514,1385942400
ok,56.41,58.97,56.41,58.97,5290,1386028800
ok,58.97,62.34,59.78,62.34,3700,1386115200
ok,62.34,63.73,62.86,62.86,871,1386201600
ok,62.86,61.98,61.98,61.98,41,1386460800
ok,61.98,62.27,61.54,61.54,700,1386547200
ok,61.54,60.73,59.93,60.44,361,1386633600
ok,60.44,60.44,58.97,58.97,551,1386720000
ok,58.97,59.85,58.24,59.85,2229,1386806400
ok,59.85,60.66,60.66,60.66,480,1387411200
ok,60.66,64.83,61.46,64.47,3613,1387670400
ok,64.47,67.18,65.35,67.18,3000,1387756800
ok,67.18,66.67,65.57,66.67,1003,1387843200
ok,66.67,68.5,67.54,67.62,1452,1388016000
ok,67.62,69.82,67.62,68.13,14665,1388275200
ok,93.04,67.1,66.23,66.23,112,1390262400
ok,66.23,67.98,67.1,67.98,717,1390348800
ok,67.98,68.97,68.97,68.97,70,1390780800
ok,68.97,69.96,69.96,69.96,1503,1390953600
ok,69.96,70.95,70.95,70.95,102,1391299200
ok,70.95,71.94,71.94,71.94,92,1391904000
ok,71.94,77.21,72.93,77.21,1743,1392076800
ok,77.21,83.04,78.31,83.04,2202,1392163200
ok,83.04,87.22,84.25,85.9,2834,1392249600
ok,85.9,84.8,83.7,83.7,754,1392508800
ok,83.7,85.57,84.25,84.25,912,1393113600
ok,84.25,84.25,84.25,84.25,775,1393200000
ok,84.25,85.24,84.25,85.24,572,1393286400
ok,85.24,85.9,79.63,82.05,2250,1393372800
ok,82.05,83.15,83.15,83.15,917,1393977600
ok,83.15,83.04,79.96,79.96,1033,1394064000
ok,79.96,78.75,77.54,78.64,1400,1394323200
ok,78.64,77.54,77.54,77.54,180,1394409600
ok,77.54,77.54,77.54,77.54,164,1394582400
ok,77.54,78.2,78.2,78.2,93,1394668800
ok,78.2,78.75,77.1,77.1,273,1395014400
ok,77.1,77.65,77.65,77.65,110,1395619200
ok,77.65,77.43,77.43,77.43,153,1395705600
ok,77.43,77.43,76.45,76.45,372,1395878400
ok,76.45,76.45,75.46,75.46,494,1396224000
ok,75.46,75.46,74.36,75.46,56,1396310400
ok,75.46,75.46,75.46,75.46,20,1396483200
ok,75.46,77.65,75.46,77.65,256,1397088000
ok,77.65,79.85,77.65,79.85,614,1397347200
ok,79.85,78.75,76.67,77.65,1200,1397692800
ok,77.65,77.76,77.65,77.76,122,1397952000
ok,77.76,80.07,78.86,80.07,20,1398038400
ok,80.07,80.07,80.07,80.07,100,1398124800
ok,80.07,80.07,78.86,78.86,684,1398211200
ok,78.86,80.07,80.07,80.07,821,1398556800
ok,80.07,79.3,79.3,79.3,545,1398729600
ok,79.3,80.4,80.4,80.4,162,1398816000
ok,80.4,81.61,81.61,81.61,51,1399248000
ok,81.61,80.51,80.51,80.51,152,1399334400
ok,80.51,81.72,80.51,81.17,2252,1399420800
ok,81.17,82.05,80.4,80.4,174,1399507200
ok,80.4,80.4,80.4,80.4,186,1399766400
ok,80.4,81.61,80.95,81.61,802,1399852800
ok,81.61,80.4,80.4,80.4,550,1399939200
ok,80.4,80.95,80.95,80.95,100,1400112000
ok,80.95,83.37,80.4,83.37,1907,1400371200
ok,83.37,85.35,84.25,85.35,494,1400457600
ok,85.35,84.25,84.25,84.25,188,1400544000
ok,84.25,86.12,84.8,86.12,362,1400630400
ok,86.12,86.12,85.35,85.35,313,1400716800
ok,85.35,85.35,85.35,85.35,337,1400976000
ok,85.35,85.35,84.91,84.91,263,1401062400
ok,84.91,86.67,85.9,86.67,411,1401148800
ok,86.67,85.35,85.35,85.35,102,1401235200
ok,85.35,85.35,84.03,85.35,819,1401580800
ok,85.35,84.25,84.25,84.25,153,1401667200
ok,84.25,83.04,82.05,82.6,643,1401926400
ok,82.6,83.81,83.37,83.81,1949,1402185600
ok,83.81,85.02,85.02,85.02,10,1402272000
ok,85.02,85.35,84.25,85.35,1897,1402358400
ok,85.35,85.9,85.9,85.9,175,1402444800
ok,85.9,84.58,84.58,84.58,268,1402531200
ok,84.58,83.7,83.15,83.15,255,1402963200
ok,83.15,84.36,84.25,84.25,160,1403049600
ok,84.25,83.26,83.04,83.04,423,1403136000
ok,83.04,84.36,83.15,84.36,582,1403481600
ok,84.36,84.25,83.7,84.25,683,1403568000
ok,84.25,84.8,83.7,84.8,838,1403654400
ok,84.8,85.35,83.7,85.35,1986,1403740800
ok,85.35,85.57,85.35,85.57,80,1404000000
ok,85.57,85.9,85.9,85.9,205,1404259200
ok,85.9,88.64,87.22,87.32,1609,1404345600
ok,87.32,86.45,86.45,86.45,100,1404604800
ok,86.45,88.09,87.43,88.09,225,1404691200
ok,88.09,90.73,88.09,90.73,550,1404777600
ok,90.73,92.49,88.31,88.64,3053,1404864000
ok,88.64,88.64,88.64,88.64,150,1404950400
ok,88.64,89.74,87.54,89.74,1463,1405209600
ok,89.74,89.74,86.45,86.45,2163,1405296000
ok,86.45,89.63,84.8,89.63,852,1405382400
ok,89.63,91.39,90.95,91.39,296,1405468800
ok,91.39,92.82,92.82,92.82,40,1405555200
ok,92.82,94.25,94.25,94.25,22,1405814400
ok,94.25,101.83,95.68,100.18,1269,1405900800
ok,100.18,105.13,101.72,105.02,415,1405987200
ok,105.02,106.78,104.91,106.23,2636,1406073600
ok,106.23,107.98,106.23,106.78,660,1406160000
ok,106.78,106.23,106.23,106.23,190,1406419200
ok,106.23,109.74,107.98,109.74,20,1406505600
ok,109.74,111.17,109.41,109.41,477,1406678400
ok,109.41,108.42,106.23,106.23,926,1406764800
ok,106.23,106.23,106.12,106.12,300,1407024000
ok,106.12,105.13,103.48,104.03,1005,1407196800
ok,104.03,102.38,102.38,102.38,336,1407369600
ok,102.38,102.38,100.18,101.83,1770,1407801600
ok,101.83,102.93,101.83,102.93,488,1407888000
ok,102.93,101.83,101.83,101.83,263,1407974400
ok,101.83,100.73,99.19,100.18,320,1408320000
ok,100.18,101.83,100.18,100.73,1033,1408406400
ok,100.73,99.63,98.53,99.08,1310,1408492800
ok,99.08,97.54,96.01,96.01,390,1408579200
ok,96.01,94.69,94.47,94.69,60,1408838400
ok,94.69,95.46,93.26,93.26,558,1409011200
ok,93.26,96.12,94.69,94.69,369,1409097600
ok,94.69,96.12,96.12,96.12,20,1409184000
ok,96.12,95.24,94.58,95.24,401,1409443200
ok,95.24,93.81,87.54,88.86,1073,1409529600
ok,88.86,89.96,88.64,89.96,635,1409702400
ok,89.96,89.74,88.09,89.74,1162,1409788800
ok,89.74,92.6,90.84,91.94,4568,1410048000
ok,91.94,99.3,91.94,98.75,1278,1410220800
ok,98.75,98.53,96.34,96.34,3322,1410307200
ok,96.34,96.45,93.26,94.14,1297,1410393600
ok,94.14,95.24,95.24,95.24,42,1410739200
ok,95.24,98.31,96.78,98.31,1215,1410825600
ok,98.31,98.75,98.53,98.75,366,1410912000
ok,98.42,98.42,95.35,95.35,1170,1411344000
ok,95.35,96.34,95.35,95.35,276,1411430400
ok,95.35,95.24,94.69,95.24,636,1411516800
ok,95.24,97.44,96.78,97.44,412,1411862400
ok,97.44,97.44,97.44,97.44,50,1413072000
ok,97.44,97.44,97.44,97.44,20,1413158400
ok,97.44,95.9,95.9,95.9,50,1413244800
ok,95.9,96.34,95.24,96.34,524,1413331200
ok,96.34,96.23,96.12,96.23,200,1413417600
ok,96.23,96.34,95.35,96.34,300,1413676800
ok,96.34,94.8,91.94,91.94,76,1413763200
ok,91.94,94.14,93.04,94.14,772,1413936000
ok,94.14,92.71,92.71,92.71,500,1414281600
ok,92.71,92.49,91.94,92.38,1884,1414454400
ok,92.38,92.38,90.84,92.16,3166,1414627200
ok,92.16,94.14,93.04,94.14,1332,1414886400
ok,94.14,93.04,93.04,93.04,942,1414972800
ok,93.04,92.6,92.49,92.49,535,1415059200
ok,92.49,92.49,92.49,92.49,751,1415491200
ok,92.49,91.06,89.63,89.63,551,1415836800
ok,89.63,89.74,88.09,88.09,1660,1416096000
ok,88.09,86.78,84.14,84.25,124,1416182400
ok,84.25,83.7,83.04,83.7,825,1416268800
ok,83.7,84.36,83.15,84.36,769,1416355200
ok,84.36,90.73,85.68,90.29,743,1416441600
ok,90.29,93.59,90.84,93.59,1915,1416700800
ok,93.59,95.02,93.04,93.04,1045,1416787200
ok,93.04,91.72,91.39,91.39,900,1416873600
ok,91.39,92.49,91.83,92.49,698,1417305600
ok,92.49,91.06,89.74,89.74,575,1417392000
ok,89.74,90.07,87.32,87.32,4459,1417478400
ok,87.32,87.32,86.45,86.45,3602,1417564800
ok,86.45,89.96,87.32,89.96,324,1417910400
ok,89.96,88.75,88.53,88.53,442,1417996800
ok,88.53,88.64,88.64,88.64,50,1418083200
ok,88.64,87.43,86.45,87.43,1053,1418256000
ok,87.43,90.29,87.43,90.18,1053,1418515200
ok,90.18,92.82,90.84,91.06,1020,1418688000
ok,91.06,92.05,91.94,92.05,277,1418774400
ok,92.05,92.71,90.84,91.83,3523,1418860800
ok,91.83,93.26,93.26,93.26,100,1419120000
ok,93.26,94.69,91.94,94.69,1401,1419206400
ok,94.69,94.03,91.94,93.26,2293,1419292800
ok,93.26,93.59,91.94,93.04,6290,1419379200
ok,93.08,93.97,93.97,93.97,500,1420070400
ok,93.97,95.46,95.46,95.46,31,1420416000
ok,95.46,96.2,96.2,96.2,289,1420588800
ok,96.2,97.68,97.68,97.68,76,1420934400
ok,97.68,99.17,96.94,99.17,1040,1421107200
ok,99.17,100.65,100.65,100.65,31,1421625600
ok,100.65,102.28,100.65,102.13,733,1422144000
ok,102.13,102.13,102.13,102.13,2476,1422230400
ok,102.13,107.33,103.62,107.33,3844,1422316800
ok,107.33,109.11,109.11,109.11,96,1422489600
ok,109.11,111.78,110.89,111.78,1380,1422748800
ok,111.78,110.59,110.59,110.59,1000,1422835200
ok,110.59,111.78,111.78,111.78,232,1423008000
ok,111.78,115.34,111.78,115.34,453,1423094400
ok,115.34,116.08,114.74,114.74,2132,1423353600
ok,114.74,114.74,114.74,114.74,1100,1423440000
ok,114.74,116.67,116.67,116.67,400,1423526400
ok,116.67,117.71,116.97,116.97,351,1423699200
ok,117.56,119.94,116.23,116.23,423,1424044800
ok,116.23,114.45,113.26,113.26,551,1424563200
ok,113.26,113.26,113.26,113.26,153,1424822400
ok,114.45,116.23,116.23,116.23,20,1425168000
ok,116.23,114.3,112.52,112.52,754,1425340800
ok,112.52,110.74,110.74,110.74,82,1425859200
ok,110.74,109.55,109.55,109.55,53,1425945600
ok,109.55,111.33,109.55,111.03,512,1426032000
ok,111.03,109.55,109.55,109.55,138,1426377600
ok,109.55,107.77,107.77,107.77,743,1426550400
ok,107.77,107.33,107.33,107.33,50,1426636800
ok,107.33,105.84,105.84,105.84,122,1427155200
ok,105.84,107.47,107.33,107.33,306,1427241600
ok,107.33,105.55,105.55,105.55,400,1427673600
ok,105.55,103.91,103.91,103.91,283,1427760000
ok,103.91,105.55,105.55,105.55,20,1427932800
ok,105.55,103.91,97.53,97.68,807,1433203200
ok,97.68,99.91,97.83,99.91,2114,1433289600
ok,99.91,101.54,101.54,101.54,616,1433635200
ok,101.54,101.54,101.39,101.54,154,1433721600
ok,101.54,103.17,103.17,103.17,87,1433808000
ok,103.17,105.99,103.62,103.62,1634,1433980800
ok,103.62,102.28,101.98,102.13,429,1434240000
ok,102.13,100.95,100.95,100.95,35,1434326400
ok,100.95,102.58,99.91,102.58,1008,1434412800
ok,102.58,102.87,102.87,102.87,93,1434585600
ok,102.87,102.87,101.39,101.39,3283,1434844800
ok,101.69,101.69,100.65,100.65,190,1434931200
ok,99.46,100.95,99.46,100.95,436,1435017600
ok,99.91,101.39,99.91,101.39,571,1435104000
ok,101.39,101.39,101.39,101.39,502,1435190400
ok,103.02,103.02,100.65,100.65,779,1435449600
ok,100.65,103.76,100.65,103.76,913,1435536000
ok,102.13,104.36,102.13,104.36,469,1435622400
ok,105.1,105.1,105.1,105.1,102,1435708800
ok,104.36,104.95,103.76,104.95,974,1436140800
ok,105.1,105.1,104.65,105.1,721,1436227200
ok,105.1,108.07,105.1,108.07,721,1436313600
ok,109.85,109.85,109.85,109.85,126,1436745600
ok,108.81,108.81,107.92,108.07,477,1436832000
ok,108.07,108.81,107.33,108.81,262,1437004800
