s,o,h,l,c,v,t
ok,30.84,30.96,30.79,30.96,230,1325376000
ok,30.96,31.25,30.84,31.19,1060,1325462400
ok,31.19,31.3,31.13,31.13,640,1325548800
ok,31.13,31.19,30.9,31.13,1100,1325635200
ok,31.13,31.25,31.07,31.19,510,1325721600
ok,31.19,31.13,30.96,31.07,280,1326067200
ok,31.07,31.07,31.07,31.07,120,1326153600
ok,31.07,31.13,31.13,31.13,900,1326240000
ok,31.13,31.02,30.79,30.79,280,1326326400
ok,30.79,30.96,30.84,30.96,110,1326672000
ok,30.96,31.19,30.84,31.19,1100,1326758400
ok,31.19,31.36,31.19,31.36,380,1326844800
ok,31.36,31.42,31.3,31.36,420,1326844800
ok,31.36,31.42,31.07,31.07,1550,1327190400
ok,31.07,31.3,31.19,31.3,160,1327276800
ok,31.3,31.53,31.42,31.42,150,1327449600
ok,31.42,31.36,31.02,31.02,100,1327536000
ok,31.02,31.02,31.02,31.02,80,1327795200
ok,31.02,31.3,31.07,31.3,360,1327968000
ok,31.3,31.42,31.25,31.25,620,1328054400
ok,31.25,31.25,30.9,30.9,600,1328140800
ok,30.9,31.13,31.02,31.13,620,1328400000
ok,31.13,31.36,31.07,31.25,1230,1328486400
ok,31.25,31.3,31.13,31.13,550,1328572800
ok,31.13,31.25,31.13,31.13,1230,1328659200
ok,31.13,31.13,31.02,31.02,380,1328745600
ok,31.02,31.25,31.13,31.25,250,1329004800
ok,31.25,31.13,30.9,31.07,730,1329091200
ok,31.07,31.3,31.07,31.07,480,1329177600
ok,31.07,31.07,31.07,31.07,60,1329264000
ok,31.07,31.19,31.13,31.19,120,1329350400
ok,31.19,31.3,31.25,31.3,970,1329782400
ok,31.3,31.19,31.13,31.13,220,1329955200
ok,31.13,31.25,31.07,31.19,530,1330214400
ok,31.19,31.19,31.13,31.19,180,1330300800
ok,31.19,31.3,31.07,31.19,900,1330387200
ok,31.19,31.3,31.3,31.3,20,1330473600
ok,31.3,31.3,31.07,31.19,490,1330560000
ok,31.19,31.3,31.07,31.25,370,1330819200
ok,31.25,31.25,31.13,31.13,360,1330905600
ok,31.13,31.19,31.07,31.07,470,1330992000
ok,31.07,31.07,31.02,31.07,1000,1331424000
ok,31.07,31.19,31.07,31.07,180,1331510400
ok,31.07,31.3,31.19,31.3,70,1331596800
ok,31.3,31.42,31.19,31.19,970,1331683200
ok,31.19,31.19,31.13,31.13,50,1331769600
ok,31.13,31.07,31.07,31.07,620,1332028800
ok,31.07,31.25,31.13,31.25,130,1332115200
ok,31.25,31.19,31.02,31.19,400,1332201600
ok,31.19,31.19,31.07,31.19,80,1332288000
ok,31.19,31.3,31.02,31.13,700,1332633600
ok,31.13,31.19,31.19,31.19,100,1332720000
ok,31.19,31.25,31.13,31.19,2800,1332806400
ok,31.19,31.25,31.19,31.19,2160,1332892800
ok,31.19,31.3,31.02,31.19,620,1332979200
ok,31.19,31.19,31.13,31.19,920,1333238400
ok,31.19,31.07,30.96,30.96,40,1333324800
ok,30.96,31.3,31.07,31.25,220,1333411200
ok,31.25,31.42,31.25,31.42,700,1333497600
ok,31.42,31.3,31.25,31.3,160,1333584000
ok,31.3,31.3,31.3,31.3,150,1333843200
ok,31.3,31.19,31.19,31.19,30,1334016000
ok,31.19,31.76,31.3,31.76,1520,1334188800
ok,31.76,31.99,31.88,31.99,230,1334448000
ok,31.99,31.99,31.76,31.99,1930,1334707200
ok,31.99,32.45,32.11,32.45,1150,1334793600
ok,32.45,33.14,32.57,33.14,630,1335052800
ok,33.14,33.66,33.31,33.66,80,1335225600
ok,33.66,34.58,33.83,34.58,1270,1335398400
ok,34.58,35.21,34.46,35.04,3570,1335657600
ok,35.04,35.33,34.69,34.69,1340,1335744000
ok,34.69,34.87,34.87,34.87,50,1336348800
ok,34.87,34.69,34.35,34.35,320,1336435200
ok,34.35,34.35,33.95,33.95,1120,1336521600
ok,33.95,34.06,33.72,33.89,810,1336608000
ok,33.89,33.6,32.97,32.97,3880,1336867200
ok,32.97,32.86,32.57,32.57,290,1336953600
