s,o,h,l,c,v,t
ok,113.74,114.45,113.74,114.45,20,1479945600
ok,115.32,118.83,115.32,118.83,512,1480204800
ok,119.71,122.35,117.96,121.99,2505,1480291200
ok,122.87,127.08,122.17,127.08,1057,1480377600
ok,127.08,132.7,127.08,132.7,998,1480464000
ok,133.93,138.85,133.93,138.85,1290,1480550400
ok,140.07,143.06,137.79,139.72,3303,1480809600
ok,139.72,139.72,132.88,133.05,1845,1480896000
ok,134.28,135.86,132.88,135.16,631,1480982400
ok,135.16,138.14,134.46,136.04,399,1481068800
ok,134.81,135.51,133.75,134.28,276,1481155200
ok,135.51,135.51,133.93,134.28,234,1481414400
ok,133.4,134.63,132.18,134.63,1492,1481500800
ok,135.86,136.91,134.63,136.91,879,1481673600
ok,136.91,143.58,135.86,143.58,962,1481760000
ok,144.99,144.99,141.65,142.88,2471,1482019200
ok,141.65,141.65,138.85,140.07,142,1482105600
ok,138.85,138.85,136.39,137.79,91,1482192000
ok,136.56,136.91,135.33,136.91,242,1482278400
ok,135.86,141.3,135.86,140.43,7745,1482364800
ok,140.43,142.18,139.55,141.3,676,1482710400
ok,141.3,141.3,138.85,140.07,1505,1482796800
ok,139.02,143.94,138.85,143.94,1042,1482883200
ok,145.34,145.69,141.65,145.69,709,1482969600
ok,144.29,145.69,143.23,143.23,561,1483228800
ok,144.64,150.43,144.64,148.85,5982,1483315200
ok,149.38,154.64,149.38,153.59,1654,1483401600
ok,152.01,154.47,148.85,153.59,682,1483488000
ok,155.17,157.98,152.01,152.01,1485,1483574400
ok,150.43,155.17,148.85,154.47,1521,1483833600
ok,156.75,157.98,152.01,155.17,1281,1483920000
ok,156.22,157.1,154.47,157.1,741,1484006400
ok,158.33,158.33,156.57,156.57,60,1484092800
ok,157.1,163.77,155.52,163.77,2125,1484179200
ok,164.12,164.12,157.1,160.61,415,1484438400
ok,162.37,169.56,162.37,169.56,4524,1484524800
ok,171.49,179.39,171.49,179.39,13365,1484611200
