s,o,h,l,c,v,t
ok,50.91,51.6,50.91,51.37,3920,1325376000
ok,51.37,52.52,51.37,52.52,3030,1325462400
ok,52.52,53.21,52.52,52.52,1410,1325548800
ok,52.52,52.98,52.06,52.06,2030,1325635200
ok,52.06,52.75,52.29,52.52,2070,1325721600
ok,52.52,52.75,52.29,52.75,1740,1325980800
ok,52.75,52.98,52.29,52.52,1710,1326067200
ok,52.52,52.52,52.52,52.52,250,1326153600
ok,52.52,52.52,52.29,52.52,2750,1326240000
ok,52.52,52.75,52.06,52.29,1980,1326326400
ok,52.29,52.52,52.06,52.52,1090,1326672000
ok,52.52,52.52,51.6,51.83,1120,1326758400
ok,51.83,52.29,51.6,52.29,1000,1326844800
ok,52.29,52.29,52.06,52.06,2380,1326844800
ok,52.06,52.75,51.83,52.06,2510,1327190400
ok,52.06,52.29,51.83,52.06,3000,1327276800
ok,52.06,52.29,51.6,52.06,1830,1327449600
ok,52.06,52.06,51.83,51.83,2780,1327536000
ok,51.83,52.06,51.83,51.83,1010,1327795200
ok,51.83,51.83,51.37,51.83,1480,1327968000
ok,51.83,52.52,51.6,51.6,1020,1328054400
ok,51.6,52.06,51.6,51.6,920,1328140800
ok,51.6,51.6,51.14,51.6,760,1328400000
ok,51.6,51.6,51.14,51.14,780,1328486400
ok,51.14,51.37,50.68,50.68,2410,1328572800
ok,50.68,51.14,49.99,50.68,3090,1328659200
ok,50.68,50.68,50.22,50.45,4950,1328745600
ok,50.45,50.91,50.22,50.22,2570,1329004800
ok,50.22,50.45,49.53,50.45,1610,1329091200
ok,50.45,50.68,49.53,50.22,2030,1329177600
ok,50.22,50.68,49.99,49.99,540,1329264000
ok,49.99,50.22,49.76,50.22,360,1329350400
ok,50.22,50.45,49.53,49.53,950,1329782400
ok,49.53,49.99,49.53,49.53,1620,1329955200
ok,49.53,49.99,48.84,49.76,1070,1330214400
ok,49.76,49.99,49.53,49.53,2040,1330300800
ok,49.53,49.99,49.76,49.76,1060,1330387200
ok,49.76,50.22,48.84,49.76,23220,1330473600
ok,49.76,50.45,49.3,49.99,3590,1330560000
ok,49.99,50.45,50.22,50.22,1270,1330819200
ok,50.22,50.22,49.99,49.99,2870,1330905600
ok,49.99,49.99,49.53,49.76,3310,1330992000
ok,49.76,49.76,49.3,49.53,1050,1331424000
ok,49.53,49.99,49.07,49.53,980,1331510400
ok,49.53,50.22,49.3,49.3,7340,1331596800
ok,49.3,49.99,49.53,49.53,4080,1331683200
ok,49.53,49.76,49.3,49.53,640,1331769600
ok,49.53,49.99,49.3,49.76,3800,1332028800
ok,49.76,50.22,49.76,50.22,2800,1332115200
ok,50.22,50.45,49.07,50.22,2140,1332201600
ok,50.22,49.99,49.3,49.53,1500,1332288000
ok,49.53,49.99,49.53,49.99,1510,1332633600
ok,49.99,49.76,49.07,49.53,2360,1332720000
ok,49.53,50.22,49.3,49.76,2230,1332806400
ok,49.76,49.53,49.53,49.53,100,1332892800
ok,49.53,49.99,49.53,49.76,1230,1332979200
ok,49.76,50.22,49.53,49.76,1780,1333238400
ok,49.76,50.22,49.76,50.22,1720,1333324800
ok,50.22,50.91,49.99,50.45,880,1333411200
ok,50.45,51.14,49.76,50.22,1680,1333497600
ok,50.22,51.14,50.22,50.68,2890,1333584000
ok,50.68,51.14,50.45,50.91,3450,1333843200
ok,50.91,51.14,50.68,51.14,1220,1333929600
ok,51.14,50.91,50.22,50.45,1480,1334016000
ok,50.45,51.37,50.68,51.37,2480,1334102400
ok,51.37,52.75,51.6,52.52,2010,1334188800
ok,52.52,54.36,52.75,54.36,3850,1334448000
ok,54.36,56.43,54.59,56.43,870,1334534400
ok,56.43,58.73,56.89,56.89,3720,1334620800
ok,56.89,56.43,55.05,55.28,7870,1334707200
ok,55.28,56.2,55.05,55.28,5670,1334793600
ok,55.28,55.97,55.28,55.97,2750,1335052800
ok,55.97,57.35,56.43,57.35,190,1335225600
ok,57.35,59.65,57.81,59.65,390,1335312000
ok,59.65,60.57,59.19,59.65,7335,1335398400
ok,59.65,61.03,58.73,59.19,8340,1335657600
ok,59.19,59.19,56.89,56.89,1220,1335744000
ok,56.89,56.43,56.43,56.43,100,1335916800
ok,56.43,56.89,56.89,56.89,50,1336003200
