s,o,h,l,c,v,t
ok,154.52,162.16,140.42,140.42,7343,1505174400
ok,138.07,138.07,127.5,127.5,93673,1505260800
ok,126.91,133.96,126.91,133.37,17514,1505347200
ok,135.72,136.9,131.02,134.55,12984,1505606400
ok,132.2,135.72,132.2,132.78,16659,1505692800
ok,132.2,135.13,131.61,134.55,9440,1505865600
ok,134.55,136.9,132.78,133.96,5400,1506211200
ok,132.78,136.31,132.78,135.72,4141,1506297600
ok,135.13,136.9,134.55,136.9,10633,1506384000
ok,136.9,136.9,133.96,136.31,2751,1506988800
ok,135.72,139.25,135.13,135.13,6871,1507075200
ok,132.78,133.37,128.08,132.78,12008,1507420800
ok,133.37,133.37,128.67,129.85,7255,1507507200
ok,129.26,132.78,129.26,131.02,5882,1507593600
ok,128.67,132.2,128.67,130.43,5223,1507680000
ok,130.43,131.61,130.43,131.61,2728,1507766400
ok,133.96,133.96,130.43,131.61,4111,1508025600
ok,132.2,136.31,131.02,136.31,6763,1508112000
ok,136.31,138.66,133.37,133.96,3147,1508198400
ok,133.96,136.31,132.78,136.31,10641,1508284800
ok,138.07,139.84,136.31,136.9,4750,1508630400
ok,136.9,135.72,134.55,135.72,8048,1508716800
ok,135.72,136.31,133.37,136.31,8416,1508803200
ok,134.55,135.13,133.37,133.96,2494,1508889600
ok,135.13,135.13,132.78,132.78,4124,1509235200
ok,132.78,133.96,131.02,132.78,5957,1509321600
ok,131.61,133.37,131.61,132.2,1228,1509408000
ok,131.02,131.61,129.85,131.02,8997,1509494400
ok,129.85,131.61,129.85,131.02,6568,1509580800
ok,129.85,131.02,128.08,129.26,11845,1509840000
ok,129.26,131.61,126.32,127.5,16064,1509926400
ok,126.91,130.43,126.91,127.5,7720,1510012800
ok,128.08,128.08,126.32,126.32,10537,1510099200
ok,126.32,128.67,124.56,126.32,12107,1510185600
ok,126.32,129.26,126.32,129.26,6391,1510444800
ok,129.85,129.85,126.32,128.08,3313,1510531200
ok,128.08,129.26,127.5,129.26,13191,1510617600
ok,129.26,129.85,126.91,127.5,4215,1510704000
ok,125.73,127.5,125.73,125.73,7950,1510790400
ok,125.73,124.56,123.38,123.38,6493,1511049600
ok,123.38,124.56,123.38,123.38,3732,1511136000
ok,123.38,124.56,121.62,122.21,7785,1511222400
ok,120.45,123.38,120.45,123.38,16639,1511308800
ok,123.38,123.97,121.03,122.8,10125,1511395200
ok,122.8,125.73,122.21,125.73,7093,1511654400
ok,124.56,125.15,121.62,121.62,13620,1511740800
ok,122.21,123.97,122.21,123.38,4445,1511827200
ok,122.8,126.91,122.21,122.21,12044,1511913600
ok,121.03,123.97,121.03,122.21,11202,1512000000
ok,122.21,124.56,122.21,123.97,4879,1512345600
ok,125.73,125.15,122.21,122.8,3183,1512432000
ok,124.56,125.73,122.8,125.73,6643,1512518400
ok,127.5,127.5,121.03,122.8,19133,1512864000
ok,123.38,123.38,121.62,122.21,7804,1512950400
ok,120.45,122.8,120.45,122.8,13955,1513036800
ok,121.62,123.38,121.03,121.62,2131,1513123200
ok,121.03,122.21,119.86,121.62,4633,1513209600
ok,123.97,123.97,121.03,123.38,10321,1513468800
ok,122.21,122.8,121.03,121.03,6507,1513555200
ok,119.86,121.62,119.86,120.45,14384,1513641600
ok,121.03,121.03,118.68,120.45,1704,1513728000
ok,120.45,122.21,118.68,120.45,6024,1513814400
ok,119.86,119.86,117.51,117.51,3509,1514073600
ok,119.27,119.27,116.33,117.51,17861,1514246400
ok,117.51,117.51,112.81,112.81,17070,1514332800
ok,112.22,113.4,110.46,111.05,12381,1514419200
ok,109.87,112.81,109.87,112.81,6510,1514678400
ok,112.22,116.33,109.87,115.16,14498,1514764800
ok,115.16,116.33,112.22,113.98,9568,1514851200
ok,113.98,113.98,111.05,112.81,6772,1514937600
