s,o,h,l,c,v,t
ok,94.8,102.0,94.8,102.0,60,1500940800
ok,103.67,111.98,103.67,111.98,70,1501027200
ok,114.2,123.07,114.2,123.07,30929,1501113600
ok,125.29,134.16,121.41,121.96,102185,1501372800
ok,121.96,127.51,118.08,120.3,24722,1501459200
ok,119.19,125.29,119.19,121.96,26324,1501545600
ok,121.96,124.18,119.19,121.96,20920,1501632000
ok,121.96,124.18,119.19,119.19,20630,1501718400
ok,116.97,121.41,116.97,118.64,25258,1501977600
ok,120.85,126.4,119.74,125.84,67466,1502064000
ok,125.84,131.94,124.18,126.4,58843,1502236800
ok,124.73,126.4,124.18,125.29,13085,1502323200
ok,124.73,124.73,120.3,123.07,19656,1502582400
ok,120.85,123.07,119.19,121.41,13441,1502755200
ok,123.63,124.18,118.08,119.19,31194,1502841600
ok,118.08,123.63,118.08,123.63,12938,1502928000
ok,123.07,123.63,119.19,120.85,6669,1503187200
ok,120.3,121.96,118.64,120.3,6370,1503273600
ok,120.3,122.52,119.19,120.3,4885,1503360000
ok,120.3,121.96,118.08,120.3,12790,1503446400
ok,120.3,120.85,119.19,120.3,8635,1503532800
ok,120.3,122.52,119.19,119.74,8827,1503792000
ok,121.96,121.96,118.64,119.74,11794,1503878400
ok,118.64,119.19,117.53,117.53,6034,1504051200
ok,117.53,119.19,116.42,116.97,4932,1504137600
ok,115.86,118.08,114.2,115.31,15033,1504483200
ok,116.97,119.19,114.76,116.42,8627,1504656000
ok,114.76,116.97,114.2,115.86,6117,1504742400
ok,115.31,115.31,112.54,113.09,17434,1505001600
ok,112.54,114.2,110.87,112.54,6218,1505088000
ok,111.98,111.98,110.32,111.43,5710,1505174400
ok,111.43,113.65,110.87,111.43,7189,1505260800
ok,113.09,115.31,111.43,115.31,3899,1505347200
ok,116.42,116.97,114.76,115.31,6024,1505606400
ok,116.42,116.97,114.2,115.86,7145,1505692800
ok,115.31,117.53,114.2,116.42,7323,1505865600
ok,118.64,118.64,114.2,114.76,10056,1506211200
ok,115.31,118.64,115.31,117.53,2424,1506297600
ok,116.42,119.19,116.42,117.53,2972,1506384000
ok,119.74,120.3,118.08,118.08,909,1506988800
ok,115.86,118.08,115.31,115.86,2312,1507075200
ok,114.76,114.76,110.87,113.09,9664,1507420800
ok,111.43,115.31,110.87,113.65,8312,1507507200
ok,111.98,115.86,111.98,115.31,4627,1507593600
ok,118.08,118.08,115.31,115.31,8138,1507680000
ok,114.2,115.86,114.2,115.31,2985,1507766400
ok,116.42,117.53,114.76,117.53,4951,1508025600
ok,118.64,120.85,114.2,119.74,16004,1508112000
ok,120.85,120.85,116.42,119.19,21769,1508198400
ok,118.64,120.85,118.08,120.85,5821,1508284800
ok,119.74,121.96,118.64,120.85,4072,1508630400
ok,119.74,121.41,118.08,118.64,7241,1508716800
ok,118.64,120.85,116.97,118.64,5290,1508803200
ok,116.97,118.64,116.97,117.53,6070,1508889600
ok,116.97,118.08,115.31,117.53,11218,1509235200
ok,116.97,116.97,114.76,115.31,16480,1509321600
ok,115.86,117.53,115.31,117.53,9957,1509408000
ok,115.86,116.42,114.2,114.2,12386,1509494400
ok,114.76,116.42,113.65,116.42,4795,1509580800
ok,114.2,114.2,112.54,113.65,11688,1509840000
ok,113.65,113.65,108.66,111.43,19787,1509926400
ok,113.09,113.65,110.87,111.43,8564,1510012800
ok,109.21,110.32,108.66,109.77,3530,1510099200
ok,109.77,111.98,109.21,110.32,3502,1510185600
ok,109.77,111.98,109.77,111.43,3067,1510444800
ok,112.54,112.54,110.32,110.87,3826,1510531200
ok,110.32,115.31,109.77,110.87,10261,1510617600
ok,108.66,113.09,108.66,111.43,14949,1510704000
ok,109.77,110.32,109.21,109.21,3546,1510790400
ok,109.21,109.77,108.1,109.21,6632,1511049600
ok,109.77,109.77,107.55,108.1,1521,1511136000
ok,106.44,111.43,106.44,111.43,1224,1511222400
ok,109.77,109.77,108.1,109.77,3874,1511308800
ok,109.77,109.77,108.1,109.77,1328,1511395200
ok,109.77,111.98,109.21,110.32,3732,1511654400
ok,111.98,111.98,108.1,111.43,5642,1511740800
ok,109.21,109.77,108.66,108.66,3580,1511827200
ok,107.55,113.09,107.55,110.32,23541,1511913600
ok,109.21,111.98,108.66,109.77,3596,1512000000
ok,108.66,111.43,106.99,109.77,3953,1512345600
ok,111.43,111.98,108.66,110.32,1379,1512432000
ok,111.98,111.98,109.21,109.77,4100,1512518400
ok,111.43,111.43,109.77,109.77,1200,1512864000
ok,108.66,109.21,108.66,109.21,1701,1512950400
ok,110.32,110.32,106.44,107.55,3344,1513036800
ok,105.89,108.66,105.89,108.66,5626,1513123200
ok,106.99,108.66,106.99,107.55,1494,1513209600
ok,108.66,108.66,106.99,106.99,2095,1513468800
ok,105.89,107.55,105.89,106.99,3340,1513555200
ok,106.99,106.99,105.89,105.89,15143,1513641600
ok,105.33,106.99,104.78,106.99,6611,1513728000
ok,105.33,105.89,104.22,104.78,4993,1513814400
ok,103.11,105.89,103.11,105.33,374,1514073600
ok,106.99,106.99,100.34,100.9,4380,1514246400
ok,100.34,101.45,99.23,99.23,5953,1514332800
