s,o,h,l,c,v,t
ok,14.59,14.52,14.52,14.52,300,1326067200
ok,14.52,14.45,14.38,14.38,360,1326240000
ok,14.38,14.31,14.24,14.24,330,1326326400
ok,14.24,14.17,14.11,14.11,230,1326672000
ok,14.11,14.31,14.17,14.31,270,1326758400
ok,14.31,14.38,14.24,14.24,130,1326844800
ok,14.24,14.17,14.17,14.17,80,1326844800
ok,14.17,14.38,14.24,14.31,550,1327190400
ok,14.31,14.38,14.38,14.38,20,1327276800
ok,14.38,14.45,14.38,14.45,200,1327449600
ok,14.45,14.52,14.45,14.45,160,1327536000
ok,14.45,14.65,14.52,14.65,140,1327795200
ok,14.65,14.65,14.52,14.65,170,1327968000
ok,14.65,14.65,14.59,14.65,230,1328054400
ok,14.65,14.72,14.59,14.72,550,1328140800
ok,14.72,14.86,14.72,14.86,580,1328400000
ok,14.86,14.79,14.79,14.79,170,1328486400
ok,14.79,14.86,14.79,14.79,280,1328572800
ok,14.79,14.86,14.72,14.72,250,1328659200
ok,14.72,14.79,14.79,14.79,20,1328745600
ok,14.79,14.86,14.72,14.72,340,1329004800
ok,14.72,14.86,14.79,14.79,670,1329091200
ok,14.79,14.93,14.86,14.93,80,1329177600
ok,14.93,14.93,14.72,14.72,540,1329264000
ok,14.72,14.86,14.79,14.86,440,1329350400
ok,14.86,14.86,14.79,14.86,320,1329782400
ok,14.86,14.86,14.72,14.72,200,1330214400
ok,14.72,14.86,14.72,14.79,660,1330300800
ok,14.79,14.79,14.65,14.65,960,1330387200
ok,14.65,14.65,14.65,14.65,240,1330473600
ok,14.65,14.72,14.72,14.72,120,1330560000
ok,14.72,14.79,14.72,14.79,200,1330819200
ok,14.79,14.86,14.79,14.79,100,1330905600
ok,14.79,14.86,14.79,14.86,60,1330992000
ok,14.86,15.13,15.0,15.0,120,1331424000
ok,15.0,15.13,15.13,15.13,20,1331510400
ok,15.13,15.13,15.13,15.13,40,1331596800
ok,15.13,15.0,15.0,15.0,140,1331683200
ok,15.0,14.86,14.86,14.86,140,1331769600
ok,14.86,14.79,14.72,14.72,460,1332028800
ok,14.72,14.65,14.52,14.52,110,1332806400
ok,14.52,14.52,14.45,14.45,290,1332892800
ok,14.45,14.65,14.52,14.59,160,1332979200
ok,14.59,14.52,14.52,14.52,50,1333238400
ok,14.52,14.52,14.52,14.52,140,1333324800
ok,14.52,14.45,14.45,14.45,60,1333411200
ok,14.45,14.52,14.45,14.45,210,1333497600
ok,14.45,14.52,14.45,14.52,220,1333843200
ok,14.52,14.52,14.45,14.52,40,1334102400
ok,14.52,14.59,14.59,14.59,80,1334620800
ok,14.59,14.65,14.65,14.65,60,1334793600
ok,14.65,15.27,14.72,15.27,100,1335744000
ok,15.27,15.82,15.41,15.68,570,1335916800
ok,15.68,15.82,15.82,15.82,30,1336003200
ok,15.82,16.37,15.95,16.37,40,1336348800
ok,16.37,16.5,16.5,16.5,30,1336435200
ok,16.5,16.64,16.37,16.64,430,1336521600
ok,16.64,17.05,16.64,17.05,960,1336608000
ok,17.05,17.32,16.78,17.19,870,1336867200
ok,17.19,17.32,17.32,17.32,20,1337040000
ok,17.32,17.6,17.46,17.46,600,1337212800
ok,17.46,17.6,17.46,17.46,600,1337472000
ok,17.46,18.01,17.32,18.01,560,1337558400
ok,18.01,18.28,18.15,18.28,20,1337644800
ok,18.28,18.08,18.08,18.08,50,1338076800
ok,18.08,17.94,17.12,17.12,660,1339372800
ok,17.12,16.98,16.23,16.23,970,1339459200
ok,16.23,16.23,16.09,16.23,1090,1339545600
ok,16.23,16.09,15.89,15.95,460,1339632000
ok,15.95,16.09,15.89,15.89,260,1339891200
ok,15.89,16.23,15.82,16.23,420,1339977600
ok,16.23,16.3,16.23,16.3,210,1340064000
ok,16.3,16.23,16.23,16.23,180,1340150400
ok,16.23,16.09,16.09,16.09,60,1340236800
ok,16.09,16.09,15.95,15.95,60,1340582400
ok,15.95,16.02,16.02,16.02,40,1340668800
ok,16.02,16.16,15.89,16.16,100,1340755200
ok,16.16,16.3,16.23,16.23,60,1340841600
ok,16.23,16.23,16.09,16.23,280,1341100800
