s,o,h,l,c,v,t
ok,195.82,203.2,173.69,173.69,9577,1483920000
ok,170.28,170.28,156.66,161.2,70481,1484006400
ok,164.04,166.88,158.36,161.2,12035,1484092800
ok,161.2,161.2,158.93,158.93,1685,1484179200
ok,161.77,161.77,154.39,156.66,5691,1484438400
ok,153.82,153.82,147.58,148.71,5861,1484524800
ok,145.88,154.96,144.74,154.96,21098,1484611200
ok,153.25,153.25,150.42,153.25,15196,1484697600
ok,152.69,155.52,150.42,152.69,15912,1484784000
ok,150.98,152.12,147.58,152.12,11336,1485043200
ok,150.42,150.42,141.9,144.74,21929,1485129600
ok,141.9,141.9,136.23,136.23,10304,1485216000
ok,133.96,136.23,123.17,127.71,13164,1485302400
ok,125.44,127.14,120.9,124.31,7305,1485388800
ok,126.58,126.58,114.66,114.66,5572,1485734400
ok,116.93,121.47,115.79,116.93,5814,1485820800
ok,116.93,128.28,115.79,128.28,6666,1485907200
ok,130.55,132.82,128.28,128.85,3069,1485993600
ok,131.12,133.39,126.58,128.28,10333,1486252800
ok,126.58,133.39,126.58,132.82,16214,1486339200
ok,132.82,132.82,129.41,130.55,2431,1486425600
ok,133.96,139.06,131.12,139.06,11204,1486512000
ok,141.33,142.47,131.12,136.23,24264,1486598400
ok,133.96,133.96,124.87,125.44,12830,1486857600
ok,123.17,131.68,114.09,129.41,9848,1486944000
ok,129.41,131.68,124.87,127.14,10215,1487030400
ok,129.41,135.09,128.85,133.96,9269,1487116800
ok,132.82,138.5,130.55,136.23,10039,1487203200
ok,134.52,137.36,132.82,136.23,7194,1487462400
ok,138.5,138.5,132.25,133.39,6048,1487548800
ok,135.66,139.63,133.39,133.39,11285,1487635200
ok,133.39,143.04,131.68,142.47,23669,1487721600
ok,143.04,153.82,143.04,147.58,42316,1487808000
ok,150.42,150.42,141.9,147.01,19321,1488067200
ok,144.17,148.15,139.63,140.77,310966,1488240000
ok,139.63,147.01,139.06,141.9,7707,1488326400
ok,141.9,146.44,141.9,141.9,13144,1488412800
ok,144.74,148.15,143.6,145.31,7909,1488672000
ok,145.31,145.31,140.77,141.33,5126,1488758400
ok,143.6,143.6,142.47,142.47,194,1488844800
ok,140.77,140.77,140.77,140.77,122,1489017600
ok,140.77,140.77,135.09,136.79,9135,1489363200
ok,136.23,136.23,128.28,129.41,19713,1489449600
ok,124.31,136.23,126.58,136.23,192,1502582400
ok,138.5,149.85,138.5,149.85,112861,1502755200
ok,152.69,155.52,141.9,143.6,61187,1502841600
ok,143.6,146.44,141.9,143.04,18577,1502928000
ok,144.74,145.31,139.06,141.33,12602,1503187200
ok,141.9,142.47,136.79,139.63,4225,1503273600
ok,141.33,144.74,138.5,140.77,8606,1503360000
ok,139.06,143.04,138.5,139.06,6056,1503446400
ok,139.06,141.33,139.06,140.77,14584,1503532800
ok,140.77,143.04,137.36,139.06,25857,1503792000
ok,138.5,139.06,132.82,135.09,20147,1503878400
ok,137.36,137.36,129.98,132.82,32015,1504051200
ok,132.82,135.09,129.41,130.55,32649,1504137600
ok,128.28,135.66,127.71,130.55,124846,1504483200
ok,132.82,133.39,128.28,132.25,18204,1504656000
ok,132.25,132.25,127.14,128.85,26831,1504742400
ok,126.58,127.71,123.74,124.87,23074,1505001600
ok,124.31,127.71,123.74,126.58,15650,1505088000
ok,124.87,127.71,122.6,124.31,10514,1505174400
ok,126.58,127.14,123.74,123.74,10069,1505260800
ok,125.44,130.55,122.04,124.87,35355,1505347200
ok,123.74,128.85,123.74,127.71,11085,1505606400
ok,129.98,129.98,124.87,128.85,12721,1505692800
ok,127.14,127.14,124.87,127.14,10210,1505865600
ok,126.01,127.71,124.87,126.01,8815,1506211200
ok,127.14,128.85,124.87,126.58,6592,1506297600
ok,126.01,128.85,126.01,127.14,8594,1506384000
ok,125.44,128.28,122.6,128.28,6800,1506988800
ok,127.71,127.71,126.01,126.01,3692,1507075200
ok,123.74,124.87,122.04,124.87,24867,1507420800
ok,124.31,124.31,121.47,124.31,15913,1507507200
