s,o,h,l,c,v,t
ok,29.28,29.48,29.35,29.35,1820,1325376000
ok,29.35,29.48,29.22,29.41,450,1325462400
ok,29.41,29.61,29.32,29.51,950,1325548800
ok,29.51,29.48,29.41,29.48,1590,1325635200
ok,29.48,29.55,29.51,29.55,940,1325721600
ok,29.55,29.58,29.45,29.58,990,1325980800
ok,29.58,29.74,29.58,29.68,970,1326067200
ok,29.68,29.81,29.68,29.81,700,1326153600
ok,29.81,29.94,29.71,29.94,1000,1326240000
ok,29.94,29.97,29.81,29.84,1700,1326326400
ok,29.84,29.84,29.78,29.78,1100,1326672000
ok,29.78,29.74,29.68,29.71,1310,1326758400
ok,29.84,29.81,29.81,29.81,530,1326844800
ok,29.71,29.84,29.71,29.84,1200,1326844800
ok,29.81,29.81,29.78,29.78,1000,1327190400
ok,29.78,29.71,29.61,29.71,580,1327276800
ok,29.71,29.64,29.61,29.64,140,1327449600
ok,29.64,29.81,29.64,29.71,300,1327536000
ok,29.71,29.97,29.81,29.91,1610,1327795200
ok,29.91,30.01,29.87,29.87,1390,1327968000
ok,29.87,29.97,29.87,29.94,60,1328054400
ok,29.94,29.97,29.87,29.97,620,1328140800
ok,29.97,29.97,29.81,29.97,430,1328400000
ok,29.97,29.97,29.81,29.84,810,1328486400
ok,29.84,29.91,29.84,29.84,510,1328572800
ok,29.84,29.97,29.87,29.87,2320,1328659200
ok,29.87,29.91,29.81,29.87,560,1328745600
ok,29.87,29.84,29.84,29.84,390,1329004800
ok,29.84,30.1,29.81,29.87,290,1329091200
ok,29.87,29.81,29.78,29.78,250,1329177600
ok,29.78,29.87,29.58,29.87,850,1329264000
ok,29.87,29.81,29.78,29.81,730,1329350400
ok,29.81,29.94,29.78,29.94,1940,1329782400
ok,29.94,30.01,29.81,29.81,800,1329955200
ok,29.81,29.87,29.78,29.87,100,1330214400
ok,29.87,29.84,29.81,29.84,1150,1330300800
ok,29.84,29.84,29.81,29.84,60,1330387200
ok,29.84,30.04,29.94,30.04,40,1330473600
ok,30.04,29.97,29.87,29.87,230,1330560000
ok,29.87,29.97,29.91,29.91,340,1330905600
ok,29.91,30.17,29.84,30.17,300,1330992000
ok,30.17,30.27,29.97,29.97,620,1331424000
ok,29.97,29.94,29.87,29.94,30,1331510400
ok,29.94,30.14,29.97,30.14,490,1331596800
ok,30.14,30.23,30.04,30.1,1550,1331683200
ok,30.1,30.2,30.1,30.14,1260,1331769600
ok,30.14,30.17,30.07,30.14,370,1332028800
ok,30.14,30.23,30.14,30.14,60,1332115200
ok,30.14,30.1,30.04,30.07,280,1332201600
ok,30.07,30.17,29.81,30.17,1130,1332288000
ok,30.17,30.07,29.87,30.01,860,1332633600
ok,30.01,30.07,30.04,30.07,190,1332720000
ok,30.07,30.1,30.1,30.1,270,1332806400
ok,30.1,30.14,30.14,30.14,100,1332892800
ok,30.14,30.04,30.04,30.04,120,1332979200
ok,30.04,30.07,29.97,30.07,290,1333238400
ok,30.07,30.17,30.1,30.17,1430,1333324800
ok,30.17,30.2,30.14,30.14,1350,1333411200
ok,30.14,30.33,30.14,30.14,1290,1333497600
ok,30.14,30.1,30.07,30.1,80,1333584000
ok,30.1,30.3,30.14,30.3,700,1333843200
ok,30.3,30.5,30.3,30.43,850,1333929600
ok,30.43,30.63,30.33,30.43,1490,1334016000
ok,30.43,30.92,30.53,30.92,1160,1334102400
ok,30.92,31.12,30.6,30.82,2510,1334188800
ok,30.82,31.12,30.92,31.02,180,1334448000
ok,31.02,31.12,31.12,31.12,1310,1334534400
ok,31.12,31.51,30.99,30.99,2780,1334620800
ok,30.99,31.58,30.89,31.45,2130,1334707200
ok,31.45,31.84,31.41,31.41,2070,1334793600
ok,31.41,32.07,31.55,32.07,300,1335052800
ok,32.07,32.79,32.2,32.79,320,1335225600
ok,32.79,33.45,32.96,33.45,170,1335312000
ok,33.45,34.1,33.61,34.1,1810,1335398400
ok,34.1,34.63,33.71,33.71,3240,1335657600
ok,33.71,33.55,32.82,33.41,2230,1335744000
ok,33.41,33.25,33.25,33.25,20,1335916800
ok,33.25,33.74,33.41,33.74,1160,1336003200
ok,33.74,33.91,33.91,33.91,30,1336348800
ok,33.91,33.87,33.71,33.71,2330,1336435200
ok,33.71,33.64,33.32,33.48,2450,1336521600
ok,33.48,33.32,32.69,32.92,3370,1336608000
ok,32.92,32.96,32.43,32.46,430,1336867200
ok,32.46,32.33,32.07,32.2,150,1336953600
ok,32.2,32.73,32.33,32.73,450,1337040000
ok,32.73,33.35,32.86,33.35,880,1337126400
ok,33.35,34.0,33.51,34.0,1340,1337212800
ok,34.0,33.84,33.09,33.09,1330,1337472000
ok,33.09,33.28,32.6,33.05,2080,1337558400
ok,33.05,33.05,32.73,32.96,270,1337644800
ok,32.96,32.79,32.5,32.5,40,1337731200
ok,32.5,32.79,32.23,32.76,2730,1337817600
ok,32.76,33.41,32.92,33.41,760,1338076800
ok,33.41,33.25,32.6,32.6,50,1338249600
ok,32.6,32.46,31.81,31.81,2700,1338336000
ok,31.81,32.53,31.68,32.14,2760,1338422400
ok,32.14,32.66,32.27,32.66,430,1338681600
ok,32.66,32.86,32.6,32.86,680,1338768000
ok,32.86,32.69,32.37,32.4,2300,1338854400
ok,32.4,32.6,32.07,32.23,1520,1338940800
ok,32.23,32.69,32.2,32.69,850,1339027200
ok,32.69,33.09,31.94,32.1,2410,1339286400
ok,32.1,32.23,32.23,32.23,390,1339372800
ok,32.23,32.2,31.84,32.2,190,1339459200
ok,32.2,32.37,32.27,32.3,1530,1339545600
ok,32.3,32.2,31.97,31.97,780,1339632000
ok,31.97,32.2,31.94,32.2,210,1339891200
ok,32.2,32.17,32.01,32.17,1190,1340064000
ok,32.17,32.4,32.17,32.17,550,1340150400
ok,32.17,32.23,32.1,32.17,380,1340236800
ok,32.17,32.79,32.3,32.79,120,1340582400
ok,32.79,32.86,32.5,32.5,190,1340841600
ok,32.5,32.6,32.46,32.5,380,1341100800
ok,32.5,32.43,32.4,32.4,610,1341187200
ok,32.4,32.46,32.37,32.46,450,1341273600
ok,32.46,32.6,32.4,32.4,500,1341360000
ok,32.4,32.5,32.4,32.46,1640,1341446400
ok,32.46,32.46,32.4,32.46,320,1341705600
ok,32.46,32.69,32.43,32.69,470,1341792000
ok,32.69,33.05,32.82,32.86,280,1341878400
ok,32.86,33.02,32.86,32.96,1580,1341964800
ok,32.96,33.12,32.92,32.96,4100,1342051200
ok,32.96,33.51,32.79,33.51,1370,1342310400
ok,33.51,33.35,32.69,32.69,1190,1342396800
ok,32.69,33.15,32.76,33.09,1340,1342483200
ok,33.09,33.61,33.09,33.45,1260,1342569600
ok,33.45,34.33,33.61,34.04,5870,1342656000
ok,34.04,34.23,33.81,34.14,470,1342915200
ok,34.14,34.3,34.14,34.23,3460,1343001600
ok,34.23,34.1,33.61,34.07,1650,1343088000
ok,34.07,34.4,34.2,34.23,4180,1343174400
ok,34.23,34.37,34.17,34.37,3130,1343260800
ok,34.37,34.37,33.91,34.07,1600,1343520000
ok,34.07,34.2,33.94,34.04,1450,1343606400
ok,34.04,34.14,34.0,34.0,1930,1343692800
ok,34.0,34.14,33.97,34.07,2180,1343779200
ok,34.07,34.23,33.94,34.07,430,1344124800
ok,34.07,34.4,34.07,34.3,3100,1344211200
ok,34.3,34.27,34.2,34.2,550,1344297600
ok,34.2,34.3,34.17,34.23,990,1344384000
ok,34.23,34.07,33.91,33.91,140,1344729600
ok,33.91,33.91,33.61,33.87,1480,1344816000
ok,33.87,34.04,33.71,34.04,530,1344902400
ok,34.04,33.94,33.74,33.74,410,1344988800
ok,33.74,33.91,33.48,33.68,1350,1345075200
ok,33.68,33.87,33.55,33.87,120,1345334400
ok,33.87,34.17,33.87,34.14,2670,1345507200
ok,34.14,34.46,34.27,34.27,90,1345593600
ok,34.27,34.1,33.97,34.1,1040,1345680000
ok,34.1,34.14,33.81,34.14,170,1345939200
ok,34.14,34.23,34.1,34.14,1140,1346025600
ok,34.14,34.23,34.23,34.23,360,1346112000
ok,34.23,34.2,33.91,34.2,620,1346198400
ok,34.2,34.23,34.14,34.17,730,1346284800
ok,34.17,35.12,34.3,35.12,7250,1346544000
ok,35.12,35.81,34.92,35.22,13090,1346630400
ok,35.22,35.58,35.25,35.38,10580,1346716800
ok,35.38,35.38,34.89,35.05,7230,1346803200
ok,35.05,35.41,35.05,35.25,5960,1346889600
ok,35.25,35.05,34.89,34.92,1850,1347148800
ok,34.92,35.09,35.02,35.05,1590,1347235200
ok,35.05,35.25,35.09,35.25,800,1347321600
ok,35.25,35.25,35.05,35.19,3750,1347408000
ok,35.19,35.25,35.05,35.15,470,1347494400
ok,35.15,35.22,35.05,35.19,3100,1347753600
ok,35.19,35.05,34.89,34.99,2310,1347840000
ok,34.99,35.51,35.05,35.51,500,1347926400
ok,35.51,35.51,35.25,35.25,950,1348012800
ok,35.25,35.19,35.15,35.19,1310,1348099200
ok,35.19,35.41,35.15,35.25,2620,1348358400
ok,35.25,35.19,35.12,35.19,540,1348444800
ok,35.19,35.22,35.05,35.12,1320,1348531200
ok,35.12,35.58,35.02,35.09,6870,1348617600
ok,35.09,35.25,34.96,34.96,3370,1348704000
ok,34.96,35.05,34.99,34.99,1630,1348963200
ok,34.99,35.48,34.69,35.48,3980,1349049600
ok,35.48,35.28,34.5,34.63,11280,1349136000
ok,34.63,34.5,34.14,34.27,6880,1349222400
ok,34.27,35.15,34.07,35.15,6330,1349308800
ok,37.54,34.96,34.12,34.12,140,1349568000
ok,34.12,33.96,33.32,33.32,470,1349654400
ok,33.32,33.2,33.2,33.2,10,1349740800
ok,33.2,33.04,33.04,33.04,10,1349913600
ok,33.04,33.2,33.12,33.2,440,1350172800
ok,33.2,33.12,33.12,33.12,40,1350259200
ok,33.12,33.12,33.12,33.12,20,1350518400
ok,33.12,33.2,33.2,33.2,180,1351555200
ok,33.2,34.0,33.36,34.0,50,1351728000
ok,34.0,34.84,34.16,34.84,100,1351987200
ok,34.84,35.85,35.05,35.85,1770,1352073600
ok,35.85,36.65,35.85,35.85,2220,1352160000
ok,35.85,36.25,36.01,36.21,1350,1352246400
ok,36.21,36.53,36.37,36.37,660,1352332800
ok,36.37,36.21,36.21,36.21,100,1352592000
ok,36.21,36.01,35.61,35.97,250,1352678400
ok,35.97,35.97,35.97,35.97,50,1353196800
ok,35.97,36.13,35.61,35.61,720,1353369600
ok,35.61,35.49,35.49,35.49,60,1353456000
ok,35.49,35.61,35.29,35.57,950,1353542400
ok,35.57,35.37,35.17,35.17,30,1353801600
ok,35.17,35.33,35.33,35.33,2700,1353888000
ok,35.33,35.13,34.92,35.13,120,1353974400
ok,35.13,35.13,34.6,34.6,3230,1354060800
ok,34.6,34.8,34.6,34.8,120,1354147200
ok,34.8,34.6,34.6,34.6,110,1354406400
ok,34.6,35.0,34.8,35.0,140,1354579200
ok,35.0,35.21,35.0,35.0,610,1354665600
ok,35.0,35.25,35.0,35.25,680,1354752000
ok,35.25,35.25,35.21,35.25,510,1355011200
ok,35.25,35.05,35.05,35.05,500,1355097600
ok,35.05,35.45,35.25,35.25,1100,1355184000
ok,35.25,35.09,35.0,35.05,340,1355356800
ok,35.05,35.45,35.25,35.45,760,1355616000
ok,35.45,35.57,35.25,35.57,760,1355702400
ok,35.57,35.37,34.76,34.96,560,1355788800
ok,34.96,35.17,35.0,35.17,670,1355875200
ok,35.17,35.41,35.33,35.41,1120,1355961600
ok,35.41,35.41,35.41,35.41,180,1356220800
ok,35.41,35.33,35.09,35.13,1620,1356307200
ok,35.13,35.0,35.0,35.0,60,1356480000
ok,35.0,35.21,35.17,35.17,340,1356566400
ok,35.17,35.37,34.92,34.92,600,1356998400
ok,34.92,35.13,34.72,34.72,1740,1357084800
ok,34.72,35.13,34.92,34.96,1250,1357171200
ok,34.96,35.13,35.13,35.13,50,1357430400
ok,35.13,35.33,35.33,35.33,10,1357516800
ok,35.33,35.49,35.41,35.41,1020,1357603200
ok,35.41,35.21,35.21,35.21,20,1357776000
ok,35.21,35.61,35.21,35.41,490,1358035200
ok,35.41,35.41,35.21,35.29,650,1358208000
ok,35.29,35.21,35.09,35.09,660,1358294400
ok,35.09,35.69,35.21,35.41,4040,1358380800
ok,35.41,35.21,35.05,35.05,830,1358640000
ok,35.05,35.25,35.25,35.25,380,1358726400
ok,35.25,35.45,35.45,35.45,40,1358812800
ok,35.45,35.61,35.41,35.49,2170,1358899200
ok,35.49,35.61,35.57,35.57,250,1358985600
ok,35.57,35.57,35.37,35.37,3030,1359244800
ok,35.37,35.41,35.41,35.41,800,1359331200
ok,35.41,35.41,35.41,35.41,90,1359504000
ok,35.41,35.45,35.25,35.45,770,1359590400
ok,35.45,35.81,35.41,35.81,730,1359849600
ok,35.81,36.21,35.65,35.77,1060,1359936000
ok,35.77,35.61,35.37,35.61,240,1360022400
ok,35.61,35.61,35.61,35.61,90,1360108800
ok,35.61,35.61,35.61,35.61,450,1360454400
ok,35.61,35.61,35.61,35.61,180,1360627200
ok,35.61,35.81,35.81,35.81,54,1360713600
ok,35.81,36.21,35.93,35.93,940,1360800000
ok,35.93,36.61,36.01,36.61,550,1361059200
ok,36.61,36.61,36.01,36.01,1200,1361232000
ok,36.01,35.93,35.93,35.93,120,1361318400
ok,35.93,35.85,35.73,35.81,250,1361404800
ok,35.81,35.81,35.41,35.41,1620,1361664000
ok,35.41,36.01,35.61,36.01,4970,1361750400
ok,36.01,35.93,35.81,35.81,251,1361836800
ok,35.81,36.13,35.69,36.13,1000,1361923200
ok,36.13,36.21,36.09,36.21,700,1362009600
ok,36.21,36.33,36.21,36.29,880,1362268800
ok,36.29,36.21,36.09,36.21,700,1362355200
ok,36.21,36.13,36.13,36.13,130,1362441600
