s,o,h,l,c,v,t
ok,148.75,148.75,148.75,148.75,10,1606953600
ok,150.0,150.0,150.0,150.0,8390,1607212800
ok,151.5,157.5,151.5,157.5,50,1607299200
ok,159.0,165.75,159.0,165.75,160,1607385600
ok,167.5,174.75,167.5,174.75,60,1607472000
ok,175.0,184.5,175.0,184.5,250,1607558400
ok,186.5,195.25,186.5,195.25,5450,1607817600
ok,197.5,207.25,197.5,207.25,670,1607904000
ok,209.75,220.25,209.75,220.25,3440,1607990400
ok,223.0,234.75,223.0,234.75,7501,1608076800
ok,242.5,246.5,220.0,222.75,4695,1608163200
ok,220.0,220.0,209.25,209.25,350,1608422400
ok,206.75,206.75,196.0,196.0,5170,1608508800
ok,193.75,193.75,184.0,184.0,615,1608595200
ok,182.0,182.0,173.25,173.25,3463,1608681600
ok,171.5,171.5,163.5,169.25,23660,1608768000
ok,171.0,178.5,171.0,178.5,310,1609027200
ok,180.5,188.75,180.5,188.75,1785,1609113600
ok,191.0,200.0,191.0,200.0,9638,1609200000
ok,202.5,205.0,187.5,187.5,5984,1609286400
ok,185.5,187.5,183.25,183.25,1778,1609372800
ok,183.25,187.5,172.5,185.25,20237,1609632000
ok,187.25,196.25,183.75,194.0,2945,1609718400
ok,196.25,205.75,196.25,205.75,6655,1609804800
ok,208.25,218.75,208.25,218.75,265,1609891200
ok,225.75,233.0,225.75,233.0,26188,1609977600
ok,236.0,248.75,236.0,248.75,15905,1610236800
ok,252.0,266.0,252.0,266.0,10813,1610323200
ok,275.5,285.0,255.0,282.25,28984,1610409600
ok,287.0,305.5,287.0,305.5,481,1610496000
ok,310.5,331.0,310.5,331.0,7180,1610841600
ok,336.5,359.0,336.5,359.0,5430,1610928000
ok,365.0,389.5,365.0,389.5,29142,1611014400
ok,396.0,423.0,396.0,423.0,10415,1611100800
ok,441.5,441.5,386.0,398.0,11045,1611187200
ok,398.0,398.0,363.5,363.5,6893,1611446400
ok,348.0,394.5,332.5,380.0,12599,1611532800
ok,385.0,393.5,368.5,374.0,4596,1611619200
ok,377.5,377.5,362.5,370.0,6994,1611705600
ok,375.0,387.5,370.0,370.0,2890,1611792000
ok,386.0,402.0,370.0,388.5,12644,1612051200
ok,394.5,395.0,381.5,388.5,3224,1612137600
ok,395.0,395.0,378.5,380.5,1702,1612224000
ok,374.5,376.0,362.5,366.0,5709,1612310400
ok,381.5,381.5,362.5,372.5,2445,1612396800
ok,366.5,372.5,362.5,363.5,4631,1612656000
ok,362.5,362.5,358.0,359.0,4372,1612742400
ok,353.5,359.0,352.5,353.5,3274,1612828800
ok,355.0,359.0,348.0,353.0,4718,1612915200
ok,347.0,352.5,346.5,349.5,3004,1613001600
ok,347.5,347.5,334.0,340.0,2775,1613260800
