s,o,h,l,c,v,t
ok,96.5,95.46,94.41,94.41,180,1326844800
ok,94.41,93.37,93.37,93.37,170,1333238400
ok,93.37,92.33,91.29,91.29,270,1335744000
ok,91.29,90.45,90.45,90.45,20,1336348800
ok,90.45,87.95,87.95,87.95,1240,1337472000
ok,87.95,86.49,86.49,86.49,1240,1338249600
ok,86.49,84.2,84.2,84.2,50,1341878400
ok,84.2,82.12,82.12,82.12,50,1342051200
ok,82.12,81.28,81.28,81.28,70,1342396800
ok,81.28,80.45,80.45,80.45,270,1342483200
ok,80.45,79.83,79.83,79.83,20,1343260800
ok,79.83,79.2,79.2,79.2,500,1344729600
ok,79.2,77.33,77.33,77.33,1320,1345334400
ok,77.33,75.45,75.45,75.45,110,1345939200
ok,75.45,74.82,71.91,71.91,60,1347148800
ok,71.91,71.28,70.24,70.24,30,1348531200
ok,70.24,69.82,69.41,69.41,70,1348617600
ok,69.41,68.99,68.16,68.16,60,1348704000
ok,68.16,67.74,65.45,65.45,200,1349136000
ok,65.45,65.03,62.95,62.95,4850,1349222400
ok,62.95,63.15,61.7,62.74,4670,1349308800
ok,62.74,63.15,61.7,62.95,3980,1349568000
ok,62.95,63.36,62.53,63.36,2710,1349654400
ok,63.36,63.15,62.74,62.95,2770,1349740800
ok,62.95,63.36,62.95,62.95,390,1349827200
ok,62.95,63.36,63.36,63.36,50,1349913600
ok,63.36,63.15,62.74,62.74,2020,1350172800
ok,62.74,64.2,62.95,64.2,820,1350259200
ok,64.2,64.61,64.2,64.61,1090,1350518400
ok,64.61,64.41,64.2,64.41,780,1351555200
ok,64.41,65.03,64.61,65.03,760,1351641600
ok,65.03,64.82,64.41,64.61,550,1351728000
ok,64.61,65.03,64.2,64.61,660,1351987200
ok,64.61,65.45,65.03,65.45,1440,1352073600
ok,65.45,66.28,65.66,66.28,490,1352160000
ok,66.28,66.49,66.28,66.28,220,1352246400
ok,66.28,66.7,66.7,66.7,720,1353456000
ok,66.7,66.28,65.86,65.86,470,1353542400
ok,65.86,65.45,63.78,63.78,660,1353801600
ok,63.78,64.2,63.78,63.78,5040,1353888000
ok,63.78,63.99,63.99,63.99,2530,1353974400
ok,63.99,64.41,64.41,64.41,520,1354060800
ok,64.41,63.99,63.99,63.99,750,1354147200
ok,63.99,63.78,63.78,63.78,80,1354492800
ok,63.78,64.2,63.78,64.2,310,1354579200
ok,64.2,64.2,63.99,63.99,730,1354665600
ok,63.99,64.41,63.99,64.2,1180,1354752000
ok,64.2,64.2,63.78,63.78,1430,1355011200
ok,63.78,64.2,63.78,63.78,200,1355097600
ok,63.78,64.2,63.36,64.2,910,1355184000
ok,64.2,63.99,63.99,63.99,360,1355356800
ok,63.99,63.99,63.99,63.99,120,1355702400
ok,63.99,63.78,63.78,63.78,430,1355788800
ok,63.78,63.78,63.78,63.78,50,1355875200
ok,63.78,64.61,64.2,64.61,160,1355961600
ok,64.61,65.03,65.03,65.03,200,1356307200
ok,65.03,64.82,64.61,64.61,1010,1356912000
ok,64.61,64.2,64.2,64.2,80,1356998400
ok,64.2,64.2,64.2,64.2,50,1357171200
ok,64.2,64.2,64.2,64.2,60,1357430400
ok,64.2,63.99,63.78,63.78,1690,1357603200
ok,63.78,63.57,63.57,63.57,50,1357776000
ok,63.57,63.78,63.57,63.57,690,1358294400
ok,63.57,63.57,63.57,63.57,320,1358640000
ok,63.57,65.66,63.99,65.66,1280,1358812800
ok,65.66,66.7,66.07,66.7,2080,1358985600
ok,66.7,67.11,66.28,66.28,3060,1359244800
ok,66.28,66.07,65.66,65.66,670,1359331200
ok,65.66,65.66,65.24,65.66,1440,1359504000
ok,65.66,66.07,66.07,66.07,620,1359590400
ok,66.07,66.49,66.07,66.07,780,1359849600
ok,66.07,66.91,66.07,66.7,1340,1359936000
ok,66.7,66.28,66.07,66.07,250,1360022400
ok,66.07,66.7,66.28,66.49,1030,1360108800
ok,66.49,66.49,66.07,66.49,440,1360195200
ok,66.49,66.7,66.7,66.7,100,1360627200
ok,66.7,66.49,66.49,66.49,450,1360713600
ok,66.49,66.91,66.7,66.91,380,1360800000
ok,66.91,67.32,67.32,67.32,430,1361232000
ok,67.32,67.32,66.91,66.91,390,1361318400
ok,66.91,66.49,66.49,66.49,200,1361404800
ok,66.49,66.28,66.07,66.07,240,1361664000
ok,66.07,68.57,66.49,68.57,60,1410048000
ok,68.57,71.07,69.82,71.07,40,1410220800
ok,71.07,74.2,71.7,74.2,50,1410307200
ok,74.2,77.53,74.82,77.53,60,1410393600
ok,77.53,81.28,79.41,81.28,40,1410652800
ok,81.28,85.45,83.37,85.45,160,1410739200
ok,85.45,88.58,87.74,88.58,260,1412035200
ok,88.58,91.91,89.41,91.91,460,1412726400
ok,91.91,95.04,92.95,95.04,430,1412812800
ok,95.04,100.25,96.08,100.25,130,1413072000
ok,100.25,106.29,101.29,106.29,21003,1413158400
ok,106.29,107.96,102.33,106.29,6800,1413244800
ok,106.29,107.33,105.04,106.29,4750,1413331200
ok,106.29,107.54,105.25,106.5,4661,1413417600
ok,106.5,107.75,106.5,106.71,756,1413676800
ok,106.71,106.29,104.42,105.04,1573,1413763200
ok,105.04,106.29,105.25,105.25,570,1413849600
ok,105.25,107.75,106.5,107.33,1559,1413936000
ok,107.33,107.12,105.87,105.87,1270,1414281600
ok,105.87,106.29,104.62,105.87,1683,1414368000
ok,105.87,107.33,105.25,106.08,2480,1414454400
ok,106.08,106.5,105.04,106.5,969,1414627200
ok,106.5,105.25,104.0,104.0,150,1414886400
ok,104.0,103.79,102.96,103.79,990,1414972800
ok,103.79,102.54,102.54,102.54,92,1415059200
ok,102.54,103.37,100.87,102.33,6349,1415145600
ok,102.33,104.83,102.75,104.83,321,1415232000
ok,104.83,104.42,103.58,104.42,810,1415491200
ok,104.42,104.42,103.17,103.37,773,1415577600
ok,103.37,102.96,100.87,101.71,2101,1415664000
ok,101.71,103.17,102.12,103.17,4673,1415750400
ok,103.17,101.92,100.87,100.87,170,1415836800
ok,100.87,100.25,99.21,100.04,910,1416096000
ok,100.04,100.04,99.0,100.04,973,1416182400
ok,100.04,99.0,96.91,96.91,671,1416268800
ok,96.91,98.37,97.96,98.37,220,1416355200
ok,98.37,97.33,97.33,97.33,500,1416441600
ok,97.33,99.0,97.96,99.0,1820,1416700800
ok,99.0,99.0,97.96,97.96,6980,1416787200
ok,97.96,99.62,96.91,99.62,2433,1417305600
ok,99.62,100.04,99.0,99.21,2250,1417392000
ok,99.21,98.79,98.58,98.58,627,1417478400
ok,98.58,99.0,97.96,98.58,2666,1417564800
ok,98.58,100.04,98.37,98.37,1751,1417651200
ok,98.37,98.79,97.33,98.58,1833,1417910400
ok,98.58,97.54,97.54,97.54,440,1418083200
ok,97.54,98.58,98.58,98.58,200,1418256000
ok,98.58,102.75,99.62,102.75,707,1418515200
ok,102.75,101.5,101.5,101.5,443,1418601600
ok,101.5,100.46,100.46,100.46,120,1418688000
ok,100.46,101.08,100.04,101.08,2190,1418774400
ok,101.08,100.04,100.04,100.04,170,1418860800
ok,100.04,99.0,99.0,99.0,170,1419120000
ok,99.0,99.0,99.0,99.0,5050,1419206400
ok,99.0,99.0,97.96,99.0,1074,1419292800
ok,99.0,100.04,100.04,100.04,170,1419379200
ok,100.04,103.37,101.08,102.12,4549,1419724800
ok,102.12,101.92,101.08,101.71,260,1419811200
ok,101.71,101.08,100.66,101.08,710,1419984000
ok,101.08,101.92,100.87,100.87,320,1420070400
ok,100.87,102.12,100.87,101.29,1030,1420329600
ok,101.29,102.12,101.29,102.12,2325,1420416000
ok,102.12,102.12,101.08,101.08,690,1420502400
ok,101.08,103.58,102.12,103.58,1600,1420588800
ok,103.58,104.21,102.12,102.12,2567,1420675200
ok,102.12,105.67,101.5,105.67,20003,1421020800
ok,105.67,110.88,105.67,110.46,9930,1421107200
ok,110.46,112.96,110.46,112.54,22886,1421193600
ok,112.54,114.21,111.5,112.33,14079,1421539200
ok,112.33,115.88,112.33,113.38,12544,1421625600
ok,113.38,116.09,111.71,114.84,11439,1421712000
ok,114.84,117.13,113.38,115.67,8400,1421884800
ok,115.67,116.92,114.42,116.92,7097,1422144000
ok,116.92,117.96,115.67,115.67,7029,1422230400
ok,115.67,117.34,115.67,117.13,5922,1422316800
ok,117.13,118.17,117.13,118.17,7188,1422403200
ok,118.17,120.46,118.38,119.63,8904,1422489600
ok,119.63,121.09,119.63,119.84,3261,1422748800
ok,119.84,121.09,120.04,120.88,3710,1422835200
ok,120.88,121.5,120.88,121.09,1877,1422921600
ok,121.09,122.96,121.09,121.09,8356,1423008000
ok,121.09,122.34,118.79,121.09,3510,1423094400
ok,121.09,122.34,119.42,119.84,3290,1423353600
ok,119.84,121.09,119.42,121.09,4222,1423440000
ok,121.09,121.92,119.84,121.92,2406,1423526400
ok,121.92,122.96,121.3,122.34,4136,1423612800
ok,122.34,123.38,120.04,121.92,4890,1423699200
ok,121.92,123.17,121.09,123.17,7798,1423958400
ok,123.17,125.25,123.59,123.59,3507,1424044800
ok,123.59,127.34,124.0,124.0,8307,1424304000
ok,124.0,125.67,122.96,122.96,2793,1424563200
ok,122.96,122.96,121.5,122.13,1850,1424649600
ok,122.13,122.55,121.09,122.55,640,1424736000
ok,122.55,124.21,121.3,124.21,3400,1424908800
ok,122.34,125.05,119.42,125.05,2860,1425168000
ok,125.05,125.05,122.96,123.8,1146,1425254400
ok,123.8,123.8,123.38,123.38,425,1425340800
ok,123.38,123.38,122.96,123.38,450,1425427200
ok,123.38,124.84,122.96,123.59,3683,1425859200
ok,123.59,126.71,125.05,126.09,1127,1425945600
ok,126.09,126.92,125.05,125.05,3150,1426032000
ok,125.05,126.09,125.05,125.05,813,1426118400
ok,125.05,125.05,122.96,122.96,1350,1426377600
ok,122.96,123.38,121.92,122.13,1230,1426464000
ok,122.13,125.25,121.92,122.96,2230,1426550400
ok,122.96,124.63,121.71,121.71,1291,1426636800
ok,121.71,124.0,121.71,122.55,2442,1426723200
ok,122.55,124.42,123.38,124.0,12560,1426982400
ok,124.0,126.71,124.0,124.42,2693,1427068800
ok,124.42,123.8,123.17,123.59,3077,1427155200
ok,123.59,124.84,123.8,124.21,1640,1427241600
ok,124.21,124.63,122.96,123.8,5167,1427328000
ok,123.72,122.05,121.09,121.09,220,1427760000
ok,121.09,119.65,116.29,116.29,676,1427846400
ok,116.29,118.69,117.73,117.73,2893,1427932800
ok,117.73,116.77,116.77,116.77,193,1429142400
ok,116.77,115.81,115.81,115.81,980,1429401600
ok,115.81,114.38,114.38,114.38,919,1429488000
ok,114.38,116.05,114.62,116.05,1179,1429574400
ok,117.49,118.69,117.49,118.69,798,1429747200
ok,118.69,117.25,110.78,110.78,1500,1432771200
ok,110.78,111.26,109.58,111.26,2962,1433030400
ok,111.26,111.5,111.02,111.5,360,1433116800
ok,111.5,114.14,112.46,113.9,1040,1433203200
ok,113.9,115.34,115.1,115.34,400,1433289600
ok,115.34,119.17,116.29,119.17,1841,1433376000
ok,119.17,118.69,118.21,118.21,270,1433635200
ok,118.21,120.13,118.21,119.41,2433,1433721600
ok,119.41,123.72,120.85,121.09,1760,1433808000
ok,121.09,122.52,122.29,122.29,836,1433894400
ok,122.29,121.57,120.85,121.57,190,1433980800
ok,121.57,120.13,118.69,118.69,349,1434240000
ok,118.69,117.25,117.01,117.01,1234,1434326400
ok,117.01,118.69,116.29,116.29,1170,1434412800
ok,116.29,114.86,113.9,113.9,2400,1434499200
ok,113.9,114.14,114.14,114.14,50,1434585600
ok,114.14,114.14,114.14,114.14,110,1434931200
ok,115.58,117.01,115.58,115.81,2310,1435449600
ok,116.77,116.77,116.77,116.77,348,1435536000
ok,118.21,118.21,118.21,118.21,269,1435622400
ok,118.21,118.21,117.49,118.21,1100,1435708800
ok,117.25,117.25,116.77,116.77,1200,1435795200
ok,115.34,115.34,113.9,113.9,2649,1436054400
ok,114.86,114.86,114.14,114.14,163,1436140800
ok,115.1,115.58,114.62,115.1,1506,1436227200
ok,115.1,115.34,115.1,115.34,63,1436313600
ok,114.62,115.1,114.62,115.1,496,1436400000
ok,113.66,113.66,113.66,113.66,120,1436659200
ok,113.9,115.1,113.66,115.1,1051,1436745600
ok,115.58,116.05,115.58,116.05,423,1436832000
ok,116.05,116.29,116.05,116.29,816,1436918400
ok,116.29,114.86,114.86,114.86,57,1437004800
ok,116.29,117.73,116.29,117.73,210,1437523200
ok,117.73,122.05,119.17,122.05,500,1437609600
ok,122.05,125.16,123.48,125.16,20,1437868800
ok,125.16,128.76,124.92,124.92,3678,1437955200
ok,124.92,123.24,122.52,122.52,269,1438041600
ok,122.52,124.44,122.29,124.44,3657,1438128000
ok,124.44,128.28,125.88,125.88,3637,1438214400
ok,125.88,131.15,127.08,131.15,2911,1438473600
ok,131.15,131.39,127.08,127.08,4395,1438560000
ok,127.08,128.52,125.4,128.52,1097,1438646400
ok,128.52,129.47,128.28,128.28,1575,1438732800
ok,128.28,130.67,126.84,129.0,4223,1438819200
ok,129.0,130.67,127.32,129.0,3294,1439078400
ok,129.0,127.8,127.8,127.8,70,1439164800
ok,127.8,126.12,126.12,126.12,369,1439251200
ok,126.12,126.84,125.16,125.16,1076,1439337600
ok,126.6,128.28,126.6,127.32,2510,1439424000
ok,125.64,127.32,123.96,127.32,1264,1439683200
ok,127.08,127.08,126.6,127.08,396,1439769600
ok,128.28,129.47,127.56,128.28,3992,1439856000
ok,128.28,131.63,128.28,130.43,1643,1439942400
ok,131.87,133.55,130.19,130.19,4246,1440028800
ok,131.87,133.55,130.19,133.07,3219,1440288000
