s,o,h,l,c,v,t
ok,138.65,138.65,127.84,127.84,273,1569888000
ok,125.86,129.8,122.91,122.91,3134,1569974400
ok,124.88,128.81,124.88,127.83,1384,1570060800
ok,125.86,127.83,125.86,127.83,542,1570665600
ok,127.83,127.83,122.91,124.88,9515,1571011200
ok,122.92,123.9,120.95,122.92,2053,1571097600
ok,121.93,123.9,120.95,121.93,858,1571184000
ok,120.95,120.95,119.96,120.95,1623,1571270400
ok,118.98,119.96,118.98,118.98,1713,1571529600
ok,118.98,118.98,117.01,117.01,4943,1571616000
ok,117.01,118.98,117.01,118.98,5043,1571702400
ok,117.01,120.94,117.01,120.94,2186,1571788800
ok,120.94,120.94,118.98,119.96,308,1571875200
ok,117.99,119.96,114.06,118.98,1195,1572480000
ok,118.98,118.98,117.01,118.98,1578,1572739200
ok,117.99,118.98,117.99,118.98,1046,1572825600
ok,118.98,118.98,117.99,118.98,1220,1572912000
ok,117.99,117.99,117.99,117.99,136,1572998400
ok,119.95,120.94,118.97,118.97,2938,1573084800
ok,118.97,118.97,116.02,117.01,1662,1573344000
ok,117.99,119.96,117.99,119.96,536,1573430400
ok,118.97,119.95,116.02,117.0,250,1573516800
ok,117.0,119.95,117.0,119.95,1218,1573603200
ok,119.95,119.95,116.02,118.97,5187,1573689600
ok,117.99,117.99,115.04,117.01,3320,1573948800
ok,117.01,117.01,115.04,116.02,4586,1574035200
ok,116.02,117.98,116.02,117.98,1544,1574121600
ok,117.98,119.95,117.0,118.96,999,1574208000
ok,117.98,120.93,117.98,118.96,1587,1574294400
ok,117.98,117.98,117.0,117.0,3518,1574553600
ok,117.0,117.98,116.02,117.98,1517,1574640000
ok,116.01,116.01,116.01,116.01,1105,1574726400
ok,114.05,116.01,114.05,116.01,1800,1574812800
ok,115.02,115.02,112.12,112.12,3856,1574899200
ok,117.0,117.0,114.05,114.05,3856,1574899200
ok,112.12,112.12,112.12,112.12,120,1575158400
ok,112.13,114.06,110.2,110.2,5389,1575244800
ok,111.17,114.07,111.17,111.17,2150,1575331200
ok,112.13,114.07,112.13,114.07,1691,1575417600
ok,112.13,116.0,112.13,116.0,1678,1575504000
ok,115.03,115.03,115.03,115.03,675,1575763200
ok,113.1,116.96,113.1,116.96,628,1575849600
ok,115.03,116.96,115.03,115.99,2852,1576627200
ok,116.96,117.93,115.03,115.99,12148,1576713600
ok,115.03,120.83,115.03,117.93,3187,1576972800
ok,116.97,124.7,116.97,124.7,2900,1577059200
ok,122.77,122.77,116.97,118.9,1511,1577145600
ok,116.97,120.84,116.97,118.9,2365,1577232000
ok,117.94,121.81,117.94,120.84,3155,1577318400
ok,118.91,120.84,118.91,118.91,3999,1577577600
ok,118.9,119.87,117.94,119.87,1415,1577664000
ok,117.94,120.84,117.94,120.84,568,1577750400
ok,122.77,122.77,117.94,122.77,4159,1577836800
ok,121.8,121.8,117.94,117.94,2195,1577923200
