s,o,h,l,c,v,t
ok,53.35,40.3,40.3,40.3,60,1376784000
ok,40.3,39.73,38.01,38.01,60,1376870400
ok,38.01,37.44,36.41,36.41,40,1376956800
ok,36.41,35.84,35.26,35.26,7189,1377388800
ok,35.26,34.81,34.81,34.81,38,1377475200
ok,34.81,34.92,34.92,34.92,130,1377561600
ok,34.92,34.46,34.23,34.23,666,1377993600
ok,34.23,33.78,31.6,31.6,300,1378166400
ok,31.6,31.14,29.2,29.2,6256,1378684800
ok,29.2,29.43,28.62,29.2,10301,1378771200
ok,29.2,30.0,28.62,30.0,5286,1378857600
ok,30.0,29.88,29.31,29.88,1044,1378944000
ok,29.88,30.34,29.31,29.77,2367,1379203200
ok,29.77,30.23,29.31,29.31,1212,1379289600
ok,29.31,29.88,28.97,29.54,734,1379376000
ok,29.54,29.54,28.97,28.97,577,1379548800
ok,28.97,29.88,29.2,29.54,2369,1379808000
ok,29.54,29.31,28.74,29.31,617,1379894400
ok,29.31,29.65,29.08,29.65,726,1379980800
ok,29.65,29.43,29.08,29.31,828,1380067200
ok,29.31,29.54,29.31,29.31,377,1380153600
ok,29.31,29.88,29.31,29.88,484,1380412800
ok,29.88,29.77,28.97,29.54,4997,1380499200
ok,29.54,29.54,29.08,29.54,534,1380585600
ok,29.54,29.77,29.31,29.31,42,1380672000
ok,29.31,29.08,29.08,29.08,56,1380758400
ok,29.08,29.2,28.85,29.2,135,1381017600
ok,29.2,30.0,27.94,29.77,1463,1381104000
ok,29.77,30.34,29.77,29.77,1366,1381190400
ok,29.77,29.77,28.97,29.54,562,1381276800
ok,29.54,30.23,29.54,29.77,1439,1381363200
ok,29.77,25.99,25.99,25.99,28,1383004800
ok,25.99,26.33,26.33,26.33,58,1384128000
ok,26.33,25.99,25.99,25.99,56,1384387200
ok,29.81,30.64,30.23,30.64,1084,1385251200
ok,30.64,31.05,31.05,31.05,10,1385424000
ok,31.05,32.7,31.46,32.7,86,1385856000
ok,32.7,32.7,32.7,32.7,500,1385942400
ok,32.7,33.94,33.11,33.94,30,1386028800
ok,33.94,34.35,34.35,34.35,290,1386201600
ok,34.35,34.9,34.9,34.9,53,1386460800
ok,34.9,35.45,35.45,35.45,12,1386633600
ok,35.45,36.0,35.45,35.45,28,1386720000
ok,35.45,35.45,34.9,35.45,84,1386806400
ok,35.45,36.55,36.0,36.55,853,1387152000
ok,36.55,37.1,37.1,37.1,13,1387324800
ok,37.1,37.65,37.65,37.65,232,1387411200
ok,37.65,40.67,38.2,40.67,531,1387670400
ok,40.67,41.22,41.22,41.22,181,1387756800
ok,41.22,42.59,41.22,42.59,695,1387843200
ok,42.59,44.65,43.28,44.65,221,1388016000
ok,44.65,46.03,44.65,46.03,487,1388275200
ok,46.03,47.54,46.71,47.54,405,1388448000
ok,47.54,46.99,46.99,46.99,131,1388534400
ok,46.99,46.3,44.24,44.93,983,1388620800
ok,44.93,45.61,44.93,45.07,1186,1388880000
ok,45.07,46.44,45.34,45.75,487,1388966400
ok,45.75,48.64,46.44,48.64,2291,1389052800
ok,48.64,50.29,49.46,50.29,400,1389139200
ok,50.29,52.76,50.29,52.35,1045,1389225600
ok,52.35,55.51,51.52,55.51,6751,1389484800
ok,55.51,57.29,54.55,57.29,1193,1389571200
ok,57.29,57.43,53.58,57.43,1236,1389657600
ok,57.43,58.39,57.71,57.84,1235,1389830400
ok,57.84,58.8,57.84,57.84,605,1390089600
ok,57.84,60.04,58.12,59.08,3983,1390176000
ok,59.08,61.42,58.8,61.42,1937,1390262400
ok,61.42,61.42,60.18,60.18,889,1390348800
ok,60.18,61.28,59.35,59.35,938,1390435200
ok,59.35,58.39,55.64,55.64,2169,1390694400
ok,55.64,54.96,53.17,53.31,1644,1390780800
ok,53.31,53.72,52.76,52.9,684,1390867200
ok,52.9,53.03,52.35,53.03,513,1390953600
ok,53.03,52.21,49.46,52.21,447,1391299200
ok,52.21,56.74,52.9,56.74,940,1391385600
ok,56.74,61.69,57.71,61.69,4270,1391472000
ok,61.69,64.85,60.87,61.0,2658,1391558400
ok,61.0,61.0,60.59,60.59,168,1391644800
ok,60.59,60.45,58.67,58.67,278,1391904000
ok,58.67,57.71,57.02,57.02,130,1391990400
ok,57.02,57.98,56.06,57.98,412,1392076800
ok,57.98,57.02,56.61,56.61,238,1392163200
ok,56.61,59.35,57.57,58.39,472,1392249600
ok,58.39,62.1,59.08,62.1,1114,1392508800
ok,62.1,61.0,60.04,60.04,466,1392595200
ok,60.04,62.51,60.04,61.14,1512,1392681600
ok,61.14,64.3,61.14,63.2,1506,1392854400
ok,63.2,64.3,62.38,63.2,1166,1393113600
ok,63.2,66.36,64.3,65.26,2805,1393200000
ok,65.26,67.19,63.48,67.19,1124,1393286400
ok,67.19,66.36,64.16,65.26,726,1393372800
ok,65.26,64.3,64.3,64.3,205,1393804800
ok,64.3,63.2,62.1,63.2,501,1393891200
ok,63.2,64.99,63.2,64.99,282,1393977600
ok,64.99,63.89,61.83,62.51,1699,1394064000
ok,62.51,64.71,63.61,64.71,487,1394323200
ok,64.71,64.3,64.3,64.3,224,1394409600
ok,64.3,64.44,60.73,61.83,1876,1394496000
ok,61.83,61.83,60.73,61.83,326,1394582400
ok,61.83,62.51,60.73,61.69,967,1394668800
ok,61.69,60.73,59.9,59.9,403,1395187200
ok,59.9,61.55,59.22,61.55,3108,1395273600
ok,61.55,61.14,60.45,60.59,161,1395532800
ok,60.59,61.55,59.63,61.55,1157,1395619200
ok,61.55,63.2,60.87,62.51,1181,1395705600
ok,62.51,63.2,61.83,61.83,885,1395792000
ok,61.83,64.16,62.51,64.16,1980,1395878400
ok,64.16,66.36,63.06,66.36,2374,1396224000
ok,66.36,66.36,65.26,65.95,1379,1396310400
ok,65.95,66.5,65.26,66.22,543,1396396800
ok,66.22,66.5,64.85,64.85,3259,1396483200
ok,64.85,68.01,63.75,68.01,13755,1396742400
ok,68.01,67.6,66.22,66.22,3122,1396828800
ok,66.22,67.05,64.99,67.05,1037,1397001600
ok,67.05,68.42,66.91,67.87,1949,1397088000
ok,67.87,68.97,66.22,68.7,6902,1397347200
ok,68.7,68.83,68.28,68.7,1313,1397520000
ok,68.7,69.25,67.46,68.7,418,1397606400
ok,68.01,68.56,67.46,68.56,271,1397952000
ok,68.56,69.66,68.01,68.7,1523,1398038400
ok,68.7,70.07,67.6,70.07,856,1398124800
ok,70.07,70.62,68.56,70.62,2500,1398211200
ok,70.62,69.52,67.46,69.52,1453,1398556800
ok,69.52,70.21,67.46,69.38,10346,1398643200
ok,69.38,71.72,70.07,71.72,6102,1398729600
ok,71.72,71.44,69.8,71.44,1909,1398816000
ok,71.44,77.9,72.68,77.9,6808,1399161600
ok,77.9,84.09,79.28,80.38,5488,1399248000
ok,80.38,83.67,80.93,81.34,4829,1399334400
ok,81.34,82.44,79.69,80.38,12076,1399420800
ok,80.38,81.75,79.69,80.51,7414,1399507200
ok,110.46,88.41,82.02,88.41,1442,1400544000
ok,88.41,90.06,84.7,85.32,510,1400630400
ok,85.32,83.67,83.67,83.67,484,1400716800
ok,83.67,83.88,83.67,83.67,479,1400976000
ok,83.67,83.47,83.26,83.47,266,1401062400
ok,83.47,83.47,81.82,81.82,497,1401148800
ok,81.82,83.47,82.44,83.47,514,1401235200
ok,83.47,81.82,81.41,81.82,273,1401580800
ok,81.82,82.64,82.44,82.64,369,1401667200
ok,82.64,82.64,82.44,82.44,439,1401753600
ok,82.44,80.79,79.96,80.17,284,1401840000
ok,80.17,81.41,79.34,81.41,365,1401926400
ok,81.41,81.61,80.38,80.38,655,1402185600
ok,80.38,78.93,77.49,77.49,128,1402272000
ok,77.49,78.73,74.4,74.4,2421,1402358400
ok,74.4,77.9,74.6,77.28,2094,1402444800
ok,77.28,80.79,78.31,80.79,1633,1402531200
ok,80.79,82.23,82.02,82.23,236,1402790400
ok,82.23,80.79,79.34,79.34,30,1402963200
ok,79.34,80.79,79.96,80.79,2545,1403049600
ok,80.79,79.96,79.34,79.34,1667,1403136000
ok,79.34,82.44,79.34,82.44,3953,1403481600
ok,82.44,82.23,78.31,80.79,854,1403568000
ok,80.79,81.41,81.41,81.41,16,1403654400
ok,81.41,81.41,79.96,81.41,517,1403740800
ok,81.41,82.44,82.23,82.23,1072,1404000000
ok,82.23,81.41,80.79,81.41,44,1404086400
ok,81.41,84.5,81.41,83.47,2810,1404172800
ok,83.47,82.44,81.41,81.41,531,1404345600
ok,81.41,80.38,79.96,80.38,1760,1404691200
ok,80.38,88.21,81.82,88.21,874,1404777600
ok,88.21,88.21,86.76,86.76,250,1404864000
ok,86.76,87.38,81.82,87.38,5108,1404950400
ok,87.38,90.68,87.38,90.68,2226,1405209600
ok,90.68,89.65,85.73,85.73,785,1405296000
ok,85.73,88.21,82.64,88.21,2498,1405382400
ok,88.21,87.59,83.26,87.59,4742,1405468800
ok,87.59,90.68,88.62,90.68,99,1405555200
ok,90.68,93.98,89.03,92.74,3861,1405814400
ok,92.74,98.31,92.74,96.24,5565,1405900800
ok,96.24,96.86,90.89,92.53,2760,1405987200
ok,92.53,95.01,91.71,93.98,4404,1406073600
ok,93.98,95.83,90.68,95.83,866,1406160000
ok,95.83,98.72,95.83,97.27,1261,1406419200
ok,97.27,103.87,97.89,101.81,4269,1406505600
ok,101.81,107.17,103.05,104.08,3205,1406678400
ok,104.08,104.28,101.4,101.6,14060,1406764800
ok,101.6,103.05,98.51,99.95,15711,1407024000
ok,99.95,99.95,98.1,98.1,1531,1407110400
ok,98.1,98.31,98.1,98.1,332,1407196800
ok,98.1,101.81,96.24,99.95,1960,1407283200
ok,99.95,98.92,98.51,98.51,311,1407369600
ok,98.51,96.66,96.66,96.66,12,1407801600
ok,96.66,94.8,93.15,93.15,379,1407888000
ok,93.15,92.95,91.3,92.95,7702,1407974400
ok,92.95,94.8,91.09,92.74,2046,1408320000
ok,92.74,96.45,92.74,96.45,1918,1408406400
ok,96.45,96.66,94.8,94.8,295,1408492800
ok,94.8,93.15,92.95,93.15,463,1408579200
ok,93.15,93.77,93.77,93.77,100,1408838400
ok,93.77,92.74,88.62,88.62,728,1409702400
ok,88.62,87.59,87.59,87.59,70,1409788800
ok,87.59,86.56,86.56,86.56,104,1410307200
ok,85.53,84.5,82.64,83.05,3051,1410739200
ok,83.05,83.67,80.38,82.44,1291,1410825600
ok,82.44,84.09,81.41,82.64,1958,1410912000
ok,80.38,78.93,76.87,76.87,1494,1411257600
ok,76.87,75.64,72.54,72.75,2016,1411344000
ok,72.75,76.05,70.07,75.22,5562,1411430400
ok,75.22,75.22,73.16,74.19,1302,1411516800
ok,74.19,74.19,70.48,73.16,2476,1411862400
ok,73.16,74.19,73.16,73.16,228,1411948800
ok,73.16,76.25,74.6,76.05,567,1412035200
ok,76.05,77.9,74.81,74.81,1146,1412726400
ok,74.81,76.67,74.6,75.43,6094,1412812800
ok,75.43,75.43,74.19,74.19,130,1413072000
ok,74.19,74.4,74.19,74.19,882,1413158400
ok,74.19,74.19,70.48,70.48,592,1413244800
ok,70.48,74.19,70.69,73.16,870,1413331200
ok,73.16,73.99,71.93,73.99,3513,1413417600
ok,73.99,75.22,72.54,75.22,1003,1413676800
ok,75.22,75.84,74.19,75.84,1187,1413763200
