s,o,h,l,c,v,t
ok,33.58,36.73,36.73,36.73,1000,1378598400
ok,36.73,36.2,35.68,35.68,250,1378771200
ok,35.68,35.16,34.63,34.63,710,1379376000
ok,34.63,34.1,34.1,34.1,2500,1379548800
ok,34.1,33.58,32.53,32.53,950,1380499200
ok,32.53,32.0,30.95,30.95,750,1380585600
ok,30.96,30.43,29.38,29.38,1000,1380758400
ok,29.38,28.86,28.86,28.86,2070,1381968000
ok,28.86,28.33,27.81,27.81,400,1386806400
ok,27.8,27.28,27.28,27.28,440,1387324800
ok,27.28,27.8,27.8,27.8,500,1388016000
ok,27.81,28.33,28.33,28.33,260,1388275200
ok,28.33,27.81,27.81,27.81,1800,1388620800
ok,27.8,28.85,28.33,28.85,600,1389484800
ok,28.85,29.38,28.33,28.33,4700,1389571200
ok,28.33,28.33,28.33,28.33,210,1389830400
ok,28.33,28.33,28.33,28.33,200,1390348800
ok,28.33,28.85,28.85,28.85,100,1390435200
ok,28.85,28.33,27.8,27.8,2550,1390694400
ok,27.8,28.33,28.33,28.33,200,1391385600
ok,28.33,30.95,28.85,30.95,300,1391558400
ok,30.95,33.05,31.48,33.05,970,1391644800
ok,33.05,32.52,32.52,32.52,1160,1391904000
ok,32.52,33.05,33.05,33.05,490,1392681600
ok,33.05,32.52,32.52,32.52,350,1392854400
ok,32.52,32.52,32.52,32.52,1000,1393113600
ok,32.52,34.1,33.05,34.1,2480,1393200000
ok,34.1,35.15,34.62,34.62,2500,1393286400
ok,34.62,34.1,33.57,34.1,1400,1393372800
ok,34.1,35.67,34.62,35.67,1330,1393977600
ok,35.67,35.67,35.67,35.67,1000,1394064000
ok,35.67,36.72,35.15,36.72,2580,1394323200
ok,36.72,38.82,37.24,38.82,2620,1394409600
ok,38.81,41.7,39.34,41.7,1800,1394496000
ok,41.7,42.75,41.7,41.7,720,1394582400
ok,41.7,41.44,41.44,41.44,1000,1394668800
ok,41.44,42.23,41.18,41.18,2380,1395014400
ok,41.18,40.39,39.6,39.6,750,1395187200
ok,39.61,38.82,36.72,36.72,3820,1395273600
ok,36.72,36.19,35.67,35.67,810,1395619200
ok,35.67,35.67,35.15,35.67,610,1395705600
ok,35.67,35.15,35.15,35.15,310,1396224000
ok,35.14,34.62,34.09,34.09,3910,1396310400
ok,34.09,33.57,33.57,33.57,500,1396483200
ok,33.57,33.04,32.0,32.0,930,1397001600
ok,32.0,32.52,32.52,32.52,70,1397347200
ok,32.52,33.04,33.04,33.04,250,1397520000
ok,33.04,34.09,33.57,34.09,700,1397606400
ok,34.09,33.54,33.54,33.54,1050,1398038400
ok,33.54,34.09,34.09,34.09,1200,1398211200
ok,34.09,34.64,34.64,34.64,1000,1398643200
ok,34.64,35.19,34.64,35.19,1110,1399248000
ok,35.19,34.64,34.64,34.64,210,1399507200
ok,34.64,35.19,35.19,35.19,350,1400371200
ok,35.19,34.64,34.64,34.64,200,1400457600
ok,34.65,35.2,35.2,35.2,750,1400716800
ok,35.19,36.29,35.74,36.29,700,1400976000
ok,36.29,37.39,36.84,37.39,210,1401235200
ok,37.39,36.84,36.84,36.84,1000,1401667200
ok,36.84,37.39,36.29,37.39,1990,1401753600
ok,37.39,38.49,37.94,38.49,100,1401926400
ok,38.49,39.04,39.04,39.04,500,1402358400
ok,39.04,38.49,38.49,38.49,110,1403049600
ok,38.49,38.49,37.94,38.49,550,1403740800
ok,38.49,37.94,37.94,37.94,500,1404000000
ok,37.94,38.49,38.49,38.49,500,1404086400
ok,38.49,40.69,39.04,40.14,5060,1404259200
ok,40.14,40.69,40.69,40.69,60,1404345600
ok,40.69,40.69,40.69,40.69,1000,1404604800
ok,40.69,44.27,41.24,43.72,1880,1404691200
ok,43.72,44.54,43.72,43.99,1040,1404777600
ok,43.99,44.81,43.16,43.16,3660,1404864000
ok,43.17,42.62,42.34,42.62,1400,1404950400
ok,42.62,44.27,43.44,44.27,200,1405209600
ok,44.26,45.36,43.99,45.36,1870,1405296000
ok,45.36,45.36,44.54,44.54,1760,1405382400
ok,44.54,44.54,43.99,43.99,3090,1405468800
ok,43.99,44.82,44.54,44.82,2710,1405555200
ok,44.82,46.47,45.64,46.47,660,1405814400
ok,46.46,48.66,47.29,48.66,12110,1406073600
ok,48.66,49.49,49.49,49.49,100,1406160000
ok,49.49,54.44,50.31,54.44,1000,1406419200
ok,54.44,59.66,55.26,59.66,500,1406505600
ok,59.66,65.44,60.76,65.44,6630,1406678400
ok,65.43,71.76,65.98,71.76,14740,1406764800
ok,71.76,71.48,70.11,71.48,1950,1407024000
ok,71.49,72.86,70.11,70.11,1200,1407110400
ok,70.11,69.56,67.91,67.91,400,1407196800
ok,67.91,66.81,66.81,66.81,100,1407283200
ok,66.81,65.71,65.71,65.71,930,1407888000
ok,65.71,64.61,64.61,64.61,1000,1409529600
ok,64.61,63.51,63.51,63.51,1000,1409702400
ok,63.51,62.41,61.31,61.31,5100,1412812800
ok,61.32,60.22,60.22,60.22,200,1416700800
ok,60.22,59.12,59.12,59.12,50,1417478400
ok,59.12,58.02,56.92,56.92,260,1420588800
ok,56.92,55.82,55.82,55.82,600,1420934400
ok,55.82,54.72,54.72,54.72,200,1421020800
ok,54.72,54.99,52.24,53.89,23550,1421193600
ok,53.89,56.85,53.3,56.85,2040,1422230400
ok,56.85,59.52,57.74,59.52,520,1422316800
ok,59.52,65.44,60.7,65.44,890,1422403200
ok,65.44,71.95,66.62,71.66,7080,1422489600
ok,71.66,75.51,72.54,72.54,1110,1422748800
ok,72.55,71.36,69.88,69.88,4650,1422835200
ok,69.89,68.7,66.33,66.33,1500,1423353600
ok,66.33,65.15,63.96,63.96,260,1423440000
ok,63.96,63.96,62.78,62.78,1500,1423526400
ok,62.78,65.15,62.78,65.15,3470,1423612800
ok,65.15,71.66,66.33,71.66,1330,1423699200
ok,71.66,78.77,71.66,78.77,17320,1423958400
ok,78.77,78.47,74.33,74.33,1850,1424044800
ok,74.33,73.44,72.55,72.55,2470,1424304000
ok,72.56,73.74,71.67,71.67,3730,1424563200
ok,71.67,71.67,70.48,71.67,3450,1424649600
ok,71.67,70.48,70.48,70.48,100,1424736000
ok,70.49,69.3,67.82,68.12,2600,1424822400
ok,68.12,69.28,66.95,69.28,5830,1425168000
ok,69.28,74.81,69.86,74.81,4010,1425254400
ok,74.81,73.64,73.64,73.64,2000,1425340800
ok,73.64,73.35,72.18,73.35,510,1425427200
ok,73.35,73.35,71.31,71.31,3700,1425859200
ok,71.31,70.44,69.86,70.44,9560,1425945600
ok,70.44,69.28,69.28,69.28,10,1426032000
ok,69.28,72.77,68.69,72.77,7600,1426118400
ok,72.77,71.6,71.6,71.6,1000,1426377600
ok,71.6,70.44,70.44,70.44,400,1426550400
ok,70.43,69.27,68.11,68.11,1800,1426982400
ok,68.11,70.14,68.98,69.56,1050,1427068800
ok,69.56,68.4,67.23,67.23,546,1427241600
ok,67.23,69.56,68.39,69.56,2274,1427760000
ok,69.56,68.69,68.4,68.4,610,1427846400
ok,68.4,67.23,67.23,67.23,1000,1428364800
ok,67.23,68.4,68.4,68.4,100,1428451200
ok,68.4,68.1,66.94,66.94,1100,1428537600
ok,66.94,67.52,67.52,67.52,1000,1428796800
ok,67.52,68.39,66.06,66.06,1250,1429488000
ok,66.06,68.39,67.23,68.39,1060,1437868800
ok,68.39,67.23,64.61,64.61,4420,1437955200
ok,64.61,64.02,60.53,60.53,2524,1438041600
ok,60.53,61.4,59.66,60.82,5971,1438128000
ok,60.82,61.98,61.98,61.98,1000,1438214400
ok,61.98,60.82,60.82,60.82,375,1438560000
ok,60.82,61.11,61.11,61.11,900,1438732800
ok,61.11,61.11,61.11,61.11,46,1438819200
ok,61.11,61.11,61.11,61.11,275,1439078400
ok,61.11,61.11,59.95,59.95,814,1439164800
ok,59.95,60.82,60.82,60.82,92,1439251200
ok,59.95,59.95,59.66,59.66,522,1439424000
ok,59.66,59.95,59.37,59.37,1474,1439683200
ok,59.08,59.37,59.08,59.37,3110,1439942400
ok,58.21,58.21,58.21,58.21,1000,1440028800
ok,59.37,59.37,58.21,59.37,126,1440374400
ok,58.79,58.79,58.21,58.21,225,1440460800
ok,57.04,57.04,57.04,57.04,930,1440633600
ok,56.17,56.17,56.17,56.17,107,1440979200
ok,56.17,55.3,55.3,55.3,107,1441065600
ok,54.43,54.43,54.43,54.43,142,1441152000
ok,53.55,53.55,52.39,53.26,3465,1441238400
ok,54.13,54.13,54.13,54.13,75,1441497600
ok,55.01,55.01,55.01,55.01,161,1441584000
ok,55.88,58.21,55.88,58.21,1422,1441670400
ok,59.37,61.7,59.37,59.66,2172,1441756800
ok,58.5,58.5,57.34,57.34,1025,1441843200
ok,57.33,57.33,55.59,55.59,1837,1442275200
ok,55.59,55.59,55.59,55.59,1000,1442361600
ok,56.46,60.82,55.88,60.82,3623,1442448000
ok,61.98,65.48,61.98,65.48,55,1442880000
ok,66.64,67.51,66.35,66.35,2693,1442966400
ok,67.51,68.67,63.43,63.43,6120,1443398400
ok,64.6,69.54,64.6,69.54,18118,1443484800
ok,70.7,75.07,69.54,74.2,13958,1443571200
ok,75.65,75.94,71.58,71.58,4050,1443657600
ok,71.28,71.28,70.41,70.41,1628,1443916800
ok,71.57,73.32,71.57,72.44,9083,1444003200
ok,71.57,77.1,71.57,77.1,7872,1444089600
ok,75.65,75.65,75.65,75.65,1050,1444176000
ok,75.65,75.65,75.65,75.65,215,1444262400
ok,77.1,82.92,77.1,82.92,9361,1444521600
ok,81.47,81.76,80.01,80.01,9266,1444780800
ok,80.6,81.47,80.01,81.47,8228,1444867200
ok,81.47,82.93,81.47,81.76,459,1445126400
ok,82.92,82.92,82.92,82.92,500,1445212800
ok,84.38,85.83,84.38,85.83,601,1445731200
ok,84.38,84.96,82.92,82.92,4450,1445904000
ok,81.76,81.76,81.47,81.47,1238,1445990400
ok,80.01,80.01,80.01,80.01,1000,1446076800
ok,78.7,78.7,78.7,78.7,500,1449187200
ok,80.02,80.02,80.02,80.02,107,1449446400
ok,81.33,87.56,81.33,87.56,50,1453248000
ok,87.56,96.09,89.2,96.09,520,1453334400
ok,96.09,105.28,97.73,105.28,310,1453593600
ok,107.25,107.25,105.28,106.59,4400,1453680000
ok,106.59,108.23,104.62,104.62,830,1453766400
ok,104.62,102.65,98.72,98.72,910,1453852800
ok,98.39,98.39,97.08,97.08,2570,1454198400
ok,97.08,106.59,98.72,106.59,10269,1454284800
ok,106.9,114.47,106.9,114.14,3046,1454371200
ok,114.14,114.79,114.79,114.79,200,1454457600
ok,113.16,113.16,111.19,111.19,850,1454544000
ok,111.19,109.88,109.88,109.88,500,1454803200
ok,109.87,112.82,108.56,111.51,2495,1454889600
ok,111.51,109.55,108.23,108.23,1300,1455148800
ok,109.87,109.87,109.22,109.54,1083,1455408000
ok,107.58,110.2,107.58,110.2,1300,1455494400
ok,110.21,112.17,112.17,112.17,300,1455580800
ok,112.17,112.17,112.17,112.17,300,1455667200
ok,112.17,110.86,110.86,110.86,150,1455753600
ok,110.86,110.86,109.88,110.86,110,1456185600
ok,111.52,111.52,111.52,111.52,500,1456272000
ok,109.54,111.84,109.54,111.84,1210,1456358400
ok,111.84,113.81,112.17,113.81,700,1456617600
ok,113.81,114.79,112.17,112.17,1110,1456704000
ok,112.82,114.46,112.82,114.13,1300,1457222400
ok,116.09,116.42,114.78,114.78,1250,1457568000
ok,113.14,113.14,112.81,113.14,350,1457827200
