s,o,h,l,c,v,t
ok,161.0,164.0,161.0,164.0,30,1612656000
ok,159.0,173.0,159.0,173.0,50,1612742400
ok,168.0,176.0,168.0,176.0,29,1612828800
ok,174.0,179.0,176.0,179.0,20,1612915200
ok,182.0,188.0,182.0,188.0,30,1613001600
ok,191.0,194.0,191.0,194.0,20,1613260800
ok,197.0,200.0,197.0,200.0,20,1613347200
ok,204.0,220.0,204.0,220.0,100,1613433600
ok,217.0,225.0,217.0,225.0,65,1613520000
ok,229.0,245.0,229.0,245.0,50,1613606400
ok,249.0,269.0,249.0,269.0,120,1613865600
ok,280.0,295.0,280.0,295.0,50,1613952000
ok,300.0,312.0,300.0,312.0,50,1614038400
ok,297.0,343.0,295.0,343.0,190,1614124800
ok,337.0,377.0,337.0,377.0,185,1614211200
ok,395.0,414.0,395.0,414.0,150,1614470400
ok,422.0,455.0,422.0,455.0,161,1614556800
ok,459.0,500.0,459.0,500.0,205,1614643200
ok,525.0,550.0,525.0,550.0,531,1614729600
ok,577.0,605.0,577.0,605.0,716,1614816000
ok,635.0,665.0,635.0,665.0,910,1615161600
ok,698.0,731.0,698.0,731.0,1629,1615248000
ok,767.0,804.0,767.0,804.0,2130,1615334400
ok,844.0,884.0,844.0,884.0,3840,1615680000
ok,928.0,972.0,928.0,972.0,4377,1615766400
ok,1020.0,1069.0,1020.0,1069.0,7206,1615852800
ok,1122.0,1175.0,1122.0,1175.0,5090,1615939200
ok,1233.0,1292.0,1233.0,1292.0,7156,1616025600
ok,1356.0,1421.0,1356.0,1421.0,10784,1616284800
ok,1492.0,1563.0,1492.0,1563.0,17549,1616371200
ok,1641.0,1719.0,1641.0,1719.0,19797,1616457600
ok,1804.0,1890.0,1804.0,1890.0,17362,1616544000
ok,1984.0,2079.0,1984.0,2079.0,30420,1616630400
ok,2182.0,2286.0,1872.0,1930.0,183623,1616976000
ok,1900.0,2079.0,1850.0,2050.0,84925,1617062400
ok,2060.0,2170.0,2050.0,2120.0,31945,1617148800
ok,2120.0,2120.0,2037.0,2050.0,34614,1617235200
ok,2100.0,2100.0,1980.0,2009.0,44602,1617494400
ok,2009.0,2185.0,1980.0,2125.0,72510,1617580800
ok,2237.0,2344.0,2108.0,2344.0,56311,1617667200
ok,2461.0,2578.0,2355.0,2578.0,56259,1617753600
ok,2578.0,2800.0,2500.0,2625.0,83505,1617840000
ok,2580.0,2660.0,2532.0,2555.0,54193,1618185600
ok,2550.0,2560.0,2485.0,2485.0,43878,1618272000
ok,2450.0,2550.0,2405.0,2490.0,33584,1618444800
ok,2490.0,2520.0,2409.0,2409.0,38573,1618704000
ok,2295.0,2329.0,2169.0,2173.0,98112,1618790400
ok,2071.0,2240.0,2071.0,2197.0,34463,1618876800
ok,2196.0,2280.0,2160.0,2185.0,16027,1618963200
ok,2200.0,2228.0,2122.0,2135.0,17055,1619049600
ok,2093.0,2093.0,1941.0,1955.0,54284,1619308800
ok,1936.0,2019.0,1890.0,1924.0,32988,1619395200
ok,1924.0,1969.0,1896.0,1950.0,16883,1619481600
ok,1960.0,1990.0,1911.0,1927.0,13540,1619568000
ok,1927.0,1943.0,1894.0,1902.0,19104,1619654400
ok,1893.0,2066.0,1824.0,1986.0,48659,1619913600
ok,1900.0,2050.0,1900.0,1969.0,19189,1620000000
ok,1950.0,2000.0,1920.0,1930.0,17048,1620086400
ok,1911.0,1949.0,1898.0,1898.0,17812,1620172800
ok,1804.0,1930.0,1804.0,1871.0,17620,1620259200
ok,1851.0,1869.0,1825.0,1830.0,19029,1620518400
ok,1803.0,1872.0,1800.0,1845.0,14311,1620604800
ok,1856.0,1879.0,1832.0,1859.0,9113,1620691200
ok,1859.0,1860.0,1840.0,1850.0,6492,1620777600
ok,1836.0,1850.0,1819.0,1820.0,18252,1620864000
ok,1820.0,1850.0,1801.0,1838.0,18197,1621123200
ok,1838.0,1856.0,1820.0,1825.0,7849,1621209600
ok,1850.0,1949.0,1819.0,1885.0,21722,1621296000
ok,1855.0,1900.0,1845.0,1848.0,9015,1621382400
ok,1830.0,1850.0,1814.0,1820.0,14733,1621468800
ok,1800.0,1848.0,1795.0,1845.0,16148,1621728000
ok,1823.0,1850.0,1822.0,1831.0,16326,1621814400
ok,1835.0,1849.0,1812.0,1816.0,11045,1621900800
ok,1816.0,1819.0,1790.0,1795.0,16765,1622073600
ok,1815.0,1820.0,1765.0,1778.0,24258,1622332800
ok,1771.0,1800.0,1748.0,1749.0,26427,1622419200
ok,1740.0,1750.0,1700.0,1709.0,21442,1622505600
ok,1709.0,1847.0,1685.0,1771.0,22971,1622592000
ok,1800.0,1907.0,1772.0,1855.0,41121,1622678400
ok,1870.0,1935.0,1855.0,1858.0,36654,1622937600
ok,1845.0,1858.0,1812.0,1822.0,10395,1623024000
ok,1822.0,1855.0,1800.0,1807.0,17974,1623110400
ok,1819.0,1820.0,1766.0,1780.0,15950,1623196800
ok,1780.0,1809.0,1751.0,1774.0,7488,1623283200
ok,1751.0,1795.0,1751.0,1766.0,22848,1623542400
ok,1830.0,1830.0,1730.0,1731.0,15343,1623628800
ok,1817.0,1817.0,1685.0,1722.0,35695,1623715200
ok,1700.0,1722.0,1682.0,1686.0,15638,1623801600
ok,1690.0,1690.0,1645.0,1652.0,14691,1623888000
ok,1652.0,1685.0,1595.0,1624.0,19147,1624147200
ok,1620.0,1620.0,1570.0,1571.0,11763,1624233600
ok,1575.0,1614.0,1550.0,1580.0,10673,1624320000
ok,1580.0,1640.0,1550.0,1560.0,7519,1624406400
ok,1560.0,1620.0,1540.0,1580.0,12409,1624492800
ok,1610.0,1611.0,1555.0,1564.0,7877,1624752000
ok,1595.0,1618.0,1550.0,1570.0,5488,1624838400
ok,1580.0,1580.0,1538.0,1550.0,8202,1624924800
ok,1530.0,1560.0,1524.0,1535.0,4645,1625011200
ok,1537.0,1560.0,1530.0,1530.0,4843,1625097600
ok,1506.0,1615.0,1506.0,1562.0,13251,1625356800
ok,1560.0,1580.0,1550.0,1556.0,3386,1625443200
ok,1535.0,1565.0,1525.0,1545.0,3520,1625529600
ok,1523.0,1540.0,1510.0,1514.0,4731,1625616000
ok,1505.0,1525.0,1500.0,1523.0,6822,1625702400
ok,1523.0,1584.0,1513.0,1550.0,5495,1625961600
ok,1550.0,1578.0,1511.0,1523.0,4940,1626048000
ok,1529.0,1545.0,1513.0,1517.0,3717,1626134400
ok,1518.0,1521.0,1503.0,1515.0,3826,1626220800
ok,1515.0,1545.0,1503.0,1505.0,4436,1626307200
ok,1505.0,1540.0,1501.0,1508.0,9299,1626566400
ok,1510.0,1540.0,1510.0,1520.0,7145,1626652800
ok,1550.0,1550.0,1505.0,1518.0,4534,1626739200
ok,1515.0,1525.0,1505.0,1509.0,9057,1626912000
ok,1509.0,1515.0,1482.0,1495.0,15527,1627171200
ok,1485.0,1500.0,1476.0,1495.0,15420,1627257600
ok,1495.0,1514.0,1476.0,1489.0,10824,1627344000
ok,1482.5,1637.9,1480.0,1637.9,27136,1627430400
ok,1670.0,1790.0,1670.0,1737.0,44873,1627516800
ok,1740.5,1741.0,1655.0,1670.0,16976,1627776000
ok,1700.0,1700.0,1610.0,1610.0,15079,1627862400
ok,1642.0,1665.0,1611.0,1637.1,13206,1627948800
ok,1625.0,1640.0,1600.0,1613.0,9525,1628035200
ok,1600.0,1633.0,1583.0,1599.0,9190,1628121600
ok,1595.0,1610.0,1565.0,1588.0,8836,1628380800
ok,1556.3,1569.0,1510.0,1543.0,13676,1628467200
ok,1543.0,1567.0,1523.0,1531.0,10554,1628553600
ok,1525.0,1559.0,1521.0,1540.0,5955,1628640000
ok,1540.0,1570.8,1516.2,1530.0,9525,1628726400
ok,1515.0,1525.0,1490.0,1509.9,10207,1628985600
ok,1491.0,1515.0,1487.0,1495.0,7003,1629072000
ok,1495.0,1522.9,1481.0,1499.0,10011,1629158400
ok,1486.0,1560.0,1475.1,1500.0,7367,1629244800
ok,1500.0,1550.0,1500.0,1505.0,9505,1629331200
ok,1505.0,1550.0,1477.0,1497.0,8388,1629763200
ok,1477.0,1507.0,1477.0,1480.0,5790,1629849600
ok,1500.0,1559.0,1475.0,1491.0,14160,1629936000
ok,1520.0,1550.0,1490.0,1490.0,16637,1630195200
ok,1485.0,1530.0,1471.0,1479.0,8297,1630368000
ok,1475.0,1517.0,1466.0,1511.0,13649,1630454400
ok,1511.0,1650.0,1505.0,1590.0,41511,1630540800
ok,1620.0,1622.0,1491.0,1548.9,22733,1630800000
ok,1519.0,1654.0,1519.0,1600.0,20294,1630886400
ok,1630.0,1630.0,1529.0,1549.0,9158,1630972800
ok,1526.5,1546.0,1518.0,1518.0,5505,1631059200
ok,1518.0,1530.0,1505.0,1520.0,5346,1631145600
ok,1500.0,1602.0,1500.0,1575.0,26438,1631404800
ok,1575.0,1606.0,1550.0,1561.9,10468,1631491200
ok,1565.0,1565.0,1525.0,1565.0,3536,1631577600
ok,1534.0,1545.0,1500.0,1510.0,7016,1631664000
ok,1488.1,1500.0,1402.0,1411.0,24442,1631750400
ok,1412.0,1420.0,1355.0,1370.0,8160,1632096000
ok,1345.2,1410.0,1301.0,1389.0,5325,1632182400
ok,1415.0,1434.0,1390.0,1427.0,8528,1632268800
ok,1429.0,1429.0,1346.0,1379.0,10948,1632355200
ok,1379.0,1406.0,1340.0,1340.5,5071,1632614400
ok,1340.0,1367.0,1296.0,1296.0,8723,1632700800
ok,1290.0,1344.0,1278.1,1285.0,3161,1632787200
ok,1309.0,1330.0,1239.7,1295.0,8395,1632873600
ok,1300.0,1319.0,1260.1,1287.0,5892,1632960000
ok,1287.0,1288.0,1251.0,1252.0,5917,1633219200
ok,1252.0,1277.0,1240.0,1267.0,3883,1633305600
ok,1242.0,1300.0,1242.0,1270.0,3278,1633392000
ok,1280.0,1305.0,1263.0,1295.0,3603,1633478400
ok,1280.0,1299.0,1256.0,1256.0,3419,1633824000
ok,1281.0,1281.0,1250.0,1262.0,2555,1633910400
ok,1253.0,1356.0,1252.1,1350.0,6098,1634428800
ok,1330.0,1330.0,1300.0,1300.0,3418,1634515200
ok,1282.0,1288.0,1262.0,1266.0,3691,1634601600
ok,1291.0,1316.0,1266.0,1290.0,3710,1634688000
ok,1275.0,1310.0,1270.0,1280.0,2625,1634774400
ok,1280.0,1294.0,1273.0,1281.0,2626,1635033600
ok,1290.0,1320.0,1290.0,1320.0,3471,1635120000
ok,1294.0,1452.0,1294.0,1452.0,16054,1635206400
ok,1460.0,1530.0,1400.0,1481.0,15590,1635292800
ok,1481.1,1489.2,1428.0,1460.0,3937,1635379200
ok,1489.2,1606.0,1473.0,1606.0,23293,1635638400
ok,1638.0,1737.0,1600.0,1619.0,25870,1635724800
ok,1590.0,1700.0,1586.0,1664.0,14960,1635811200
ok,1690.0,1690.0,1625.0,1625.1,9205,1635897600
ok,1595.0,1643.0,1589.0,1592.1,4895,1636329600
ok,1571.1,1583.0,1530.8,1535.2,9510,1636416000
ok,1515.0,1537.0,1475.0,1488.0,3533,1636588800
ok,1488.0,1539.0,1461.0,1524.0,3572,1636848000
ok,1550.0,1565.7,1523.0,1540.0,3998,1636934400
ok,1541.1,1580.0,1521.0,1562.0,5395,1637020800
ok,1562.0,1638.0,1550.0,1602.0,13446,1637107200
ok,1570.0,1610.0,1555.0,1574.0,4520,1637193600
ok,1605.0,1605.4,1549.0,1549.0,3824,1637452800
ok,1547.0,1702.0,1533.0,1700.0,30319,1637539200
ok,1734.0,1734.0,1642.0,1642.0,14574,1637625600
ok,1617.0,1674.0,1577.9,1630.0,23706,1637712000
ok,1600.0,1632.0,1468.1,1581.0,58392,1637798400
ok,1549.4,1549.4,1422.9,1500.0,29561,1638057600
ok,1475.0,1487.0,1390.0,1422.0,20381,1638144000
ok,1450.0,1450.0,1390.0,1425.0,7380,1638230400
ok,1425.0,1449.0,1409.0,1415.0,5449,1638316800
ok,1443.0,1460.0,1390.1,1392.0,10415,1638403200
ok,1392.0,1419.0,1347.5,1360.0,6038,1638662400
ok,1340.0,1428.0,1315.0,1369.0,6967,1638748800
ok,1396.3,1411.0,1325.0,1350.0,4869,1638835200
ok,1324.0,1371.0,1315.0,1320.3,3657,1638921600
ok,1310.0,1346.7,1306.3,1335.0,3504,1639008000
ok,1336.0,1345.0,1286.0,1286.0,5992,1639267200
ok,1261.0,1300.0,1237.0,1275.0,9120,1639353600
