s,o,h,l,c,v,t
ok,455.55,455.55,455.55,455.55,0.0,1300579200
ok,452.72,452.72,452.72,452.72,0.0,1301011200
ok,449.52,449.52,449.52,449.52,0.0,1301270400
ok,437.09,437.09,437.09,437.09,0.0,1301529600
ok,435.96,435.96,435.96,435.96,0.0,1302480000
ok,434.83,434.83,434.83,434.83,0.0,1302998400
ok,429.75,429.75,429.75,429.75,0.0,1304985600
ok,425.23,425.23,425.23,425.23,0.0,1305158400
ok,416.19,416.19,416.19,416.19,0.0,1305504000
ok,415.05,415.05,415.05,415.05,0.0,1305676800
ok,400.36,400.36,400.36,400.36,0.0,1306195200
ok,402.06,402.06,402.06,402.06,0.0,1306281600
ok,398.66,398.66,398.66,398.66,0.0,1307318400
ok,402.06,402.06,402.06,402.06,0.0,1307491200
ok,405.45,405.45,405.45,405.45,0.0,1307577600
ok,404.32,404.32,404.32,404.32,0.0,1307836800
ok,402.06,402.06,402.06,402.06,0.0,1307923200
ok,402.62,402.62,402.62,402.62,0.0,1308009600
ok,400.35,400.35,400.35,400.35,0.0,1308182400
ok,402.42,402.42,402.42,402.42,0.0,1309132800
ok,402.42,402.42,402.42,402.42,0.0,1309392000
ok,405.81,405.81,405.81,405.81,0.0,1309651200
ok,409.2,409.2,409.2,409.2,0.0,1309910400
ok,405.81,405.81,405.81,405.81,0.0,1309996800
ok,409.2,409.2,409.2,409.2,0.0,1310256000
ok,412.59,412.59,412.59,412.59,0.0,1310342400
ok,412.59,412.59,412.59,412.59,0.0,1310515200
ok,412.59,412.59,412.59,412.59,0.0,1310601600
ok,408.07,408.07,408.07,408.07,0.0,1311465600
ok,407.69,407.69,407.69,407.69,0.0,1311638400
ok,407.31,407.31,407.31,407.31,0.0,1311811200
ok,409.57,409.57,409.57,409.57,0.0,1312070400
ok,405.05,405.05,405.05,405.05,0.0,1312156800
ok,405.05,405.05,405.05,405.05,0.0,1312243200
ok,405.05,405.05,405.05,405.05,0.0,1312329600
ok,403.54,403.54,403.54,403.54,0.0,1312675200
ok,404.66,404.66,404.66,404.66,0.0,1312848000
ok,404.29,404.29,404.29,404.29,0.0,1313539200
ok,387.89,387.89,387.89,387.89,0.0,1313625600
ok,387.14,387.14,387.14,387.14,0.0,1313971200
ok,387.7,387.7,387.7,387.7,0.0,1314057600
ok,388.07,388.07,388.07,388.07,0.0,1314144000
ok,388.27,388.27,388.27,388.27,0.0,1314230400
ok,387.32,387.32,387.32,387.32,0.0,1314489600
ok,387.89,387.89,387.89,387.89,0.0,1314576000
ok,387.32,387.32,387.32,387.32,0.0,1314662400
ok,386.76,386.76,386.76,386.76,0.0,1315094400
ok,385.82,385.82,385.82,385.82,0.0,1315440000
ok,385.44,385.44,385.44,385.44,0.0,1315958400
ok,385.82,385.82,385.82,385.82,0.0,1316044800
ok,381.09,381.09,381.09,381.09,0.0,1316304000
ok,381.09,381.09,381.09,381.09,0.0,1316476800
ok,383.73,383.73,383.73,383.73,0.0,1316563200
ok,383.73,383.73,383.73,383.73,0.0,1316649600
ok,382.6,382.6,382.6,382.6,0.0,1316908800
ok,382.22,382.22,382.22,382.22,0.0,1316995200
ok,381.66,381.66,381.66,381.66,0.0,1317254400
