s,o,h,l,c,v,t
ok,134.4,139.7,134.4,139.7,207,1679529600
ok,137.7,148.1,137.7,148.1,10,1679788800
ok,148.1,162.9,148.1,162.9,94,1679875200
ok,166.1,166.1,166.1,166.1,20,1679961600
ok,169.4,182.7,169.4,182.7,60,1680048000
ok,182.7,193.8,182.7,193.8,52,1680134400
ok,193.8,213.1,193.8,213.1,161,1680393600
ok,213.1,234.4,213.1,234.4,200,1680480000
ok,230.1,257.8,230.1,257.8,110,1680566400
ok,257.7,283.5,257.7,283.5,180,1680652800
ok,289.1,311.8,289.1,311.8,290,1680739200
ok,318.0,342.9,318.0,342.9,531,1680998400
ok,349.7,377.1,349.7,377.1,523,1681084800
ok,384.6,414.8,384.6,414.8,837,1681171200
ok,414.7,456.2,414.7,456.2,800,1681257600
ok,456.2,501.8,456.2,501.8,1004,1681344000
ok,511.8,551.9,511.8,551.9,1135,1681603200
ok,562.9,607.0,562.9,607.0,1152,1681689600
ok,619.1,667.7,619.1,667.7,926,1681776000
ok,681.0,734.4,681.0,734.4,755,1681862400
ok,749.0,807.8,749.0,807.8,930,1681948800
ok,823.9,888.5,823.9,888.5,5264,1682208000
ok,906.2,970.0,801.5,803.0,105636,1682294400
ok,787.0,803.0,760.0,788.0,38487,1682380800
ok,778.0,806.0,775.0,797.0,11752,1682467200
ok,785.0,799.0,781.1,792.8,11680,1682553600
ok,780.0,798.0,770.0,770.1,12357,1682812800
ok,770.0,777.0,760.0,764.0,9070,1682985600
ok,760.0,760.1,745.0,750.0,8778,1683072000
ok,737.5,750.0,733.0,740.0,11644,1683158400
ok,740.0,740.0,712.6,713.0,6248,1683417600
ok,708.1,720.0,687.0,688.0,15068,1683504000
ok,675.0,730.3,675.0,720.0,12141,1683590400
ok,720.0,734.4,706.0,717.0,6461,1683676800
ok,710.0,715.0,700.0,705.0,5943,1683763200
ok,718.1,729.0,701.0,704.0,10259,1684022400
ok,701.0,716.0,697.0,709.0,6026,1684108800
ok,710.0,729.0,708.5,713.0,4463,1684195200
ok,713.5,731.0,708.0,725.6,6195,1684281600
ok,714.0,760.0,714.0,753.0,12698,1684368000
ok,764.0,782.0,740.0,757.0,17187,1684627200
ok,750.0,770.0,742.4,760.0,11152,1684713600
ok,760.0,790.5,760.0,778.0,12048,1684800000
ok,780.0,795.0,761.2,788.0,14646,1684886400
ok,780.0,803.0,765.0,774.0,22687,1685232000
ok,760.3,775.0,741.7,742.0,17905,1685404800
ok,745.0,760.0,722.2,730.0,17037,1685491200
ok,730.0,745.0,725.1,737.0,9651,1685577600
ok,740.0,774.0,740.0,772.0,15002,1685836800
ok,779.0,782.0,750.0,755.0,10517,1685923200
ok,750.0,783.0,746.0,775.0,11947,1686009600
ok,775.0,800.7,771.0,773.5,11293,1686096000
ok,768.0,790.0,768.0,768.0,12864,1686182400
ok,775.0,786.0,770.1,774.0,10107,1686441600
ok,772.0,851.4,772.0,851.4,57674,1686528000
ok,868.4,927.0,865.0,915.0,46445,1686614400
ok,900.0,931.0,878.0,899.9,34409,1686700800
ok,917.8,937.0,865.3,915.0,43934,1686787200
ok,920.0,971.0,911.0,969.0,31958,1687046400
ok,955.0,965.0,931.1,931.3,25419,1687132800
ok,920.1,955.0,916.1,927.0,14476,1687219200
ok,939.9,979.0,913.0,930.0,33586,1687305600
ok,930.0,1023.0,921.0,1023.0,57497,1687392000
ok,1023.0,1102.0,1007.1,1070.0,36543,1687651200
ok,1080.0,1080.0,1021.1,1023.0,32168,1687737600
ok,1023.0,1080.0,996.0,1009.0,21023,1687824000
ok,1005.0,1020.0,975.0,975.0,33937,1687910400
ok,975.0,990.0,943.0,944.0,22785,1688256000
ok,944.0,978.0,932.1,950.0,20862,1688342400
ok,953.0,973.2,942.3,966.9,10257,1688428800
ok,986.2,986.2,941.0,949.0,15539,1688515200
ok,932.7,989.0,929.0,957.0,15393,1688601600
ok,942.0,988.0,942.0,988.0,10413,1688860800
ok,976.0,1002.0,955.0,960.0,14764,1688947200
ok,959.9,978.0,951.2,958.0,9795,1689033600
ok,952.0,978.0,950.0,950.0,10070,1689120000
ok,951.3,970.0,935.0,938.0,9192,1689206400
ok,938.0,945.0,926.3,934.0,9509,1689465600
ok,915.4,975.0,915.4,962.1,9569,1689552000
ok,962.0,970.0,947.0,951.0,9760,1689638400
ok,936.0,966.9,936.0,948.0,4273,1689724800
ok,957.0,975.0,938.4,944.0,4284,1689811200
ok,930.0,1030.0,930.0,1029.9,37754,1690070400
ok,1010.0,1047.0,992.0,1010.0,26856,1690156800
ok,992.0,1010.0,975.1,1010.0,18658,1690243200
ok,990.0,1019.0,980.0,987.0,8348,1690329600
ok,982.0,990.0,960.0,979.0,10636,1690416000
ok,994.0,994.0,955.0,968.0,8920,1690675200
ok,968.0,980.0,953.6,955.0,5045,1690761600
ok,945.0,969.0,925.0,957.0,12471,1690848000
ok,942.1,955.0,927.0,948.0,5118,1690934400
ok,949.0,960.0,936.3,947.0,4243,1691020800
ok,930.0,957.0,920.2,926.0,4549,1691280000
ok,911.0,945.0,911.0,944.7,4684,1691366400
