s,o,h,l,c,v,t
ok,33.76,34.18,33.34,33.34,530,1325376000
ok,33.34,33.34,32.49,32.49,1220,1325462400
ok,32.49,32.91,31.65,32.91,100,1325548800
ok,32.91,34.18,33.34,34.18,80,1325635200
ok,34.18,35.45,34.6,35.45,390,1326672000
ok,35.45,35.87,35.02,35.87,530,1326758400
ok,35.87,35.45,35.02,35.02,80,1327449600
ok,35.02,35.87,35.45,35.87,170,1327536000
ok,35.87,35.87,35.87,35.87,130,1328054400
ok,35.87,35.45,35.45,35.45,460,1328572800
ok,35.45,35.02,35.02,35.02,10,1328745600
ok,35.02,35.45,35.02,35.02,490,1329955200
ok,35.02,34.6,33.76,33.76,2440,1330214400
ok,33.76,33.76,33.34,33.34,1390,1330300800
ok,33.34,32.91,32.91,32.91,10,1330387200
ok,32.91,32.91,32.49,32.91,400,1330473600
ok,32.91,32.49,32.49,32.49,80,1331769600
ok,32.49,32.49,32.49,32.49,180,1332633600
ok,32.49,32.07,32.07,32.07,150,1332806400
ok,32.07,31.65,31.65,31.65,640,1332892800
ok,31.65,31.65,31.23,31.23,390,1333497600
ok,31.23,31.23,31.23,31.23,10,1334793600
ok,31.23,30.8,30.8,30.8,90,1335052800
ok,30.8,31.23,31.23,31.23,40,1336348800
ok,31.23,31.65,31.65,31.65,80,1336435200
ok,31.65,31.23,31.23,31.23,140,1336608000
ok,31.23,30.8,30.8,30.8,210,1337472000
ok,30.8,32.49,31.23,32.49,100,1337558400
ok,32.49,34.18,32.91,34.18,150,1337644800
ok,34.18,36.29,34.6,36.29,2060,1337731200
ok,36.29,35.87,35.87,35.87,40,1337817600
ok,35.87,36.71,35.45,36.29,1270,1338249600
ok,36.29,39.24,36.71,39.24,1920,1338336000
ok,39.24,38.82,38.82,38.82,890,1338681600
ok,38.82,38.82,37.98,38.82,1380,1338768000
ok,38.82,39.24,38.82,38.82,730,1338854400
ok,38.82,39.67,38.82,39.24,1060,1338940800
ok,39.24,39.67,39.24,39.24,1610,1339027200
ok,39.24,39.67,38.82,39.24,3160,1339286400
ok,39.24,39.24,38.82,39.24,100,1339372800
ok,39.24,39.67,39.24,39.24,1140,1339459200
ok,39.24,39.24,38.82,39.24,340,1339545600
ok,39.24,39.24,39.24,39.24,760,1339632000
ok,39.24,39.67,39.24,39.24,1080,1339891200
ok,39.24,38.82,38.82,38.82,490,1339977600
ok,38.82,38.82,38.82,38.82,80,1340064000
ok,38.82,38.4,38.4,38.4,80,1340236800
ok,38.4,37.98,37.56,37.56,760,1340668800
ok,37.56,37.98,37.98,37.98,150,1340755200
ok,37.98,37.56,37.56,37.56,70,1340841600
ok,37.56,37.13,37.13,37.13,140,1341100800
ok,37.13,36.71,36.71,36.71,1180,1341360000
ok,36.71,36.29,36.29,36.29,80,1341446400
ok,36.29,35.87,35.45,35.45,720,1341705600
ok,35.45,35.02,35.02,35.02,40,1341792000
ok,35.02,34.6,33.76,33.76,790,1341964800
ok,33.76,33.34,33.34,33.34,680,1342051200
ok,33.34,33.76,33.76,33.76,130,1342483200
ok,33.76,33.76,33.76,33.76,60,1342569600
ok,33.76,33.76,33.76,33.76,90,1342915200
ok,33.76,33.76,33.34,33.76,410,1343088000
ok,33.76,33.34,33.34,33.34,40,1343606400
ok,33.34,33.34,32.91,32.91,260,1343779200
ok,32.91,32.49,32.49,32.49,90,1344124800
ok,32.49,32.07,32.07,32.07,10,1344297600
ok,32.07,32.49,32.49,32.49,70,1344384000
ok,32.49,32.07,32.07,32.07,30,1344729600
ok,32.07,32.07,32.07,32.07,240,1344816000
ok,32.07,32.49,32.49,32.49,40,1344902400
ok,32.49,32.91,32.91,32.91,60,1344988800
ok,32.91,32.49,32.49,32.49,140,1345593600
ok,32.49,32.91,32.49,32.91,1240,1345680000
ok,32.91,33.34,33.34,33.34,10,1345939200
ok,33.34,33.76,33.34,33.76,170,1346025600
ok,33.76,34.18,33.76,34.18,550,1346112000
ok,34.18,35.02,34.18,35.02,300,1346198400
ok,35.02,35.45,35.02,35.45,140,1346284800
ok,35.45,35.45,35.02,35.02,170,1346544000
ok,35.02,35.87,35.45,35.45,60,1346716800
ok,35.45,35.87,35.87,35.87,30,1346803200
ok,35.87,35.45,35.45,35.45,20,1347148800
ok,35.45,35.87,35.87,35.87,40,1347321600
ok,35.87,35.87,35.87,35.87,460,1347408000
ok,35.87,36.29,36.29,36.29,40,1347494400
ok,36.29,36.29,36.29,36.29,40,1347753600
ok,36.29,37.56,36.71,37.56,160,1347840000
ok,37.56,37.56,37.56,37.56,150,1347926400
ok,37.56,37.98,37.98,37.98,20,1348012800
ok,37.98,38.82,38.4,38.82,220,1348099200
ok,38.82,38.82,38.82,38.82,30,1348358400
ok,38.82,38.82,38.82,38.82,310,1348444800
ok,38.82,39.24,39.24,39.24,210,1348531200
ok,39.24,40.09,39.67,40.09,280,1348617600
ok,40.09,40.93,40.51,40.93,80,1348963200
ok,40.93,41.35,40.93,41.35,200,1349049600
ok,41.35,40.93,40.93,40.93,280,1349136000
ok,40.93,41.78,41.35,41.78,320,1349222400
ok,41.78,41.78,41.78,41.78,70,1349568000
ok,41.78,41.78,41.78,41.78,70,1349654400
ok,41.78,41.35,41.35,41.35,20,1349740800
ok,41.35,41.78,41.78,41.78,210,1349827200
ok,41.78,41.78,41.78,41.78,40,1349913600
ok,41.78,42.2,42.2,42.2,930,1350172800
ok,42.2,43.04,42.2,42.62,450,1350259200
ok,42.62,42.2,42.2,42.2,150,1350432000
ok,42.2,42.2,42.2,42.2,150,1351555200
ok,42.2,42.2,42.2,42.2,200,1351641600
ok,42.2,42.62,42.62,42.62,20,1351728000
ok,42.62,42.2,42.2,42.2,110,1351987200
ok,42.2,43.04,42.62,43.04,540,1352073600
ok,43.04,42.62,42.62,42.62,210,1352160000
ok,42.62,43.46,43.46,43.46,40,1352246400
ok,43.46,46.0,43.46,46.0,180,1352332800
ok,46.0,47.68,46.0,47.68,160,1352592000
ok,47.68,48.53,47.68,48.53,620,1353196800
ok,48.53,49.37,49.37,49.37,120,1353369600
ok,49.37,48.53,48.53,48.53,40,1353456000
ok,48.53,48.95,48.53,48.53,470,1353542400
ok,48.53,49.37,49.37,49.37,120,1353801600
ok,49.37,49.37,48.53,48.95,450,1353974400
ok,48.95,48.95,48.11,48.95,410,1354060800
ok,48.95,49.79,48.11,48.95,570,1354147200
ok,48.95,48.11,48.11,48.11,420,1354579200
ok,48.11,47.68,47.26,47.26,40,1354665600
ok,47.26,47.68,46.42,47.68,750,1354752000
ok,47.68,46.84,46.84,46.84,130,1355011200
ok,46.84,46.84,46.84,46.84,160,1355097600
ok,46.84,48.53,47.26,47.68,1350,1355184000
ok,47.68,47.26,47.26,47.26,20,1355356800
ok,47.26,47.68,46.84,46.84,140,1355616000
ok,46.84,48.11,47.26,48.11,1480,1355702400
ok,48.11,48.11,47.26,47.68,1280,1355788800
ok,47.68,47.68,46.84,46.84,540,1355875200
ok,46.84,48.11,46.84,48.11,2040,1355961600
ok,48.11,48.95,47.26,48.95,220,1356220800
ok,48.95,50.64,49.79,49.79,2840,1356480000
