s,o,h,l,c,v,t
ok,51.95,51.95,51.95,51.95,730,1356998400
ok,51.95,57.0,52.79,57.0,931,1357776000
ok,57.0,62.68,58.05,62.68,1321,1358380800
ok,62.68,61.83,60.99,61.83,625,1358640000
ok,61.83,63.94,62.04,63.94,550,1358812800
ok,63.94,65.2,63.31,63.31,1838,1358899200
ok,63.31,62.04,62.04,62.04,200,1358985600
ok,62.04,63.1,62.04,63.1,1090,1359244800
ok,63.1,63.1,63.1,63.1,100,1359331200
ok,63.1,62.04,62.04,62.04,108,1359504000
ok,62.04,61.2,60.99,60.99,200,1359590400
ok,60.99,59.94,59.31,59.31,660,1359849600
ok,59.31,58.89,58.89,58.89,220,1359936000
ok,58.89,59.94,59.94,59.94,333,1360022400
ok,59.94,58.89,57.21,57.21,1648,1360108800
ok,57.21,56.79,56.79,56.79,100,1360195200
ok,56.79,57.84,57.84,57.84,273,1360454400
ok,57.84,59.1,58.89,59.1,400,1360800000
ok,59.1,60.15,60.15,60.15,332,1361318400
ok,60.15,61.2,60.15,61.2,525,1361664000
ok,61.2,60.15,60.15,60.15,194,1361923200
ok,60.15,59.1,58.05,58.05,300,1362009600
ok,58.05,58.05,56.79,56.79,748,1362268800
ok,56.79,57.84,57.84,57.84,131,1362355200
ok,57.84,57.84,57.84,57.84,144,1362441600
ok,57.84,58.89,58.89,58.89,100,1362528000
ok,58.89,60.57,58.47,59.52,592,1363478400
ok,59.52,60.57,60.57,60.57,420,1363737600
ok,60.57,59.52,58.47,58.47,432,1364083200
ok,58.47,57.84,55.73,57.84,4016,1364688000
ok,57.84,56.79,56.79,56.79,261,1364860800
ok,56.79,55.95,54.89,54.89,1443,1364947200
ok,54.89,55.73,55.73,55.73,293,1365033600
ok,55.73,56.79,55.73,55.73,277,1365292800
ok,55.73,56.79,56.79,56.79,100,1365638400
ok,56.79,57.84,57.84,57.84,240,1365984000
ok,57.84,57.84,57.84,57.84,102,1366502400
ok,57.84,56.79,55.73,55.73,391,1366588800
ok,55.73,56.79,55.73,56.79,1616,1367452800
ok,56.79,56.79,56.79,56.79,138,1367798400
ok,56.79,55.73,55.73,55.73,2264,1368576000
ok,55.73,54.68,53.63,53.63,4392,1369008000
ok,53.63,56.79,54.68,55.95,1663,1370995200
ok,55.95,61.41,57.0,61.41,3810,1372636800
ok,61.41,61.83,60.99,60.99,549,1372723200
ok,60.99,61.2,61.2,61.2,133,1372809600
ok,61.2,60.15,58.89,58.89,874,1372896000
ok,58.89,58.89,58.89,58.89,2346,1373155200
ok,58.89,58.89,58.89,58.89,131,1373500800
ok,58.89,58.05,58.05,58.05,131,1373846400
ok,58.05,58.89,58.05,58.26,3704,1373932800
ok,58.26,58.89,58.89,58.89,177,1374105600
ok,58.89,59.94,59.94,59.94,100,1374364800
ok,59.94,59.94,59.94,59.94,1500,1374451200
ok,59.94,59.31,59.31,59.31,6000,1374537600
ok,59.31,58.26,57.84,57.84,10167,1374624000
ok,57.84,58.05,57.0,58.05,482,1374710400
ok,58.05,58.26,57.42,57.42,2303,1375056000
ok,57.42,59.52,58.47,59.52,641,1375833600
ok,59.52,59.31,59.31,59.31,3000,1375920000
ok,59.31,59.52,58.26,58.26,2200,1376438400
ok,58.26,59.31,56.79,56.79,27325,1376524800
ok,56.79,56.79,56.79,56.79,4392,1376784000
ok,56.79,58.89,57.84,58.89,900,1376870400
ok,58.89,60.36,57.84,60.15,21662,1376956800
ok,60.15,59.1,58.05,58.05,5281,1377388800
ok,58.05,58.05,58.05,58.05,438,1377475200
ok,58.05,59.31,58.89,59.31,900,1377561600
ok,59.31,59.31,58.26,59.31,14864,1377993600
ok,59.31,59.94,58.89,58.89,16900,1378080000
ok,58.89,59.73,58.89,58.89,30183,1378166400
ok,58.89,58.89,58.89,58.89,338,1378339200
ok,58.89,58.89,58.89,58.89,6000,1378684800
ok,58.89,58.89,58.89,58.89,1865,1378771200
ok,58.89,58.89,57.84,57.84,8487,1378857600
ok,57.84,58.68,58.68,58.68,500,1379289600
ok,58.68,58.89,57.63,57.84,9210,1379376000
ok,57.84,58.68,58.68,58.68,138,1379548800
ok,58.68,58.89,58.89,58.89,288,1379808000
ok,58.89,62.04,59.94,62.04,564,1379894400
ok,62.04,63.1,60.15,60.15,76569,1379980800
ok,60.15,60.99,60.99,60.99,108,1380067200
ok,60.99,65.62,59.94,64.36,9830,1380153600
ok,64.36,67.3,64.78,67.3,4657,1380412800
ok,67.3,69.83,68.35,68.35,1353,1380499200
ok,68.35,69.41,63.31,64.57,1360,1380585600
ok,64.57,64.57,63.31,64.57,1609,1380672000
ok,64.57,64.78,61.41,64.78,614,1380758400
ok,64.78,61.62,59.52,59.52,404,1381017600
ok,59.52,65.2,60.57,65.2,9142,1381363200
ok,65.2,71.72,66.46,71.72,4993,1382227200
ok,71.72,74.24,71.51,71.72,1382,1382313600
ok,71.72,72.98,71.72,72.98,4202,1382400000
ok,72.98,80.13,74.03,80.13,21957,1382486400
ok,80.13,86.23,80.97,83.08,11722,1382572800
ok,83.08,85.81,82.24,82.24,2525,1382832000
ok,82.24,83.71,82.45,82.45,2365,1382918400
ok,82.45,81.39,81.18,81.39,623,1383004800
ok,81.39,83.71,82.02,83.71,1823,1383091200
ok,83.71,82.24,82.24,82.24,1200,1383177600
ok,82.24,82.24,82.24,82.24,327,1383696000
ok,82.24,83.92,83.08,83.92,466,1383782400
ok,83.92,84.13,83.92,84.13,560,1384041600
ok,84.13,85.81,84.13,85.81,9432,1384128000
ok,85.81,84.34,83.92,83.92,4717,1384214400
ok,83.92,85.39,83.29,83.29,1441,1384300800
ok,83.29,85.81,83.92,83.92,5628,1384387200
ok,92.16,92.16,83.92,92.16,49732,1385510400
ok,92.16,97.46,93.93,97.46,300,1385596800
ok,97.46,107.18,99.23,107.18,2687,1385856000
ok,107.18,110.12,106.0,108.36,9800,1385942400
ok,108.36,110.42,106.0,106.0,661,1386028800
ok,106.0,103.94,103.94,103.94,48324,1386115200
ok,103.94,106.3,106.0,106.0,352,1386201600
ok,106.0,108.06,108.06,108.06,144,1386460800
ok,108.06,106.0,103.94,103.94,393,1386547200
