s,o,h,l,c,v,t
ok,80.77,79.81,79.81,79.81,70,1325980800
ok,79.81,78.85,77.88,78.85,380,1327968000
ok,78.85,78.85,77.88,78.85,1410,1328572800
ok,78.85,77.88,77.88,77.88,160,1329782400
ok,77.88,76.92,75.96,75.96,120,1329955200
ok,75.96,76.92,76.92,76.92,30,1330300800
ok,76.92,75.96,75.96,75.96,40,1330473600
ok,75.96,76.92,76.92,76.92,40,1330905600
ok,76.92,77.88,77.88,77.88,200,1331510400
ok,77.88,77.88,77.88,77.88,140,1331769600
ok,77.88,76.92,76.92,76.92,50,1332115200
ok,76.92,77.88,77.88,77.88,60,1332201600
ok,77.88,77.88,77.88,77.88,190,1332633600
ok,77.88,76.92,75.0,75.0,190,1332806400
ok,75.0,75.0,74.04,75.0,80,1332892800
ok,75.0,74.04,73.08,73.08,140,1333238400
ok,73.08,72.12,71.15,71.15,400,1333929600
ok,71.15,72.12,72.12,72.12,10,1337644800
ok,72.12,73.08,73.08,73.08,30,1337731200
ok,73.08,74.04,74.04,74.04,20,1337817600
ok,74.04,77.88,75.0,77.88,330,1338249600
ok,77.88,80.77,78.85,80.77,830,1338336000
ok,80.77,81.73,81.73,81.73,120,1338681600
ok,81.73,80.77,80.77,80.77,390,1338768000
ok,80.77,80.77,79.81,79.81,40,1338854400
ok,79.81,79.81,78.85,78.85,210,1339027200
ok,78.85,78.85,78.85,78.85,170,1339372800
ok,78.85,77.88,77.88,77.88,30,1339459200
ok,77.88,78.85,77.88,78.85,240,1339632000
ok,78.85,77.88,77.88,77.88,40,1340064000
ok,77.88,78.85,78.85,78.85,20,1340150400
ok,78.85,79.81,79.81,79.81,110,1340582400
ok,79.81,78.85,78.85,78.85,50,1344297600
ok,78.85,79.81,78.85,78.85,330,1345593600
ok,78.85,79.81,78.85,79.81,160,1345680000
ok,79.81,80.77,79.81,79.81,360,1345939200
ok,79.81,79.81,79.81,79.81,30,1346112000
ok,79.81,82.69,79.81,82.69,480,1346198400
ok,82.69,81.73,81.73,81.73,3070,1346630400
ok,81.73,80.77,80.77,80.77,10,1346716800
ok,80.77,81.73,81.73,81.73,60,1346803200
ok,81.73,80.77,80.77,80.77,290,1346889600
ok,80.77,81.73,80.77,80.77,40,1347148800
ok,80.77,79.81,79.81,79.81,20,1347321600
ok,79.81,78.85,78.85,78.85,200,1347753600
ok,78.85,77.88,77.88,77.88,190,1347840000
ok,77.88,78.85,78.85,78.85,490,1348012800
ok,78.85,79.81,79.81,79.81,160,1348099200
ok,79.81,78.85,78.85,78.85,40,1348963200
ok,78.85,80.77,79.81,80.77,170,1349049600
ok,80.77,80.77,80.77,80.77,30,1349568000
ok,80.77,81.73,80.77,80.77,170,1349654400
ok,80.77,81.73,81.73,81.73,10,1349827200
ok,81.73,81.73,81.73,81.73,20,1349913600
ok,81.73,81.73,81.73,81.73,20,1350172800
ok,81.73,81.73,81.73,81.73,190,1350432000
ok,81.73,81.73,81.73,81.73,40,1352592000
ok,81.73,80.77,80.77,80.77,40,1353974400
ok,80.77,80.77,80.77,80.77,20,1354060800
ok,80.77,81.73,81.73,81.73,20,1355184000
ok,81.73,81.73,81.73,81.73,10,1355356800
ok,81.73,80.77,80.77,80.77,10,1355875200
ok,80.77,80.77,80.77,80.77,220,1355961600
ok,80.77,81.73,81.73,81.73,120,1356480000
ok,81.73,83.65,81.73,83.65,770,1356566400
ok,83.65,82.69,82.69,82.69,30,1356912000
ok,82.69,82.69,82.69,82.69,10,1356998400
ok,82.69,81.73,81.73,81.73,220,1357084800
ok,81.73,82.69,82.69,82.69,40,1357430400
ok,82.69,81.73,81.73,81.73,10,1357516800
ok,81.73,82.69,82.69,82.69,10,1358380800
ok,82.69,82.69,82.69,82.69,20,1358640000
ok,82.69,83.65,82.69,82.69,60,1358899200
ok,82.69,83.65,83.65,83.65,130,1359244800
ok,83.65,85.58,84.62,85.58,20,1359331200
ok,85.58,90.38,86.54,90.38,50,1359504000
ok,90.38,93.27,91.35,93.27,90,1359590400
ok,93.27,96.15,94.23,96.15,180,1359849600
ok,96.15,98.08,94.23,94.23,170,1359936000
ok,94.23,95.19,94.23,94.23,60,1360022400
ok,94.23,95.19,95.19,95.19,50,1360108800
ok,95.19,96.15,96.15,96.15,190,1360195200
ok,96.15,96.15,95.19,96.15,60,1360454400
ok,96.15,96.15,96.15,96.15,30,1360627200
ok,96.15,96.15,95.19,96.15,180,1360713600
ok,96.15,96.15,96.15,96.15,10,1360800000
ok,96.15,96.15,96.15,96.15,90,1361232000
ok,96.15,95.19,94.23,95.19,30,1361318400
ok,95.19,96.15,96.15,96.15,120,1361404800
ok,96.15,98.08,98.08,98.08,310,1361750400
ok,98.08,97.12,96.15,97.12,150,1361923200
ok,97.12,96.15,96.15,96.15,110,1362009600
ok,96.15,96.15,96.15,96.15,310,1362268800
ok,96.15,96.15,96.15,96.15,40,1362355200
ok,96.15,97.12,97.12,97.12,270,1362441600
ok,97.12,97.12,96.15,97.12,90,1362614400
ok,97.12,97.12,97.12,97.12,500,1362960000
ok,97.12,98.08,97.12,98.08,190,1363132800
ok,98.08,96.15,96.15,96.15,30,1363478400
ok,96.15,96.15,96.15,96.15,40,1363564800
ok,96.15,96.15,96.15,96.15,10,1363651200
ok,96.15,97.12,97.12,97.12,10,1363737600
ok,97.12,97.12,97.12,97.12,70,1363824000
ok,97.12,97.12,95.19,95.19,40,1364342400
ok,95.19,94.23,94.23,94.23,30,1364428800
ok,94.23,93.27,93.27,93.27,70,1364688000
ok,93.27,97.12,94.23,97.12,1010,1364774400
ok,97.12,97.12,97.12,97.12,260,1364947200
ok,97.12,97.12,96.15,96.15,910,1365033600
ok,96.15,97.12,96.15,97.12,1580,1365292800
ok,97.12,98.08,98.08,98.08,10,1365465600
ok,98.08,99.04,98.08,99.04,40,1365638400
ok,99.04,100.96,100.96,100.96,600,1366156800
ok,100.96,99.04,99.04,99.04,1410,1366243200
ok,99.04,100.0,98.08,100.0,150,1366588800
ok,100.0,102.88,101.92,101.92,270,1366675200
ok,101.92,103.85,103.85,103.85,20,1366848000
ok,103.85,105.77,105.77,105.77,1450,1367280000
ok,105.77,105.77,103.85,105.77,80,1367452800
ok,105.77,110.58,108.65,110.58,580,1368057600
ok,110.58,110.58,110.58,110.58,390,1368403200
ok,110.58,112.5,112.5,112.5,20,1369180800
ok,112.5,114.42,110.58,114.42,770,1369526400
ok,114.42,112.5,112.5,112.5,40,1369612800
ok,112.5,117.31,113.46,115.38,100,1369699200
ok,115.38,115.38,113.46,113.46,310,1369872000
ok,113.46,113.46,111.54,112.5,720,1370131200
ok,112.5,118.27,114.42,118.27,100,1370217600
ok,118.27,118.27,116.35,118.27,490,1370304000
ok,118.27,122.12,120.19,122.12,1320,1370390400
ok,122.12,122.12,120.19,122.12,280,1370476800
ok,122.12,120.19,118.27,119.23,990,1370736000
ok,119.23,120.19,118.27,118.27,220,1370822400
ok,118.27,120.19,116.35,120.19,350,1370908800
ok,120.19,122.12,120.19,120.19,30,1370995200
ok,120.19,121.15,120.19,121.15,40,1371081600
ok,121.15,121.15,118.27,118.27,90,1371340800
ok,118.27,117.31,117.31,117.31,680,1371513600
ok,117.31,119.23,117.31,119.23,40,1371600000
ok,119.23,117.31,117.31,117.31,330,1371686400
ok,117.31,117.31,115.38,116.35,250,1372118400
ok,116.35,114.42,114.42,114.42,20,1372204800
ok,114.42,112.5,110.58,110.58,50,1372636800
ok,110.58,108.65,108.65,108.65,250,1372896000
ok,108.65,108.65,98.08,98.08,1050,1373155200
ok,98.08,96.15,96.15,96.15,80,1373241600
ok,96.15,96.15,96.15,96.15,10,1373414400
ok,96.15,96.15,95.19,95.19,390,1373932800
ok,95.19,94.23,94.23,94.23,10,1376352000
ok,94.23,94.23,94.23,94.23,70,1376438400
ok,94.23,95.19,94.23,94.23,60,1377388800
ok,94.23,94.23,94.23,94.23,10,1377475200
ok,94.23,95.19,95.19,95.19,50,1377734400
ok,95.19,100.0,96.15,98.08,140,1377993600
ok,98.08,98.08,96.15,96.15,160,1378080000
ok,96.15,97.12,96.15,97.12,130,1378166400
ok,97.12,97.12,97.12,97.12,20,1378339200
ok,97.12,99.04,97.12,99.04,80,1378684800
ok,99.04,99.04,99.04,99.04,40,1379289600
ok,99.04,99.04,99.04,99.04,150,1379376000
ok,99.04,106.73,100.96,106.73,170,1379548800
ok,106.73,105.77,105.77,105.77,20,1379980800
ok,105.77,103.85,101.92,101.92,180,1380412800
ok,101.92,100.0,100.0,100.0,40,1380499200
ok,100.0,103.85,101.92,103.85,110,1380585600
ok,103.85,105.77,105.77,105.77,10,1380672000
ok,105.77,108.65,106.73,108.65,460,1380758400
ok,108.65,108.65,108.65,108.65,20,1381104000
ok,108.65,106.73,106.73,106.73,100,1381190400
ok,106.73,105.77,105.77,105.77,80,1382918400
ok,105.77,106.73,105.77,105.77,570,1383004800
ok,105.77,107.69,107.69,107.69,210,1383091200
ok,107.69,107.69,105.77,106.73,2030,1383177600
ok,106.73,108.65,108.65,108.65,80,1384128000
ok,108.65,108.65,108.65,108.65,100,1384300800
ok,108.65,108.65,108.65,108.65,80,1385337600
ok,108.65,112.5,110.58,112.5,430,1385942400
ok,112.5,114.42,112.5,114.42,30,1386028800
ok,114.42,114.42,112.5,112.5,80,1386201600
ok,112.5,110.58,110.58,110.58,60,1386460800
