s,o,h,l,c,v,t
ok,298.8,328.6,298.8,328.6,3220,1679529600
ok,335.0,361.4,335.0,361.4,10,1679788800
ok,368.6,397.5,368.6,397.5,6410,1679875200
ok,405.4,437.2,405.4,437.2,5420,1679961600
ok,445.9,480.9,445.0,448.0,52292,1680048000
ok,440.1,450.0,430.4,437.6,23220,1680134400
ok,437.6,440.0,404.0,419.1,19656,1680393600
ok,411.0,412.0,390.2,398.0,16906,1680480000
ok,399.0,407.9,388.0,393.6,5547,1680566400
ok,390.0,408.9,388.2,408.9,7492,1680652800
ok,403.0,411.0,401.0,407.0,5440,1680739200
ok,400.1,402.0,390.1,392.0,5680,1680998400
ok,385.1,406.0,382.7,398.9,5370,1681084800
ok,391.0,399.0,390.0,398.0,3836,1681171200
ok,405.0,417.9,391.1,417.9,6880,1681257600
ok,415.0,434.0,402.2,434.0,7351,1681344000
ok,425.4,430.0,400.0,400.0,19740,1681603200
ok,398.0,400.0,392.3,400.0,3120,1681689600
ok,392.0,398.0,386.0,396.5,2600,1681776000
ok,395.0,399.8,392.0,397.0,1840,1681862400
ok,404.9,404.9,385.0,394.0,6555,1681948800
ok,386.2,390.0,375.1,376.0,4040,1682208000
ok,370.0,380.0,367.1,378.0,3151,1682294400
ok,370.6,382.0,360.9,379.0,7262,1682380800
ok,383.0,385.0,371.5,376.0,3490,1682467200
ok,380.0,380.0,365.2,374.0,6634,1682553600
ok,366.8,375.0,352.0,359.0,10243,1682812800
ok,366.0,369.0,347.1,369.0,3222,1682985600
ok,369.0,369.0,348.0,358.0,3370,1683072000
ok,351.1,361.0,346.0,358.0,1720,1683158400
ok,350.9,350.9,341.0,347.8,1800,1683417600
ok,341.0,343.3,330.1,337.0,1890,1683504000
ok,335.0,349.0,330.1,343.0,2590,1683590400
ok,340.5,351.9,335.1,351.9,1122,1683676800
ok,354.0,354.0,335.6,335.6,1992,1683763200
ok,335.6,342.3,330.3,334.0,1902,1684022400
ok,327.4,337.0,323.0,328.0,1090,1684108800
ok,325.0,335.0,323.0,330.1,3350,1684195200
ok,325.0,336.0,325.0,335.9,1570,1684281600
ok,330.4,351.0,330.4,350.0,7120,1684368000
ok,350.0,364.0,338.0,345.0,6066,1684627200
ok,351.0,351.9,332.2,343.5,2604,1684713600
ok,340.0,365.0,340.0,365.0,20052,1684800000
ok,365.0,371.9,359.0,368.4,5575,1684886400
ok,361.6,377.4,353.0,377.4,15729,1685232000
ok,369.9,369.9,348.7,362.9,13364,1685404800
ok,356.0,356.0,327.5,327.5,13708,1685491200
ok,327.5,350.0,323.6,344.1,5851,1685577600
ok,344.0,362.0,338.1,361.9,5460,1685836800
ok,367.0,367.0,338.0,349.9,10704,1685923200
ok,343.0,351.8,337.0,346.8,16854,1686009600
ok,350.0,357.0,338.0,346.0,8067,1686096000
ok,352.9,354.0,339.0,346.0,6162,1686182400
ok,341.5,360.7,341.5,357.3,18836,1686441600
ok,357.2,363.0,351.2,353.0,6223,1686528000
ok,350.0,367.0,348.1,360.0,8622,1686614400
ok,360.0,379.0,358.0,366.0,14791,1686700800
ok,358.7,366.0,355.1,355.2,6210,1686787200
ok,355.2,379.0,355.2,376.6,12019,1687046400
ok,376.0,406.0,370.0,397.0,16499,1687132800
ok,397.0,404.8,381.0,381.0,7767,1687219200
ok,381.0,382.0,360.5,362.6,13984,1687305600
ok,369.7,375.3,356.1,356.4,4980,1687392000
ok,350.1,374.3,349.2,374.3,7695,1687651200
ok,371.0,376.0,364.8,365.1,5145,1687737600
ok,358.0,372.0,358.0,372.0,5422,1687824000
ok,364.6,364.6,348.0,355.0,10242,1687910400
ok,348.0,354.0,335.8,335.8,5723,1688256000
ok,342.5,351.9,336.0,337.0,9884,1688342400
ok,335.0,345.0,335.0,340.0,1140,1688428800
ok,345.9,346.0,330.0,330.4,2815,1688515200
ok,324.5,345.0,324.5,336.0,3084,1688601600
ok,329.4,342.7,329.4,333.1,3575,1688860800
ok,328.0,340.0,328.0,330.1,3580,1688947200
ok,325.5,339.6,325.5,334.5,2330,1689033600
ok,335.9,348.9,330.0,342.0,6547,1689120000
ok,342.0,349.9,338.1,338.1,4313,1689206400
ok,332.5,337.9,330.0,330.0,2350,1689465600
ok,330.0,349.7,326.3,340.0,2580,1689552000
ok,345.0,345.0,334.3,335.2,3175,1689638400
ok,328.5,341.9,328.5,334.0,2520,1689724800
ok,328.1,347.0,328.1,339.1,4735,1689811200
ok,340.1,354.8,335.4,345.0,5845,1690070400
ok,338.2,360.0,338.2,356.0,8818,1690156800
ok,363.0,363.0,350.0,353.0,6120,1690243200
ok,360.0,360.0,346.1,348.9,2954,1690329600
ok,350.0,354.0,344.0,348.9,2985,1690416000
ok,345.0,347.0,335.0,344.9,3129,1690675200
ok,338.4,347.0,326.1,332.0,3940,1690761600
ok,338.0,338.0,330.7,335.0,2800,1690848000
ok,329.3,341.7,329.1,341.7,4070,1690934400
ok,335.0,341.7,332.2,337.0,2351,1691020800
ok,335.0,335.0,327.6,331.9,3037,1691280000
ok,325.3,330.1,320.0,324.0,4101,1691366400
ok,320.0,328.5,320.0,320.0,2110,1691452800
ok,315.1,348.5,312.0,348.5,3085,1691539200
ok,341.6,345.5,318.9,331.1,1145,1691625600
ok,325.0,329.9,325.0,326.0,1506,1691884800
ok,320.0,329.4,320.0,324.0,1300,1691971200
ok,320.0,326.5,315.5,316.1,1525,1692057600
ok,311.0,317.0,310.0,310.0,3484,1692144000
ok,304.1,314.0,304.1,311.0,1830,1692230400
ok,305.1,311.2,304.1,304.3,2140,1692489600
ok,300.1,324.0,296.0,302.9,2715,1692576000
ok,296.9,310.0,296.9,302.2,1000,1692662400
ok,298.2,315.0,298.2,315.0,2505,1692748800
ok,308.7,315.1,302.6,303.1,2310,1692835200
ok,297.1,297.8,292.1,297.0,1460,1693094400
ok,291.1,304.9,291.1,299.0,2220,1693180800
ok,300.0,303.0,293.7,297.7,1170,1693267200
ok,292.5,299.0,292.5,293.2,530,1693353600
ok,287.6,293.0,285.7,290.0,2070,1693699200
ok,286.0,291.0,280.0,290.1,1490,1693785600
ok,290.0,290.0,278.8,289.0,603,1693872000
ok,284.0,285.0,277.0,277.2,1288,1694044800
ok,273.1,285.6,273.1,285.6,1400,1694304000
ok,285.6,297.0,285.6,292.0,1010,1694390400
ok,286.2,289.0,280.5,286.2,460,1694476800
