s,o,h,l,c,v,t
ok,93.24,93.24,92.76,92.76,377,1325376000
ok,92.76,92.35,91.66,92.21,2216,1325462400
ok,92.21,92.35,91.93,92.21,1677,1325548800
ok,92.21,92.21,91.59,92.07,979,1325635200
ok,92.07,92.07,91.73,92.07,193,1325721600
ok,92.07,92.97,92.07,92.9,242,1325980800
ok,92.9,93.45,92.9,93.04,643,1326067200
ok,93.04,92.97,92.28,92.28,386,1326240000
ok,92.28,91.93,91.93,91.93,84,1326326400
ok,91.93,92.49,92.28,92.28,2213,1326672000
ok,92.28,92.28,92.28,92.28,14,1326758400
ok,92.28,92.0,91.93,92.0,112,1326844800
ok,92.28,92.28,92.28,92.28,79,1326844800
ok,92.0,92.21,91.93,91.93,376,1327190400
ok,91.93,92.35,92.07,92.28,189,1327276800
ok,92.28,92.49,92.07,92.49,390,1327449600
ok,92.49,92.9,92.42,92.42,1184,1327536000
ok,92.42,92.0,92.0,92.0,222,1327795200
ok,92.0,92.42,92.14,92.28,128,1327968000
ok,92.28,92.28,92.07,92.21,367,1328054400
ok,92.21,92.28,92.0,92.21,206,1328140800
ok,92.21,92.62,91.87,91.93,501,1328400000
ok,91.93,92.0,91.93,91.93,479,1328486400
ok,91.93,92.62,91.52,91.87,908,1328572800
ok,91.87,91.66,91.52,91.52,469,1328659200
ok,91.52,91.59,91.25,91.52,156,1328745600
ok,91.52,91.93,91.59,91.66,328,1329004800
ok,91.66,92.0,91.31,91.38,1137,1329091200
ok,91.38,91.66,91.31,91.66,215,1329177600
ok,91.66,91.73,91.52,91.73,173,1329264000
ok,91.73,91.93,91.66,91.8,1144,1329350400
ok,91.8,91.93,91.87,91.93,141,1329782400
ok,91.93,91.93,91.66,91.66,649,1329955200
ok,91.66,91.87,91.59,91.66,2080,1330214400
ok,91.66,91.93,91.59,91.73,559,1330300800
ok,91.73,92.0,91.73,91.93,539,1330387200
ok,91.93,91.93,91.8,91.93,565,1330473600
ok,91.93,92.28,91.87,91.87,529,1330560000
ok,91.87,92.0,91.8,92.0,896,1330819200
ok,92.0,92.42,92.0,92.0,225,1330905600
ok,92.0,92.35,92.0,92.0,407,1330992000
ok,92.0,91.87,91.59,91.87,252,1331424000
ok,91.87,91.93,91.8,91.87,192,1331510400
ok,91.87,91.87,91.73,91.73,367,1331596800
ok,91.73,91.73,91.59,91.73,275,1331683200
ok,91.73,91.87,91.52,91.52,426,1331769600
ok,91.52,91.59,91.45,91.45,878,1332028800
ok,91.45,91.59,91.38,91.38,208,1332115200
ok,91.38,91.66,91.31,91.66,1110,1332201600
ok,91.66,91.66,91.45,91.52,1444,1332288000
ok,91.52,91.59,91.25,91.25,616,1332633600
ok,91.25,91.25,91.11,91.25,1934,1332720000
ok,91.25,91.25,91.25,91.25,95,1332806400
ok,91.25,91.38,91.25,91.31,210,1332892800
ok,91.31,91.93,91.59,91.93,128,1333238400
ok,91.93,91.59,91.59,91.59,139,1333324800
ok,91.59,91.93,91.8,91.87,5557,1333411200
ok,91.87,92.21,91.8,91.8,509,1333497600
ok,91.8,91.66,91.45,91.59,1954,1333584000
ok,91.59,91.59,90.9,91.59,730,1333843200
ok,91.59,92.0,91.73,91.8,360,1333929600
ok,91.8,91.93,91.59,91.87,219,1334016000
ok,91.87,93.04,92.14,92.14,778,1334102400
ok,92.14,93.38,91.93,93.38,2237,1334188800
ok,93.38,94.48,93.79,94.48,166,1334448000
ok,94.48,94.07,94.07,94.07,314,1334707200
ok,94.07,94.48,93.93,94.0,2186,1334793600
ok,94.0,94.21,93.79,93.79,616,1335052800
ok,93.79,94.41,94.0,94.41,342,1335225600
ok,94.41,95.24,94.83,95.24,90,1335312000
ok,95.24,97.58,94.9,97.58,1291,1335398400
ok,97.58,98.13,96.62,96.76,909,1335657600
ok,96.76,96.27,95.93,95.93,262,1336003200
ok,95.93,96.41,96.41,96.41,31,1336435200
ok,96.41,96.89,93.93,93.93,778,1336521600
ok,93.93,93.66,92.69,93.31,1628,1336608000
ok,93.31,92.97,92.49,92.97,775,1336867200
ok,92.97,92.62,92.28,92.42,638,1336953600
ok,92.42,93.73,92.83,93.73,399,1337040000
ok,93.73,94.14,94.14,94.14,10,1337126400
ok,94.14,96.41,94.55,95.93,288,1337212800
ok,95.93,95.45,94.21,94.55,2628,1337472000
ok,94.55,94.14,93.31,93.52,618,1337558400
ok,93.52,93.59,92.21,92.21,2082,1337644800
ok,92.21,91.93,91.93,91.93,434,1337731200
ok,91.93,92.69,92.28,92.69,84,1337817600
ok,92.69,93.31,92.76,92.76,187,1338076800
ok,92.76,92.35,90.63,90.63,697,1338249600
ok,90.63,90.28,88.7,89.87,1665,1338336000
ok,89.87,90.56,90.21,90.56,168,1338422400
ok,90.56,90.9,90.56,90.9,379,1338768000
ok,90.9,91.04,90.28,90.83,986,1338854400
ok,90.83,90.9,90.49,90.9,223,1338940800
ok,90.9,91.25,90.9,90.9,195,1339027200
ok,90.9,90.63,90.56,90.63,48,1339286400
ok,90.63,90.9,90.56,90.9,375,1339372800
ok,90.9,91.11,91.11,91.11,28,1339459200
ok,91.11,90.9,90.83,90.9,486,1339545600
ok,90.9,91.25,90.9,90.9,170,1339632000
ok,90.9,90.56,90.49,90.56,202,1339891200
ok,90.56,91.11,90.9,91.11,177,1339977600
ok,91.11,91.11,90.76,91.11,99,1340064000
ok,91.11,91.18,90.14,90.35,1444,1340150400
ok,90.35,90.69,90.35,90.69,278,1340236800
ok,90.69,91.38,90.42,91.38,635,1340582400
ok,91.38,91.31,91.31,91.31,64,1340668800
ok,91.31,92.0,90.97,91.59,1102,1340755200
ok,91.59,92.28,91.87,91.93,352,1340841600
ok,91.93,92.07,90.9,92.07,526,1341100800
ok,92.07,92.35,91.8,92.28,323,1341187200
ok,92.28,92.28,92.0,92.0,275,1341273600
ok,92.0,92.42,91.66,91.87,1168,1341360000
ok,91.87,92.14,91.52,91.93,352,1341446400
ok,91.93,92.35,91.87,92.35,246,1341705600
ok,92.35,92.28,92.0,92.28,110,1341792000
ok,92.28,92.62,92.28,92.28,303,1341878400
ok,92.28,92.35,91.93,92.35,376,1341964800
ok,92.35,92.28,92.0,92.14,330,1342051200
ok,92.14,92.28,92.07,92.28,202,1342310400
ok,92.28,92.14,91.87,92.0,462,1342396800
ok,92.0,92.35,92.14,92.21,106,1342483200
ok,92.21,92.14,91.93,91.93,279,1342569600
ok,91.93,92.35,91.93,92.35,130,1342656000
ok,92.35,93.17,91.93,93.17,158,1342915200
ok,93.17,93.17,92.35,92.9,349,1343001600
ok,92.9,92.49,92.07,92.28,126,1343088000
ok,92.28,92.49,92.28,92.49,512,1343174400
ok,92.49,92.55,92.35,92.55,573,1343260800
ok,92.55,92.97,92.62,92.97,156,1343520000
ok,92.97,92.62,91.93,92.35,1507,1343606400
ok,92.35,92.49,92.35,92.49,125,1343692800
ok,92.49,92.49,92.28,92.28,242,1343779200
ok,92.28,93.04,92.0,93.04,378,1344124800
ok,93.04,93.11,92.76,92.97,939,1344211200
ok,92.97,93.04,92.76,93.04,1442,1344297600
ok,93.04,92.97,92.76,92.97,2553,1344384000
ok,92.97,94.62,93.31,94.62,4727,1344729600
ok,94.62,95.52,93.45,94.69,1862,1344816000
ok,94.69,94.76,94.28,94.35,457,1344902400
ok,94.35,94.41,93.38,93.66,2040,1344988800
ok,93.66,93.38,93.24,93.24,589,1345075200
ok,93.24,95.38,93.17,95.03,2630,1345334400
ok,95.03,94.62,93.93,94.14,558,1345507200
ok,94.14,94.35,93.31,93.86,1093,1345593600
ok,93.86,94.28,93.66,94.0,1819,1345680000
ok,94.0,94.41,93.66,93.86,1447,1345939200
ok,93.86,94.28,93.66,94.0,729,1346025600
ok,94.0,94.69,93.73,94.69,729,1346112000
ok,94.69,94.96,94.0,94.55,3702,1346198400
ok,94.55,95.03,94.69,94.96,3566,1346284800
ok,94.96,95.1,94.69,95.1,905,1346544000
ok,95.1,95.38,94.35,95.38,7599,1346630400
ok,95.38,95.24,94.83,95.17,239,1346716800
ok,95.17,94.76,94.69,94.69,294,1346803200
ok,94.69,94.96,94.35,94.76,1707,1346889600
ok,94.76,94.69,94.21,94.21,7197,1347148800
ok,94.21,94.62,94.0,94.35,10458,1347235200
ok,94.35,94.35,94.07,94.14,1211,1347321600
ok,94.14,94.35,94.0,94.35,4173,1347408000
ok,94.35,94.35,94.35,94.35,155,1347494400
ok,94.35,94.55,93.45,94.14,36343,1347753600
ok,94.14,94.83,93.79,94.41,8640,1347840000
ok,94.41,94.83,93.52,94.0,41410,1347926400
ok,94.0,94.76,93.73,94.0,24874,1348012800
ok,94.0,94.21,93.45,94.0,18005,1348099200
ok,94.0,94.35,93.45,93.86,11641,1348358400
ok,93.86,94.14,93.45,93.45,19786,1348444800
ok,93.45,94.0,93.66,93.86,849,1348531200
ok,93.86,94.35,94.14,94.35,869,1348617600
ok,94.35,94.76,93.31,94.28,19700,1348704000
ok,94.28,94.41,93.31,94.14,18465,1348963200
ok,94.14,94.28,93.73,94.28,1192,1349049600
ok,94.28,93.93,93.45,93.66,8123,1349136000
ok,93.66,94.0,93.45,93.66,10142,1349222400
ok,93.66,94.0,93.66,93.79,4737,1349308800
ok,93.79,94.76,93.45,94.76,18494,1349568000
ok,94.76,95.17,93.73,93.73,4749,1349654400
ok,93.73,94.41,93.66,94.0,19845,1349740800
ok,94.0,94.83,94.0,94.0,8034,1349827200
ok,94.0,94.69,93.66,94.69,33337,1349913600
ok,94.69,95.52,94.41,94.96,2493,1350172800
ok,94.96,95.31,94.62,94.96,2171,1350259200
ok,94.96,95.03,94.35,95.03,4409,1350432000
ok,95.03,95.1,94.76,94.96,1647,1350518400
ok,94.96,95.17,93.31,94.14,26759,1351555200
ok,97.57,96.38,94.56,96.38,93,1352073600
ok,96.38,98.2,96.86,97.41,3980,1352160000
ok,97.41,97.73,97.33,97.73,2130,1352246400
ok,97.73,98.2,97.73,97.89,2533,1352332800
ok,97.89,98.84,97.57,97.57,4576,1352592000
ok,97.57,98.52,97.33,98.52,544,1352678400
ok,98.52,98.91,98.2,98.28,1836,1353196800
