s,o,h,l,c,v,t
ok,95.2,115.2,94.4,100.8,1245,1545264000
ok,100.8,101.6,99.2,101.6,2920,1545523200
ok,101.6,102.4,100.0,100.8,2320,1545609600
ok,100.8,100.8,99.2,100.4,590,1545696000
ok,100.4,100.8,100.0,100.4,390,1545782400
ok,100.4,100.8,99.6,99.6,840,1545868800
ok,99.6,100.0,99.2,99.6,420,1546128000
ok,99.6,100.0,99.2,99.2,1320,1546214400
ok,99.2,99.2,98.4,98.8,1030,1546300800
ok,98.8,98.8,98.0,98.4,570,1546387200
ok,98.4,98.4,97.2,97.2,760,1546473600
ok,97.2,98.0,96.8,98.0,2540,1546732800
ok,96.4,98.0,95.6,98.0,1560,1546905600
ok,98.0,98.0,96.8,97.6,1186,1546992000
ok,97.6,98.0,96.8,97.6,1480,1547078400
ok,97.6,97.6,95.2,96.0,1170,1547337600
ok,96.0,96.4,95.6,95.6,1280,1547424000
ok,95.6,96.8,95.6,96.8,2000,1547510400
ok,96.8,96.8,96.0,96.4,470,1547596800
ok,96.4,96.4,95.6,95.6,1120,1547683200
ok,95.6,95.6,94.4,94.8,120,1547942400
ok,94.8,94.8,91.6,92.4,1570,1548028800
ok,92.4,92.8,91.6,92.0,1080,1548115200
ok,92.0,94.4,92.0,94.4,620,1548201600
ok,94.4,94.4,93.2,94.4,911,1548288000
ok,94.4,95.2,93.6,94.4,1230,1548547200
ok,94.4,94.4,93.2,93.6,500,1548633600
ok,93.6,94.0,92.8,93.6,999,1548720000
ok,93.6,94.4,93.2,93.6,1130,1548806400
ok,93.6,94.4,93.6,94.0,1080,1548892800
ok,93.6,94.0,93.2,94.0,779,1549152000
ok,93.6,94.0,91.2,92.4,610,1549238400
ok,92.0,94.0,92.0,94.0,400,1549324800
ok,94.0,94.0,93.6,93.6,780,1549411200
ok,93.6,94.0,92.4,93.2,1050,1549497600
ok,93.6,94.0,92.4,92.8,990,1549756800
ok,92.4,93.2,92.0,92.4,670,1549843200
ok,92.4,93.6,92.4,93.6,510,1549929600
ok,93.2,93.6,92.0,92.4,750,1550016000
ok,92.8,94.0,92.4,92.4,710,1550102400
ok,92.0,93.2,91.6,92.8,660,1550361600
ok,93.2,93.2,92.4,92.4,535,1550448000
ok,92.0,92.4,91.6,91.6,230,1550534400
ok,91.6,92.0,91.2,91.6,590,1550620800
ok,91.2,92.4,91.2,91.2,1830,1550707200
ok,91.2,91.6,90.8,90.8,1320,1550966400
ok,90.4,92.8,90.0,92.8,310,1551052800
ok,93.2,94.0,92.4,92.8,625,1551139200
ok,93.2,94.0,92.4,94.0,2860,1551225600
ok,93.6,94.0,92.0,92.0,510,1551571200
ok,91.6,92.4,91.2,92.0,230,1551744000
ok,92.0,92.4,92.0,92.0,200,1551830400
ok,92.0,92.8,90.8,92.0,340,1551916800
ok,91.6,92.4,91.2,92.4,730,1552089600
ok,91.6,92.4,91.2,92.4,730,1552176000
ok,92.8,92.8,91.6,92.4,320,1552262400
ok,92.4,92.8,91.6,92.0,550,1552348800
ok,91.6,93.2,91.6,92.8,1085,1552435200
ok,93.2,94.4,92.8,94.0,820,1552521600
ok,94.4,95.6,93.6,93.6,1400,1552780800
ok,93.2,93.2,92.4,93.2,390,1552867200
ok,92.8,93.2,92.8,92.8,120,1552953600
ok,92.4,93.2,92.4,92.8,270,1553126400
ok,92.8,92.8,91.6,91.6,880,1553385600
ok,91.2,92.0,90.8,91.6,610,1553472000
ok,91.2,92.4,91.2,92.0,590,1553558400
ok,92.0,92.8,92.0,92.4,1820,1553644800
ok,92.0,92.8,91.6,92.4,1330,1553731200
ok,92.0,92.4,92.0,92.0,1080,1553990400
ok,92.0,92.8,92.0,92.0,1390,1554076800
ok,92.4,92.4,91.6,92.4,1140,1554163200
ok,92.8,92.8,91.2,92.0,770,1554249600
ok,92.0,92.8,91.6,91.6,800,1554336000
ok,91.2,92.4,91.2,91.6,1130,1554595200
ok,91.6,92.0,90.8,91.2,3860,1554681600
ok,90.8,94.0,90.8,92.4,2105,1554768000
ok,92.0,92.4,91.6,92.0,580,1554854400
ok,92.4,92.4,91.2,91.6,960,1554940800
ok,91.2,92.4,91.2,91.6,850,1555286400
ok,91.2,92.4,91.2,92.0,360,1555372800
ok,92.0,92.4,91.6,92.4,400,1555459200
ok,92.0,92.8,91.2,92.8,370,1555545600
ok,92.8,92.8,92.8,92.8,50,1555804800
