s,o,h,l,c,v,t
ok,159.15,169.81,159.15,169.81,9361,1492300800
ok,172.02,181.57,172.02,181.57,31151,1492473600
ok,181.57,194.43,184.14,194.43,10034,1492560000
ok,197.01,208.77,190.76,201.05,99212,1492905600
ok,198.11,199.95,191.49,197.74,53027,1492992000
ok,194.8,203.62,194.43,199.95,39076,1493078400
ok,198.11,214.65,198.11,212.07,35032,1493164800
ok,209.13,222.36,206.19,219.42,45822,1493251200
ok,219.06,219.06,210.97,213.54,52492,1493510400
ok,213.54,217.22,209.5,213.18,30617,1493683200
ok,216.12,217.95,210.24,210.97,24825,1493769600
ok,210.97,215.38,209.87,214.28,51497,1493856000
ok,215.38,215.38,210.6,211.34,29759,1494115200
ok,208.77,214.65,208.77,213.18,24419,1494201600
ok,213.18,224.2,212.07,221.63,48134,1494288000
ok,222.73,234.86,221.26,228.24,53131,1494460800
ok,228.24,231.19,224.57,225.3,20965,1494806400
ok,223.47,228.24,223.47,226.41,12819,1494892800
ok,223.47,227.88,223.47,226.41,14404,1494979200
ok,226.77,231.19,223.83,230.08,25777,1495065600
ok,226.77,228.24,220.89,227.88,11480,1495324800
ok,224.57,226.04,219.06,223.47,8730,1495411200
ok,220.89,227.51,220.89,222.0,11209,1495497600
ok,222.0,227.14,219.06,222.73,9904,1495584000
ok,224.57,224.57,219.42,221.63,7736,1495929600
ok,219.79,222.36,215.38,219.06,11667,1496102400
ok,219.06,222.36,215.75,219.06,8876,1496188800
ok,219.06,219.79,216.85,219.06,7009,1496275200
ok,216.12,218.69,213.18,215.38,8662,1496534400
ok,213.54,217.22,212.81,215.38,5406,1496620800
ok,212.07,220.16,212.07,217.95,5992,1496707200
ok,214.65,217.22,213.91,214.28,11678,1496793600
ok,215.01,215.01,210.6,214.28,9330,1496880000
ok,213.54,213.54,207.66,208.03,13870,1497139200
ok,205.09,209.87,202.89,205.09,10653,1497225600
ok,202.89,208.03,202.89,205.09,7280,1497312000
ok,202.52,208.03,202.52,208.03,4893,1497398400
ok,205.46,209.5,203.25,209.5,6410,1497484800
ok,209.5,209.87,202.52,203.62,2107,1497744000
ok,201.78,203.62,198.84,198.84,4938,1497830400
ok,197.01,204.72,197.01,201.42,4359,1497916800
ok,200.68,202.89,199.21,202.89,8927,1498003200
ok,204.36,204.36,202.52,203.62,2909,1498089600
ok,203.62,211.34,203.62,210.6,5526,1498348800
ok,211.34,211.34,206.93,207.66,2938,1498521600
ok,204.72,206.19,203.25,204.72,1161,1498608000
ok,203.99,204.36,198.84,200.68,3952,1498953600
ok,199.95,203.62,198.84,199.21,5055,1499040000
ok,197.01,201.42,197.01,200.31,1815,1499126400
ok,199.21,203.25,198.84,203.25,3711,1499212800
ok,200.31,206.19,200.31,206.19,1898,1499299200
ok,206.19,208.03,199.95,206.19,5553,1499558400
ok,206.19,206.19,197.37,202.52,32236,1499644800
ok,202.52,203.25,199.95,203.25,4924,1499731200
