s,o,h,l,c,v,t
ok,113.67,114.66,113.67,114.66,52,1447804800
ok,115.65,118.62,115.65,118.62,104,1447891200
ok,119.61,124.06,119.61,124.06,768,1448150400
ok,125.21,129.99,125.21,129.99,12360,1448236800
ok,133.29,136.09,132.47,134.94,46262,1448323200
ok,135.6,135.6,130.49,130.98,25625,1448409600
ok,129.66,129.99,128.35,129.17,14443,1448496000
ok,128.02,128.02,126.04,126.86,15706,1448755200
ok,126.7,129.5,126.7,127.36,9790,1448841600
ok,127.36,129.99,126.86,129.99,11114,1448928000
ok,129.99,130.82,128.35,129.66,11339,1449014400
ok,129.01,130.16,127.85,128.68,11281,1449100800
ok,129.5,130.16,128.02,129.66,14631,1449187200
ok,129.99,131.31,129.17,129.5,16125,1449446400
ok,129.99,130.32,128.51,129.83,11962,1449532800
ok,129.5,131.97,129.01,131.97,14731,1449619200
ok,131.31,131.64,129.66,129.99,13958,1449705600
ok,129.99,130.16,128.84,129.99,23721,1449964800
ok,129.99,129.99,129.66,129.66,24112,1450051200
ok,129.66,129.99,128.35,128.51,8414,1450137600
ok,129.34,129.99,128.35,128.84,16529,1450224000
ok,127.69,129.83,127.69,128.51,12164,1450310400
ok,128.51,129.17,127.03,128.18,7578,1450569600
ok,128.18,128.18,126.04,126.37,6813,1450656000
ok,126.37,126.7,124.06,125.05,7114,1450742400
ok,125.05,126.04,124.39,125.38,12488,1450828800
ok,125.38,127.52,124.22,126.53,11983,1450915200
ok,125.38,127.52,124.39,127.52,9016,1451001600
ok,127.52,126.7,125.05,125.21,10572,1451260800
ok,125.21,126.86,124.72,125.38,13555,1451347200
ok,125.05,126.86,124.72,125.05,11336,1451520000
ok,125.21,126.2,123.73,124.88,11849,1451779200
ok,124.88,125.54,123.07,124.72,9183,1451865600
ok,123.57,125.87,121.75,125.87,27876,1451952000
ok,125.87,125.87,122.25,123.4,21477,1452038400
ok,122.74,126.2,122.74,124.72,16005,1452124800
ok,124.72,126.7,123.57,126.37,29492,1452384000
ok,125.87,127.19,125.05,126.04,30518,1452470400
ok,125.87,129.99,125.05,129.99,35468,1452556800
ok,129.99,130.82,126.37,129.01,26417,1452643200
ok,129.34,129.99,126.53,128.35,29503,1452729600
ok,128.35,134.78,129.5,134.78,3250,1453593600
ok,136.09,141.7,136.09,138.9,4993,1453680000
ok,138.9,139.06,137.58,137.91,3463,1453766400
ok,137.91,137.41,135.27,135.27,2889,1453852800
ok,136.42,137.41,134.94,134.94,4905,1453939200
ok,135.6,136.59,135.27,135.27,864,1454198400
ok,135.27,137.91,134.94,135.76,4260,1454284800
ok,135.43,136.42,134.94,134.94,3252,1454371200
ok,134.94,138.24,135.76,136.75,1624,1454457600
ok,137.41,139.39,136.59,138.07,4935,1454544000
ok,138.07,145.33,138.24,145.33,22443,1454803200
ok,145.33,153.07,146.81,148.95,7786,1454889600
ok,148.95,153.07,148.95,153.07,16567,1455148800
ok,151.43,151.59,145.82,146.48,8387,1455408000
ok,146.48,148.13,141.53,144.01,4728,1455494400
ok,144.01,144.01,142.69,143.51,6993,1455580800
ok,143.51,143.84,143.18,143.68,4226,1455667200
ok,143.68,144.5,143.18,143.18,3850,1455753600
ok,144.67,146.15,143.18,145.66,15416,1456012800
ok,145.66,146.48,144.01,145.0,5314,1456099200
ok,145.0,144.17,142.19,144.17,2333,1456185600
ok,143.18,146.48,141.86,141.86,472,1456272000
ok,143.18,145.66,143.18,145.66,1844,1456358400
ok,145.66,146.48,142.03,142.19,4388,1456617600
ok,142.19,143.68,141.7,141.7,3918,1456704000
ok,141.53,142.03,141.37,141.7,3318,1456790400
ok,143.02,149.28,141.86,149.28,25387,1456876800
ok,150.93,157.69,150.93,157.69,18063,1456963200
ok,159.5,166.92,159.5,166.92,42776,1457222400
ok,168.9,177.14,168.9,177.14,4341,1457568000
ok,179.28,188.35,170.38,187.2,63486,1457827200
ok,189.51,199.4,189.51,199.4,17751,1457913600
ok,202.03,204.67,185.88,186.04,52406,1458000000
ok,184.72,184.72,174.67,176.15,27686,1458086400
ok,178.3,184.23,177.14,182.75,18857,1458172800
ok,185.05,190.16,183.41,185.88,30357,1458432000
ok,187.69,189.18,181.26,184.89,13239,1458518400
ok,186.04,186.21,180.6,181.1,13548,1458691200
ok,181.1,180.77,174.5,178.46,19641,1458777600
ok,178.46,180.6,172.03,172.2,6101,1459036800
ok,172.2,170.22,166.43,167.91,9481,1459123200
ok,165.93,169.89,163.29,165.44,14798,1459209600
ok,165.44,174.67,162.96,172.53,5258,1459296000
ok,172.53,172.69,168.57,169.06,5559,1459382400
ok,169.06,173.02,166.26,173.02,5868,1459641600
ok,173.02,174.5,167.91,170.05,5021,1459728000
ok,170.38,172.03,168.4,171.54,5271,1459814400
ok,171.54,176.98,170.38,174.34,15794,1459900800
ok,174.34,181.76,172.69,172.86,14444,1460246400
ok,172.86,175.49,173.51,175.33,4920,1460332800
ok,175.33,177.47,171.54,172.53,9235,1460419200
ok,172.53,173.35,171.37,173.35,3240,1460592000
ok,173.35,173.51,171.54,172.86,3223,1460851200
ok,172.86,172.69,171.37,172.53,4213,1460937600
ok,172.53,172.03,169.56,171.04,9288,1461024000
ok,171.04,171.87,169.56,170.05,4124,1461110400
ok,170.05,169.56,166.59,168.73,15246,1461196800
ok,168.73,170.38,166.59,167.75,4791,1461456000
ok,167.75,167.42,165.6,167.42,8434,1461542400
ok,167.42,167.25,165.77,167.25,3696,1461628800
ok,167.25,168.07,165.93,167.09,2313,1461715200
ok,167.09,167.09,166.1,166.26,9806,1461801600
ok,166.26,166.26,163.13,166.26,5046,1462147200
ok,166.26,166.26,163.95,165.93,5417,1462233600
ok,165.93,165.44,162.63,165.44,10863,1462320000
ok,165.44,163.95,162.31,163.46,6828,1462406400
ok,163.46,167.91,162.47,167.91,5994,1462665600
ok,167.58,167.75,165.6,166.26,12426,1462752000
ok,166.26,170.05,165.77,167.42,5356,1462838400
ok,167.42,168.73,164.28,168.4,7257,1462924800
ok,169.56,174.01,167.58,174.01,12603,1463011200
ok,173.51,177.8,172.2,174.5,12967,1463270400
ok,174.5,176.65,172.2,174.67,8353,1463356800
ok,174.5,177.8,172.86,175.16,11978,1463443200
ok,175.16,175.33,173.51,173.84,6040,1463529600
ok,173.84,174.17,172.86,174.01,3356,1463616000
ok,174.01,174.5,172.03,174.5,8114,1463875200
ok,174.5,174.83,172.2,172.2,8495,1463961600
ok,172.2,174.5,171.37,172.86,6774,1464048000
ok,172.86,173.68,171.21,173.02,3517,1464134400
ok,173.02,175.16,171.37,173.68,11000,1464220800
ok,173.68,177.97,173.84,174.5,5305,1464480000
ok,174.5,179.61,176.15,178.13,17849,1464566400
ok,178.13,189.51,176.48,189.34,28803,1464652800
ok,189.34,191.81,181.26,184.07,16725,1464739200
ok,184.07,185.05,177.47,181.1,10077,1464825600
ok,181.1,183.41,179.45,181.76,16759,1465084800
ok,181.76,184.07,179.61,184.07,12197,1465171200
ok,183.57,184.39,181.92,182.25,6421,1465257600
ok,182.25,185.55,181.76,185.55,11014,1465344000
ok,186.04,191.65,185.22,191.32,28187,1465430400
ok,191.32,193.46,186.54,192.64,22418,1465689600
ok,192.64,193.3,188.19,192.47,13621,1465776000
ok,190.99,193.63,187.69,191.15,5916,1465862400
ok,190.99,191.98,189.34,190.99,7644,1465948800
ok,190.99,193.46,189.34,190.99,8485,1466035200
ok,190.99,195.93,188.52,195.93,14769,1466294400
ok,195.93,202.36,194.29,198.57,14485,1466380800
ok,198.57,203.85,195.93,203.52,14330,1466467200
ok,204.18,205.83,200.06,202.36,13248,1466553600
ok,202.36,207.8,201.87,207.8,11352,1466640000
ok,207.8,210.44,203.35,205.83,12504,1466899200
ok,205.83,207.47,201.7,204.51,8144,1466985600
ok,204.51,206.48,200.88,203.85,11151,1467072000
ok,203.85,205.83,199.23,205.0,11753,1467158400
ok,205.0,204.18,201.7,201.7,6826,1467244800
ok,201.7,207.31,200.06,205.66,12367,1467504000
ok,205.66,208.63,202.69,204.84,13013,1467590400
ok,205.0,208.63,202.53,205.83,9562,1467676800
ok,205.83,208.13,203.35,206.65,6903,1467763200
ok,206.65,207.47,204.34,206.48,4495,1468108800
ok,206.48,205.83,201.37,202.53,8883,1468195200
ok,202.53,204.18,192.64,199.23,5346,1468281600
ok,199.23,202.53,195.93,200.88,9399,1468368000
ok,200.88,205.83,197.75,203.02,4858,1468454400
ok,203.02,208.46,195.93,200.06,16672,1468713600
ok,200.06,205.0,197.42,200.88,5299,1468800000
ok,203.52,203.52,199.07,200.88,4592,1468886400
ok,200.88,203.52,199.23,200.88,3120,1468972800
ok,200.88,201.7,200.06,201.7,4889,1469059200
ok,201.7,201.7,199.23,200.88,6596,1469404800
ok,200.88,205.0,200.22,200.55,7113,1469491200
ok,200.55,209.12,200.88,209.12,31763,1469577600
ok,209.12,209.12,199.89,205.0,22750,1469664000
ok,205.0,207.47,199.73,202.03,7301,1469923200
ok,202.03,207.47,200.06,205.0,16558,1470009600
ok,205.0,204.18,200.88,201.7,8463,1470096000
ok,201.7,202.53,199.23,201.54,6191,1470182400
ok,201.54,201.54,196.59,196.59,8432,1470268800
ok,196.59,204.34,195.93,197.91,7767,1470528000
ok,197.91,203.19,186.04,186.37,3971,1470614400
ok,188.68,196.1,188.68,196.1,130,1470700800
ok,198.74,200.88,193.46,195.77,18759,1470787200
ok,194.29,195.93,192.31,193.63,10871,1470873600
ok,193.46,192.64,182.91,184.89,27302,1471132800
ok,184.23,184.07,173.68,178.63,8049,1471219200
ok,177.47,181.92,171.21,180.27,11494,1471305600
ok,180.2,184.7,177.95,180.03,7694,1471392000
ok,178.3,178.3,175.01,177.43,4070,1471737600
ok,175.7,175.7,167.91,167.91,10240,1471824000
ok,169.99,171.89,160.81,171.89,24628,1471910400
ok,173.97,173.97,167.91,173.97,4162,1471996800
ok,176.05,182.62,173.45,176.56,4631,1472342400
ok,175.7,184.7,175.7,184.53,14228,1472428800
