s,o,h,l,c,v,t
ok,139.4,139.4,139.4,139.4,10,1444780800
ok,140.53,143.93,140.53,143.93,40,1444867200
ok,145.29,148.02,145.29,148.02,30,1445212800
ok,149.38,155.05,149.38,155.05,60,1445731200
ok,156.63,162.98,156.63,162.98,920,1445904000
ok,171.6,171.6,164.57,170.01,5200,1445990400
ok,170.69,170.69,165.7,168.42,4740,1446076800
ok,166.84,167.97,163.66,165.7,2670,1446336000
ok,164.57,165.02,162.3,162.3,1800,1446422400
ok,160.71,160.71,155.95,158.45,560,1446508800
ok,158.9,162.76,157.77,161.17,860,1446595200
ok,159.58,163.21,158.9,161.62,890,1446681600
ok,160.26,161.62,160.03,161.17,820,1446940800
ok,160.03,165.02,159.35,161.17,1260,1447027200
ok,159.81,165.02,159.81,165.02,1710,1447113600
ok,163.44,163.44,160.26,160.26,40,1447545600
ok,158.67,160.26,157.31,159.81,740,1447632000
ok,160.03,162.07,160.03,161.39,2180,1447804800
ok,160.71,163.44,157.99,157.99,2440,1447891200
ok,157.31,158.9,155.27,158.9,980,1448150400
ok,158.45,158.45,157.31,158.22,250,1448236800
ok,157.77,157.77,154.37,156.63,1000,1448323200
ok,155.5,156.41,152.32,153.0,1920,1448409600
ok,151.64,151.64,149.83,149.83,1200,1448496000
ok,149.83,152.55,149.83,149.83,1530,1448755200
ok,149.83,149.83,148.7,148.7,580,1448841600
ok,148.7,150.51,148.7,150.51,740,1448928000
ok,151.87,151.64,151.64,151.64,20,1449014400
ok,150.96,150.96,148.7,148.7,960,1449100800
ok,150.06,151.42,148.7,148.7,650,1449187200
ok,147.56,148.92,147.56,148.02,420,1449446400
ok,147.56,147.56,145.29,146.43,460,1449532800
ok,147.56,147.79,146.2,146.2,750,1449619200
ok,145.98,146.88,144.16,146.88,480,1449705600
ok,146.43,146.43,143.71,144.16,1440,1449964800
ok,144.61,144.61,143.25,144.39,1190,1450051200
ok,144.16,144.61,143.03,144.61,720,1450137600
ok,145.98,145.98,142.8,142.8,1110,1450224000
ok,141.67,141.89,140.53,140.53,940,1450310400
ok,140.53,140.76,137.13,139.63,1280,1450569600
ok,139.63,139.85,137.59,138.72,1790,1450656000
ok,139.4,139.85,137.13,137.13,750,1450742400
ok,137.13,137.36,135.32,136.0,670,1450828800
ok,135.77,137.36,135.77,136.68,940,1450915200
ok,137.36,137.36,131.69,135.09,1450,1451001600
ok,135.09,137.13,133.5,136.9,910,1451260800
ok,136.9,138.49,135.09,136.9,750,1451347200
