s,o,h,l,c,v,t
ok,202.8,223.0,202.8,223.0,10,1686182400
ok,227.4,245.3,227.4,245.3,2858,1686441600
ok,250.2,269.8,250.2,269.8,12422,1686528000
ok,275.1,296.7,254.6,296.7,78893,1686614400
ok,302.6,326.3,279.3,319.0,35632,1686700800
ok,320.0,320.0,300.1,300.3,28590,1686787200
ok,299.0,299.0,277.2,289.1,49791,1687046400
ok,283.5,287.0,278.4,284.6,17866,1687132800
ok,284.0,284.0,274.0,278.0,13448,1687219200
ok,272.5,276.0,267.3,271.0,14784,1687305600
ok,269.0,270.0,261.0,264.0,9747,1687392000
ok,258.8,270.4,252.1,270.0,22187,1687651200
ok,265.0,280.0,260.0,269.0,16541,1687737600
ok,274.2,274.2,255.1,268.0,9935,1687824000
ok,263.0,273.0,256.1,263.0,8720,1687910400
ok,257.8,258.0,247.4,247.4,11249,1688256000
ok,243.0,252.3,237.0,237.1,10062,1688342400
ok,234.0,239.8,229.5,230.0,12012,1688428800
ok,226.5,249.9,222.0,223.5,17941,1688515200
ok,219.3,227.9,219.3,224.0,6690,1688601600
ok,224.0,240.7,218.0,229.0,6683,1688860800
ok,227.0,234.6,222.1,227.4,7595,1688947200
ok,222.9,230.0,222.9,228.0,10400,1689033600
ok,224.0,244.0,224.0,240.6,11187,1689120000
ok,236.0,244.9,232.1,236.2,8649,1689206400
ok,231.5,232.2,227.2,232.2,5089,1689465600
ok,228.0,238.7,224.6,235.0,5512,1689552000
ok,230.3,244.0,226.0,235.0,7115,1689638400
ok,230.3,238.0,226.3,232.0,4989,1689724800
ok,230.0,236.6,226.0,236.0,12037,1689811200
ok,231.5,240.6,231.4,235.0,5756,1690070400
ok,236.0,243.6,233.0,236.4,6918,1690156800
ok,231.7,239.5,228.6,231.0,9807,1690243200
ok,230.0,232.0,226.6,231.0,5915,1690329600
ok,227.1,231.0,226.4,226.5,3740,1690416000
ok,224.0,226.6,223.3,224.2,4962,1690675200
ok,222.1,225.5,222.1,222.6,5047,1690761600
ok,227.0,227.0,215.0,218.0,5789,1690848000
ok,218.0,218.0,212.2,217.0,5621,1690934400
ok,213.0,217.0,212.1,214.1,6941,1691020800
ok,209.9,210.0,206.1,207.5,5060,1691280000
ok,203.4,208.0,203.4,207.0,6245,1691366400
ok,210.0,214.2,200.1,201.1,5131,1691452800
ok,197.3,209.0,197.3,205.0,4027,1691539200
ok,202.0,213.0,202.0,203.8,4690,1691625600
ok,203.8,210.0,200.3,201.6,10515,1691884800
ok,200.0,208.0,200.0,202.0,4015,1691971200
ok,200.0,202.0,198.1,198.1,4555,1692057600
ok,195.0,198.0,192.2,196.0,6020,1692144000
ok,199.9,199.9,188.6,188.9,4100,1692230400
ok,186.0,189.0,181.0,182.0,5320,1692489600
ok,179.0,180.0,170.0,172.6,6815,1692576000
ok,171.0,179.5,171.0,178.0,5301,1692662400
ok,176.0,191.7,175.1,191.7,4836,1692748800
ok,191.7,194.2,182.0,183.9,4344,1692835200
ok,182.0,182.0,172.0,178.0,2044,1693094400
ok,174.5,181.0,174.5,181.0,3818,1693180800
ok,177.5,180.4,175.0,178.0,3730,1693267200
ok,175.0,181.5,172.0,175.0,3100,1693353600
ok,172.0,175.8,172.0,175.0,2825,1693699200
ok,171.5,182.0,171.5,182.0,3035,1693785600
ok,178.4,181.0,175.5,176.1,2889,1693872000
ok,172.9,180.0,172.8,179.0,5225,1694044800
ok,177.0,188.5,176.0,188.0,4040,1694304000
ok,184.4,204.0,181.0,201.0,10997,1694390400
ok,202.0,210.0,187.4,197.5,9425,1694476800
ok,193.6,212.0,190.0,212.0,6910,1694563200
ok,207.9,210.0,193.1,195.0,19419,1694908800
ok,191.1,212.1,188.0,212.0,5990,1694995200
ok,211.0,228.5,199.0,225.0,25367,1695081600
ok,227.0,242.7,225.1,231.0,36575,1695254400
ok,232.6,232.6,221.5,222.5,14329,1695513600
ok,223.0,241.7,218.1,234.0,18268,1695600000
ok,230.0,245.0,230.0,244.0,18323,1695686400
ok,239.8,241.7,232.0,235.4,20680,1695772800
ok,231.0,235.0,218.7,222.0,21698,1696118400
ok,217.6,231.5,216.0,224.9,14128,1696204800
ok,220.5,223.0,216.0,218.0,5150,1696291200
ok,216.1,229.5,216.0,222.5,6874,1696377600
ok,220.2,229.5,219.7,220.0,6336,1696464000
ok,216.0,218.0,210.8,212.9,11767,1696723200
ok,216.0,217.0,207.0,207.1,5508,1696809600
ok,204.0,212.0,204.0,211.0,4205,1696896000
ok,206.8,217.2,206.0,209.0,6959,1696982400
ok,205.1,211.0,205.0,209.0,6219,1697068800
ok,204.9,205.5,201.2,205.0,4810,1697414400
ok,203.5,217.0,203.5,208.0,5415,1697500800
ok,207.0,213.0,206.1,211.0,4389,1697587200
ok,207.1,211.1,205.8,210.6,3502,1697673600
ok,206.4,207.0,200.0,207.0,2520,1698537600
ok,203.0,206.2,200.1,206.2,1661,1698624000
ok,202.5,204.0,200.0,202.0,1355,1698710400
ok,201.1,203.0,196.5,199.9,5037,1698796800
ok,196.0,203.7,193.4,193.4,2890,1698883200
ok,192.2,194.0,188.1,193.0,4632,1699142400
ok,190.0,200.7,190.0,198.5,3640,1699228800
ok,195.0,205.0,195.0,201.9,4070,1699315200
ok,197.9,202.9,192.3,202.9,3560,1699401600
ok,206.0,209.0,195.0,198.0,6945,1699488000
ok,200.0,201.0,193.2,195.5,2010,1700438400
ok,192.0,195.0,184.1,191.9,10250,1700524800
ok,188.1,199.9,185.0,199.0,3740,1700611200
ok,195.1,207.9,190.2,207.9,2431,1700697600
ok,203.8,220.2,200.5,218.0,7908,1700956800
ok,218.0,222.3,212.6,215.2,10676,1701043200
ok,211.0,219.5,211.0,216.0,2918,1701129600
ok,216.0,220.0,211.5,214.8,4768,1701216000
ok,210.8,215.0,203.1,209.9,4590,1701302400
ok,206.0,209.9,203.1,207.0,2371,1701561600
ok,203.0,215.9,203.0,212.9,5989,1701648000
ok,217.0,217.0,206.0,211.0,4758,1701734400
ok,207.0,211.0,204.1,208.0,3239,1701820800
ok,204.0,217.2,204.0,217.1,6421,1701907200
ok,221.4,238.1,221.4,238.0,1490,1702166400
ok,242.7,242.7,222.1,232.1,18892,1702252800
ok,228.1,248.0,225.0,240.0,24646,1702339200
ok,240.0,261.1,237.0,242.1,25137,1702425600
ok,245.0,259.7,240.0,258.0,24189,1702512000
ok,253.0,283.8,248.0,283.8,46849,1702771200
ok,289.0,303.0,274.4,283.0,49797,1702857600
ok,282.0,305.0,282.0,297.9,45660,1702944000
ok,302.1,309.0,281.1,292.0,50025,1703030400
ok,292.0,297.8,280.4,282.0,20811,1703116800
ok,278.0,310.0,278.0,280.0,26036,1703376000
ok,285.6,297.0,275.0,289.1,38620,1703635200
ok,294.0,299.0,284.0,288.0,25958,1703721600
ok,293.0,304.9,284.2,285.0,45820,1704067200
ok,280.1,300.0,280.1,290.9,27347,1704153600
ok,286.0,319.9,286.0,318.0,50155,1704240000
ok,323.8,336.0,315.0,327.4,71396,1704326400
ok,322.0,333.0,311.0,317.0,48808,1704585600
ok,311.0,340.0,311.0,338.5,37130,1704672000
ok,345.2,352.0,322.0,328.0,42063,1704758400
ok,333.0,339.1,321.5,338.9,51452,1704844800
ok,339.0,372.3,339.0,372.3,43939,1704931200
ok,372.3,388.0,364.9,377.0,23177,1705190400
ok,384.0,385.0,365.0,377.0,18711,1705363200
ok,370.0,370.0,339.3,339.3,98055,1705449600
ok,340.0,356.0,330.0,341.0,34469,1705536000
ok,340.0,354.0,331.0,348.8,25005,1705795200
ok,341.9,345.0,325.0,333.0,26526,1705881600
ok,326.4,339.0,323.2,331.0,11015,1705968000
ok,335.0,337.0,318.1,323.7,8854,1706054400
ok,330.0,336.0,317.5,333.0,31828,1706140800
ok,333.0,352.0,321.0,337.0,15752,1706400000
ok,330.3,364.0,330.0,356.0,84807,1706486400
ok,355.0,372.3,352.0,367.7,56140,1706572800
ok,370.0,380.0,345.3,354.0,40295,1706659200
ok,353.0,353.0,334.0,338.0,61243,1706745600
