s,o,h,l,c,v,t
ok,347.21,381.92,347.21,381.92,13674,1697068800
ok,389.52,420.1,344.42,348.56,69045,1697414400
ok,348.08,372.12,342.31,346.25,24008,1697500800
ok,341.54,370.19,341.54,370.19,8654,1697587200
ok,362.79,372.12,358.37,369.71,7467,1697673600
ok,362.4,362.4,344.52,352.88,13335,1698537600
ok,345.87,359.62,339.23,351.92,10137,1698624000
ok,346.15,354.81,346.15,354.81,4920,1698710400
ok,348.08,351.92,342.31,347.21,4299,1698796800
ok,340.38,350.0,340.38,343.37,5930,1698883200
ok,338.46,346.15,338.46,342.31,3910,1699142400
ok,346.15,357.69,341.35,352.4,7390,1699228800
ok,346.15,370.0,346.15,355.77,5410,1699315200
ok,355.77,382.69,349.71,379.81,17150,1699401600
ok,372.21,384.62,363.46,363.85,5930,1699488000
ok,363.85,375.19,362.88,374.04,6922,1700438400
ok,367.31,369.23,361.63,367.31,10370,1700524800
ok,360.58,375.96,360.58,375.96,5561,1700611200
ok,368.46,387.5,364.42,382.69,9037,1700697600
ok,375.1,420.96,375.1,420.96,25091,1700956800
ok,420.19,444.23,420.19,429.33,40705,1701043200
ok,422.12,436.54,416.63,421.15,15082,1701129600
ok,421.15,425.96,408.94,413.46,6210,1701216000
ok,405.77,421.15,400.96,402.21,5820,1701302400
ok,410.19,415.38,397.12,415.38,6337,1701561600
ok,423.08,427.88,394.23,418.27,15943,1701648000
ok,409.9,413.46,401.92,408.65,5080,1701734400
ok,401.06,418.27,401.06,417.98,9610,1701820800
ok,413.46,426.25,410.67,410.67,14212,1701907200
ok,418.85,432.69,418.85,424.04,3650,1702166400
ok,432.5,446.15,415.38,437.5,37059,1702252800
ok,437.5,466.25,428.75,458.65,13807,1702339200
ok,451.92,475.0,441.15,451.92,19877,1702425600
ok,443.37,453.85,436.63,444.23,17738,1702512000
ok,435.58,479.81,434.62,468.27,43595,1702771200
ok,475.96,484.62,456.73,475.0,30405,1702857600
ok,466.35,485.58,462.5,485.58,16673,1702944000
ok,495.19,500.0,474.04,495.19,31910,1703030400
ok,485.29,536.54,471.63,536.54,33285,1703116800
ok,528.85,552.79,504.81,505.96,30713,1703376000
ok,496.15,522.02,496.15,511.54,21147,1703635200
ok,511.54,517.31,504.81,507.69,12276,1703721600
ok,507.69,517.31,486.54,488.46,11187,1704067200
ok,478.75,490.38,478.75,490.38,15680,1704153600
ok,482.69,539.42,482.69,539.42,21702,1704240000
ok,528.65,567.31,528.65,548.08,30252,1704326400
ok,548.08,566.25,526.54,561.54,29562,1704585600
ok,550.38,567.31,533.65,561.92,25259,1704672000
ok,562.5,570.19,543.27,551.92,23928,1704758400
ok,542.31,552.88,533.75,533.75,7992,1704844800
ok,533.65,548.08,530.77,541.35,10255,1704931200
ok,543.27,559.62,541.54,554.81,18537,1705190400
ok,555.48,575.0,536.54,575.0,36138,1705363200
ok,564.42,580.58,545.19,580.58,23335,1705449600
ok,569.04,574.9,548.08,574.04,20337,1705536000
