s,o,h,l,c,v,t
ok,294.53,323.99,294.53,323.99,13720,1658966400
ok,330.42,356.35,320.11,333.33,55635,1659052800
ok,339.95,349.03,326.28,349.03,22370,1659225600
ok,349.03,361.64,330.78,358.47,21390,1659312000
ok,351.85,394.27,350.97,394.27,41189,1659398400
ok,396.83,425.57,383.6,411.02,30777,1659484800
ok,410.93,436.95,395.06,429.45,33555,1659571200
ok,421.08,425.4,404.76,416.31,26010,1659657600
ok,414.46,444.44,410.14,425.04,27273,1659830400
ok,433.42,458.55,423.28,438.27,27790,1659916800
ok,430.34,454.14,423.28,429.45,19469,1660003200
ok,420.9,427.25,414.46,420.63,14665,1660089600
ok,412.7,440.04,412.7,412.7,18162,1660176000
ok,408.82,428.57,404.5,404.94,15793,1660435200
ok,404.76,419.05,396.83,418.87,12940,1660521600
ok,414.37,434.74,403.88,411.82,23137,1660608000
ok,405.64,423.28,399.47,418.87,26513,1660694400
ok,426.81,440.48,411.02,431.22,21993,1660780800
ok,439.77,445.33,418.87,419.75,15918,1661040000
ok,411.38,436.51,410.23,424.51,10150,1661126400
ok,416.05,423.28,411.82,422.4,5090,1661212800
ok,414.02,423.28,406.61,416.23,9780,1661299200
ok,416.23,423.28,405.73,406.53,13306,1661385600
ok,403.0,403.0,395.94,401.15,5720,1661472000
ok,393.21,402.03,377.87,392.42,16573,1661644800
ok,385.36,398.59,373.28,388.01,10911,1661731200
ok,380.95,402.12,380.95,382.72,3151,1661817600
ok,379.19,396.83,363.32,365.08,8330,1661904000
ok,358.11,381.83,353.35,378.31,5130,1661990400
ok,370.9,392.15,370.46,371.25,1210,1662076800
ok,365.96,391.53,365.96,378.31,5245,1662249600
ok,373.54,385.8,373.54,375.13,3360,1662336000
ok,368.61,381.83,363.32,375.66,4421,1662422400
ok,368.25,379.19,362.43,371.6,1750,1662508800
ok,371.25,385.36,367.46,385.36,3940,1662595200
ok,380.07,387.13,372.66,376.54,3400,1662854400
ok,369.22,371.25,366.84,370.37,3030,1662940800
ok,365.96,384.92,365.96,371.25,3790,1663027200
ok,365.96,388.01,365.96,385.36,13157,1663113600
ok,378.31,379.19,355.47,362.43,10060,1663200000
ok,355.2,373.28,343.03,373.02,5390,1663286400
ok,365.61,365.61,347.44,360.67,5110,1663459200
ok,357.14,357.14,335.1,342.15,4161,1663632000
ok,348.32,348.32,335.1,335.1,2750,1663718400
ok,330.69,347.44,311.29,317.46,16182,1663804800
ok,317.46,317.46,304.23,312.96,2217,1664064000
ok,317.46,323.81,299.82,320.11,4395,1664236800
ok,313.76,317.46,304.23,304.23,1439,1664323200
ok,298.15,318.34,298.15,315.7,725,1664409600
ok,315.7,323.63,306.88,323.63,870,1665273600
ok,324.51,324.51,303.0,324.43,6495,1665360000
ok,317.99,317.99,296.56,301.15,4460,1665446400
ok,295.5,313.93,291.89,311.82,1356,1665532800
ok,306.0,311.29,300.88,302.47,3730,1665619200
ok,296.47,308.47,291.01,308.47,4250,1665878400
ok,302.38,302.38,292.77,295.41,1020,1665964800
ok,293.65,295.41,284.39,284.39,1845,1666137600
ok,278.75,296.83,273.81,296.83,2581,1666224000
ok,290.92,291.27,279.54,288.36,770,1666483200
ok,282.63,291.01,273.46,287.48,1239,1667174400
ok,282.19,298.15,273.37,289.42,2085,1667260800
ok,294.53,301.59,278.66,294.0,8536,1667347200
ok,288.45,299.82,288.45,294.53,7223,1667433600
ok,294.53,303.09,291.01,299.82,2099,1667692800
ok,294.0,326.28,291.89,308.64,10455,1667779200
ok,302.47,308.64,297.62,308.64,1170,1667865600
ok,302.47,302.47,288.36,293.56,4835,1667952000
ok,289.24,291.01,283.51,289.15,4309,1668038400
ok,283.6,287.48,281.31,281.31,3550,1668297600
ok,279.98,298.06,279.54,288.71,810,1668384000
ok,283.07,289.24,282.19,282.19,1660,1668470400
ok,279.37,297.71,279.37,291.01,4547,1668556800
ok,291.01,301.15,283.95,298.94,2926,1668643200
ok,299.82,308.64,283.16,287.39,7559,1669075200
ok,292.77,292.77,281.13,289.59,1730,1669161600
ok,286.6,295.41,286.6,295.41,930,1669248000
ok,291.01,302.47,285.27,302.47,3210,1669507200
ok,298.24,300.71,293.65,296.38,3947,1669593600
ok,290.48,304.23,288.54,299.74,1921,1669680000
ok,296.38,309.08,296.38,301.68,5406,1669766400
ok,296.38,311.29,296.38,304.06,2760,1669852800
ok,304.06,309.52,299.82,309.52,4805,1670112000
ok,305.11,315.7,299.21,299.82,10339,1670198400
ok,298.06,304.23,298.06,302.56,4664,1670284800
ok,299.91,305.56,297.27,302.91,3370,1670371200
ok,297.18,301.59,291.89,300.71,3250,1670716800
ok,294.71,304.14,291.01,304.14,1535,1670803200
ok,298.32,306.88,298.32,306.88,1640,1670889600
ok,302.47,312.61,302.47,308.64,6181,1670976000
ok,303.35,309.35,299.82,303.35,3759,1671062400
ok,298.06,299.82,291.01,299.82,8570,1671321600
ok,293.83,299.82,292.77,299.82,3001,1671408000
ok,296.3,302.47,296.3,301.59,934,1671494400
ok,296.3,303.97,296.3,300.44,2000,1671580800
ok,299.82,301.59,294.44,296.38,2870,1671667200
ok,302.29,325.4,302.29,325.4,9565,1672012800
ok,330.69,338.62,315.7,338.62,14907,1672099200
ok,342.41,342.41,325.0,333.33,4027,1672185600
ok,326.85,345.37,325.56,344.44,6700,1672272000
ok,337.96,349.07,332.41,335.19,6737,1672531200
ok,337.96,339.72,331.48,336.11,22880,1672617600
ok,329.72,342.59,329.72,341.57,3480,1672704000
ok,334.91,375.65,334.91,375.65,7155,1672790400
ok,368.15,375.0,361.11,370.37,5634,1672876800
ok,362.96,386.11,355.74,386.11,17474,1673136000
ok,381.48,415.65,378.43,407.41,8210,1673222400
ok,407.41,423.8,373.15,384.17,13654,1673308800
ok,382.41,391.67,363.89,384.54,25449,1673481600
ok,378.7,399.07,368.52,384.26,4633,1673913600
ok,384.26,411.94,382.41,395.83,10574,1674000000
ok,388.89,390.74,379.63,389.81,4140,1674086400
ok,384.26,395.37,372.31,375.0,7480,1674432000
ok,371.3,382.5,363.15,376.85,13400,1674518400
ok,370.37,392.04,365.19,380.56,15645,1674604800
ok,373.24,387.04,373.24,376.85,8905,1674691200
ok,376.85,394.44,369.35,384.44,12097,1674950400
ok,385.19,392.59,372.22,372.22,3020,1675036800
ok,372.22,387.04,365.74,373.15,7265,1675123200
ok,365.74,380.56,365.74,370.83,5491,1675209600
ok,364.91,377.78,364.91,364.91,4850,1675296000
ok,364.91,378.61,363.06,370.37,10490,1675555200
ok,368.52,372.31,363.98,366.76,4328,1675641600
ok,366.67,387.96,366.11,387.04,9453,1675728000
ok,388.89,391.67,381.48,383.33,12963,1675814400
ok,376.85,385.19,376.85,381.48,7076,1675900800
ok,375.93,396.76,370.37,373.15,11008,1676160000
ok,367.69,389.07,367.69,386.11,11504,1676332800
ok,378.7,388.89,378.7,382.41,5059,1676419200
ok,379.63,389.91,379.63,379.63,9496,1676505600
ok,377.78,384.26,373.33,384.26,2861,1676851200
ok,379.63,412.96,377.87,401.39,12533,1677024000
ok,393.43,401.39,386.11,390.74,16773,1677110400
ok,383.06,392.59,376.85,392.59,10659,1677369600
ok,387.96,395.0,377.78,387.04,10820,1677456000
ok,379.44,396.3,379.44,390.74,2420,1677542400
ok,388.89,388.89,383.33,384.35,6937,1677628800
ok,378.89,386.11,378.89,381.57,6480,1677715200
