s,o,h,l,c,v,t
ok,185.0,187.5,177.75,183.65,6960,1641081600
ok,102.35,105.45,102.35,105.45,130,1653436800
ok,106.55,106.55,106.55,106.55,30,1653523200
ok,107.65,112.2,107.65,112.2,80,1653868800
ok,112.2,113.4,112.2,113.4,30,1653955200
ok,112.2,119.7,112.2,119.7,60,1654041600
ok,118.4,126.65,118.4,126.65,80,1654128000
ok,126.65,134.3,126.65,134.3,70,1654214400
ok,135.95,142.7,135.95,142.7,100,1654473600
ok,144.55,151.95,144.55,151.95,120,1654560000
ok,153.95,162.1,153.95,162.1,100,1654646400
ok,164.0,173.3,164.0,173.3,150,1654732800
ok,175.75,185.6,175.75,185.6,400,1654819200
ok,188.3,199.15,188.3,199.15,2160,1655078400
ok,202.1,214.05,185.0,187.0,48906,1655164800
ok,187.0,187.0,173.3,175.0,34219,1655251200
ok,172.5,187.15,165.0,179.95,10055,1655337600
ok,182.5,187.5,172.55,182.5,8537,1655424000
ok,185.0,185.0,171.5,171.65,8433,1655596800
ok,171.65,174.05,163.0,164.55,11693,1655683200
ok,162.5,172.5,162.5,166.25,6532,1655769600
ok,168.55,168.55,159.75,162.25,7003,1655856000
ok,164.45,164.45,151.75,154.5,12774,1655942400
ok,152.5,162.2,150.6,156.5,3625,1656028800
ok,158.6,167.0,158.6,165.0,7365,1656201600
ok,167.3,172.0,162.0,162.0,14086,1656288000
ok,160.0,164.0,160.0,162.5,6150,1656374400
ok,160.3,166.25,160.3,164.05,11087,1656460800
ok,166.3,170.9,164.2,169.5,10243,1656547200
ok,167.5,172.9,162.85,172.5,12622,1656633600
ok,174.95,180.05,168.5,178.0,12589,1656806400
ok,180.5,184.05,173.55,173.55,19683,1656892800
ok,171.1,180.0,168.75,169.5,15683,1656979200
ok,171.85,174.05,164.7,173.0,6930,1657065600
ok,175.45,176.0,170.0,172.5,7220,1657152000
ok,170.5,170.5,166.5,166.5,4562,1657238400
ok,164.2,166.5,159.5,159.5,7360,1657497600
ok,158.85,165.95,158.05,165.75,3574,1657584000
ok,163.5,173.0,162.5,172.45,6517,1657670400
ok,172.5,174.85,167.15,172.35,6125,1657756800
ok,169.95,170.5,165.5,169.85,5220,1657843200
ok,167.5,170.35,162.9,168.0,3582,1658016000
ok,167.5,170.5,165.5,168.5,2688,1658102400
ok,166.25,174.4,166.25,172.0,7432,1658188800
ok,169.65,176.85,168.3,173.0,10071,1658275200
ok,170.55,172.5,168.15,171.5,2985,1658361600
ok,169.1,172.0,166.75,169.5,2640,1658448000
ok,171.5,180.55,165.5,180.0,12895,1658620800
ok,180.0,193.0,180.0,193.0,36630,1658707200
ok,195.5,203.0,185.55,197.5,21245,1658793600
ok,194.55,208.6,190.05,206.0,29128,1658880000
ok,206.5,208.2,195.55,200.0,33095,1658966400
ok,197.0,203.5,195.05,197.55,8061,1659052800
ok,194.6,206.5,194.6,202.5,18976,1659225600
ok,205.5,205.5,197.5,199.5,20919,1659312000
ok,196.55,200.0,194.55,199.9,15095,1659398400
ok,199.9,214.85,199.9,214.85,39216,1659484800
