s,o,h,l,c,v,t
ok,194.3,213.7,194.3,213.7,370,1672790400
ok,217.9,235.0,217.9,235.0,370,1672876800
ok,239.7,258.5,239.7,258.5,430,1673136000
ok,263.6,284.3,263.6,284.3,340,1673222400
ok,289.9,312.7,289.9,312.7,1140,1673308800
ok,318.9,343.9,318.9,343.9,2890,1673481600
ok,350.7,378.2,350.7,378.2,4980,1673913600
ok,385.7,416.0,385.7,416.0,16324,1674000000
ok,424.3,439.6,401.2,419.1,21229,1674086400
ok,410.8,420.0,405.0,412.0,11120,1674432000
ok,412.0,412.0,400.0,408.0,6710,1674518400
ok,402.1,448.8,402.1,442.0,13179,1674604800
ok,450.8,486.2,442.1,486.2,10923,1674691200
ok,495.9,534.8,487.0,534.8,21198,1674950400
ok,545.4,588.2,545.4,569.9,38326,1675036800
ok,559.0,611.9,539.0,611.9,15594,1675123200
ok,599.7,611.9,571.0,596.0,15763,1675209600
ok,600.0,600.0,560.6,573.0,18237,1675296000
ok,561.6,573.9,540.8,567.0,16040,1675555200
ok,555.7,555.7,537.0,540.5,5651,1675641600
ok,536.4,572.0,536.2,558.9,8910,1675728000
ok,570.0,600.0,538.0,570.0,9113,1675814400
ok,558.6,627.0,548.0,627.0,38364,1675900800
ok,614.5,653.0,592.0,641.5,33770,1676160000
ok,630.0,630.0,600.0,609.0,22781,1676332800
ok,597.0,654.7,590.0,654.7,11799,1676419200
ok,641.7,647.0,600.1,640.0,21239,1676505600
ok,627.2,677.2,603.1,610.0,14501,1676851200
ok,610.0,640.0,600.2,629.0,14040,1677024000
ok,617.0,617.0,598.0,598.0,7752,1677110400
ok,586.1,601.8,552.8,601.8,6556,1677369600
ok,590.0,610.0,570.0,584.0,8772,1677456000
ok,573.1,579.0,562.0,568.0,2920,1677542400
ok,560.0,594.0,550.0,594.0,5891,1677628800
ok,605.8,605.8,547.0,565.9,5055,1677715200
ok,577.0,577.0,535.0,539.0,870,1677974400
ok,531.0,549.0,528.3,528.3,1197,1678147200
ok,538.8,549.5,510.0,544.9,5017,1678320000
ok,555.0,561.0,529.4,543.0,7145,1678579200
ok,532.3,538.9,517.7,535.0,1255,1678665600
ok,524.3,555.0,515.1,554.0,1097,1678752000
ok,550.0,572.0,525.1,525.1,1629,1678838400
ok,535.0,535.0,516.2,522.0,7001,1678924800
ok,512.0,550.0,512.0,521.2,2811,1679184000
ok,521.2,541.9,521.2,525.0,2650,1679270400
ok,520.0,540.0,520.0,530.0,3761,1679443200
ok,525.0,526.0,514.9,525.0,3050,1679529600
ok,515.2,521.0,505.0,505.3,4475,1679788800
ok,515.4,515.4,496.2,514.0,4281,1679875200
ok,514.0,524.2,504.0,504.0,3040,1679961600
ok,500.0,510.0,490.1,496.0,2171,1680048000
ok,502.0,510.0,498.1,500.0,1801,1680134400
