s,o,h,l,c,v,t
ok,246.7,261.7,246.7,261.7,61,1642464000
ok,261.7,287.8,261.7,287.8,51,1642550400
ok,293.5,316.5,293.5,316.5,70,1642636800
ok,322.0,348.1,322.0,348.1,130,1642896000
ok,355.0,382.9,355.0,382.9,140,1642982400
ok,390.5,421.1,390.5,421.1,5584,1643068800
ok,425.0,463.2,425.0,463.2,820,1643155200
ok,472.4,509.5,472.4,509.5,2810,1643241600
ok,519.6,560.4,509.0,560.4,33715,1643500800
ok,571.6,616.4,560.0,616.4,29721,1643587200
ok,628.7,678.0,620.0,678.0,8999,1643673600
ok,678.0,744.0,640.0,744.0,46157,1643846400
ok,744.0,744.0,673.0,700.0,24660,1644105600
ok,686.0,724.2,652.8,668.0,29925,1644192000
ok,681.3,734.8,665.0,734.8,17120,1644278400
ok,734.0,734.0,675.3,686.0,14439,1644364800
ok,686.0,690.0,650.0,665.0,13244,1644451200
ok,651.7,651.7,615.0,615.0,12863,1644710400
ok,610.0,665.0,600.0,665.0,7814,1644796800
ok,678.3,685.0,631.0,685.0,9550,1644883200
ok,671.3,692.5,646.0,646.0,11600,1644969600
ok,640.0,646.0,619.0,620.0,13685,1645056000
ok,607.6,640.0,590.0,625.0,8903,1645315200
ok,620.0,675.0,620.0,667.0,20037,1645401600
ok,665.0,708.9,665.0,693.0,24504,1645488000
ok,693.0,736.0,680.1,733.0,36539,1645574400
ok,719.0,724.0,677.5,697.0,17184,1645660800
ok,705.0,710.0,678.0,699.0,11991,1645920000
ok,712.9,713.0,654.0,684.8,16754,1646006400
ok,671.2,671.2,650.0,669.5,10065,1646179200
ok,657.0,668.0,643.9,663.9,4477,1646524800
ok,670.0,703.0,652.0,703.0,6496,1646611200
ok,703.0,714.0,657.0,665.0,7166,1646784000
ok,675.0,688.5,642.1,677.0,10378,1646870400
ok,677.0,703.0,664.0,683.0,13279,1647129600
ok,670.0,679.9,662.0,668.0,1558,1647216000
ok,660.0,678.0,660.0,673.9,11688,1647302400
ok,680.0,680.0,658.0,674.0,4550,1647388800
ok,674.0,715.0,657.0,676.3,8960,1647734400
ok,676.3,702.7,653.0,671.9,15617,1647820800
ok,670.0,680.0,665.0,670.0,4769,1647907200
ok,657.0,660.0,645.0,646.0,6230,1647993600
ok,650.0,650.0,630.0,633.0,3530,1648080000
ok,620.5,650.0,608.0,609.0,6618,1648339200
ok,609.0,632.0,602.0,615.0,7254,1648425600
ok,627.0,639.0,602.7,623.0,5463,1648512000
ok,635.0,635.0,607.1,633.0,6102,1648598400
ok,640.0,640.0,607.0,627.3,5590,1648684800
ok,615.0,625.0,601.0,607.1,5783,1648944000
ok,600.0,613.1,596.2,596.2,4805,1649030400
ok,596.0,596.0,566.0,590.0,7330,1649116800
ok,580.0,585.0,557.5,566.0,3977,1649203200
ok,566.0,586.0,562.0,586.0,5225,1649289600
ok,597.7,633.0,560.1,561.0,3580,1649635200
ok,550.0,556.9,530.0,540.0,4668,1649721600
ok,535.0,550.0,515.0,540.0,3455,1649808000
ok,531.0,532.5,511.6,512.0,3725,1650153600
ok,505.1,512.0,494.1,495.0,4815,1650240000
ok,486.0,528.0,467.2,509.0,2698,1650326400
ok,519.0,519.0,479.0,480.0,3260,1650412800
ok,471.0,490.0,462.0,488.0,1832,1650499200
ok,479.0,518.0,452.0,518.0,11361,1650758400
ok,507.7,527.0,497.6,510.0,4355,1650844800
ok,499.8,510.0,495.0,500.0,947,1650931200
ok,490.1,510.0,490.0,493.6,4615,1651017600
ok,495.0,510.0,484.5,498.0,3300,1651104000
ok,488.5,488.5,465.0,467.0,1362,1651449600
ok,458.0,469.4,436.0,442.0,2606,1651622400
ok,435.0,435.0,410.0,415.0,6370,1651708800
ok,423.3,423.3,392.3,423.0,3783,1651968000
ok,420.0,429.4,411.7,420.0,3380,1652054400
ok,420.0,444.5,411.6,442.0,3545,1652140800
ok,444.4,479.4,436.7,479.0,3651,1652227200
ok,488.5,498.0,461.2,498.0,5586,1652313600
ok,507.9,507.9,448.2,449.0,8018,1652745600
ok,457.9,464.0,426.3,458.9,2391,1652832000
ok,468.0,470.0,439.1,439.1,1610,1652918400
ok,447.8,456.7,431.5,440.0,2502,1653004800
ok,440.0,440.0,424.0,428.0,3558,1653264000
ok,425.0,450.0,420.1,439.0,835,1653350400
ok,435.0,455.0,432.2,439.0,2131,1653436800
ok,430.5,440.0,430.5,435.0,1720,1653523200
ok,435.0,439.0,428.0,439.0,2070,1653609600
ok,430.3,442.0,415.0,428.0,1418,1653868800
ok,419.5,422.2,412.0,420.0,1636,1653955200
ok,419.5,429.5,408.1,414.0,900,1654041600
ok,406.0,422.0,406.0,409.0,950,1654128000
ok,401.8,413.5,401.0,402.0,995,1654214400
ok,400.0,412.0,396.0,401.0,925,1654473600
ok,395.0,400.0,384.3,391.9,3295,1654560000
ok,384.1,414.9,384.1,413.5,2484,1654646400
ok,415.0,419.5,400.1,409.0,3707,1654732800
ok,401.0,408.9,395.0,408.8,1596,1654819200
ok,401.0,401.0,388.1,388.1,2187,1655078400
ok,380.4,389.6,380.4,384.0,785,1655164800
ok,384.0,390.0,370.3,390.0,3618,1655251200
ok,382.2,395.0,375.0,388.0,810,1655337600
ok,382.1,383.0,370.0,370.0,1745,1655424000
ok,362.6,370.0,349.2,364.2,2110,1655596800
ok,357.0,357.0,343.1,348.8,2401,1655683200
ok,342.0,364.0,342.0,350.0,1250,1655769600
ok,343.5,350.0,333.2,340.0,1578,1655856000
ok,333.2,344.5,306.0,344.5,3031,1655942400
ok,337.7,345.0,324.0,338.1,1335,1656028800
ok,344.0,369.0,337.2,369.0,6257,1656201600
ok,376.3,391.4,345.8,391.4,4661,1656288000
ok,399.2,399.2,360.0,382.0,3696,1656374400
ok,375.1,396.7,353.5,396.0,10505,1656460800
ok,403.9,411.0,371.0,411.0,6833,1656547200
ok,415.0,415.0,382.9,397.0,2395,1656633600
ok,389.1,409.0,382.1,398.2,7587,1656806400
ok,398.0,411.9,388.0,402.0,12086,1656892800
ok,394.0,401.8,382.1,391.0,3230,1656979200
ok,383.2,398.0,375.0,382.0,2050,1657065600
ok,389.6,399.0,373.4,374.1,1567,1657152000
ok,372.0,380.0,356.5,368.0,1945,1657238400
ok,360.7,375.3,342.0,342.1,2499,1657497600
ok,344.0,361.0,336.2,339.0,1028,1657584000
ok,339.3,372.0,339.3,358.1,2532,1657670400
ok,357.0,371.0,350.1,367.0,3512,1657756800
ok,366.0,372.0,351.4,355.0,485,1657843200
ok,354.0,362.2,351.0,360.1,1447,1658016000
ok,360.0,370.0,356.0,370.0,1730,1658102400
ok,363.1,385.0,363.1,370.0,1318,1658188800
ok,364.1,381.9,364.1,378.0,3018,1658275200
ok,377.0,377.0,365.2,369.0,920,1658361600
ok,376.3,376.3,355.0,358.0,2725,1658448000
ok,356.2,370.0,356.0,364.1,3593,1658620800
ok,371.3,387.6,371.3,387.0,6818,1658707200
ok,382.0,393.0,382.0,383.0,5910,1658793600
ok,388.0,410.0,377.0,409.8,7207,1658880000
ok,403.0,445.5,401.7,428.0,10834,1658966400
ok,421.0,429.9,413.1,413.1,3628,1659052800
ok,421.3,444.5,421.3,444.5,15528,1659225600
ok,453.0,453.0,424.6,438.6,6430,1659312000
ok,432.0,444.0,423.4,440.0,6143,1659398400
ok,440.0,466.0,436.5,452.3,8070,1659484800
ok,452.0,459.0,434.0,436.0,9689,1659571200
ok,427.5,440.0,418.1,423.0,4129,1659657600
ok,416.0,449.5,416.0,448.0,7555,1659830400
ok,456.9,480.0,441.0,459.1,10813,1659916800
ok,450.0,459.0,432.0,442.0,4951,1660003200
ok,433.2,450.0,424.6,434.9,2838,1660089600
ok,433.5,442.9,401.8,402.0,9503,1660176000
ok,409.0,425.0,395.0,405.0,5284,1660435200
ok,396.9,434.0,396.9,434.0,5000,1660521600
ok,442.0,442.0,415.0,423.0,6155,1660608000
ok,415.0,430.0,399.0,424.9,5050,1660694400
ok,429.0,438.5,420.0,438.5,5911,1660780800
ok,429.8,438.6,425.0,438.6,4169,1661040000
ok,446.0,446.0,422.3,433.0,1776,1661126400
ok,441.6,441.6,422.0,423.0,1870,1661212800
ok,415.1,431.8,415.1,429.0,1795,1661299200
ok,420.6,437.3,404.0,423.3,5368,1661385600
ok,428.7,428.7,407.4,408.0,2127,1661472000
ok,399.9,408.0,395.0,395.0,2626,1661644800
ok,402.9,402.9,381.2,400.0,1035,1661731200
ok,407.0,407.0,392.0,392.2,560,1661817600
ok,392.2,400.8,386.0,393.7,3545,1661904000
ok,385.9,409.0,378.3,406.9,1711,1661990400
ok,414.0,414.0,390.0,390.2,470,1662076800
ok,395.0,398.0,382.5,389.2,844,1662249600
ok,382.0,390.0,382.0,386.0,826,1662336000
ok,379.0,387.0,376.2,376.5,1055,1662422400
ok,369.1,391.5,369.1,379.0,1315,1662508800
ok,373.3,395.7,373.3,385.0,2075,1662595200
ok,377.5,396.0,377.5,380.0,605,1662854400
ok,380.0,385.0,375.1,379.0,840,1662940800
ok,386.0,389.9,380.1,385.0,792,1663027200
ok,380.0,405.0,380.0,396.0,2455,1663113600
ok,391.0,403.9,380.1,384.9,2139,1663200000
ok,379.0,408.0,371.0,408.0,1160,1663286400
ok,413.0,413.0,370.0,386.0,3715,1663459200
ok,378.3,378.3,364.8,372.0,700,1663632000
ok,372.0,375.0,367.0,375.0,1040,1663718400
ok,375.0,375.0,357.0,374.5,150,1663804800
ok,379.0,379.0,343.1,353.0,2320,1664064000
ok,353.0,366.9,341.5,365.1,606,1664236800
ok,360.0,372.4,354.9,372.4,580,1664323200
ok,365.0,374.2,353.1,374.2,3932,1664409600
ok,380.8,385.0,355.0,385.0,1670,1665273600
ok,390.0,390.0,360.0,367.9,2556,1665360000
ok,361.0,374.0,347.2,374.0,332,1665446400
ok,367.0,371.0,356.4,370.0,1840,1665532800
ok,375.0,375.0,358.1,360.1,1110,1665619200
ok,360.0,365.0,352.8,365.0,520,1665878400
ok,360.0,362.0,346.0,362.0,435,1665964800
ok,362.0,368.9,347.4,361.0,132,1666137600
ok,353.8,355.0,327.0,349.0,360,1666224000
ok,343.1,351.9,343.0,351.9,90,1666483200
ok,350.0,357.0,327.0,355.8,465,1667174400
ok,348.7,362.8,345.0,360.0,720,1667260800
ok,353.0,379.0,350.0,365.0,2970,1667347200
ok,358.0,365.0,351.1,360.0,1000,1667433600
ok,352.8,374.0,351.0,374.0,2010,1667692800
ok,367.0,374.2,360.1,369.0,2228,1667779200
ok,368.0,376.2,355.1,372.4,2135,1667865600
ok,379.8,379.8,353.4,353.4,2402,1667952000
ok,347.1,358.0,341.5,341.5,1130,1668038400
ok,343.0,350.0,336.0,343.0,270,1668297600
ok,340.9,368.0,333.0,368.0,1160,1668384000
ok,360.7,367.0,348.0,357.9,3061,1668556800
ok,357.9,365.0,350.0,363.9,12000,1668643200
ok,364.0,364.0,356.0,357.0,187,1669075200
ok,350.0,352.4,340.0,343.8,1820,1669161600
ok,343.8,345.0,338.6,339.4,2142,1669248000
ok,339.0,359.0,337.3,357.9,5150,1669507200
ok,350.8,357.0,343.8,345.1,3930,1669593600
ok,342.0,352.0,342.0,345.1,701,1669680000
ok,338.8,354.9,338.8,354.9,5678,1669766400
