s,o,h,l,c,v,t
ok,208.16,204.51,204.51,204.51,23,1325376000
ok,204.51,201.23,201.23,201.23,200,1325462400
ok,201.23,197.95,197.95,197.95,40,1325548800
ok,197.95,199.04,195.76,199.04,620,1325635200
ok,199.04,205.61,202.33,205.61,34,1326067200
ok,205.61,212.54,208.89,212.54,56,1326153600
ok,212.54,208.89,208.89,208.89,30,1326240000
ok,208.89,219.84,212.54,219.84,75,1326326400
ok,219.84,216.19,214.0,214.0,80,1328572800
ok,214.0,210.35,195.03,195.03,846,1330300800
ok,195.03,191.75,188.46,188.46,509,1330387200
ok,188.46,190.29,188.46,190.29,1045,1330819200
ok,190.29,190.29,190.29,190.29,100,1330992000
ok,190.29,190.29,190.29,190.29,352,1331424000
ok,190.29,192.11,192.11,192.11,10,1332028800
ok,192.11,192.11,192.11,192.11,30,1332115200
ok,192.11,190.65,184.45,184.45,421,1332201600
ok,184.45,182.99,181.53,181.53,300,1332288000
ok,181.53,178.62,175.7,175.7,200,1332720000
ok,175.7,173.87,166.58,167.31,1800,1332892800
ok,167.31,165.12,164.02,164.02,750,1332979200
ok,164.02,175.33,157.09,175.33,1860,1333238400
ok,175.33,181.17,178.25,181.17,40,1333324800
ok,181.17,179.35,176.43,179.35,520,1333411200
ok,179.35,176.43,176.43,176.43,150,1333584000
ok,176.43,177.52,177.52,177.52,500,1333843200
ok,177.52,174.6,168.77,168.77,300,1333929600
ok,168.77,166.58,161.47,164.75,842,1334016000
ok,164.75,173.14,165.12,168.4,730,1334102400
ok,168.4,182.63,167.31,182.63,680,1334188800
ok,182.63,191.75,172.05,172.05,28100,1334448000
ok,172.05,198.31,188.46,188.46,1799,1334620800
ok,188.46,196.85,175.33,175.33,2185,1334707200
ok,175.33,189.92,178.25,189.92,50,1335657600
ok,189.92,205.24,193.21,205.24,502,1335744000
ok,205.24,215.82,208.53,212.17,1628,1335916800
ok,212.17,218.38,215.82,218.38,1036,1336003200
ok,218.38,229.68,221.66,221.66,3570,1336435200
ok,221.66,230.41,225.31,228.59,1188,1336521600
ok,228.59,232.24,224.21,224.58,2208,1336608000
ok,224.58,221.29,221.29,221.29,160,1336867200
ok,221.29,228.95,224.94,228.95,455,1337040000
ok,228.95,236.98,232.97,236.98,20,1337126400
ok,236.98,249.38,240.99,245.0,512,1337212800
ok,245.0,240.63,223.12,228.95,1294,1337472000
ok,228.95,230.78,224.94,226.77,340,1337558400
ok,226.77,226.04,219.11,226.04,260,1337644800
ok,226.04,222.02,222.02,222.02,42,1337731200
ok,222.02,218.38,214.0,214.0,816,1337817600
ok,214.0,221.29,206.7,221.29,370,1338076800
ok,221.29,217.65,201.6,208.16,2281,1338422400
ok,208.16,215.46,211.81,215.46,1120,1338681600
ok,215.46,211.81,201.23,204.15,530,1338768000
ok,204.15,204.15,197.58,197.58,110,1338854400
ok,197.58,197.58,192.48,192.48,460,1338940800
ok,192.48,199.41,189.56,197.58,1540,1339027200
ok,197.58,194.3,192.11,192.11,40,1339286400
ok,192.11,195.4,188.83,192.84,170,1339372800
ok,192.84,196.85,190.29,196.85,3400,1339632000
ok,196.85,203.42,200.14,203.06,210,1340150400
ok,203.06,199.77,196.49,196.49,10280,1340236800
ok,196.49,199.77,197.58,199.77,275,1340582400
ok,199.77,202.69,199.41,199.41,1929,1340668800
ok,199.41,202.33,202.33,202.33,100,1340755200
ok,202.33,208.89,205.24,205.24,531,1340841600
ok,205.24,201.96,196.12,196.12,2140,1341187200
ok,196.12,199.41,195.76,199.04,1100,1341273600
ok,199.04,205.61,202.33,205.61,99,1341360000
ok,205.61,213.63,203.06,212.9,1357,1341446400
ok,212.9,220.2,216.55,220.2,524,1341705600
ok,220.2,223.85,216.55,223.85,321,1341792000
ok,223.85,231.51,219.84,227.13,806,1341878400
ok,227.13,226.77,219.47,226.77,220,1341964800
ok,226.77,234.79,230.78,234.79,160,1342051200
ok,234.79,230.78,221.29,221.66,1702,1343001600
ok,221.66,221.29,218.01,221.29,1400,1343088000
ok,221.29,219.47,216.92,216.92,1049,1343174400
ok,216.92,213.27,213.27,213.27,500,1343260800
ok,213.27,213.27,209.62,212.17,1724,1343606400
ok,212.17,211.45,211.08,211.08,600,1343692800
ok,211.08,222.02,214.73,222.02,42,1343779200
ok,222.02,218.38,214.73,218.01,1986,1344124800
ok,218.01,214.73,212.17,212.17,650,1344211200
ok,212.17,216.55,212.17,216.55,1336,1344297600
ok,216.55,232.6,220.2,232.6,5352,1344384000
ok,232.6,249.02,231.87,235.16,6235,1344729600
ok,235.16,236.25,230.41,232.24,2310,1344816000
ok,232.24,248.65,236.25,244.64,6499,1344902400
ok,244.64,242.82,237.71,239.17,3916,1344988800
ok,239.17,242.09,235.89,239.17,5166,1345075200
ok,239.17,243.91,235.89,242.82,9742,1345334400
ok,242.82,250.48,243.18,249.02,3167,1345507200
ok,249.02,257.77,250.84,257.77,1007,1345593600
ok,257.77,267.99,257.77,262.15,6120,1345680000
ok,262.15,266.89,257.41,261.78,2770,1345939200
ok,261.78,264.34,261.42,264.34,5881,1346025600
ok,264.34,270.54,263.97,265.43,2979,1346112000
ok,265.43,270.17,265.43,265.8,1520,1346198400
ok,265.8,268.71,265.8,266.89,3250,1346284800
ok,266.89,275.65,268.71,273.09,4120,1346544000
ok,273.09,276.38,270.54,274.19,539,1346630400
ok,274.19,278.2,273.46,274.19,2300,1346716800
ok,274.19,272.36,268.71,268.71,1630,1346803200
ok,268.71,276.74,269.81,276.01,710,1346889600
ok,276.01,278.56,272.73,277.83,1148,1347148800
ok,277.83,276.38,273.09,275.65,1200,1347235200
ok,275.65,276.01,271.27,275.65,462,1347321600
ok,275.65,276.01,273.09,276.01,1300,1347408000
