s,o,h,l,c,v,t
ok,91.97,96.41,91.36,92.13,2940,1325376000
ok,92.13,94.88,92.28,93.35,1110,1325462400
ok,93.35,94.88,91.05,93.96,4810,1325548800
ok,93.96,94.73,91.82,94.73,5290,1325635200
ok,94.73,93.96,92.43,93.81,1180,1325721600
ok,93.81,93.5,92.59,93.2,2090,1325980800
ok,93.2,93.35,92.59,93.04,1320,1326067200
ok,93.04,94.12,93.2,93.35,1700,1326153600
ok,93.35,96.72,93.2,93.35,1950,1326240000
ok,93.35,93.81,91.51,93.2,1930,1326326400
ok,93.2,93.66,91.36,93.2,2020,1326672000
ok,93.2,88.61,88.61,88.61,80,1326758400
ok,88.61,94.12,90.29,93.35,2950,1326844800
ok,93.35,93.04,89.83,93.04,1380,1326844800
ok,93.04,93.5,92.59,92.89,2310,1327190400
ok,92.89,95.19,92.74,93.35,3430,1327276800
ok,93.35,93.66,91.82,93.66,150,1327449600
ok,93.66,94.12,93.35,93.66,2660,1327536000
ok,93.66,93.96,91.51,93.96,5440,1327795200
ok,93.96,93.66,92.59,93.66,1280,1327968000
ok,93.66,93.35,92.89,93.2,2860,1328054400
ok,93.2,93.66,92.74,92.74,4880,1328140800
ok,92.74,93.35,93.04,93.35,2530,1328400000
ok,93.35,93.04,91.82,92.59,1900,1328486400
ok,92.59,92.59,91.82,91.82,3180,1328572800
ok,91.82,91.82,91.36,91.36,1530,1328659200
ok,91.36,91.36,90.9,90.9,2620,1328745600
ok,90.9,91.05,90.29,91.05,2210,1329004800
ok,91.05,91.05,90.44,90.44,5040,1329091200
ok,90.44,90.9,90.14,90.14,2410,1329177600
ok,90.14,90.6,90.14,90.29,1980,1329264000
ok,90.29,91.67,90.9,91.36,510,1329350400
ok,91.36,91.82,90.6,91.05,500,1329782400
ok,91.05,91.67,90.6,90.75,1460,1329955200
ok,90.75,90.9,90.29,90.29,1700,1330214400
ok,90.29,90.44,90.29,90.29,1130,1330300800
ok,90.29,90.75,90.29,90.75,1900,1330387200
ok,90.75,91.51,91.05,91.21,1140,1330473600
ok,91.21,91.51,90.9,91.51,2720,1330560000
ok,91.51,92.13,90.9,91.67,3350,1330819200
ok,91.67,92.13,91.51,91.67,2390,1330905600
ok,91.67,91.82,91.36,91.67,2360,1330992000
ok,91.67,91.82,90.29,91.51,6530,1331424000
ok,91.51,91.51,90.29,91.36,9890,1331510400
ok,91.36,91.51,91.36,91.36,800,1331596800
ok,91.36,91.67,91.21,91.36,1890,1331683200
ok,91.36,91.51,91.05,91.05,1240,1331769600
ok,91.05,91.36,90.9,91.36,2090,1332028800
ok,91.36,91.51,91.05,91.21,2410,1332115200
ok,91.21,91.21,90.9,91.21,2260,1332201600
ok,91.21,91.82,90.9,91.21,1960,1332288000
ok,91.21,91.05,90.75,90.9,1800,1332633600
ok,90.9,91.05,90.14,90.29,2580,1332720000
ok,90.29,90.29,88.76,90.29,1100,1332806400
ok,90.29,91.67,89.52,89.83,2390,1332892800
ok,89.83,90.14,89.83,89.83,2920,1332979200
ok,89.83,89.98,89.83,89.98,820,1333238400
ok,89.98,91.67,90.29,90.9,720,1333324800
ok,90.9,91.82,89.52,91.21,4140,1333411200
ok,91.21,91.51,90.9,91.05,560,1333497600
ok,91.05,92.59,91.05,91.05,1460,1333584000
ok,91.05,91.82,90.9,91.21,1980,1333843200
ok,91.21,92.59,91.21,91.82,4360,1333929600
ok,91.82,93.04,90.6,92.74,630,1334016000
ok,92.74,97.33,93.04,93.35,5120,1334102400
ok,93.35,97.48,93.5,97.48,4100,1334188800
ok,97.48,105.29,99.32,105.13,3040,1334448000
ok,105.13,107.12,107.12,107.12,10,1334534400
ok,107.12,117.84,100.54,104.06,10410,1334620800
ok,104.06,114.01,100.7,111.1,6290,1334707200
ok,111.1,114.62,110.18,112.48,4230,1334793600
ok,112.48,117.68,113.24,117.22,6270,1335052800
ok,117.22,126.56,119.52,126.56,590,1335225600
ok,126.56,139.11,129.01,139.11,1660,1335312000
ok,139.11,145.08,131.61,137.12,16192,1335398400
ok,137.12,138.34,131.76,135.89,11728,1335657600
ok,135.89,134.67,129.31,130.23,5692,1335744000
ok,130.23,127.63,117.22,117.99,4996,1335916800
ok,117.99,120.28,120.28,120.28,12,1336003200
ok,120.28,127.48,122.58,127.48,126,1336348800
ok,127.48,137.88,129.93,137.73,10080,1336435200
ok,137.73,137.73,131.0,133.75,9050,1336521600
ok,133.75,132.68,126.56,131.15,7862,1336608000
ok,131.15,129.77,122.27,124.26,4768,1336867200
ok,124.26,121.81,116.46,117.22,7552,1336953600
ok,117.22,128.85,119.52,128.85,4918,1337040000
ok,128.85,133.9,131.3,133.9,40,1337126400
ok,133.9,145.38,131.61,135.59,12500,1337212800
ok,135.59,134.82,128.55,133.14,7492,1337472000
ok,133.14,136.2,128.4,135.43,6120,1337558400
ok,135.43,134.21,127.02,132.53,7062,1337644800
ok,132.53,129.93,123.34,124.72,5506,1337731200
ok,124.72,131.46,123.19,130.08,6274,1337817600
ok,130.08,135.89,131.61,134.82,9076,1338076800
ok,134.82,132.22,121.36,121.36,260,1338249600
ok,121.36,119.06,109.27,109.27,14732,1338336000
ok,109.27,116.31,103.14,113.24,9490,1338422400
ok,113.24,126.25,115.39,125.18,14662,1338681600
ok,125.18,126.25,117.07,121.36,7772,1338768000
ok,121.36,120.9,116.31,118.91,4222,1338854400
ok,118.91,118.91,116.46,117.84,3270,1338940800
ok,117.84,121.05,116.46,119.37,4402,1339027200
ok,119.37,118.91,117.07,117.84,4096,1339286400
ok,117.84,122.58,118.14,119.37,686,1339372800
ok,119.37,120.74,115.54,119.37,1580,1339459200
ok,119.37,121.66,117.84,119.21,3332,1339545600
ok,119.21,119.21,117.07,119.21,2602,1339632000
ok,119.21,121.36,117.99,119.37,2292,1339891200
ok,119.37,121.51,117.84,120.74,2932,1339977600
ok,120.74,120.44,118.91,120.44,3212,1340064000
ok,120.44,122.43,120.13,120.59,2554,1340150400
ok,120.59,123.96,118.6,123.96,4500,1340236800
ok,123.96,127.78,122.58,127.48,5504,1340582400
ok,127.48,127.17,123.65,127.17,7064,1340668800
ok,127.17,129.31,124.72,128.55,6216,1340755200
ok,128.55,129.31,124.11,129.01,5440,1340841600
ok,129.01,128.85,126.25,127.32,7440,1341100800
ok,127.32,130.08,125.64,128.55,3918,1341187200
ok,128.55,128.55,123.8,128.55,3798,1341273600
ok,128.55,130.38,127.48,129.47,5560,1341360000
ok,129.47,130.84,129.16,129.31,12308,1341446400
ok,129.31,130.08,127.94,130.08,6982,1341705600
ok,130.08,132.83,129.62,131.91,18312,1341792000
ok,131.91,136.2,130.38,134.21,15294,1341878400
ok,134.21,135.59,134.06,135.43,6534,1341964800
ok,135.43,134.67,131.61,133.6,16062,1342051200
ok,133.6,139.26,133.45,139.26,7380,1342310400
ok,139.26,136.81,129.31,134.82,4481,1342396800
ok,134.82,135.13,132.22,134.98,8952,1342483200
ok,134.98,138.34,134.06,138.34,8086,1342569600
ok,138.34,142.32,134.98,140.18,11222,1342656000
ok,140.18,147.52,138.8,147.52,12652,1342915200
