s,o,h,l,c,v,t
ok,174.22,174.22,164.1,174.22,775,1501718400
ok,176.31,185.38,166.2,171.78,10396,1501977600
ok,169.68,170.38,160.96,160.96,4374,1502064000
ok,159.22,159.22,151.19,152.24,5869,1502236800
ok,152.24,152.24,144.57,152.24,2022,1502323200
ok,150.85,151.19,144.92,146.31,379,1502582400
ok,145.26,145.26,138.29,138.64,608,1502755200
ok,137.24,140.73,137.24,137.24,528,1502841600
ok,135.85,136.19,134.45,135.15,628,1502928000
ok,136.54,136.54,133.75,134.8,700,1503187200
ok,136.19,137.59,130.26,131.66,1788,1503273600
ok,131.31,133.75,130.61,131.31,6521,1503360000
ok,130.26,130.96,126.77,126.77,3955,1503446400
ok,126.77,129.57,124.68,129.57,4342,1503532800
ok,129.57,131.31,128.87,131.31,2006,1503792000
ok,130.26,131.66,129.57,131.66,280,1503878400
ok,131.66,132.01,130.26,130.26,1851,1504051200
ok,130.26,129.91,127.12,129.57,487,1504137600
ok,128.52,128.52,126.43,126.43,1582,1504483200
ok,126.43,127.82,126.43,127.82,370,1504656000
ok,127.47,127.82,125.38,125.38,1146,1504742400
ok,124.33,125.38,122.24,123.29,968,1505001600
ok,122.59,122.59,119.45,119.45,179,1505088000
ok,118.75,119.1,118.75,118.75,98,1505174400
ok,118.05,118.4,115.96,118.4,184,1505260800
ok,118.4,118.4,117.36,118.4,407,1505347200
ok,119.1,119.1,116.66,117.01,248,1505606400
ok,116.31,119.1,116.31,118.4,603,1505692800
ok,119.1,119.1,117.7,117.7,131,1505865600
ok,116.66,118.4,116.66,118.4,618,1506211200
ok,119.45,120.5,119.45,120.5,80,1506297600
ok,120.5,123.98,120.5,122.59,1151,1506384000
ok,122.59,122.59,121.54,121.54,150,1506988800
ok,121.54,121.54,121.54,121.54,40,1507075200
ok,120.5,121.89,119.45,121.89,94,1507420800
ok,120.84,120.84,120.15,120.15,172,1507507200
ok,119.45,120.15,118.4,120.15,228,1507593600
ok,119.1,120.15,119.1,120.15,76,1507680000
ok,120.15,122.24,120.15,121.89,92,1507766400
ok,121.54,122.94,121.19,122.94,352,1508025600
ok,123.98,126.08,123.98,126.08,541,1508112000
ok,125.38,129.91,125.38,129.91,1005,1508198400
ok,129.57,129.91,129.57,129.91,30,1508284800
ok,129.91,130.96,129.91,130.96,56,1508630400
ok,130.96,130.61,128.52,129.57,422,1508716800
ok,129.57,133.05,129.57,133.05,888,1508803200
ok,134.45,135.85,131.66,131.66,1238,1508889600
ok,130.26,130.96,130.26,130.96,20,1509235200
ok,130.26,130.26,129.91,129.91,88,1509321600
ok,128.87,129.57,127.82,129.57,351,1509408000
ok,128.52,129.22,128.52,129.22,197,1509494400
ok,129.22,129.22,127.82,127.82,258,1509580800
ok,126.77,129.91,126.77,129.91,199,1509840000
ok,129.91,129.91,127.82,129.22,114,1509926400
ok,128.17,128.17,127.12,127.12,20,1510012800
ok,126.08,126.08,125.03,125.03,162,1510099200
ok,126.08,126.08,121.89,125.73,378,1510185600
ok,126.08,125.03,123.64,124.68,142,1510444800
ok,123.98,124.33,123.98,124.33,424,1510531200
ok,124.33,124.33,122.59,124.33,871,1510617600
ok,123.64,124.68,123.64,123.64,225,1510704000
ok,124.68,124.68,122.59,123.64,3014,1510790400
ok,123.64,122.59,121.54,122.59,1655,1511049600
ok,123.64,123.64,122.94,122.94,60,1511136000
ok,123.29,123.29,121.19,122.59,514,1511222400
ok,121.89,121.89,119.8,121.19,387,1511308800
ok,121.19,120.84,120.84,120.84,168,1511395200
ok,120.84,124.33,120.5,124.33,82,1511654400
ok,125.38,125.38,123.98,125.38,433,1511740800
ok,125.38,126.43,125.38,126.43,98,1511827200
ok,125.38,127.12,125.38,125.38,671,1511913600
ok,126.08,127.12,124.33,127.12,333,1512000000
ok,126.08,126.08,124.33,124.68,386,1512345600
ok,124.68,126.43,124.33,126.43,365,1512432000
ok,127.12,132.71,126.43,131.31,1341,1512518400
ok,129.91,130.96,128.87,130.96,512,1512864000
ok,129.91,129.91,128.17,128.17,94,1512950400
ok,128.17,128.52,127.12,127.82,1884,1513036800
ok,127.12,127.12,126.08,126.08,64,1513123200
ok,125.03,125.73,125.03,125.73,80,1513209600
ok,125.38,125.73,124.33,125.73,118,1513468800
ok,125.73,125.73,125.38,125.38,278,1513555200
ok,125.03,125.73,124.68,125.38,70,1513641600
ok,124.33,125.03,124.33,124.68,122,1513728000
ok,124.33,125.73,123.64,125.73,573,1513814400
ok,124.68,124.68,121.54,121.54,70,1514073600
ok,121.54,122.59,121.19,122.24,201,1514246400
ok,123.29,123.29,121.54,121.54,272,1514332800
ok,121.54,121.89,120.84,121.19,172,1514419200
ok,120.84,121.54,120.5,120.84,648,1514678400
ok,120.84,123.64,120.84,122.59,154,1514764800
ok,121.54,125.38,121.54,124.33,1050,1514851200
ok,123.29,123.64,123.29,123.64,94,1514937600
ok,122.59,124.68,122.59,124.68,299,1515024000
ok,125.38,126.08,124.33,125.38,238,1515283200
ok,125.73,125.73,125.38,125.38,560,1515369600
ok,125.38,125.38,124.68,124.68,141,1515456000
ok,124.33,124.33,123.98,123.98,190,1515542400
ok,124.33,124.33,123.64,123.64,45,1515888000
ok,122.59,122.59,120.5,120.5,74,1516060800
ok,119.45,121.19,119.45,121.19,154,1516147200
ok,121.19,122.94,121.19,121.89,271,1516492800
ok,120.84,120.84,119.8,120.84,40,1516579200
ok,119.8,120.15,119.1,120.15,90,1516665600
ok,121.19,122.59,120.84,122.59,105,1516752000
ok,121.54,122.24,121.54,121.54,135,1516838400
ok,120.84,121.89,120.84,121.89,179,1517097600
ok,122.94,122.94,120.84,121.19,192,1517184000
ok,120.15,122.59,120.15,121.54,94,1517356800
ok,122.24,122.24,121.19,121.54,72,1517443200
