s,o,h,l,c,v,t
ok,300.0,330.0,300.0,330.0,2080,1703116800
ok,335.5,363.0,335.5,363.0,3090,1703376000
ok,363.0,399.3,363.0,399.3,3660,1703635200
ok,407.0,439.2,407.0,439.2,5760,1703721600
ok,447.9,483.1,447.9,483.1,4780,1704067200
ok,492.7,531.4,492.7,531.4,7805,1704153600
ok,542.0,584.5,535.1,549.0,85750,1704240000
ok,540.0,593.0,527.4,589.2,30058,1704326400
ok,595.0,595.0,555.5,556.0,33610,1704585600
ok,550.0,581.0,545.1,560.0,26658,1704672000
ok,571.2,571.2,545.1,546.0,20017,1704758400
ok,540.0,566.0,540.0,550.0,18125,1704844800
ok,550.0,567.1,542.0,552.0,12850,1704931200
ok,552.0,582.0,552.0,582.0,29379,1705190400
ok,575.0,591.9,562.0,566.0,27503,1705363200
ok,566.0,567.1,532.2,532.2,19224,1705449600
ok,523.0,542.0,510.1,542.0,25225,1705536000
ok,552.8,552.8,514.0,518.0,24374,1705795200
ok,509.0,518.0,502.0,515.0,16169,1705881600
ok,505.0,529.9,505.0,510.2,9940,1705968000
ok,511.5,520.0,505.7,512.0,9615,1706054400
ok,501.8,521.2,496.0,513.0,11475,1706140800
ok,511.0,519.0,505.3,511.5,9710,1706400000
ok,503.9,530.0,503.9,520.0,12033,1706486400
ok,525.0,534.0,520.0,524.5,10035,1706572800
ok,514.5,530.0,506.0,510.0,9836,1706659200
ok,505.0,510.0,495.0,496.0,13912,1706745600
ok,488.0,502.0,485.2,488.0,10456,1707004800
ok,488.0,500.0,488.0,495.1,7785,1707091200
ok,485.2,510.0,485.2,509.9,8571,1707177600
ok,511.0,525.0,504.2,517.0,10480,1707264000
ok,510.0,521.0,510.0,520.0,7642,1707350400
ok,515.0,530.0,515.0,520.6,16154,1707609600
ok,518.0,572.6,516.3,572.6,60320,1707696000
ok,572.6,575.5,539.0,545.0,30094,1707782400
ok,535.0,557.0,535.0,551.0,13916,1707868800
ok,540.0,555.9,530.2,538.0,18910,1707955200
ok,538.0,538.0,519.4,530.0,12539,1708214400
ok,522.0,559.0,520.1,549.0,23105,1708387200
ok,538.1,557.0,538.1,551.0,27457,1708473600
ok,540.0,574.0,540.0,573.0,66059,1708560000
ok,574.0,624.9,563.0,622.0,52197,1708819200
ok,609.6,641.0,609.6,635.0,25585,1708905600
ok,622.3,686.8,602.9,602.9,34944,1708992000
ok,614.9,663.1,604.0,661.0,86100,1709078400
ok,661.0,670.0,621.0,670.0,31070,1709164800
ok,656.6,656.6,610.0,619.8,12202,1709424000
ok,632.1,657.0,632.1,643.0,1807,1709510400
ok,655.8,655.8,600.0,611.9,21669,1709596800
ok,601.0,640.0,598.0,624.0,31625,1709683200
ok,611.6,680.0,605.0,680.0,23216,1709769600
ok,666.4,666.4,622.5,632.0,56581,1710028800
ok,635.0,635.0,607.0,617.2,13453,1710201600
ok,620.0,620.0,601.0,611.9,8486,1710288000
