s,o,h,l,c,v,t
ok,365.44,365.44,365.44,365.44,11,1486944000
ok,359.14,359.14,329.74,329.74,62,1487030400
ok,323.45,323.45,297.19,297.19,101,1487116800
ok,291.96,291.96,267.8,267.8,324,1487203200
ok,262.56,262.56,241.56,241.56,823,1487462400
ok,237.35,245.75,236.3,244.7,349,1487548800
ok,248.95,253.21,245.76,246.83,421,1487635200
ok,244.71,247.9,238.33,242.58,567,1487721600
ok,242.57,252.15,242.57,246.83,523,1487808000
ok,248.95,250.02,247.89,247.89,174,1488067200
ok,252.15,252.15,250.02,250.02,273,1488240000
ok,246.82,248.95,243.63,244.69,267,1488326400
ok,241.5,244.69,240.44,244.69,512,1488412800
ok,246.81,251.07,246.81,247.88,95,1488672000
ok,248.94,258.52,248.94,250.01,194,1488758400
ok,245.77,251.08,245.77,248.96,147,1488844800
ok,245.77,250.03,240.45,250.03,460,1489017600
ok,251.09,254.28,251.09,254.28,108,1489363200
ok,250.02,254.28,250.02,254.28,62,1489449600
ok,253.21,254.28,248.96,254.28,161,1489536000
ok,255.34,261.73,255.34,261.73,61,1489622400
ok,261.73,271.3,261.73,261.73,1084,1489881600
ok,265.99,265.99,264.93,265.99,30,1489968000
ok,271.31,281.95,259.61,260.67,951,1490054400
ok,256.43,256.43,256.43,256.43,200,1490140800
ok,252.18,252.18,243.67,248.99,1064,1490227200
ok,253.25,257.5,248.99,253.25,1426,1490486400
ok,253.24,264.95,257.5,264.95,2809,1490659200
ok,264.96,270.28,262.83,262.83,855,1490745600
ok,262.84,260.71,256.45,257.52,150,1490832000
ok,255.38,255.38,255.38,255.38,10,1491091200
ok,259.64,259.64,255.38,255.38,30,1491177600
ok,254.33,255.39,244.75,250.07,271,1491264000
ok,250.06,250.06,244.74,244.74,105,1491436800
ok,247.93,250.05,244.76,250.05,353,1491696000
ok,250.05,254.3,250.05,254.3,172,1491782400
ok,254.3,254.3,254.3,254.3,10,1491868800
ok,254.31,255.37,250.05,255.37,328,1491955200
ok,255.37,255.37,251.12,252.18,169,1492300800
ok,256.43,263.88,252.17,259.62,583,1492473600
ok,259.62,263.88,255.36,259.62,153,1492560000
ok,255.36,255.36,255.36,255.36,86,1492646400
ok,254.31,254.31,237.28,237.28,107,1492992000
ok,237.28,244.73,237.28,244.73,569,1493078400
ok,243.67,248.99,242.61,248.99,266,1493164800
ok,244.73,248.99,241.54,244.73,103,1493251200
ok,244.72,250.04,244.72,245.79,270,1493510400
ok,242.59,243.66,234.08,238.34,495,1493683200
ok,238.34,241.53,235.15,241.53,116,1493769600
ok,238.35,239.41,230.9,235.16,218,1493856000
ok,230.91,234.1,229.84,229.84,183,1494115200
ok,231.97,234.09,227.71,234.09,1160,1494201600
ok,234.1,247.93,238.36,240.48,1493,1494288000
ok,244.73,263.88,241.54,263.88,1479,1494460800
ok,268.13,287.28,262.81,285.15,2306,1494806400
ok,288.33,288.33,265.99,265.99,746,1494892800
ok,268.12,268.12,265.99,265.99,343,1494979200
ok,265.99,260.67,247.9,247.9,548,1495065600
ok,245.77,252.16,245.77,246.84,210,1495324800
ok,246.83,246.83,234.06,239.38,178,1495411200
ok,238.32,243.64,238.32,243.64,136,1495497600
ok,243.64,243.64,239.38,239.38,105,1495584000
ok,235.13,243.64,235.13,243.64,791,1495929600
ok,239.38,239.38,231.93,236.19,185,1496102400
ok,236.18,238.31,234.06,238.31,115,1496188800
ok,236.19,238.32,235.13,236.19,161,1496275200
