s,o,h,l,c,v,t
ok,261.0,287.1,250.0,287.1,30,1686182400
ok,292.8,311.0,279.3,292.0,41826,1686441600
ok,287.0,289.6,274.9,283.5,33479,1686528000
ok,283.0,305.5,278.0,295.0,32792,1686614400
ok,290.0,303.7,285.0,290.0,20048,1686700800
ok,285.0,291.0,283.1,288.9,13645,1686787200
ok,283.2,294.0,280.0,288.0,23489,1687046400
ok,288.0,292.0,282.3,289.0,22744,1687132800
ok,292.0,292.0,280.0,285.0,8314,1687219200
ok,290.0,290.0,270.9,279.0,17871,1687305600
ok,273.5,276.0,266.0,270.0,10461,1687392000
ok,264.6,277.0,261.6,277.0,9820,1687651200
ok,282.0,282.0,264.0,267.0,9980,1687737600
ok,262.7,278.4,262.0,275.0,15335,1687824000
ok,269.5,269.5,260.0,263.0,16091,1687910400
ok,262.0,262.0,249.1,252.2,11395,1688256000
ok,247.5,257.0,242.0,247.0,16563,1688342400
ok,242.1,251.0,240.2,245.0,5390,1688428800
ok,240.4,243.0,232.7,234.9,10875,1688515200
ok,230.5,246.0,226.1,239.7,9178,1688601600
ok,235.0,239.7,235.0,235.0,8040,1688860800
ok,232.0,236.6,223.5,227.3,16880,1688947200
ok,224.8,229.0,222.0,227.5,4049,1689033600
ok,225.0,244.0,223.0,241.0,11827,1689120000
ok,237.1,246.6,231.4,231.4,8899,1689206400
ok,228.0,234.0,223.6,228.0,4465,1689465600
ok,232.5,233.0,221.8,231.0,8295,1689552000
ok,227.0,239.0,226.7,232.0,5435,1689638400
ok,233.0,233.0,224.0,228.3,3135,1689724800
ok,225.0,242.7,225.0,242.7,15045,1689811200
ok,242.0,255.0,238.0,249.0,14804,1690070400
ok,249.0,258.0,239.2,243.0,11654,1690156800
ok,239.0,246.5,237.0,238.0,3315,1690243200
ok,242.0,242.0,234.0,239.9,4720,1690329600
ok,235.2,243.7,231.5,239.6,5101,1690416000
ok,235.0,235.0,226.4,231.0,9818,1690675200
ok,228.1,234.1,228.0,230.0,4848,1690761600
ok,230.0,234.0,226.1,228.0,4186,1690848000
ok,224.2,240.0,213.0,221.0,6077,1690934400
ok,225.0,233.0,217.0,223.0,4425,1691020800
ok,220.0,220.0,215.3,219.0,5296,1691280000
ok,222.0,227.7,208.0,214.0,4480,1691366400
ok,210.1,215.0,210.0,213.0,6700,1691452800
ok,210.1,219.3,206.3,217.5,5875,1691539200
ok,214.0,215.4,209.8,215.0,5910,1691625600
ok,211.0,214.0,209.1,214.0,5680,1691884800
ok,210.0,222.0,207.2,208.3,8574,1691971200
ok,208.0,208.0,199.5,199.6,8220,1692057600
ok,195.7,204.0,195.7,203.0,2590,1692144000
ok,200.0,206.9,196.6,199.0,3715,1692230400
ok,195.1,205.0,191.6,192.3,2805,1692489600
ok,189.0,189.9,183.3,185.5,6820,1692576000
ok,182.0,188.5,180.0,187.4,2310,1692662400
ok,185.0,205.5,185.0,204.0,6030,1692748800
ok,200.0,203.0,190.0,190.0,6072,1692835200
ok,188.8,189.9,182.1,184.0,2154,1693094400
ok,181.0,187.0,177.4,184.0,3670,1693180800
ok,181.0,194.7,180.6,194.7,2113,1693267200
ok,190.9,191.0,184.0,187.3,4455,1693353600
ok,183.6,184.0,180.1,180.1,3228,1693699200
ok,180.0,198.1,178.0,198.1,3056,1693785600
ok,194.2,195.4,186.6,195.0,2340,1693872000
ok,191.1,191.1,184.0,189.0,2210,1694044800
ok,186.0,202.0,186.0,194.9,2625,1694304000
ok,191.2,210.0,191.2,209.9,11616,1694390400
ok,214.0,218.2,197.0,218.2,6047,1694476800
ok,222.5,222.5,198.4,220.0,12113,1694563200
ok,215.6,215.6,201.9,205.0,11897,1694908800
ok,201.0,209.2,200.0,207.0,6865,1694995200
ok,203.0,224.4,203.0,218.1,16259,1695081600
ok,219.0,232.5,219.0,230.0,21862,1695254400
ok,230.0,234.6,217.1,219.0,12761,1695513600
