s,o,h,l,c,v,t
ok,182.0,193.0,171.9,191.0,16519,1641081600
ok,203.55,218.9,197.5,207.5,127582,1657756800
ok,210.0,210.0,197.0,204.6,27911,1657843200
ok,204.5,204.5,196.05,200.0,18500,1658016000
ok,197.0,204.0,195.1,201.5,14521,1658102400
ok,201.0,206.0,198.75,199.55,13090,1658188800
ok,200.0,201.0,195.5,196.0,18846,1658275200
ok,193.2,200.5,193.2,193.6,12830,1658361600
ok,196.0,196.0,188.25,189.5,14372,1658448000
ok,189.0,193.5,185.75,193.5,20599,1658620800
ok,193.5,203.0,193.0,203.0,24559,1658707200
ok,201.5,204.5,195.1,199.5,17923,1658793600
ok,196.55,201.75,193.75,200.95,18914,1658880000
ok,200.0,209.5,197.95,201.75,42405,1658966400
ok,202.0,206.5,200.05,206.5,16053,1659052800
ok,206.5,209.5,204.05,208.0,33804,1659225600
ok,204.85,220.5,204.85,216.8,45225,1659312000
ok,220.1,226.95,211.0,222.0,30061,1659398400
ok,218.6,238.5,218.6,227.5,29262,1659484800
ok,227.5,233.6,220.5,232.5,49183,1659571200
ok,232.55,232.55,222.0,225.0,23881,1659657600
ok,225.0,229.0,221.05,224.5,21386,1659830400
ok,221.5,228.5,221.5,224.5,43357,1659916800
ok,221.05,228.5,219.25,219.25,30664,1660003200
ok,215.95,222.6,215.0,220.0,16076,1660089600
ok,217.0,237.0,217.0,226.5,37128,1660176000
ok,223.0,232.5,220.0,224.75,20929,1660435200
ok,221.5,242.0,218.2,240.5,42081,1660521600
ok,244.3,245.0,230.0,230.0,61854,1660608000
ok,230.0,248.0,230.0,246.5,66316,1660694400
ok,242.6,249.0,242.5,242.6,31702,1660780800
ok,246.45,254.0,231.3,240.0,60990,1661040000
ok,236.5,236.5,228.05,230.05,50918,1661126400
ok,227.9,231.5,224.75,225.0,22540,1661212800
ok,227.5,230.5,221.0,225.5,32709,1661299200
ok,222.5,231.0,218.7,218.7,19963,1661385600
ok,220.0,220.5,212.0,214.5,21817,1661472000
ok,212.5,214.9,205.0,207.5,27141,1661644800
ok,205.1,210.65,205.1,209.9,17176,1661731200
ok,209.0,212.65,206.85,209.5,12520,1661817600
ok,212.65,219.2,205.45,211.5,10052,1661904000
ok,210.05,213.5,205.5,213.0,18943,1661990400
ok,216.0,218.0,208.05,208.05,7385,1662076800
ok,211.2,217.5,207.8,210.0,11104,1662249600
ok,210.0,216.0,206.5,206.5,10741,1662336000
ok,205.0,209.0,204.6,205.5,7908,1662422400
ok,202.65,206.5,202.5,206.5,10545,1662508800
ok,209.6,209.6,200.0,206.0,10115,1662595200
ok,209.0,212.3,202.9,209.6,11999,1662854400
ok,206.55,206.55,203.0,203.0,10451,1662940800
ok,203.0,207.45,201.0,205.0,7158,1663027200
ok,202.5,211.5,202.0,209.0,16315,1663113600
ok,206.0,209.95,200.5,202.5,10617,1663200000
ok,199.5,200.5,194.25,198.75,13481,1663286400
ok,197.0,197.0,187.8,188.0,13875,1663459200
ok,185.25,190.5,177.75,181.05,10268,1663632000
ok,178.45,186.3,178.25,180.95,7503,1663718400
ok,180.0,182.0,177.5,177.5,19280,1663804800
ok,177.5,177.5,173.0,173.5,3508,1664064000
ok,175.5,179.0,170.0,175.0,4525,1664236800
ok,172.5,175.3,172.5,174.0,2338,1664323200
ok,175.0,176.45,172.5,174.45,3864,1664409600
ok,175.0,179.0,173.0,176.5,1210,1665273600
ok,175.0,177.5,172.0,172.0,4153,1665360000
ok,169.6,171.0,167.5,171.0,2808,1665446400
ok,171.5,174.5,167.05,172.5,4860,1665532800
ok,173.0,177.95,171.1,176.85,5286,1665619200
ok,174.35,175.0,171.0,172.5,2143,1665878400
ok,170.5,172.0,168.6,172.0,2581,1665964800
ok,171.0,171.0,166.7,168.0,5250,1666137600
ok,165.65,168.5,163.5,167.0,2861,1666224000
ok,164.7,169.2,163.55,167.95,4411,1666483200
ok,165.6,165.7,163.35,165.05,1780,1667174400
ok,162.75,176.55,162.75,175.0,7321,1667260800
ok,175.0,179.45,170.6,177.0,12135,1667347200
ok,174.5,177.5,172.25,177.45,9701,1667433600
ok,175.0,184.0,170.05,184.0,6435,1667692800
ok,185.0,186.2,179.7,180.0,6110,1667779200
ok,180.0,182.5,177.0,177.4,3746,1667865600
ok,174.9,179.5,170.25,171.0,4390,1667952000
ok,168.6,173.4,164.0,166.5,8526,1668038400
ok,164.5,170.8,163.05,167.0,3660,1668297600
ok,165.05,170.0,165.05,170.0,1253,1668384000
ok,168.0,171.45,166.1,166.1,2910,1668470400
ok,164.1,169.45,164.1,169.0,1957,1668556800
ok,167.15,174.0,167.15,174.0,4242,1668643200
ok,174.0,175.0,168.5,168.5,8691,1669075200
ok,166.15,169.5,166.15,169.4,3055,1669161600
ok,167.05,170.35,167.05,170.35,1905,1669248000
ok,168.15,174.5,168.15,173.0,3309,1669507200
ok,171.05,177.95,171.0,171.5,6882,1669593600
ok,171.5,175.0,169.5,173.5,1155,1669680000
ok,172.5,173.25,168.65,173.0,1125,1669766400
ok,170.55,175.45,168.5,172.5,2793,1669852800
ok,170.1,175.0,167.0,172.5,3532,1670112000
ok,170.5,172.5,168.35,171.9,4183,1670198400
ok,170.0,170.5,167.25,169.95,3210,1670284800
ok,168.0,170.0,167.0,167.0,2718,1670371200
ok,165.1,167.5,158.5,163.05,4975,1670716800
ok,163.5,168.0,162.6,164.45,8019,1670803200
ok,163.05,167.3,163.05,166.0,1225,1670889600
ok,166.0,168.5,164.0,168.5,4607,1670976000
ok,166.15,166.15,162.5,164.25,1860,1671062400
ok,162.5,164.5,162.5,163.5,2475,1671321600
ok,161.3,163.5,161.3,163.5,1200,1671408000
ok,161.25,164.85,161.25,162.15,4993,1671494400
ok,160.05,162.5,160.0,161.45,3956,1671580800
ok,162.5,162.5,158.5,161.5,2605,1671667200
ok,162.0,168.0,162.0,166.5,3469,1672012800
ok,168.8,172.9,167.0,169.5,15080,1672099200
ok,168.0,179.05,168.0,173.5,5983,1672185600
ok,171.1,179.0,170.0,179.0,12212,1672272000
ok,181.0,181.0,173.65,180.0,16281,1672531200
ok,182.0,193.0,171.9,191.0,16519,1672617600
ok,193.05,193.05,185.0,186.15,18418,1672704000
ok,187.55,195.75,185.05,194.0,12224,1672790400
ok,195.6,198.0,188.1,195.0,22491,1672876800
ok,197.55,197.85,188.0,193.6,16806,1673136000
ok,196.45,201.4,192.1,201.4,23359,1673222400
ok,199.55,207.55,192.0,194.45,36475,1673308800
ok,197.3,200.0,184.3,188.5,18101,1673481600
ok,186.0,200.0,184.0,197.45,25292,1673913600
ok,195.1,204.0,195.1,199.75,46351,1674000000
ok,197.55,206.05,197.5,201.5,18425,1674086400
ok,203.5,204.5,195.15,197.0,21749,1674432000
ok,195.0,197.0,190.5,195.0,11779,1674518400
ok,192.1,207.55,192.1,207.0,43686,1674604800
ok,210.0,216.5,204.55,213.0,33613,1674691200
ok,210.0,217.5,208.0,212.5,34838,1674950400
ok,210.0,219.05,204.05,206.0,40266,1675036800
ok,202.9,209.0,200.2,205.0,23760,1675123200
ok,206.0,208.95,202.0,205.5,13599,1675209600
ok,208.5,208.5,200.05,201.0,14106,1675296000
ok,200.0,205.0,200.0,202.5,16682,1675555200
ok,202.5,202.5,197.15,199.45,13531,1675641600
ok,197.5,211.5,197.5,210.0,20966,1675728000
ok,207.0,213.0,206.5,207.5,19496,1675814400
ok,206.5,209.5,205.15,207.55,10301,1675900800
ok,204.5,205.5,199.45,199.45,13498,1676160000
ok,197.1,203.0,197.1,201.9,15828,1676332800
ok,199.6,207.5,199.6,204.0,11143,1676419200
ok,201.1,205.5,198.6,200.0,17015,1676505600
ok,200.0,210.5,198.65,208.25,18484,1676851200
ok,210.0,222.5,208.6,222.5,51421,1677024000
ok,225.95,225.95,212.5,214.5,21036,1677110400
ok,211.25,218.0,205.0,217.5,32337,1677369600
ok,217.5,218.5,206.35,211.5,36268,1677456000
ok,210.5,218.5,210.5,213.15,27730,1677542400
ok,215.0,215.0,207.5,209.85,21981,1677628800
ok,209.5,209.5,204.55,204.55,14823,1677715200
ok,201.55,205.0,200.05,201.0,11220,1677974400
ok,201.0,210.0,200.05,206.0,6050,1678147200
ok,205.0,212.0,203.0,211.0,9620,1678320000
ok,211.0,213.5,205.0,205.0,16276,1678579200
ok,202.9,208.0,202.9,207.5,8444,1678665600
