s,o,h,l,c,v,t
ok,216.0,237.6,216.0,237.6,8512,1670976000
ok,242.0,261.3,242.0,261.3,4995,1671062400
ok,266.5,287.4,266.5,287.4,10491,1671321600
ok,293.1,293.1,258.7,264.5,30972,1671408000
ok,259.3,278.0,255.0,271.2,4630,1671494400
ok,265.8,297.9,265.8,297.9,5545,1671580800
ok,303.8,303.8,276.2,286.0,9063,1671667200
ok,281.0,309.0,281.0,309.0,9815,1672012800
ok,314.0,329.0,302.1,325.0,11845,1672099200
ok,320.0,333.5,308.2,328.7,6972,1672185600
ok,328.7,334.7,310.4,326.0,7217,1672272000
ok,325.0,340.6,321.1,327.0,5560,1672531200
ok,321.0,328.9,315.0,328.0,10919,1672617600
ok,322.3,340.6,322.3,340.6,5410,1672704000
ok,333.8,374.0,327.2,374.0,10673,1672790400
ok,366.6,411.4,352.2,411.0,7940,1672876800
ok,402.8,440.0,379.3,418.9,9461,1673136000
ok,410.6,423.0,400.0,423.0,9039,1673222400
ok,430.0,431.2,388.0,424.0,10210,1673308800
ok,416.0,416.0,393.4,404.0,11292,1673481600
ok,396.0,415.2,388.4,414.9,5470,1673913600
ok,410.0,426.5,395.0,405.0,7260,1674000000
ok,398.0,428.9,391.1,405.0,8689,1674086400
ok,413.0,413.0,391.2,399.0,2210,1674432000
ok,391.1,407.7,385.1,406.9,6794,1674518400
ok,400.0,417.9,392.1,415.0,10423,1674604800
ok,406.7,425.0,398.7,410.5,8680,1674691200
ok,402.3,451.5,397.0,451.5,16338,1674950400
ok,460.5,478.3,438.0,444.0,13610,1675036800
ok,435.2,474.3,430.5,470.0,13915,1675123200
ok,470.0,508.0,462.1,499.0,10730,1675209600
ok,489.1,499.0,466.4,477.0,11324,1675296000
ok,467.5,486.0,446.9,451.0,9547,1675555200
ok,442.0,465.3,442.0,455.0,10467,1675641600
ok,445.9,477.6,437.0,470.0,8916,1675728000
ok,460.6,475.0,455.0,469.0,9521,1675814400
ok,459.7,493.9,442.0,493.9,9046,1675900800
ok,484.1,503.7,465.1,497.0,13312,1676160000
ok,487.1,494.0,473.6,488.5,8881,1676332800
ok,478.8,488.0,462.6,474.0,7450,1676419200
ok,464.6,498.4,457.0,466.0,5877,1676505600
ok,457.1,466.0,448.9,448.9,6590,1676851200
ok,440.0,486.0,440.0,475.1,7907,1677024000
ok,465.6,468.0,450.0,450.0,4128,1677110400
ok,441.0,461.0,432.4,458.0,4761,1677369600
ok,448.9,466.7,443.1,466.7,6420,1677456000
ok,457.4,470.2,448.3,469.2,1640,1677542400
ok,460.0,462.0,451.5,451.5,6294,1677628800
ok,443.0,460.0,435.1,444.9,5547,1677715200
ok,436.2,448.8,427.5,427.5,2760,1677974400
ok,427.0,448.0,425.4,439.9,2950,1678147200
ok,431.2,457.3,431.1,449.7,1790,1678320000
ok,445.0,453.9,425.0,447.0,3230,1678579200
ok,439.0,460.0,431.1,450.8,2432,1678665600
ok,445.0,448.8,435.1,448.8,2240,1678752000
ok,439.9,457.7,432.0,457.7,2094,1678838400
ok,466.8,466.8,444.5,464.1,3720,1678924800
ok,454.9,460.0,442.1,453.0,2660,1679184000
ok,444.0,460.0,444.0,458.6,3420,1679270400
ok,466.9,475.0,443.0,473.0,7250,1679443200
ok,463.6,463.6,446.0,460.0,4306,1679529600
ok,450.8,450.8,431.7,431.7,4594,1679788800
ok,423.2,443.2,423.2,443.2,1700,1679875200
ok,440.0,451.0,432.1,447.4,3240,1679961600
ok,450.0,452.0,432.2,445.3,1450,1680048000
