s,o,h,l,c,v,t
ok,166.67,166.67,130.0,130.0,60,1550361600
ok,161.67,166.67,160.0,160.0,60,1550448000
ok,155.33,160.0,160.0,160.0,0,1550707200
ok,151.0,155.33,151.0,151.0,30,1550966400
ok,147.0,151.0,147.0,147.0,30,1551571200
ok,143.0,147.0,143.0,143.0,30,1551744000
ok,139.33,143.0,138.0,138.0,60,1551830400
ok,134.67,138.0,134.67,134.67,30,1551916800
ok,131.33,131.33,131.33,131.33,30,1552780800
ok,128.33,128.33,128.33,128.33,30,1554249600
ok,125.33,125.33,123.33,123.33,70,1554768000
ok,120.67,120.67,120.67,120.67,20,1554854400
ok,118.0,118.0,116.0,116.0,30,1554940800
ok,113.67,115.33,113.67,115.33,30,1555891200
ok,113.0,113.0,113.0,113.0,60,1555977600
ok,111.0,111.0,111.0,111.0,10,1557360000
ok,109.0,109.0,109.0,109.0,30,1558224000
ok,107.33,107.33,107.33,107.33,30,1558310400
ok,105.33,105.33,105.33,105.33,20,1558396800
ok,103.67,104.67,101.67,101.67,1339,1558483200
ok,101.0,101.0,98.33,98.67,2260,1558569600
ok,98.33,98.67,96.33,96.67,1245,1558828800
ok,96.33,97.0,95.0,97.0,1050,1558915200
ok,96.67,97.0,96.33,96.67,670,1559001600
ok,96.33,98.33,96.33,98.33,760,1559088000
ok,98.0,98.67,98.0,98.0,750,1559174400
ok,98.33,98.67,96.67,96.67,1140,1559433600
ok,96.67,97.0,96.33,96.67,950,1559520000
ok,97.0,97.67,96.0,96.0,860,1559606400
ok,96.33,96.67,95.67,96.0,770,1559779200
ok,95.67,95.67,95.0,95.33,740,1560124800
ok,95.0,95.67,95.0,95.33,590,1560211200
ok,95.0,95.67,95.0,95.33,500,1560297600
ok,95.0,95.67,95.0,95.33,320,1560384000
ok,96.67,96.67,94.33,94.33,1010,1560643200
ok,94.67,94.67,94.0,94.0,240,1560729600
ok,93.67,95.0,93.33,94.67,430,1560816000
ok,94.33,94.33,93.33,93.67,630,1560902400
ok,93.67,94.33,93.67,94.0,300,1560988800
ok,93.67,94.0,93.67,94.0,160,1561248000
ok,94.0,94.67,93.67,94.67,980,1561334400
ok,94.67,94.67,94.33,94.33,50,1561420800
ok,94.0,94.0,93.33,93.67,300,1561507200
ok,93.33,93.33,92.67,93.33,320,1561593600
ok,93.0,93.67,93.0,93.67,190,1561852800
ok,93.33,93.33,93.0,93.33,310,1561939200
ok,93.33,93.67,93.33,93.33,250,1562025600
ok,93.0,93.33,93.0,93.0,220,1562112000
ok,93.33,93.33,93.33,93.33,240,1562198400
ok,93.67,94.33,93.67,94.33,190,1562457600
ok,94.67,95.67,94.67,95.33,740,1562544000
ok,95.33,96.67,95.33,96.33,630,1562630400
ok,96.0,96.0,95.33,95.33,160,1562716800
ok,95.33,96.0,95.33,96.0,276,1562803200
ok,96.33,96.33,95.33,95.67,310,1563062400
ok,95.33,95.67,95.0,95.0,465,1563148800
ok,95.33,95.33,94.67,94.67,430,1563235200
ok,95.0,95.0,94.67,94.67,470,1563321600
ok,94.67,94.67,94.67,94.67,90,1563408000
ok,94.67,95.0,94.67,95.0,30,1563667200
ok,94.67,95.33,94.67,95.33,70,1563753600
ok,95.0,96.33,95.0,96.33,390,1563840000
ok,96.67,97.67,96.67,97.67,825,1563926400
ok,97.33,97.67,96.67,96.67,440,1564012800
ok,96.33,96.33,95.33,95.33,220,1564272000
ok,95.0,95.0,95.0,95.0,190,1564358400
ok,94.67,94.67,94.33,94.67,180,1564444800
ok,94.33,95.0,94.33,95.0,210,1564531200
ok,95.0,95.33,94.33,94.33,540,1564617600
ok,94.67,94.67,94.0,94.33,490,1564876800
ok,94.0,95.33,94.0,94.33,1300,1564963200
ok,94.33,94.67,94.33,94.33,170,1565049600
ok,94.67,94.67,94.0,94.33,310,1565136000
ok,94.0,94.33,93.67,94.0,290,1565222400
ok,94.0,94.33,93.67,94.33,260,1565481600
ok,94.0,94.33,93.67,94.0,380,1565568000
ok,93.67,93.67,93.67,93.67,290,1565654400
ok,94.0,94.33,93.67,94.33,170,1565740800
ok,94.33,94.67,94.0,94.33,240,1565827200
ok,94.0,94.33,93.33,94.33,360,1566086400
ok,94.0,94.33,93.67,94.0,380,1566172800
ok,93.67,94.0,93.67,93.67,240,1566259200
ok,93.67,93.67,92.67,92.67,460,1566345600
ok,93.0,93.0,92.33,92.33,140,1566432000
ok,92.0,92.67,92.0,92.67,430,1566691200
ok,92.33,92.67,92.33,92.33,180,1566777600
ok,92.33,92.33,92.33,92.33,180,1566864000
ok,92.0,92.0,91.67,91.67,150,1566950400
ok,91.67,91.67,91.0,91.0,310,1567036800
ok,91.0,91.67,91.0,91.67,110,1567296000
ok,91.33,91.33,91.0,91.0,180,1567382400
ok,91.0,91.0,90.33,90.33,950,1567468800
ok,90.67,90.67,90.33,90.33,290,1567555200
ok,90.33,90.33,90.0,90.0,270,1567641600
ok,90.0,90.33,90.0,90.0,260,1567900800
ok,89.67,90.33,89.67,89.67,350,1567987200
ok,89.67,89.67,89.33,89.33,180,1568073600
ok,89.67,90.33,89.67,90.33,340,1568160000
ok,90.0,90.33,89.33,89.33,310,1568246400
ok,89.0,89.0,89.0,89.0,150,1568505600
ok,89.0,89.0,88.0,88.0,540,1568592000
ok,88.33,88.33,88.0,88.0,250,1568678400
ok,88.33,88.67,88.33,88.33,540,1568851200
ok,88.0,88.67,88.0,88.0,300,1569110400
ok,88.33,88.33,88.0,88.33,150,1569196800
ok,88.0,88.33,88.0,88.0,340,1569283200
ok,87.67,87.67,87.67,87.67,140,1569456000
ok,87.67,88.0,87.33,87.33,330,1569715200
ok,87.67,87.67,87.33,87.33,60,1569801600
ok,87.33,87.67,87.33,87.67,140,1569888000
ok,87.33,87.67,87.33,87.67,60,1569974400
ok,87.67,87.67,87.67,87.67,60,1570060800
ok,87.33,87.67,87.33,87.67,370,1571011200
ok,88.0,88.0,88.0,88.0,30,1571097600
ok,87.67,87.67,87.67,87.67,30,1571184000
ok,87.33,89.67,87.33,89.67,880,1581984000
ok,90.0,91.33,90.0,91.33,720,1582070400
ok,91.33,93.33,91.67,93.0,1345,1582156800
ok,93.33,94.67,93.33,94.33,875,1582416000
ok,94.33,94.33,93.33,93.33,2740,1582502400
ok,93.0,94.0,92.33,94.0,1330,1582588800
ok,93.67,94.33,93.0,94.33,1281,1582675200
ok,94.0,95.0,94.0,94.33,1715,1582761600
ok,94.33,94.0,92.67,92.67,1135,1583020800
ok,92.33,92.33,91.33,91.33,150,1583107200
ok,91.33,91.33,90.33,90.33,580,1583193600
ok,90.0,90.0,88.33,89.33,520,1583280000
ok,89.67,89.67,88.67,88.67,150,1583366400
ok,88.67,89.0,88.67,89.0,90,1583798400
ok,88.67,89.33,88.33,89.33,610,1583884800
ok,89.0,89.0,89.0,89.0,10,1583971200
ok,88.67,89.0,87.0,87.0,722,1584230400
ok,86.67,87.67,86.67,87.0,360,1584316800
ok,87.33,87.67,87.33,87.67,350,1584403200
ok,87.33,87.33,87.0,87.0,240,1584489600
ok,87.0,87.0,87.0,87.0,60,1584576000
ok,86.67,86.67,86.33,86.33,170,1593907200
ok,86.0,86.0,85.33,86.0,720,1593993600
ok,85.67,85.67,84.33,85.33,510,1594080000
ok,85.0,85.33,85.0,85.33,140,1594166400
ok,85.33,85.67,85.0,85.33,300,1594252800
ok,85.33,85.33,84.67,85.0,720,1594512000
ok,84.67,85.0,84.0,84.0,2430,1594598400
ok,83.67,84.0,83.67,83.67,400,1594684800
ok,83.33,84.0,83.0,83.67,600,1594771200
ok,84.0,85.0,83.67,85.0,570,1594857600
