s,o,h,l,c,v,t
ok,299.0,328.0,299.0,328.0,10180,1615852800
ok,344.0,360.0,344.0,360.0,35073,1615939200
ok,378.0,396.0,378.0,396.0,26620,1616025600
ok,415.0,435.0,357.0,372.0,234228,1616284800
ok,372.0,392.0,340.0,392.0,46079,1616371200
ok,411.0,411.0,363.0,388.0,33100,1616457600
ok,395.0,416.0,370.0,399.0,59650,1616544000
ok,410.0,410.0,378.0,389.0,27990,1616630400
ok,395.0,395.0,372.0,380.0,26750,1616976000
ok,375.0,390.0,368.0,379.0,20562,1617062400
ok,392.0,392.0,370.0,380.0,19019,1617148800
ok,376.0,382.0,375.0,377.0,15316,1617235200
ok,395.0,395.0,372.0,380.0,23391,1617494400
ok,380.0,385.0,373.0,377.0,14635,1617580800
ok,370.0,377.0,365.0,374.0,17225,1617667200
ok,389.0,389.0,362.0,373.0,17195,1617753600
ok,390.0,410.0,371.0,410.0,81011,1617840000
ok,410.0,421.0,400.0,401.0,43508,1618185600
ok,381.0,409.0,381.0,397.0,17889,1618272000
ok,405.0,410.0,388.0,393.0,18195,1618444800
ok,400.0,400.0,386.0,390.0,12353,1618704000
ok,395.0,401.0,372.0,383.0,12456,1618790400
ok,376.0,392.0,376.0,387.0,14831,1618876800
ok,391.0,395.0,381.0,388.0,9608,1618963200
ok,381.0,386.0,374.0,386.0,12225,1619049600
ok,379.0,379.0,364.0,372.0,20901,1619308800
ok,365.0,365.0,345.0,356.0,26868,1619395200
ok,350.0,368.0,349.0,365.0,12989,1619481600
ok,379.0,379.0,353.0,360.0,7244,1619568000
ok,350.0,374.0,350.0,367.0,13195,1619654400
ok,365.0,378.0,365.0,375.0,13085,1619913600
ok,368.0,382.0,368.0,371.0,19169,1620000000
ok,373.0,383.0,364.0,383.0,21924,1620086400
ok,383.0,405.0,369.0,400.0,56811,1620172800
ok,405.0,405.0,382.0,388.0,19453,1620259200
ok,407.0,407.0,375.0,384.0,32899,1620518400
ok,403.0,422.0,369.0,386.0,16664,1620604800
ok,379.0,394.0,372.0,393.0,22186,1620691200
ok,400.0,400.0,385.0,393.0,47981,1620777600
ok,395.0,400.0,390.0,399.0,39488,1620864000
ok,399.0,399.0,383.0,388.0,46265,1621123200
ok,369.0,390.0,369.0,389.0,36107,1621209600
ok,383.0,417.0,383.0,406.0,87505,1621296000
ok,410.0,410.0,392.0,393.0,18488,1621382400
ok,395.0,402.0,386.0,388.0,17114,1621468800
ok,380.0,395.0,380.0,391.0,20910,1621728000
ok,398.0,398.0,386.0,387.0,31570,1621814400
ok,382.0,408.0,382.0,401.0,52861,1621900800
ok,401.0,434.0,400.0,420.0,116366,1622073600
ok,425.0,443.0,399.0,402.0,72953,1622332800
ok,382.0,407.0,382.0,388.0,33760,1622419200
ok,385.0,390.0,378.0,381.0,20792,1622505600
ok,381.0,393.0,376.0,392.0,22681,1622592000
ok,392.0,394.0,381.0,383.0,29683,1622678400
ok,383.0,385.0,370.0,374.0,35202,1622937600
ok,380.0,386.0,373.0,383.0,31129,1623024000
ok,378.0,393.0,378.0,382.0,37584,1623110400
ok,382.0,388.0,378.0,378.0,22164,1623196800
ok,361.0,415.0,361.0,415.0,89320,1623283200
ok,435.0,444.0,403.0,441.0,159930,1623542400
ok,463.0,463.0,423.0,424.0,68732,1623628800
ok,415.0,428.0,406.0,410.0,55734,1623715200
ok,402.0,415.0,383.0,392.0,39748,1623801600
ok,393.0,409.0,384.0,397.0,21852,1623888000
ok,390.0,392.0,380.0,382.0,29029,1624147200
ok,376.0,389.0,373.0,379.0,15216,1624233600
ok,390.0,395.0,370.0,395.0,16943,1624320000
ok,414.0,414.0,378.0,378.0,10287,1624406400
ok,380.0,385.0,375.0,378.0,13588,1624492800
ok,378.0,390.0,375.0,378.0,14232,1624752000
ok,396.0,396.0,371.0,373.0,20718,1624838400
ok,371.0,375.0,364.0,365.0,13517,1624924800
ok,365.0,366.0,355.0,360.0,8884,1625011200
ok,356.0,377.0,356.0,367.0,11414,1625097600
ok,360.0,370.0,359.0,359.0,10541,1625356800
ok,355.0,364.0,352.0,353.0,9856,1625443200
ok,345.0,365.0,345.0,351.0,6545,1625529600
ok,355.0,355.0,342.0,342.0,8155,1625616000
ok,339.0,355.0,339.0,349.0,10036,1625702400
ok,350.0,372.0,349.0,370.0,9414,1625961600
ok,365.0,373.0,353.0,358.0,17708,1626048000
ok,356.0,362.0,351.0,358.0,9544,1626134400
ok,353.0,369.0,353.0,368.0,6055,1626220800
ok,368.0,380.0,361.0,373.0,12493,1626307200
ok,373.0,384.0,373.0,380.0,15598,1626566400
ok,385.0,387.6,373.0,380.0,17563,1626652800
ok,373.0,386.0,373.0,382.0,22393,1626739200
ok,385.0,415.0,380.0,407.0,121804,1626912000
ok,415.0,431.0,408.0,421.0,111176,1627171200
ok,415.1,463.1,415.1,463.1,227054,1627257600
ok,472.0,509.4,463.0,502.0,206927,1627344000
ok,512.0,540.0,478.0,481.0,76583,1627430400
ok,472.0,494.0,465.5,490.0,90922,1627516800
ok,490.0,539.0,481.5,539.0,188288,1627776000
ok,549.0,555.9,520.0,531.0,109108,1627862400
ok,525.0,582.9,520.0,577.2,120819,1627948800
ok,575.0,605.0,561.0,576.0,162806,1628035200
ok,565.0,580.0,545.9,548.0,86828,1628121600
ok,548.0,602.8,538.5,590.0,110745,1628380800
ok,590.0,622.0,580.0,583.0,91197,1628467200
ok,594.0,605.8,560.0,567.0,94612,1628553600
ok,570.0,622.0,561.0,584.0,72970,1628640000
ok,584.0,637.0,574.0,620.0,234936,1628726400
ok,607.6,610.1,570.0,585.0,85119,1628985600
ok,575.0,605.0,570.0,591.0,36809,1629072000
ok,591.0,650.1,591.0,633.0,192480,1629158400
ok,633.0,657.0,618.0,629.0,233257,1629244800
ok,620.0,641.5,588.0,598.1,46881,1629331200
ok,586.2,586.2,543.0,556.0,64416,1629763200
ok,544.9,568.1,524.3,535.0,24046,1629849600
ok,525.0,587.0,525.0,569.0,32350,1629936000
ok,558.0,568.0,537.0,550.0,36403,1630195200
ok,539.0,561.0,514.0,519.0,30438,1630368000
