s,o,h,l,c,v,t
ok,117.14,117.14,116.0,116.0,30,1582588800
ok,114.86,114.86,114.86,114.86,10,1582675200
ok,114.86,113.71,111.43,111.43,290,1583020800
ok,111.43,110.29,110.29,110.29,10,1583193600
ok,109.14,109.14,104.0,104.0,160,1583366400
ok,102.86,102.86,98.29,98.29,2130,1583884800
ok,97.71,97.71,93.14,93.14,1390,1583971200
ok,92.57,92.57,92.57,92.57,50,1584230400
ok,92.0,92.0,92.0,92.0,80,1584316800
ok,91.43,91.43,91.43,91.43,40,1584489600
ok,90.86,90.86,89.71,89.71,220,1584835200
ok,92.0,92.57,91.43,92.0,2190,1593388800
ok,91.43,93.14,91.43,93.14,1800,1593475200
ok,95.43,96.0,95.43,96.0,70,1593561600
ok,95.43,95.43,95.43,95.43,10,1593648000
ok,94.86,94.86,93.71,94.86,350,1593907200
ok,94.29,94.29,94.29,94.29,70,1593993600
ok,93.71,93.71,93.71,93.71,100,1594080000
ok,96.0,96.0,94.29,94.29,190,1594166400
ok,96.57,97.71,93.71,97.14,6340,1594252800
ok,99.43,99.43,96.57,98.86,3520,1594512000
ok,101.14,101.14,98.86,98.86,180,1594598400
ok,101.14,104.0,98.86,101.14,3800,1594684800
ok,104.0,106.86,101.14,103.43,3680,1594771200
ok,102.29,102.29,102.29,102.29,30,1594857600
ok,101.14,101.14,101.14,101.14,100,1595203200
ok,100.0,100.0,95.43,95.43,206160,1595289600
ok,95.43,98.86,92.0,98.29,1910,1595376000
ok,97.71,97.71,97.71,97.71,20,1595462400
ok,97.14,101.14,96.57,97.14,11360,1595721600
ok,96.57,96.57,96.0,96.0,60,1595808000
ok,95.43,95.43,93.14,94.86,540,1595894400
ok,97.14,97.71,94.86,94.86,900,1595980800
ok,94.86,96.57,94.29,94.86,800,1596067200
ok,94.29,98.86,93.14,98.29,7960,1596326400
ok,100.57,100.57,97.14,97.14,13940,1596412800
ok,96.57,96.57,92.0,94.29,1770,1596672000
ok,93.71,95.43,93.71,93.71,500,1596931200
ok,93.14,96.0,89.14,95.43,5060,1597017600
ok,97.71,98.29,96.57,96.57,280,1597104000
ok,96.0,96.0,94.86,94.86,40,1597190400
ok,94.29,94.29,92.57,92.57,570,1597276800
ok,92.0,96.0,92.0,95.43,1080,1597536000
ok,97.71,97.71,97.14,97.14,100,1597622400
ok,99.43,99.43,96.0,96.0,200,1597708800
ok,95.43,95.43,94.29,94.29,220,1597795200
ok,93.71,94.86,91.43,94.29,1760,1597881600
ok,96.57,96.57,94.29,95.43,250,1598227200
ok,97.71,97.71,97.71,97.71,40,1598313600
ok,97.71,98.86,97.14,98.29,2152,1598400000
ok,100.57,102.86,93.14,97.14,41140,1598486400
ok,97.14,99.43,97.71,97.71,40,1598745600
ok,100.0,100.0,92.57,93.71,13068,1598832000
ok,96.0,98.29,93.71,98.29,15150,1599004800
ok,100.57,101.14,95.43,99.43,51010,1599091200
ok,101.71,101.71,94.29,97.14,13220,1599350400
ok,99.43,99.43,97.71,97.71,1480,1599436800
ok,100.0,100.0,94.29,96.57,5840,1599523200
ok,96.0,96.0,94.29,95.43,4080,1599609600
ok,97.71,97.71,93.71,94.86,7560,1599696000
ok,94.29,95.43,93.71,95.43,5010,1599955200
ok,94.86,98.86,94.29,97.71,11870,1600041600
ok,98.29,99.43,94.29,97.71,21470,1600128000
ok,97.14,102.29,93.71,100.0,184325,1600214400
ok,102.86,105.71,98.86,105.71,347293,1600300800
ok,108.57,110.29,99.43,99.43,116385,1600560000
ok,99.43,101.71,98.29,98.29,75870,1600646400
ok,100.57,100.57,96.0,96.57,38150,1600732800
ok,98.29,100.0,95.43,96.0,82984,1600819200
ok,98.29,101.14,98.29,101.14,152597,1600905600
ok,102.86,106.86,100.0,104.57,1358560,1601164800
ok,105.71,108.57,103.43,105.14,869603,1601251200
ok,105.14,110.86,105.14,110.86,930009,1601337600
ok,113.71,117.14,112.57,117.14,651062,1601424000
ok,117.14,124.0,113.14,114.29,360149,1601510400
ok,113.14,114.29,107.43,110.29,725959,1601769600
ok,113.14,116.57,109.14,115.43,593558,1601856000
ok,116.57,122.29,115.43,120.57,620970,1601942400
ok,120.57,128.0,120.0,128.0,752462,1602028800
ok,129.71,130.86,120.0,124.57,489272,1602115200
