s,o,h,l,c,v,t
ok,228.0,250.8,228.0,250.8,780,1659916800
ok,255.8,275.8,255.8,275.8,1308,1660003200
ok,281.3,303.3,281.3,303.3,6250,1660089600
ok,309.3,333.6,309.3,333.6,74264,1660176000
ok,340.2,361.0,315.0,316.0,56104,1660435200
ok,316.0,331.0,305.0,327.0,24430,1660521600
ok,333.0,335.0,314.0,317.1,28602,1660608000
ok,315.0,327.0,310.7,325.9,19939,1660694400
ok,332.4,355.0,322.5,355.0,62134,1660780800
ok,362.0,362.1,336.0,337.0,25805,1661040000
ok,334.7,343.7,328.3,335.0,17151,1661126400
ok,335.0,335.0,326.0,332.0,13919,1661212800
ok,332.0,339.0,321.0,335.0,23852,1661299200
ok,328.4,341.0,323.6,329.9,15796,1661385600
ok,323.4,325.0,318.0,322.0,8989,1661472000
ok,315.6,318.2,301.0,303.0,24587,1661644800
ok,297.0,311.1,290.0,300.0,14061,1661731200
ok,302.0,309.5,296.2,296.2,9010,1661817600
ok,292.0,297.0,283.0,284.2,11590,1661904000
ok,280.0,298.0,273.1,288.4,14792,1661990400
ok,287.0,305.0,280.1,286.0,3700,1662076800
ok,286.0,293.8,283.0,290.0,4220,1662249600
ok,285.0,294.0,281.0,288.0,9467,1662336000
ok,292.7,292.7,274.1,276.1,13184,1662422400
ok,271.2,279.2,271.2,279.0,7840,1662508800
ok,284.0,286.0,270.0,285.9,7793,1662595200
ok,280.2,285.0,276.7,276.7,5596,1662854400
ok,272.0,275.0,268.1,268.1,5763,1662940800
ok,273.1,281.0,265.0,270.7,4920,1663027200
ok,272.0,287.6,272.0,287.6,11922,1663113600
ok,287.6,290.0,267.2,268.1,14793,1663200000
ok,262.8,273.0,255.2,261.8,7165,1663286400
ok,267.0,267.0,248.0,250.1,12680,1663459200
ok,246.0,246.0,233.1,240.0,9508,1663632000
ok,242.0,251.7,237.3,239.0,5111,1663718400
ok,235.0,247.0,225.4,232.5,9066,1663804800
ok,227.9,231.1,216.7,222.0,5242,1664064000
ok,218.1,230.9,214.1,218.0,5900,1664236800
ok,220.0,224.0,217.0,218.0,1892,1664323200
ok,214.0,226.7,214.0,219.0,1367,1664409600
ok,219.1,224.5,219.0,223.5,2792,1665273600
ok,220.0,226.0,216.1,223.9,6755,1665360000
ok,219.5,223.0,213.8,217.6,3890,1665446400
ok,215.1,223.0,213.3,222.3,3625,1665532800
ok,220.0,223.5,216.0,222.0,2440,1665619200
ok,218.0,222.0,214.0,218.0,4523,1665878400
ok,215.0,220.0,214.2,220.0,2270,1665964800
ok,216.0,216.0,211.1,212.9,3581,1666137600
ok,208.7,211.1,204.9,206.0,3669,1666224000
ok,202.1,208.9,202.1,208.8,2580,1666483200
ok,212.9,212.9,206.4,210.0,3400,1667174400
ok,210.0,220.0,206.0,219.0,11383,1667260800
ok,223.0,225.9,216.0,224.4,5912,1667347200
ok,220.0,227.0,215.7,217.0,1590,1667433600
ok,213.0,224.4,213.0,223.0,3946,1667692800
ok,220.0,233.3,220.0,226.5,11079,1667779200
ok,222.0,225.0,219.0,221.0,3997,1667865600
ok,221.0,222.0,210.0,218.0,9717,1667952000
ok,218.0,218.0,207.5,217.0,6987,1668038400
ok,213.0,213.9,208.0,212.0,2590,1668297600
ok,207.8,220.0,205.0,220.0,1855,1668384000
ok,215.6,218.5,212.1,214.0,2630,1668470400
ok,210.1,219.3,210.1,217.8,2621,1668556800
ok,220.0,234.0,217.1,225.0,11989,1668643200
ok,225.0,231.4,218.1,223.0,3152,1669075200
ok,219.0,222.0,215.3,219.0,1520,1669161600
ok,215.1,220.0,215.1,219.0,1130,1669248000
ok,215.0,229.5,215.0,229.5,9560,1669507200
ok,225.0,230.0,221.0,224.8,2791,1669593600
ok,220.4,224.0,217.1,224.0,1250,1669680000
ok,220.2,226.0,220.2,222.0,4192,1669766400
ok,226.4,226.4,215.0,220.3,4456,1669852800
ok,220.0,227.0,220.0,226.0,9131,1670112000
ok,222.0,223.0,217.1,219.5,4197,1670198400
ok,215.2,220.5,215.2,220.0,3596,1670284800
ok,216.1,218.9,215.0,215.2,6045,1670371200
ok,214.0,215.0,207.0,212.8,4145,1670716800
ok,209.0,221.0,208.0,219.0,3095,1670803200
ok,214.8,219.0,214.0,219.0,2490,1670889600
ok,223.0,223.0,211.1,217.0,2478,1670976000
ok,221.0,225.6,210.2,211.6,2727,1671062400
ok,208.0,210.0,205.8,209.0,5006,1671321600
ok,205.1,210.0,205.0,209.8,3555,1671408000
ok,205.7,211.6,202.1,211.4,3900,1671494400
ok,207.2,211.0,204.0,205.3,5864,1671580800
ok,202.0,211.4,202.0,206.0,3355,1671667200
ok,210.1,218.0,208.0,218.0,6290,1672012800
ok,221.0,237.0,215.1,230.0,24498,1672099200
ok,230.0,234.5,218.7,226.0,14750,1672185600
ok,221.5,238.0,221.5,235.1,15315,1672272000
ok,239.0,243.0,222.1,229.0,22701,1672531200
ok,224.5,236.6,221.0,230.0,9871,1672617600
ok,228.0,239.0,227.0,230.9,9630,1672704000
ok,234.0,253.9,227.0,253.9,39365,1672790400
ok,258.9,279.2,251.0,279.0,41990,1672876800
ok,279.0,284.5,266.0,272.9,31210,1673136000
ok,275.0,300.0,267.7,292.0,31872,1673222400
ok,297.8,310.0,265.5,277.0,53034,1673308800
ok,279.0,288.0,260.0,262.0,32865,1673481600
ok,267.2,288.0,252.0,287.7,43809,1673913600
ok,287.0,306.0,287.0,300.0,65051,1674000000
ok,300.0,317.2,294.1,317.2,39177,1674086400
ok,322.0,322.0,292.3,292.5,64224,1674432000
ok,290.0,296.0,277.4,288.9,26366,1674518400
ok,294.0,310.0,278.0,299.8,31489,1674604800
ok,304.9,312.0,295.1,307.1,33333,1674691200
ok,308.0,311.0,295.0,307.0,37312,1674950400
ok,300.9,307.0,285.0,290.9,34539,1675036800
ok,285.1,297.0,280.0,289.0,16896,1675123200
ok,289.0,294.0,284.3,291.8,13770,1675209600
ok,290.0,294.0,278.7,281.0,15502,1675296000
ok,280.0,288.1,276.4,278.0,13587,1675555200
ok,273.0,283.0,273.0,276.0,8435,1675641600
ok,273.1,301.9,273.1,301.0,18462,1675728000
ok,307.0,307.0,291.0,296.0,26097,1675814400
ok,296.0,304.0,290.3,300.0,9301,1675900800
ok,294.0,295.0,283.1,286.1,30322,1676160000
ok,281.8,292.0,281.8,290.1,18686,1676332800
