s,o,h,l,c,v,t
ok,130.0,130.0,122.0,122.0,8556,1558483200
ok,122.5,122.5,115.0,115.0,3400,1558569600
ok,112.0,117.0,108.5,117.0,54300,1558828800
ok,116.0,116.0,111.5,115.5,8888,1558915200
ok,115.5,116.5,114.0,116.5,11700,1559001600
ok,115.5,123.0,115.5,123.0,18950,1559088000
ok,124.0,130.0,124.0,130.0,16414,1559174400
ok,131.5,134.0,123.5,126.0,36836,1559433600
ok,126.0,127.5,122.0,127.5,14610,1559520000
ok,128.0,128.5,124.5,124.5,6100,1559606400
ok,125.5,127.0,124.0,124.5,3810,1559779200
ok,125.0,127.0,123.0,123.5,9085,1560124800
ok,124.5,127.5,123.5,124.0,5020,1560211200
ok,123.5,127.5,122.0,124.0,3430,1560297600
ok,123.0,125.0,122.5,123.0,4250,1560384000
ok,124.0,126.0,122.5,126.0,3470,1560643200
ok,124.5,126.0,121.5,124.0,3990,1560729600
ok,123.0,123.0,121.0,123.0,1190,1560816000
ok,122.0,126.5,122.0,122.0,810,1560902400
ok,123.0,124.0,121.0,123.0,1580,1560988800
ok,124.0,124.0,121.5,121.5,800,1561248000
ok,120.5,122.0,120.5,121.0,1270,1561334400
ok,120.0,122.0,120.0,121.0,866,1561420800
ok,120.0,123.0,120.0,123.0,1950,1561507200
ok,122.0,124.0,121.5,122.0,1540,1561593600
ok,121.0,122.5,121.0,121.0,3730,1561852800
ok,120.5,122.0,119.5,120.5,6390,1561939200
ok,119.5,121.5,119.5,120.5,721,1562025600
ok,119.5,121.0,119.5,120.0,1100,1562112000
ok,120.0,121.0,119.5,120.0,1410,1562198400
ok,121.0,121.0,119.5,120.0,1340,1562457600
ok,121.0,125.0,119.5,120.0,1830,1562544000
ok,120.0,121.0,119.5,120.5,2186,1562630400
ok,120.0,121.0,119.5,120.0,1615,1562716800
ok,120.0,120.0,119.5,119.5,1720,1562803200
ok,120.0,120.0,119.0,119.5,1200,1563062400
ok,119.5,120.5,119.0,119.5,3030,1563148800
ok,119.5,121.0,119.5,119.5,1340,1563235200
ok,119.0,120.5,119.0,120.0,2630,1563321600
ok,120.0,121.5,120.0,121.0,680,1563408000
ok,122.0,122.5,122.0,122.5,40,1563667200
ok,121.5,121.5,119.5,121.5,1450,1563753600
ok,120.5,120.5,119.0,119.5,1230,1563840000
ok,120.0,121.0,119.0,119.0,2060,1563926400
ok,119.0,120.0,119.0,119.0,1335,1564012800
ok,118.0,119.0,115.5,118.0,11417,1564272000
ok,118.0,119.0,117.0,117.0,3748,1564358400
ok,116.0,119.0,116.0,117.5,1610,1564444800
ok,116.5,119.0,116.5,118.0,990,1564531200
ok,118.0,121.0,118.0,120.0,830,1564617600
ok,120.0,120.0,117.0,118.0,730,1564876800
ok,118.5,119.0,117.0,118.5,650,1564963200
ok,117.5,118.0,116.5,117.0,690,1565049600
ok,116.0,118.0,115.5,115.5,3450,1565136000
ok,115.0,117.0,115.0,116.5,1900,1565222400
ok,116.0,116.0,115.0,116.0,1080,1565481600
ok,115.0,116.0,115.0,115.0,1385,1565568000
ok,114.0,116.0,113.5,114.0,1320,1565654400
ok,113.5,116.0,113.5,115.5,1030,1565740800
ok,114.5,115.0,114.0,114.5,896,1565827200
ok,114.5,115.5,113.0,113.5,760,1566086400
ok,112.5,115.0,112.5,114.0,1510,1566172800
ok,114.0,114.0,112.5,113.5,720,1566259200
ok,112.5,114.0,111.5,113.0,2420,1566345600
ok,112.0,113.0,112.0,112.5,1470,1566432000
ok,111.5,111.5,110.5,111.5,390,1566691200
ok,110.5,112.5,110.5,112.0,3150,1566777600
ok,111.0,113.0,111.0,112.0,640,1566864000
ok,112.0,112.5,111.0,111.0,1440,1566950400
ok,110.0,111.5,110.0,111.5,950,1567036800
ok,110.5,110.5,108.5,109.5,750,1567296000
ok,108.5,109.0,108.0,108.0,700,1567382400
ok,107.0,109.0,107.0,108.0,730,1567468800
ok,107.0,110.5,107.0,109.5,640,1567555200
ok,110.0,112.5,109.0,109.5,820,1567641600
ok,108.5,108.5,106.5,107.0,890,1567900800
ok,106.0,110.0,106.0,109.5,490,1567987200
ok,110.5,113.5,110.5,113.5,50,1568073600
ok,112.5,112.5,111.5,111.5,20,1568160000
ok,110.5,110.5,106.0,107.5,3310,1568246400
ok,106.5,106.5,103.5,104.0,1840,1568505600
ok,103.0,104.5,102.5,102.5,2030,1568592000
ok,103.0,106.0,103.0,106.0,986,1568678400
ok,106.0,106.0,104.0,106.0,840,1568764800
ok,105.0,107.0,105.0,105.0,702,1568851200
ok,104.0,106.0,103.0,106.0,240,1569110400
ok,106.0,107.0,104.5,104.5,190,1569196800
ok,104.0,104.5,101.0,103.0,1370,1569283200
ok,102.0,106.0,101.0,106.0,460,1569456000
ok,105.0,105.0,101.5,101.5,310,1569715200
ok,101.0,104.5,101.0,102.0,850,1569801600
ok,102.5,104.0,102.5,103.5,460,1569888000
ok,103.0,103.0,103.0,103.0,90,1569974400
ok,103.0,103.0,102.5,103.0,40,1570665600
ok,102.0,102.0,102.0,102.0,140,1571011200
ok,102.0,102.5,102.0,102.5,670,1571097600
ok,102.0,103.5,102.0,103.5,80,1571184000
ok,103.5,103.5,102.5,102.5,740,1571270400
ok,101.5,102.5,101.0,101.5,270,1571616000
ok,102.5,102.5,101.5,101.5,690,1571702400
ok,101.5,101.5,100.5,101.0,50,1571788800
ok,101.0,102.5,101.0,102.5,220,1571875200
ok,102.5,103.0,101.5,101.5,920,1572480000
ok,100.5,101.0,100.5,101.0,430,1572739200
ok,101.0,102.0,100.5,102.0,580,1572825600
ok,101.0,102.0,100.5,101.0,490,1572912000
ok,100.5,101.5,100.5,101.5,190,1572998400
ok,100.5,101.0,100.0,100.5,650,1573084800
ok,100.5,101.5,100.5,101.5,165,1573344000
ok,100.5,101.0,100.0,100.5,240,1573430400
ok,100.5,101.5,99.5,101.0,1510,1573516800
ok,101.0,101.0,100.0,101.0,490,1573603200
ok,101.0,101.0,100.0,100.0,1940,1573689600
ok,100.0,100.0,99.5,99.5,260,1573948800
ok,99.5,100.5,99.5,100.0,410,1574035200
ok,99.5,99.5,99.0,99.5,480,1574121600
ok,99.5,101.5,99.0,100.5,510,1574208000
ok,99.5,101.0,99.0,100.5,680,1574294400
ok,99.5,100.0,99.5,99.5,260,1574553600
ok,100.0,100.0,99.0,99.5,470,1574640000
ok,100.0,100.0,98.5,99.0,1490,1574726400
ok,99.5,99.5,99.0,99.5,110,1574812800
ok,99.0,99.5,98.0,99.5,1445,1574899200
ok,99.5,99.5,98.5,98.5,830,1575158400
ok,99.0,99.0,98.5,98.5,2190,1575244800
ok,98.5,100.0,98.5,100.0,275,1575331200
ok,101.0,101.0,99.5,99.5,320,1575417600
ok,99.5,100.0,99.5,100.0,260,1575504000
ok,99.0,99.0,98.5,98.5,200,1575763200
ok,98.0,99.0,98.0,98.0,820,1575849600
ok,98.5,100.0,98.5,100.0,490,1575936000
ok,100.0,102.0,100.0,101.0,1220,1576022400
ok,100.5,106.0,99.5,106.0,6510,1576108800
ok,107.0,107.0,106.0,106.0,214,1576368000
ok,103.0,104.5,102.5,102.5,580,1576454400
ok,102.0,102.5,101.0,101.0,580,1576540800
ok,101.0,101.5,100.5,101.5,260,1576627200
ok,102.5,102.5,100.5,102.5,475,1576713600
ok,101.5,101.5,100.5,100.5,200,1576972800
ok,100.0,102.0,100.0,101.0,410,1577059200
ok,101.5,103.0,100.0,102.0,1720,1577145600
ok,102.0,102.0,100.0,100.0,945,1577232000
ok,100.5,102.0,100.5,101.0,510,1577318400
ok,101.0,101.0,100.0,101.0,330,1577577600
ok,100.5,101.0,100.5,100.5,340,1577664000
ok,100.5,102.0,100.0,102.0,6694,1577750400
ok,101.0,101.5,100.5,101.0,320,1577836800
ok,100.5,102.0,100.5,100.5,340,1577923200
ok,100.0,103.5,100.0,103.5,700,1578182400
ok,102.5,104.5,101.5,101.5,1620,1578268800
ok,100.5,103.0,100.5,102.0,1385,1578355200
ok,101.0,102.0,101.0,102.0,470,1578441600
ok,102.0,103.0,101.5,102.0,1120,1578528000
ok,101.0,104.0,101.0,104.0,2521,1578787200
ok,103.0,109.0,101.0,106.0,3180,1578873600
ok,105.0,105.0,104.0,104.0,2690,1578960000
ok,104.0,108.0,103.0,106.5,3405,1579046400
ok,107.0,109.0,106.0,109.0,3370,1579132800
ok,109.0,110.0,107.0,110.0,2260,1579392000
ok,109.0,109.0,105.0,105.0,4320,1579478400
ok,104.0,106.0,101.5,106.0,8640,1579564800
ok,107.0,107.0,105.0,106.0,2090,1579651200
ok,105.0,105.0,102.0,103.0,626,1579737600
ok,102.0,103.5,102.0,103.0,2360,1579996800
ok,103.5,105.5,102.5,104.0,891,1580083200
ok,103.0,105.0,103.0,105.0,600,1580169600
ok,105.0,106.0,103.0,106.0,1160,1580256000
ok,105.0,105.0,102.0,103.0,6300,1580342400
ok,103.0,104.0,103.0,104.0,1490,1580601600
ok,104.0,107.0,103.5,105.0,1834,1580688000
ok,104.0,105.0,103.5,103.5,2856,1580774400
ok,102.5,104.5,102.5,103.5,830,1580860800
ok,104.5,104.5,102.5,103.0,460,1580947200
ok,103.0,103.0,102.0,102.5,330,1581206400
ok,102.5,105.0,102.0,103.5,1640,1581292800
ok,102.5,105.5,102.5,105.0,2795,1581379200
ok,105.0,105.0,103.0,103.5,630,1581465600
ok,103.0,103.5,102.0,102.5,2758,1581552000
ok,101.5,104.5,101.5,104.5,1030,1581811200
ok,104.5,106.0,103.5,106.0,4830,1581897600
ok,105.0,105.0,104.0,104.0,1550,1581984000
ok,103.0,105.0,103.0,105.0,1210,1582070400
ok,105.0,105.0,104.0,104.5,750,1582156800
ok,104.5,106.5,104.5,105.5,1875,1582416000
ok,105.5,106.5,104.0,104.0,3030,1582502400
ok,104.0,108.5,103.0,107.5,3580,1582588800
ok,106.5,108.0,105.5,106.5,718,1582675200
ok,105.5,106.5,104.5,105.0,2660,1582761600
ok,105.0,105.5,104.0,105.5,1730,1583020800
ok,104.5,104.5,103.5,104.0,1210,1583107200
ok,104.0,105.0,103.0,104.5,1907,1583193600
ok,103.5,103.5,101.0,101.0,2499,1583280000
ok,100.5,104.0,100.0,104.0,2280,1583366400
ok,103.0,103.0,102.0,102.0,1010,1583798400
ok,103.0,103.0,101.0,101.5,1500,1583884800
ok,100.5,101.0,100.0,100.5,2060,1583971200
ok,100.0,101.0,99.5,99.5,3290,1584230400
ok,99.5,100.0,98.0,99.5,2435,1584316800
ok,99.0,99.0,98.0,98.0,1930,1584403200
ok,97.5,98.0,97.0,97.5,960,1584489600
ok,97.0,97.5,96.5,97.0,6310,1584576000
ok,96.5,96.5,96.5,96.5,80,1593388800
ok,96.5,96.5,96.5,96.5,40,1593475200
ok,97.0,97.0,97.0,97.0,20,1593561600
ok,96.5,97.0,95.0,95.0,260,1593907200
ok,94.5,94.5,92.5,93.5,990,1593993600
ok,94.0,94.0,93.5,94.0,280,1594080000
ok,94.0,95.0,94.0,94.5,841,1594166400
ok,94.0,96.0,94.0,95.5,370,1594252800
ok,95.0,96.0,95.0,95.5,610,1594512000
ok,95.0,95.5,94.0,95.5,1415,1594598400
ok,95.0,95.5,94.5,95.0,1210,1594684800
ok,94.5,94.5,93.0,93.5,620,1594771200
ok,93.5,95.0,93.5,95.0,5540,1594857600
ok,95.5,99.5,95.5,99.0,2820,1595203200
ok,101.0,101.0,96.0,99.5,1470,1595289600
ok,99.0,99.0,99.0,99.0,320,1595376000
ok,98.5,98.5,96.5,96.5,2250,1595462400
ok,96.0,96.5,95.5,95.5,7410,1595721600
ok,95.0,97.0,94.0,96.0,990,1595808000
ok,95.5,96.0,95.0,96.0,1920,1595894400
ok,95.5,96.5,95.5,96.5,520,1595980800
ok,96.5,101.0,96.5,101.0,1600,1596067200
ok,100.0,100.0,96.0,97.0,1485,1596326400
ok,96.5,99.5,96.5,98.0,700,1596412800
ok,97.5,97.5,96.0,96.0,910,1596585600
ok,96.0,98.0,96.0,97.0,2991,1596672000
ok,96.5,97.5,96.5,96.5,1000,1596931200
ok,96.0,97.5,96.0,97.0,1600,1597017600
ok,96.5,97.0,96.5,97.0,670,1597104000
ok,96.5,97.0,96.5,96.5,600,1597190400
ok,96.0,97.0,96.0,96.5,630,1597276800
ok,96.0,96.0,95.0,95.0,1090,1597536000
ok,95.0,95.5,94.0,95.0,2580,1597622400
