s,o,h,l,c,v,t
ok,291.8,320.9,291.0,320.9,69635,1687219200
ok,327.0,352.9,320.9,340.1,38920,1687305600
ok,346.8,346.8,314.0,316.0,34344,1687392000
ok,320.0,320.0,292.0,305.0,34233,1687651200
ok,299.3,320.0,294.0,312.0,26084,1687737600
ok,305.9,315.0,302.0,314.9,15285,1687824000
ok,315.0,320.0,290.2,294.0,14295,1687910400
ok,289.3,298.0,282.0,282.0,12473,1688256000
ok,276.4,292.3,271.0,274.4,8589,1688342400
ok,270.0,279.0,267.8,276.0,7019,1688428800
ok,270.5,283.4,260.0,264.0,11648,1688515200
ok,259.0,274.5,250.0,256.0,10071,1688601600
ok,255.0,270.3,250.0,253.9,7208,1688860800
ok,248.9,256.0,248.9,251.0,6947,1688947200
ok,246.2,256.0,246.2,251.2,5940,1689033600
ok,248.0,272.0,248.0,270.1,18317,1689120000
ok,275.5,280.0,260.0,260.0,9348,1689206400
ok,255.1,257.0,250.2,257.0,3911,1689465600
ok,252.0,264.3,247.2,264.3,7738,1689552000
ok,259.2,271.0,256.0,265.0,14283,1689638400
ok,260.0,261.1,255.1,256.4,6765,1689724800
ok,255.0,265.0,255.0,260.0,7423,1689811200
ok,265.1,283.0,263.0,278.0,30540,1690070400
ok,278.0,288.0,270.0,273.0,18242,1690156800
ok,268.3,275.0,267.1,269.0,4675,1690243200
ok,269.0,276.0,258.6,270.0,8564,1690329600
ok,275.0,275.0,259.1,262.0,4240,1690416000
ok,258.0,262.0,252.7,253.2,9627,1690675200
ok,249.5,264.1,249.5,251.5,7749,1690761600
ok,255.0,260.1,249.9,250.0,8459,1690848000
ok,250.0,255.0,248.0,251.0,4765,1690934400
ok,246.2,258.0,246.2,246.8,7092,1691020800
ok,245.0,245.0,236.1,238.1,5730,1691280000
ok,240.0,248.0,233.9,236.0,8059,1691366400
ok,233.0,240.7,227.2,228.6,5084,1691452800
ok,224.5,232.4,216.6,232.4,12442,1691539200
ok,232.0,235.8,223.0,225.0,7456,1691625600
ok,221.0,229.1,217.0,220.8,10417,1691884800
ok,223.9,225.0,217.0,218.1,5220,1691971200
ok,218.0,218.0,213.1,214.0,6314,1692057600
ok,210.0,215.0,207.0,210.0,3545,1692144000
ok,206.1,216.2,206.1,209.1,2211,1692230400
ok,205.2,208.0,205.2,206.2,2810,1692489600
ok,202.2,206.5,200.2,202.0,3601,1692576000
ok,202.0,220.0,200.2,220.0,8150,1692662400
ok,220.0,229.5,216.0,229.5,10697,1692748800
ok,225.0,229.5,217.0,229.5,9564,1692835200
ok,225.0,225.0,207.6,219.6,3380,1693094400
ok,215.3,220.0,210.0,214.0,2900,1693180800
ok,209.9,214.0,208.0,214.0,2749,1693267200
ok,210.0,217.2,210.0,214.9,1775,1693353600
ok,210.7,211.0,207.0,208.0,3684,1693699200
ok,212.0,216.0,201.2,205.0,2170,1693785600
ok,204.0,223.6,204.0,220.0,26722,1693872000
ok,216.0,234.6,211.2,230.0,16876,1694044800
ok,225.4,244.8,223.0,234.8,22146,1694304000
ok,239.0,239.9,227.4,237.6,20109,1694390400
ok,233.0,239.0,228.6,235.0,10827,1694476800
ok,236.0,238.9,226.0,235.0,11044,1694563200
ok,235.0,239.0,220.7,220.9,16303,1694908800
ok,216.8,239.1,212.7,234.9,13490,1694995200
ok,231.1,252.0,222.0,251.9,22581,1695081600
ok,248.0,267.0,248.0,259.0,29069,1695254400
ok,253.9,257.0,244.1,253.0,21980,1695513600
ok,248.0,264.1,244.1,258.0,22096,1695600000
ok,254.0,276.0,254.0,274.0,44568,1695686400
ok,270.0,273.0,261.0,270.0,22014,1695772800
ok,264.6,267.0,250.0,252.9,20024,1696118400
ok,248.0,267.0,240.0,261.0,26911,1696204800
ok,262.0,266.0,246.1,255.0,14380,1696291200
ok,250.0,265.3,250.0,260.1,14212,1696377600
ok,255.1,275.0,255.1,260.0,11439,1696464000
ok,257.0,260.5,248.1,251.9,18910,1696723200
ok,247.0,256.9,244.1,245.5,8683,1696809600
ok,250.0,260.0,241.1,254.4,7214,1696896000
ok,258.9,258.9,244.1,250.0,6695,1696982400
ok,245.0,260.0,239.0,239.0,17782,1697068800
ok,234.3,234.3,225.0,232.0,5870,1697414400
ok,228.0,241.3,227.4,239.0,7014,1697500800
ok,234.3,250.0,229.7,249.9,6709,1697587200
ok,245.0,246.5,234.0,243.9,10694,1697673600
ok,239.1,239.1,230.0,230.9,2810,1698537600
ok,226.3,236.9,222.2,236.9,2375,1698624000
ok,232.2,232.2,225.0,227.0,1800,1698710400
ok,223.0,232.1,223.0,225.0,2454,1698796800
ok,220.7,229.5,220.7,221.0,3565,1698883200
ok,216.6,224.4,216.6,219.0,1640,1699142400
ok,219.0,240.9,218.0,225.0,3379,1699228800
ok,225.0,238.1,223.0,235.0,3913,1699315200
ok,230.4,235.0,230.0,235.0,2709,1699401600
ok,233.3,234.9,228.8,234.6,2705,1699488000
ok,230.0,232.0,224.7,229.0,3978,1700438400
ok,225.0,225.0,219.0,219.2,3590,1700524800
ok,214.9,229.5,212.0,229.5,2194,1700611200
ok,225.0,244.4,220.7,238.0,3707,1700697600
ok,233.3,247.5,233.3,247.0,4838,1700956800
ok,242.1,245.9,236.0,245.0,29658,1701043200
ok,241.0,245.0,238.0,242.8,2757,1701129600
ok,242.8,240.0,232.1,236.0,7731,1701216000
ok,232.0,235.0,227.9,229.0,2802,1701302400
ok,225.0,248.7,225.0,248.7,4898,1701561600
ok,243.8,243.8,231.0,235.0,5188,1701648000
ok,230.3,235.0,225.8,233.9,3550,1701734400
ok,229.3,234.0,227.1,231.0,2674,1701820800
ok,227.6,238.6,227.6,233.2,10829,1701907200
ok,237.8,256.5,237.8,256.5,250,1702166400
ok,257.0,257.0,240.1,246.1,18049,1702252800
ok,246.1,270.7,242.1,257.1,34943,1702339200
ok,252.0,278.0,252.0,270.0,33590,1702425600
ok,264.6,280.5,263.0,276.0,23773,1702512000
ok,271.0,293.5,263.0,290.0,46034,1702771200
ok,295.0,303.9,281.0,284.0,42190,1702857600
ok,278.4,299.0,276.0,295.5,18533,1702944000
ok,294.0,307.4,285.1,300.0,36388,1703030400
ok,294.0,299.0,282.0,295.0,27521,1703116800
ok,295.0,300.6,284.3,292.9,27518,1703376000
ok,288.1,322.1,288.1,319.9,65895,1703635200
ok,319.0,345.0,308.1,309.1,26851,1703721600
ok,303.0,326.0,289.2,296.0,33641,1704067200
ok,300.0,301.9,280.0,291.0,32181,1704153600
ok,287.0,306.0,287.0,306.0,17489,1704240000
ok,310.0,316.0,298.0,298.0,20434,1704326400
ok,303.0,309.0,296.0,296.0,32140,1704585600
ok,291.1,317.0,291.1,314.0,28487,1704672000
ok,312.5,335.0,312.2,316.0,51037,1704758400
ok,309.7,330.0,309.7,322.0,34473,1704844800
ok,316.0,339.0,316.0,328.0,21788,1704931200
ok,334.0,350.8,330.0,342.9,36436,1705190400
