s,o,h,l,c,v,t
ok,208.48,208.48,208.48,208.48,10,1546819200
ok,208.48,208.48,205.45,205.45,80,1546992000
ok,205.45,205.45,197.58,202.42,50,1547596800
ok,202.42,202.42,186.67,186.67,70,1547683200
ok,186.67,186.67,179.39,179.39,500,1548201600
ok,179.39,179.39,172.73,172.73,20,1548720000
ok,166.06,172.73,161.21,161.21,60,1549497600
ok,155.15,161.21,155.15,155.15,20,1549756800
ok,149.7,155.15,146.06,146.06,60,1551139200
ok,141.21,146.06,141.21,141.21,10,1551571200
ok,136.36,141.21,136.36,136.36,20,1551744000
ok,131.52,131.52,128.48,128.48,50,1554768000
ok,124.24,124.24,124.24,124.24,20,1557705600
ok,120.0,120.0,120.0,120.0,50,1557792000
ok,116.36,116.36,113.94,113.94,70,1558569600
ok,110.3,110.3,106.67,106.67,210,1558828800
ok,103.64,103.64,102.42,102.42,20,1559001600
ok,99.39,99.39,96.36,96.36,2505,1559088000
ok,96.97,98.79,95.76,96.36,4586,1559174400
ok,96.97,96.97,94.55,96.97,1100,1559433600
ok,96.36,96.36,96.36,96.36,20,1559520000
ok,95.76,95.76,92.73,92.73,1800,1559606400
ok,93.33,95.15,93.33,95.15,1820,1559779200
ok,94.55,97.58,94.55,96.36,3610,1560211200
ok,95.76,95.76,92.12,93.94,790,1560297600
ok,93.33,93.33,90.91,92.12,600,1560384000
ok,91.52,91.52,90.3,91.52,660,1560643200
ok,90.91,90.91,89.7,90.3,480,1560729600
ok,89.7,90.3,89.7,90.3,480,1560816000
ok,89.7,90.91,89.7,90.3,260,1560902400
ok,87.88,90.91,87.88,90.3,470,1560988800
ok,89.7,90.3,89.09,89.7,640,1561248000
ok,89.09,89.7,87.88,89.7,760,1561334400
ok,89.09,89.7,88.48,89.7,390,1561420800
ok,89.09,89.7,88.48,89.09,760,1561507200
ok,88.48,90.3,88.48,89.7,480,1561593600
ok,87.27,89.09,87.27,88.48,860,1561852800
ok,87.88,88.48,87.27,87.88,950,1561939200
ok,88.48,88.48,87.27,87.88,530,1562025600
ok,87.27,87.88,86.67,86.67,1030,1562112000
ok,86.67,87.27,86.67,87.27,130,1562198400
ok,86.67,87.88,86.67,87.27,180,1562457600
ok,86.67,87.27,86.67,86.67,250,1562544000
ok,86.06,88.48,86.06,87.27,420,1562630400
ok,86.67,87.27,86.67,87.27,220,1562716800
ok,87.27,87.27,85.45,85.45,1050,1562803200
ok,84.85,86.06,84.85,86.06,290,1563062400
ok,86.06,86.67,86.06,86.67,100,1563148800
ok,86.06,87.27,86.06,86.06,370,1563235200
ok,86.67,87.88,86.67,87.27,450,1563321600
ok,87.88,87.88,86.06,86.06,170,1563408000
ok,86.67,87.27,86.06,87.27,270,1563667200
ok,87.27,87.27,86.06,87.27,520,1563753600
ok,87.27,87.88,86.67,86.67,280,1563840000
ok,86.67,87.88,85.45,87.88,410,1563926400
ok,87.27,87.88,87.27,87.27,380,1564012800
ok,86.67,86.67,86.67,86.67,190,1564272000
ok,86.67,86.67,84.24,84.85,160,1564358400
ok,84.85,85.45,84.24,84.85,440,1564444800
ok,84.24,85.45,84.24,84.85,330,1564531200
ok,84.24,85.45,84.24,84.24,330,1564617600
ok,83.64,84.85,83.64,84.24,480,1564876800
ok,84.24,84.24,83.64,83.64,230,1564963200
ok,84.24,84.85,83.64,84.85,650,1565049600
ok,84.24,84.24,82.42,84.24,200,1565136000
ok,83.64,85.45,83.64,84.24,680,1565222400
ok,83.64,83.64,80.61,80.61,1450,1565481600
ok,80.61,84.24,80.61,83.64,390,1565568000
ok,83.64,83.64,82.42,82.42,740,1565654400
ok,81.82,83.03,81.82,82.42,370,1565740800
ok,82.42,82.42,81.82,81.82,220,1565827200
ok,81.21,81.82,80.61,81.21,610,1566086400
ok,80.61,80.61,79.39,80.0,330,1566172800
ok,79.39,80.0,78.79,80.0,260,1566259200
ok,79.39,80.61,79.39,80.61,670,1566345600
ok,80.61,81.21,80.0,80.0,600,1566432000
ok,79.39,79.39,78.18,79.39,370,1566691200
ok,78.79,80.0,78.79,79.39,340,1566777600
ok,78.79,80.61,78.79,80.0,340,1566864000
ok,79.39,80.61,79.39,80.0,200,1566950400
ok,80.61,81.21,79.39,79.39,330,1567036800
ok,78.79,79.39,78.18,78.18,211,1567296000
ok,77.58,77.58,76.97,76.97,200,1567382400
ok,76.97,77.58,76.36,76.97,50,1567468800
ok,76.97,78.18,76.97,77.58,310,1567555200
ok,76.97,78.18,76.97,78.18,360,1567641600
ok,77.58,77.58,76.97,76.97,50,1567900800
ok,76.36,76.36,75.76,75.76,400,1567987200
ok,76.36,76.36,75.76,76.36,301,1568073600
ok,76.36,76.97,75.76,76.97,120,1568160000
ok,76.36,76.97,75.76,76.36,300,1568246400
ok,76.36,76.36,74.55,75.76,780,1568592000
ok,75.76,76.36,75.76,76.36,3194,1568678400
ok,76.36,76.97,76.36,76.97,140,1568764800
ok,76.36,76.97,75.76,76.97,340,1568851200
ok,76.36,76.36,73.94,73.94,320,1569110400
ok,73.33,75.15,73.33,75.15,240,1569196800
ok,74.55,75.15,74.55,74.55,170,1569283200
ok,73.33,73.94,72.12,72.12,290,1569456000
ok,71.52,72.12,71.52,72.12,200,1569715200
ok,72.12,73.33,72.12,73.33,60,1569801600
ok,73.33,73.94,73.33,73.33,250,1569888000
ok,72.73,73.33,72.73,73.33,60,1569974400
ok,73.94,74.55,73.94,74.55,80,1570060800
ok,74.55,75.76,74.55,75.76,130,1571011200
ok,76.36,77.58,76.36,76.97,260,1571097600
ok,76.36,76.97,76.36,76.97,30,1571184000
ok,76.97,77.58,76.97,77.58,20,1571270400
ok,77.58,77.58,76.97,77.58,90,1571875200
ok,77.58,77.58,76.97,76.97,100,1572480000
ok,76.97,76.97,76.97,76.97,200,1572739200
ok,76.36,76.36,75.15,75.15,210,1572825600
ok,74.55,74.55,74.55,74.55,90,1572912000
ok,73.94,75.76,73.94,75.76,320,1572998400
ok,75.15,75.76,75.15,75.76,150,1573084800
ok,75.15,75.15,75.15,75.15,80,1573430400
ok,74.55,75.15,73.33,73.33,200,1573516800
ok,72.73,73.33,72.73,72.73,220,1573603200
ok,72.73,73.33,71.52,71.52,310,1573689600
ok,70.91,72.12,70.91,71.52,290,1573948800
ok,70.91,72.12,70.3,72.12,270,1574035200
ok,72.73,73.94,72.73,73.94,990,1574121600
ok,74.55,76.97,74.55,75.76,340,1574208000
ok,75.15,76.36,74.55,76.36,440,1574294400
ok,76.36,76.36,75.15,75.76,120,1574553600
ok,75.76,75.76,74.55,74.55,80,1574640000
ok,74.55,75.15,73.33,73.33,490,1574726400
ok,72.73,73.94,72.73,73.94,120,1574812800
ok,73.94,73.94,72.73,72.73,240,1574899200
ok,72.12,72.73,72.12,72.12,100,1575158400
ok,71.52,71.52,70.3,70.91,160,1575244800
ok,70.3,71.52,70.3,71.52,440,1575331200
ok,70.91,71.52,70.91,70.91,140,1575417600
ok,70.91,72.12,70.91,70.91,170,1575504000
ok,70.91,70.91,70.3,70.91,180,1575763200
ok,71.52,71.52,71.52,71.52,90,1575849600
ok,71.52,71.52,70.91,71.52,210,1575936000
ok,70.91,72.73,70.91,72.12,220,1576022400
ok,71.52,73.33,70.91,73.33,190,1576108800
ok,72.73,74.55,72.73,73.94,140,1576368000
ok,73.94,74.55,73.94,73.94,480,1576454400
ok,73.33,73.33,72.73,72.73,50,1576540800
ok,72.12,73.94,72.12,73.94,100,1576627200
ok,74.55,75.15,73.94,75.15,140,1576713600
ok,75.15,75.76,74.55,75.76,1950,1576972800
ok,76.36,76.36,75.76,75.76,240,1577059200
ok,76.36,78.79,75.76,78.79,2060,1577145600
ok,78.18,78.18,77.58,77.58,90,1577232000
ok,77.58,77.58,76.36,76.97,690,1577318400
ok,76.36,77.58,76.36,77.58,260,1577577600
ok,76.97,77.58,75.76,75.76,635,1577664000
ok,76.36,76.97,75.15,76.36,460,1577750400
ok,76.97,76.97,75.76,75.76,260,1577836800
ok,76.36,79.39,76.36,78.79,1840,1577923200
ok,78.79,78.79,78.79,78.79,310,1578182400
ok,78.18,78.79,76.97,78.79,750,1578268800
ok,79.39,80.0,78.18,80.0,510,1578355200
ok,80.0,80.61,77.58,80.61,410,1578441600
ok,80.0,81.21,80.0,80.61,580,1578787200
ok,80.0,80.61,78.79,78.79,1040,1578873600
ok,78.18,79.39,76.97,76.97,530,1578960000
ok,76.36,77.58,76.36,76.97,340,1579046400
ok,76.97,80.0,76.97,80.0,1720,1579132800
ok,80.0,80.61,78.18,78.18,690,1579392000
ok,78.79,79.39,77.58,78.18,560,1579478400
ok,78.79,79.39,78.18,78.18,810,1579564800
ok,77.58,77.58,75.76,77.58,770,1579651200
ok,78.18,78.18,77.58,77.58,250,1579737600
ok,77.58,78.79,77.58,78.79,190,1579996800
ok,78.18,78.79,76.97,77.58,810,1580083200
ok,76.97,78.18,76.97,77.58,760,1580169600
ok,78.18,78.79,77.58,78.18,430,1580256000
ok,77.58,77.58,77.58,77.58,600,1580342400
ok,76.97,78.18,76.97,77.58,430,1580601600
ok,76.97,76.97,75.15,76.97,750,1580688000
ok,76.97,77.58,76.97,77.58,580,1580774400
ok,76.97,77.58,76.97,77.58,320,1580860800
ok,76.97,76.97,76.97,76.97,290,1580947200
ok,76.36,77.58,76.36,77.58,120,1581206400
ok,76.97,76.97,75.15,75.76,3380,1581292800
ok,75.15,76.36,74.55,75.15,473,1581379200
ok,75.15,75.76,75.15,75.76,1470,1581465600
ok,75.15,75.76,74.55,75.15,670,1581552000
ok,74.55,74.55,73.94,74.55,330,1581811200
ok,73.94,76.97,73.94,76.36,5480,1581897600
ok,75.76,78.18,75.15,77.58,3250,1581984000
ok,77.58,78.18,76.36,78.18,810,1582070400
ok,78.18,80.0,77.58,78.79,2000,1582156800
ok,78.18,79.39,77.58,78.18,3160,1582416000
ok,78.18,79.39,76.97,78.18,4020,1582502400
ok,77.58,79.39,76.36,78.18,1670,1582588800
ok,77.58,81.82,77.58,81.82,4420,1582675200
ok,81.82,84.24,80.61,81.21,3604,1582761600
ok,81.21,81.21,78.18,78.18,990,1583020800
ok,77.58,78.18,77.58,77.58,760,1583107200
ok,77.58,78.18,76.97,76.97,530,1583193600
ok,76.36,76.97,75.76,76.36,700,1583280000
ok,75.76,76.36,75.15,76.36,490,1583366400
ok,75.76,75.76,74.55,74.55,90,1583798400
ok,75.15,75.15,74.55,74.55,60,1583884800
ok,74.55,75.15,73.94,73.94,2020,1583971200
ok,73.33,73.33,71.52,71.52,440,1584230400
ok,70.91,71.52,70.3,70.91,1300,1584316800
ok,70.3,73.33,70.3,73.33,660,1584403200
ok,72.73,73.94,72.73,72.73,500,1584489600
ok,72.12,74.55,72.12,74.55,620,1584576000
ok,73.94,73.94,73.94,73.94,60,1589241600
ok,73.94,73.94,73.94,73.33,100,1593388800
ok,72.73,72.73,72.73,72.73,40,1593648000
ok,72.12,72.12,70.3,70.3,110,1593907200
ok,69.7,69.7,69.09,69.09,1090,1593993600
ok,69.09,69.7,69.09,69.7,1840,1594080000
ok,69.7,70.91,69.7,70.3,400,1594166400
ok,69.7,72.12,69.7,72.12,1360,1594252800
ok,71.52,71.52,69.7,70.3,450,1594512000
ok,69.7,70.3,69.7,69.7,1200,1594598400
ok,70.3,70.3,69.09,70.3,650,1594684800
ok,69.7,70.3,69.09,69.7,480,1594771200
ok,69.7,70.3,69.09,69.7,505,1594857600
ok,69.09,69.68,68.48,69.68,340,1595203200
ok,69.7,70.91,69.1,70.3,1440,1595289600
ok,69.7,69.7,68.48,68.48,910,1595376000
ok,68.48,69.07,67.33,67.39,2120,1595462400
ok,66.84,69.7,66.84,69.7,1180,1595721600
ok,70.3,72.73,70.3,72.73,3793,1595808000
ok,73.33,75.76,73.33,75.76,2450,1595894400
ok,76.36,79.39,76.36,79.39,5190,1595980800
ok,81.21,83.03,81.21,83.03,3200,1596067200
ok,84.85,85.45,78.79,78.79,8085,1596326400
ok,78.18,78.79,75.15,76.36,2915,1596412800
ok,75.76,75.76,73.94,73.94,1551,1596585600
ok,74.55,74.55,72.73,73.33,1010,1596672000
ok,72.73,75.15,72.73,75.15,900,1596931200
ok,75.15,75.15,72.73,73.94,3130,1597017600
ok,73.33,74.55,72.12,74.55,1020,1597104000
ok,73.94,73.94,72.73,73.33,530,1597190400
ok,73.33,76.36,72.73,76.36,3592,1597276800
ok,75.76,75.76,73.94,75.15,1425,1597536000
ok,74.55,77.58,74.55,77.58,1260,1597622400
ok,76.97,77.58,73.94,77.58,930,1597708800
ok,76.97,78.18,73.94,76.97,1070,1597795200
ok,76.97,76.97,74.55,74.55,230,1597881600
ok,73.94,75.76,73.94,75.76,1127,1598140800
ok,75.15,76.97,75.15,76.36,2400,1598227200
ok,75.76,76.36,74.55,76.36,2010,1598313600
ok,75.76,75.76,73.33,75.15,1058,1598400000
ok,74.55,76.36,74.55,75.15,2660,1598486400
ok,75.15,75.76,73.94,75.15,480,1598745600
ok,74.55,77.58,73.94,75.76,2200,1598832000
ok,75.76,79.39,75.15,79.39,3381,1599004800
ok,80.0,83.03,80.0,83.03,23834,1599091200
ok,83.64,87.27,83.64,87.27,12268,1599350400
ok,89.09,91.52,89.09,91.52,13835,1599436800
ok,93.94,96.36,86.67,96.36,15521,1599523200
ok,98.79,98.79,90.91,95.15,8611,1599609600
ok,97.58,97.58,92.73,93.94,9437,1599696000
ok,93.33,95.76,89.7,92.73,9440,1599955200
ok,93.33,97.58,91.52,96.36,18670,1600041600
ok,96.36,98.18,92.73,96.36,6948,1600128000
ok,95.76,101.82,93.33,101.82,19313,1600214400
ok,104.85,107.88,103.64,107.88,20957,1600300800
ok,109.09,109.09,101.21,101.21,14426,1600560000
ok,100.0,101.21,95.15,100.0,12426,1600646400
ok,103.03,103.03,96.36,98.18,3410,1600732800
ok,98.18,102.42,95.76,101.82,10672,1600819200
