s,o,h,l,c,v,t
ok,435.45,479.0,435.45,479.0,1102,1692576000
ok,488.55,526.82,488.55,526.82,970,1692662400
ok,537.27,579.45,537.27,579.45,640,1692748800
ok,591.0,637.36,591.0,637.36,2578,1692835200
ok,650.09,701.09,650.09,701.09,2509,1693094400
ok,715.09,771.18,715.09,771.18,1991,1693180800
ok,771.18,848.27,771.18,848.27,16318,1693267200
ok,863.64,880.91,784.0,801.82,14491,1693353600
ok,786.36,786.36,721.82,734.55,8735,1693699200
ok,720.0,760.36,709.09,760.0,4450,1693785600
ok,745.45,754.55,730.91,754.55,1376,1693872000
ok,740.55,748.27,727.82,747.27,3308,1694044800
ok,732.82,789.55,721.82,731.82,3756,1694304000
ok,737.27,745.36,709.27,740.0,1750,1694390400
ok,731.82,738.18,720.91,732.73,2980,1694476800
ok,719.45,762.73,719.45,758.18,1925,1694563200
ok,743.09,747.27,723.91,740.82,1340,1694908800
ok,728.27,754.36,727.27,739.09,2667,1694995200
ok,724.45,753.45,724.45,726.45,1596,1695081600
ok,740.91,762.73,740.91,757.27,4760,1695254400
ok,763.64,785.45,743.64,757.27,3728,1695513600
ok,743.73,771.82,743.64,771.82,2420,1695600000
ok,757.27,796.36,742.27,780.91,3308,1695686400
ok,765.45,768.09,745.45,758.18,927,1695772800
ok,745.45,752.73,731.82,731.91,847,1696118400
ok,733.18,745.45,723.64,740.91,1385,1696204800
ok,728.27,738.18,725.0,738.18,876,1696291200
ok,729.09,741.73,728.36,736.36,1395,1696377600
ok,723.09,736.36,723.09,733.64,783,1696464000
ok,719.73,723.64,714.64,714.64,840,1696723200
ok,709.27,719.09,709.09,717.27,1003,1696809600
ok,709.18,709.18,700.0,709.09,1619,1696896000
ok,708.18,716.73,701.82,716.73,590,1696982400
ok,702.73,703.64,690.91,703.64,770,1697068800
ok,700.0,700.0,668.36,669.09,1236,1697414400
ok,682.45,682.45,669.09,679.09,520,1697500800
ok,679.09,704.55,679.09,704.27,310,1697587200
ok,690.36,696.36,681.82,681.82,490,1697673600
ok,680.91,690.91,672.73,679.09,800,1698537600
ok,669.09,704.45,669.09,704.45,1320,1698624000
ok,690.45,690.45,672.91,678.18,2454,1698710400
ok,670.0,681.82,670.0,680.64,510,1698796800
ok,670.91,681.73,669.09,675.45,772,1698883200
ok,662.73,666.36,656.36,666.36,440,1699142400
ok,676.36,679.91,655.45,672.73,1746,1699228800
ok,684.45,685.45,672.73,677.27,474,1699315200
ok,681.82,686.36,672.73,686.36,170,1699401600
ok,674.55,674.55,664.73,672.73,472,1699488000
ok,673.18,681.82,660.09,670.91,310,1700438400
ok,659.18,663.64,658.45,658.45,233,1700524800
ok,659.09,682.73,659.09,669.09,110,1700611200
ok,659.09,694.0,659.09,694.0,560,1700697600
ok,681.82,704.55,680.18,703.55,600,1700956800
ok,703.18,744.55,703.18,727.27,2127,1701043200
ok,731.82,731.82,704.55,730.91,1030,1701129600
ok,719.09,719.09,704.82,716.36,460,1701216000
ok,702.27,703.55,676.36,676.36,740,1701302400
ok,676.36,685.91,671.0,685.91,160,1701561600
ok,672.73,700.0,672.73,699.0,200,1701648000
ok,685.09,691.82,679.09,691.82,360,1701734400
ok,682.73,682.73,681.91,681.91,140,1701820800
ok,668.27,695.45,668.27,695.45,650,1701907200
ok,709.36,737.27,709.36,737.27,70,1702166400
ok,752.0,752.0,702.91,720.91,1087,1702252800
ok,727.27,749.91,715.45,749.09,845,1702339200
ok,749.09,749.09,706.45,706.45,2810,1702425600
ok,717.27,745.45,710.09,711.91,2175,1702512000
ok,711.91,750.0,711.91,750.0,1900,1702771200
ok,763.64,764.91,727.36,748.18,1810,1702857600
ok,736.45,736.45,723.0,734.55,630,1702944000
ok,728.18,749.09,727.27,749.0,1769,1703030400
ok,763.91,823.82,738.64,811.82,4625,1703116800
ok,798.18,878.55,782.73,834.55,4616,1703376000
ok,836.36,836.36,779.55,824.55,1620,1703635200
ok,811.82,812.73,782.73,790.82,1290,1703721600
ok,806.36,820.91,766.36,786.27,3642,1704067200
ok,772.73,772.82,750.0,767.27,1850,1704153600
ok,767.27,827.09,759.09,827.09,3313,1704240000
ok,810.91,818.18,795.45,813.64,915,1704326400
ok,818.18,822.73,788.27,798.18,3580,1704585600
ok,800.91,831.82,792.73,810.09,1110,1704672000
ok,826.27,842.73,805.55,805.55,2164,1704758400
ok,821.64,821.64,798.18,816.36,1554,1704844800
ok,821.82,826.18,810.0,817.27,1145,1704931200
ok,832.73,866.0,832.73,841.82,2828,1705190400
ok,845.45,870.64,838.18,866.36,2067,1705363200
ok,850.91,850.91,815.45,828.64,1515,1705449600
ok,812.73,844.55,796.55,822.0,2494,1705536000
ok,807.27,822.73,795.64,809.09,1480,1705795200
ok,809.09,809.09,770.91,783.55,2212,1705881600
ok,770.27,807.27,768.0,774.64,460,1705968000
ok,789.09,805.27,763.0,772.73,1589,1706054400
ok,769.09,772.73,755.45,772.73,1122,1706140800
ok,781.82,788.18,763.82,785.45,500,1706400000
ok,772.73,791.82,772.73,790.82,1567,1706486400
ok,777.27,808.82,777.27,796.36,800,1706572800
ok,804.55,807.27,777.27,777.27,995,1706659200
ok,763.64,786.36,751.82,751.82,1800,1706745600
ok,751.82,781.82,751.82,764.45,383,1707004800
ok,772.73,818.18,772.45,818.18,1397,1707091200
ok,802.73,817.27,800.0,817.27,740,1707177600
ok,801.82,819.09,792.73,800.0,2788,1707264000
ok,815.91,828.18,811.82,827.18,2850,1707350400
ok,843.64,909.82,830.09,909.82,9868,1707609600
ok,928.0,1000.73,928.0,1000.73,1560,1707696000
ok,1018.18,1100.0,936.36,1000.0,12534,1707782400
ok,980.0,980.0,941.36,951.82,7550,1707868800
ok,935.45,956.45,928.18,940.91,2765,1707955200
ok,936.36,1010.0,922.73,982.73,6423,1708214400
ok,963.18,1002.36,963.18,990.91,1980,1708387200
ok,981.82,1000.0,956.36,956.36,1867,1708473600
ok,968.18,972.73,913.64,913.64,960,1708560000
ok,895.55,912.73,863.73,898.18,3083,1708819200
ok,916.09,916.09,850.0,894.55,2528,1708905600
ok,890.91,907.27,886.36,907.27,160,1708992000
ok,891.0,902.73,859.73,894.09,1294,1709078400
ok,880.0,881.82,846.36,846.36,1397,1709164800
ok,863.27,863.27,831.82,848.73,465,1709424000
ok,865.64,882.91,865.64,882.91,20,1709510400
ok,883.64,903.64,863.64,863.64,795,1709596800
ok,856.45,922.64,856.45,877.27,653,1709683200
