s,o,h,l,c,v,t
ok,213.5,226.5,213.5,226.5,200,1484179200
ok,230.0,236.5,225.0,226.5,1072,1484438400
ok,223.0,223.0,209.0,209.0,474,1484524800
ok,210.0,217.0,210.0,212.0,472,1484611200
ok,215.0,215.0,196.0,196.0,507,1484697600
ok,195.0,195.0,187.5,194.5,700,1484784000
ok,195.0,195.0,185.5,188.0,458,1485043200
ok,188.0,188.0,175.0,176.0,720,1485129600
ok,175.0,175.0,163.5,164.0,1722,1485216000
ok,164.0,164.0,155.0,157.0,3756,1485302400
ok,157.0,161.0,151.0,160.0,2348,1485388800
ok,158.0,158.0,154.0,154.0,560,1485734400
ok,152.0,159.0,152.0,157.0,356,1485820800
ok,156.0,163.5,155.0,161.5,1996,1485907200
ok,159.5,162.5,157.5,160.0,3092,1485993600
ok,160.0,160.0,156.5,157.0,1358,1486252800
ok,157.5,158.0,154.0,156.5,890,1486339200
ok,155.0,155.0,151.0,154.5,1627,1486425600
ok,154.0,155.5,153.0,155.0,1766,1486512000
ok,153.0,155.5,151.0,154.0,1154,1486598400
ok,156.0,156.0,151.0,151.0,580,1486857600
ok,151.0,153.0,149.5,151.5,1420,1486944000
ok,151.5,153.0,150.0,150.0,1334,1487030400
ok,150.0,152.5,150.0,151.5,1630,1487116800
ok,150.5,161.5,150.0,154.5,2553,1487203200
ok,153.0,161.0,152.0,155.0,684,1487462400
ok,155.0,159.0,151.5,153.5,1308,1487548800
ok,153.5,157.0,153.5,154.0,948,1487635200
ok,155.0,155.0,154.0,154.5,552,1487721600
ok,154.5,157.5,154.5,157.5,526,1487808000
ok,158.5,158.5,155.5,156.0,694,1488067200
ok,156.0,159.0,153.0,156.0,835,1488240000
ok,154.0,155.0,150.0,155.0,236,1488326400
ok,156.5,159.0,154.5,156.0,1527,1488412800
ok,156.0,158.0,154.0,158.0,456,1488672000
ok,158.0,158.0,156.5,157.0,430,1488758400
ok,155.5,157.5,155.5,157.5,448,1488844800
ok,157.0,158.0,155.5,157.5,886,1489017600
ok,155.5,160.5,155.5,160.0,898,1489363200
ok,162.5,163.5,160.0,163.5,2036,1489449600
ok,162.0,169.0,160.5,169.0,1103,1489536000
ok,170.0,173.0,167.0,171.0,838,1489622400
ok,171.5,170.5,167.5,167.5,878,1489881600
ok,168.0,168.0,166.0,166.5,182,1489968000
ok,168.5,168.5,160.5,165.0,540,1490054400
