s,o,h,l,c,v,t
ok,70.67,77.73,70.67,77.73,1330,1539216000
ok,79.02,85.44,73.88,77.73,16907,1539475200
ok,76.45,79.02,74.52,76.45,8242,1539561600
ok,75.16,77.09,73.88,77.09,2940,1540080000
ok,76.45,75.81,73.24,74.52,12677,1540166400
ok,73.24,74.52,72.59,73.24,7050,1540252800
ok,71.95,73.88,70.67,70.67,7911,1540339200
ok,70.03,74.52,69.38,73.24,4390,1540425600
ok,71.95,75.81,70.03,72.59,7500,1540684800
ok,71.31,73.88,70.03,73.24,5000,1540771200
ok,71.95,75.81,71.95,75.81,11750,1540857600
ok,74.52,77.09,73.24,75.16,2710,1540944000
ok,73.88,75.81,73.24,74.52,2940,1541030400
ok,73.24,75.16,73.24,73.88,1792,1541289600
ok,72.59,73.88,71.95,72.59,2250,1541376000
ok,71.31,74.52,70.03,72.59,1160,1542153600
ok,72.59,73.24,70.67,71.31,2355,1542240000
ok,71.31,72.59,70.03,70.67,1610,1542499200
ok,70.67,71.95,69.38,69.38,2361,1542585600
ok,69.38,70.67,68.74,68.74,780,1542672000
ok,68.74,70.03,67.46,69.38,1090,1542758400
ok,69.38,70.03,68.1,68.74,1200,1542844800
ok,68.74,68.74,66.17,66.81,2390,1543104000
ok,66.81,66.81,65.53,66.81,1010,1543190400
ok,66.81,68.1,66.17,66.81,890,1543276800
ok,66.81,68.1,66.17,68.1,4570,1543363200
ok,68.1,68.1,65.53,66.17,610,1543449600
ok,66.17,67.46,64.89,67.46,650,1543708800
ok,67.46,68.1,66.17,66.81,760,1543795200
ok,66.81,67.46,66.17,66.17,1420,1543881600
ok,67.46,68.1,66.17,66.81,300,1544054400
ok,66.81,66.81,65.53,66.17,250,1544313600
ok,66.17,66.81,65.53,66.81,180,1544400000
ok,66.81,67.46,65.53,66.17,160,1544486400
ok,66.17,66.81,64.89,66.17,460,1544572800
ok,66.17,67.46,64.89,67.46,820,1544659200
ok,67.46,68.74,66.17,68.74,470,1544918400
ok,68.74,69.38,66.17,66.17,1610,1545004800
ok,66.17,66.17,64.89,66.17,230,1545091200
ok,66.17,67.46,64.89,65.53,500,1545177600
ok,65.53,66.17,64.89,65.53,470,1545264000
ok,65.53,67.46,64.24,64.89,2640,1545523200
ok,64.89,64.89,62.96,64.89,3080,1545609600
ok,64.89,65.53,63.6,64.24,680,1545696000
ok,64.24,65.53,63.6,63.6,420,1545782400
ok,63.6,66.81,63.6,66.17,2250,1545868800
ok,66.17,67.46,64.24,64.24,740,1546128000
ok,64.24,66.81,64.24,66.81,590,1546214400
ok,66.81,66.81,64.89,65.53,710,1546300800
ok,65.53,66.17,64.24,64.89,1220,1546387200
ok,64.89,65.53,64.24,65.53,520,1546473600
ok,64.24,64.89,64.24,64.24,300,1546732800
ok,64.24,65.53,64.24,65.53,600,1546819200
ok,65.53,65.53,63.6,64.24,360,1546905600
ok,64.24,64.89,63.6,64.24,520,1546992000
ok,64.24,64.89,64.24,64.24,820,1547078400
ok,64.24,65.53,63.6,63.6,1150,1547337600
ok,63.6,64.89,63.6,63.6,730,1547424000
ok,63.6,65.53,63.6,65.53,180,1547510400
ok,65.53,65.53,64.24,64.24,100,1547596800
ok,64.24,65.53,63.6,64.89,890,1547683200
ok,64.89,64.89,62.96,63.6,1470,1547942400
ok,63.6,64.24,61.67,61.67,2150,1548028800
ok,61.67,62.96,61.67,62.32,1910,1548115200
ok,62.32,64.24,61.67,64.24,1460,1548201600
ok,64.24,64.24,62.96,62.96,570,1548288000
ok,62.96,64.24,62.32,62.32,1000,1548547200
ok,62.32,62.96,61.67,61.67,1680,1548633600
ok,61.67,62.32,61.67,61.67,850,1548720000
ok,61.67,62.32,61.03,61.03,3600,1548806400
ok,61.03,62.32,60.39,61.03,1340,1548892800
ok,61.03,61.67,60.39,61.03,820,1549152000
ok,60.39,61.03,59.75,59.75,610,1549238400
ok,60.39,61.03,59.75,60.39,750,1549324800
ok,59.75,60.39,59.1,59.1,660,1549411200
ok,58.46,59.75,58.46,58.46,950,1549497600
ok,58.46,59.1,57.82,57.82,750,1549756800
ok,57.18,62.32,57.18,62.32,1650,1549843200
ok,64.24,64.24,59.75,62.32,1440,1549929600
ok,64.24,64.24,59.75,59.75,1200,1550016000
ok,59.75,59.75,57.82,58.46,1900,1550102400
ok,58.46,59.1,57.18,59.1,1030,1550361600
ok,58.46,59.1,57.82,57.82,750,1550448000
ok,58.46,59.75,57.82,57.82,990,1550534400
ok,58.46,58.46,57.82,57.82,330,1550620800
ok,57.18,58.46,57.18,57.82,940,1550707200
ok,57.82,59.75,57.18,57.18,1160,1550966400
ok,57.82,58.46,57.18,58.46,620,1551052800
ok,59.1,59.75,57.18,58.46,900,1551139200
ok,57.82,58.46,57.82,57.82,470,1551225600
ok,57.18,58.46,56.53,57.82,930,1551571200
ok,57.82,59.1,57.82,59.1,380,1551744000
ok,58.46,60.39,57.82,60.39,520,1551830400
ok,59.75,60.39,59.1,59.75,1920,1551916800
ok,59.1,59.75,58.46,59.1,630,1552089600
ok,59.1,59.75,58.46,59.1,630,1552176000
ok,59.1,60.39,58.46,58.46,1560,1552262400
ok,59.1,62.96,58.46,62.96,1310,1552348800
ok,62.96,63.6,61.03,61.67,1190,1552435200
ok,61.67,62.96,60.39,62.32,377,1552521600
ok,62.96,62.96,60.39,61.67,551,1552780800
ok,61.03,61.67,60.39,61.03,1750,1552867200
ok,61.03,61.67,60.39,61.03,280,1552953600
ok,60.39,61.67,59.75,61.67,310,1553126400
ok,61.03,61.67,58.46,61.03,930,1553385600
ok,60.39,61.03,59.75,59.75,1210,1553472000
ok,59.1,60.39,59.1,59.75,920,1553558400
ok,59.75,60.39,59.1,59.75,1105,1553644800
ok,59.75,60.39,59.1,59.1,2120,1553731200
ok,59.1,60.39,59.1,59.75,1361,1553990400
ok,59.75,59.75,58.46,59.1,750,1554076800
ok,58.46,59.75,58.46,59.1,820,1554163200
ok,59.1,61.67,58.46,59.1,1380,1554249600
ok,59.1,59.75,58.46,59.1,933,1554336000
ok,59.1,59.75,59.1,59.75,890,1554595200
ok,59.75,60.39,57.82,60.39,1220,1554681600
ok,59.75,59.75,59.1,59.1,400,1554768000
ok,58.46,59.1,58.46,59.1,540,1554854400
ok,58.46,59.1,57.82,58.46,1420,1554940800
ok,57.82,59.1,57.82,58.46,380,1555286400
ok,58.46,59.75,58.46,59.1,770,1555372800
ok,59.1,59.1,57.82,57.82,1160,1555459200
ok,57.18,58.46,57.18,57.82,610,1555545600
ok,57.82,57.82,57.18,57.18,280,1555804800
ok,57.18,58.46,57.18,58.46,630,1555891200
ok,57.82,58.46,57.18,58.46,460,1555977600
ok,57.82,57.82,57.18,57.18,210,1556064000
ok,56.53,57.82,56.53,57.82,760,1556150400
ok,57.18,58.46,55.89,57.18,860,1556409600
ok,56.53,58.46,56.53,58.46,750,1556496000
ok,57.82,59.75,56.53,59.75,590,1556582400
ok,59.1,61.03,59.1,59.1,696,1556755200
ok,59.1,60.39,58.46,59.1,1780,1557014400
ok,58.46,61.03,57.82,60.39,390,1557100800
ok,60.39,62.96,58.46,62.32,1190,1557187200
ok,61.67,61.67,60.39,60.39,1080,1557273600
ok,59.75,60.39,59.75,59.75,260,1557360000
ok,59.75,60.39,59.1,59.75,460,1557619200
ok,59.1,59.75,58.46,59.1,240,1557705600
ok,59.1,60.39,58.46,59.1,2540,1557792000
ok,58.46,59.1,57.82,58.46,380,1557878400
ok,58.46,59.1,58.46,59.1,520,1557964800
ok,59.1,60.39,59.1,59.1,870,1558224000
ok,58.46,59.75,57.82,57.82,750,1558310400
ok,57.82,61.03,57.82,61.03,1790,1558396800
ok,60.39,66.81,59.75,65.53,12494,1558483200
ok,64.24,65.53,59.75,61.03,1280,1558569600
ok,61.03,62.32,60.39,61.03,500,1558828800
ok,60.39,61.03,59.1,59.75,280,1558915200
ok,60.39,60.39,59.1,59.75,620,1559001600
ok,59.1,61.67,59.1,61.67,1550,1559088000
ok,62.32,67.46,62.32,63.6,6252,1559174400
ok,63.6,64.24,62.32,63.6,3130,1559433600
ok,63.6,65.53,60.39,60.39,1810,1559520000
ok,60.39,61.67,60.39,61.67,640,1559606400
ok,61.67,62.32,59.1,59.75,480,1559779200
ok,60.39,61.03,57.82,58.46,9280,1560124800
ok,57.82,62.32,57.82,60.39,1940,1560211200
ok,59.75,61.67,59.75,61.03,3930,1560297600
ok,60.39,61.67,60.39,61.67,1350,1560384000
ok,61.03,61.67,58.46,59.75,1820,1560643200
ok,59.75,60.39,59.1,59.75,1368,1560729600
ok,59.75,61.03,58.46,59.1,670,1560816000
ok,58.46,62.32,58.46,62.32,570,1560902400
ok,61.67,61.67,59.75,59.75,130,1561248000
ok,59.1,59.75,57.82,58.46,1320,1561334400
ok,58.46,59.75,58.46,59.75,420,1561420800
ok,59.1,62.32,58.46,62.32,2060,1561507200
ok,62.32,62.32,58.46,59.75,520,1561593600
ok,57.82,59.1,57.82,58.46,900,1561852800
ok,57.82,59.75,57.82,58.46,440,1561939200
ok,57.82,59.75,57.82,59.1,3220,1562025600
ok,58.46,61.03,57.82,60.39,800,1562112000
ok,59.75,59.75,58.46,59.1,480,1562198400
