s,o,h,l,c,v,t
ok,233.33,253.33,213.33,213.33,104308,1600560000
ok,204.67,204.67,195.33,195.33,44405,1600646400
ok,192.67,192.67,179.33,179.33,20625,1600732800
ok,176.67,186.0,165.33,178.67,125652,1600819200
ok,176.67,187.33,174.0,182.0,51690,1600905600
ok,180.67,184.0,176.67,177.33,31570,1601164800
ok,176.67,176.67,170.67,172.67,24911,1601251200
ok,171.33,176.67,166.67,172.0,48410,1601337600
ok,169.33,176.67,166.67,173.33,34150,1601424000
ok,170.0,178.67,168.67,169.33,28932,1601510400
ok,169.33,169.33,164.67,166.67,31338,1601769600
ok,166.67,169.33,162.67,168.67,26919,1601856000
ok,166.0,180.67,166.0,180.67,31959,1601942400
ok,180.67,193.33,174.0,191.33,67383,1602028800
ok,189.33,193.33,180.0,180.67,65555,1602115200
ok,178.0,183.33,172.67,178.0,24434,1602374400
ok,175.33,176.67,172.67,176.0,21884,1602460800
ok,174.67,175.33,170.67,172.0,21310,1602547200
ok,172.0,172.0,167.33,168.0,18425,1602633600
ok,170.67,174.0,166.67,169.33,15355,1602720000
ok,166.67,170.0,166.67,168.67,6480,1602979200
ok,166.0,171.33,166.0,171.33,7190,1603065600
ok,168.67,176.67,168.67,171.33,19670,1603152000
ok,170.0,172.0,169.33,172.0,6045,1603238400
ok,169.33,173.33,168.0,172.0,7775,1603324800
ok,173.33,173.33,168.0,170.67,8050,1603843200
ok,168.67,172.67,168.67,170.0,11183,1603929600
ok,167.33,171.33,167.33,169.33,16955,1604188800
ok,166.67,171.33,166.67,169.33,7080,1604275200
ok,173.33,173.33,168.67,170.67,10115,1604361600
ok,164.0,173.33,164.0,172.0,7018,1604448000
ok,172.67,174.67,168.67,174.67,25497,1604534400
ok,172.67,180.0,172.67,178.0,34970,1604793600
ok,180.0,180.67,174.67,175.33,24572,1604880000
ok,176.67,176.67,174.0,174.0,14990,1604966400
ok,176.0,176.0,171.33,173.33,11710,1605052800
ok,172.67,174.67,171.33,172.67,5470,1605139200
ok,170.0,172.0,170.0,170.67,17345,1605657600
ok,170.67,175.33,169.33,172.67,21285,1605744000
ok,172.67,175.33,169.33,170.0,20990,1606003200
ok,170.0,170.67,167.33,170.0,24135,1606089600
ok,168.67,174.67,168.67,170.67,17360,1606176000
ok,170.0,182.0,169.33,170.67,14660,1606262400
ok,169.33,172.67,169.33,170.67,13760,1606348800
ok,170.0,172.0,168.67,171.33,28977,1606608000
ok,170.67,176.67,170.67,176.67,21701,1606694400
ok,173.33,182.0,172.67,177.33,26536,1606780800
ok,180.0,184.0,174.0,181.33,67421,1606867200
ok,178.67,186.67,178.67,183.33,67823,1606953600
ok,180.67,184.0,172.67,173.33,25052,1607212800
ok,173.33,182.0,172.0,178.0,15265,1607299200
ok,176.67,184.67,175.33,175.33,19720,1607385600
ok,178.0,187.33,173.33,180.0,39063,1607472000
ok,178.67,194.67,178.67,194.67,113061,1607558400
ok,202.67,206.67,191.33,194.67,53662,1607817600
ok,194.67,196.0,184.0,185.33,39121,1607904000
ok,178.0,192.0,178.0,186.0,34220,1607990400
ok,183.33,194.0,182.0,184.0,15920,1608076800
ok,181.33,186.67,179.33,180.67,16988,1608163200
ok,178.0,178.67,170.0,170.67,24798,1608422400
ok,166.67,178.67,166.67,178.0,19468,1608508800
ok,176.67,188.0,175.33,180.0,22415,1608595200
ok,187.33,187.33,176.67,178.0,10820,1608681600
ok,176.0,180.0,173.33,178.0,8078,1608768000
ok,175.33,180.67,173.33,176.0,8450,1609027200
ok,174.0,176.67,173.33,173.33,7730,1609113600
ok,174.0,180.0,171.33,175.33,15765,1609200000
ok,173.33,175.33,172.0,174.67,6310,1609286400
ok,172.0,176.67,172.0,174.67,6815,1609372800
ok,172.0,178.67,172.0,178.67,11740,1609632000
ok,176.0,178.67,172.67,174.67,6260,1609718400
ok,172.67,181.33,172.67,178.0,9746,1609804800
ok,178.0,178.67,173.33,174.67,15752,1609891200
ok,174.67,181.33,174.67,180.0,17538,1609977600
ok,178.67,181.33,175.33,180.0,7826,1610236800
ok,187.33,187.33,176.67,179.33,7230,1610323200
ok,176.67,180.0,175.33,178.0,13080,1610409600
ok,180.0,180.0,176.0,176.0,15891,1610496000
ok,176.0,180.67,175.33,179.33,17291,1610841600
ok,182.0,184.67,179.33,182.67,36311,1610928000
ok,182.67,186.67,180.0,182.0,39960,1611014400
ok,182.0,188.0,180.67,188.0,42415,1611100800
ok,192.0,194.67,183.33,191.33,58544,1611187200
ok,192.0,201.33,188.67,193.33,47341,1611446400
ok,196.67,196.67,188.0,190.67,24128,1611532800
ok,190.67,191.33,188.0,190.67,22964,1611619200
ok,189.33,190.67,186.0,186.67,16885,1611705600
ok,184.0,188.67,184.0,186.0,10965,1611792000
ok,184.0,184.67,178.67,181.33,24105,1612051200
ok,180.67,186.67,178.67,184.0,5824,1612137600
ok,182.67,192.0,177.33,188.0,22340,1612224000
ok,190.0,192.0,186.67,186.67,32535,1612310400
ok,184.67,193.33,184.67,190.0,45721,1612396800
ok,192.0,205.33,187.33,205.33,97160,1612656000
ok,208.67,210.67,194.67,200.67,69566,1612742400
ok,197.33,200.0,193.33,194.67,21873,1612828800
ok,193.33,196.0,190.67,191.33,17770,1612915200
ok,190.0,194.0,190.0,192.67,13845,1613001600
ok,193.33,193.33,189.33,192.0,17380,1613260800
ok,193.33,201.33,193.33,199.33,43550,1613347200
ok,200.0,200.0,195.33,198.67,18802,1613433600
ok,196.0,198.0,194.0,198.0,17475,1613520000
ok,198.0,203.33,191.33,197.33,38145,1613606400
ok,195.33,213.33,195.33,210.67,93312,1613865600
ok,212.0,212.67,203.33,206.0,63785,1613952000
ok,207.33,222.67,203.33,222.67,172947,1614038400
ok,232.0,232.0,216.0,220.67,43650,1614124800
ok,223.33,223.33,211.33,213.33,43766,1614211200
ok,214.67,214.67,202.67,202.67,35700,1614470400
ok,199.33,212.67,196.67,212.0,34576,1614556800
ok,216.67,216.67,200.67,210.67,38222,1614643200
ok,202.0,214.67,198.67,206.67,38082,1614729600
ok,206.67,224.0,206.67,224.0,118421,1614816000
ok,233.33,233.33,220.67,222.67,94817,1615161600
ok,232.0,232.67,220.0,230.0,68455,1615248000
ok,230.0,249.33,230.0,246.0,134891,1615334400
ok,254.0,254.0,232.0,237.33,104556,1615680000
ok,236.67,244.0,229.33,230.67,55955,1615766400
ok,227.33,235.33,225.33,227.33,18746,1615852800
ok,224.0,241.33,224.0,233.33,26763,1615939200
ok,243.33,243.33,230.0,232.67,35934,1616025600
ok,233.33,237.33,230.0,232.67,19433,1616284800
ok,233.33,236.67,229.33,233.33,37403,1616371200
ok,234.67,244.0,230.67,236.0,42085,1616457600
ok,240.0,240.0,234.67,238.0,28764,1616544000
ok,242.0,242.0,233.33,234.67,36268,1616630400
ok,230.67,235.33,230.67,232.0,11819,1616976000
ok,230.67,234.67,230.67,231.33,19688,1617062400
ok,230.67,236.67,230.0,231.33,30139,1617148800
ok,240.67,240.67,229.33,232.67,29757,1617235200
ok,242.0,242.0,230.0,232.67,21095,1617494400
ok,231.33,234.67,230.67,231.33,16654,1617580800
ok,232.0,240.0,231.33,236.67,59488,1617667200
ok,240.0,242.67,230.0,234.67,45959,1617753600
ok,242.67,242.67,234.67,236.0,26939,1617840000
ok,236.0,236.67,232.67,232.67,27190,1618185600
ok,232.0,236.0,232.0,235.33,15838,1618272000
ok,234.0,247.33,234.0,241.33,65675,1618444800
ok,240.0,246.67,238.0,240.0,47482,1618704000
ok,237.33,254.67,237.33,248.0,76525,1618790400
ok,244.0,266.67,244.0,265.33,135095,1618876800
