s,o,h,l,c,v,t
ok,278.1,294.9,251.0,255.0,73692,1683417600
ok,255.0,270.3,237.0,256.1,24595,1683504000
ok,251.1,261.1,247.0,258.3,10970,1683590400
ok,253.2,255.0,246.2,253.0,9415,1683676800
ok,253.0,253.0,243.1,249.9,7708,1683763200
ok,245.0,246.0,235.0,238.7,13746,1684022400
ok,234.2,249.0,230.0,240.0,14233,1684108800
ok,236.0,244.0,232.0,243.0,8788,1684195200
ok,239.0,250.2,239.0,249.8,10005,1684281600
ok,250.0,263.0,244.0,258.0,14308,1684368000
ok,252.9,260.9,245.1,251.0,15445,1684627200
ok,246.0,255.0,243.1,250.0,6560,1684713600
ok,250.0,263.0,250.0,261.2,10517,1684800000
ok,261.0,265.0,254.1,258.7,10570,1684886400
ok,258.0,263.0,247.0,254.9,17735,1685232000
ok,249.9,252.0,241.8,249.9,6643,1685404800
ok,245.0,249.9,238.2,240.0,6030,1685491200
ok,240.0,246.5,235.6,241.0,7970,1685577600
ok,241.0,259.7,241.0,255.0,7010,1685836800
ok,250.1,265.2,250.1,261.0,18629,1685923200
ok,256.1,273.0,256.1,272.5,13624,1686009600
ok,271.0,291.0,271.0,282.0,27982,1686096000
ok,282.0,291.3,274.1,290.1,29302,1686182400
ok,285.0,316.0,285.0,314.0,24922,1686441600
ok,313.0,333.3,307.0,323.0,31893,1686528000
ok,316.6,323.0,311.0,321.0,21335,1686614400
ok,320.0,333.5,312.0,319.9,26479,1686700800
ok,314.0,330.0,313.0,330.0,25769,1686787200
ok,324.0,330.0,317.0,320.8,13336,1687046400
ok,320.0,351.0,318.0,350.0,38594,1687132800
ok,350.0,350.0,321.0,330.0,11641,1687219200
ok,329.0,333.0,316.2,320.0,16412,1687305600
ok,320.0,326.4,303.0,317.0,15147,1687392000
ok,310.7,320.0,291.0,310.0,25017,1687651200
ok,310.0,316.2,299.0,302.0,7946,1687737600
ok,302.0,330.0,284.2,315.5,20301,1687824000
ok,310.0,319.2,296.5,297.0,14835,1687910400
ok,293.0,308.0,287.7,287.7,8435,1688256000
ok,282.2,295.0,279.0,279.0,8954,1688342400
ok,279.0,291.0,274.1,287.6,9685,1688428800
ok,288.0,288.0,280.3,284.0,8855,1688515200
ok,278.4,281.0,270.0,275.0,11735,1688601600
ok,270.0,280.5,270.0,275.0,5300,1688860800
ok,270.0,280.0,262.0,271.3,16245,1688947200
ok,273.9,280.4,266.1,270.0,17366,1689033600
ok,275.4,290.0,265.1,290.0,7750,1689120000
ok,284.8,295.8,274.5,290.0,5278,1689206400
ok,294.0,294.0,271.5,273.1,6195,1689465600
ok,269.0,282.0,269.0,280.0,5012,1689552000
ok,274.5,295.0,270.1,278.0,10672,1689638400
ok,272.5,275.0,267.2,274.9,5159,1689724800
ok,269.5,279.0,262.7,278.9,11582,1689811200
ok,274.0,281.5,263.3,273.2,7385,1690070400
ok,273.2,288.2,273.2,282.0,16101,1690156800
ok,276.5,291.0,273.2,279.0,8164,1690243200
ok,273.5,284.0,268.2,270.1,7457,1690329600
ok,265.2,281.0,261.2,270.0,6328,1690416000
ok,264.7,270.0,260.0,263.9,7404,1690675200
ok,260.0,264.9,260.0,263.0,2880,1690761600
ok,257.8,265.2,253.2,258.3,4370,1690848000
ok,253.2,267.0,252.0,267.0,4394,1690934400
ok,261.8,268.2,253.8,267.9,5040,1691020800
ok,264.0,264.0,250.0,254.7,8227,1691280000
ok,249.7,270.0,245.0,255.0,4400,1691366400
ok,250.0,255.0,250.0,250.2,5301,1691452800
ok,246.0,270.3,242.1,270.0,5765,1691539200
ok,264.6,275.0,255.1,271.0,5835,1691625600
ok,265.6,265.6,250.1,253.3,3110,1691884800
ok,249.0,257.0,249.0,256.8,4070,1691971200
ok,254.0,267.1,247.0,254.0,10665,1692057600
ok,250.0,259.0,235.3,250.1,3160,1692144000
ok,245.1,270.6,239.9,242.0,7278,1692230400
ok,238.0,259.8,237.2,243.0,7160,1692489600
ok,238.2,251.8,235.0,239.9,4840,1692576000
ok,235.3,260.1,230.7,260.1,5250,1692662400
ok,257.9,258.7,241.0,253.8,6450,1692748800
ok,249.0,270.0,242.0,269.0,5812,1692835200
ok,263.7,263.7,242.1,243.1,5371,1693094400
ok,238.4,247.8,238.0,238.2,3110,1693180800
ok,234.0,239.4,234.0,234.3,4165,1693267200
ok,233.3,239.0,230.5,230.5,3036,1693353600
ok,227.0,235.0,225.0,225.0,2000,1693699200
ok,225.0,239.1,221.2,234.0,2880,1693785600
ok,238.0,238.0,220.0,237.9,1657,1693872000
ok,233.2,236.9,221.0,226.8,3595,1694044800
ok,223.0,231.5,219.4,223.0,2870,1694304000
ok,219.0,244.0,219.0,236.0,4660,1694390400
ok,231.3,231.3,223.0,227.0,1435,1694476800
ok,223.1,240.8,223.1,233.0,5620,1694563200
ok,228.4,228.4,220.5,223.7,1970,1694908800
ok,219.3,228.1,217.1,227.3,1930,1694995200
ok,231.0,240.3,222.2,235.0,2960,1695081600
ok,235.0,258.0,235.0,250.0,14671,1695254400
ok,245.0,265.3,237.1,252.0,11500,1695513600
ok,247.0,262.1,239.7,256.0,10626,1695600000
ok,251.0,269.0,251.0,265.0,13210,1695686400
ok,260.1,261.0,251.1,256.0,11645,1695772800
ok,251.0,252.0,241.0,249.0,11593,1696118400
ok,244.1,250.0,235.2,243.3,3167,1696204800
ok,239.1,245.0,239.1,242.9,4918,1696291200
ok,238.1,247.0,238.1,244.4,4260,1696377600
ok,240.1,260.0,240.1,247.0,8490,1696464000
ok,247.0,247.0,230.1,243.0,7293,1696723200
ok,239.0,243.7,232.0,239.9,3365,1696809600
ok,239.8,240.0,235.4,235.5,3175,1696896000
ok,230.8,239.8,230.8,238.0,3530,1696982400
ok,235.0,238.0,229.3,232.0,2182,1697068800
ok,227.5,230.0,221.0,229.9,7740,1697414400
ok,225.6,230.0,219.1,226.4,4055,1697500800
ok,226.0,232.8,222.1,232.8,3345,1697587200
ok,237.4,241.0,223.2,234.0,1454,1697673600
ok,229.4,231.0,220.6,231.0,3515,1698537600
ok,226.4,228.0,217.5,225.7,1440,1698624000
ok,221.2,225.0,217.3,222.0,3381,1698710400
ok,219.1,228.4,219.0,223.0,2270,1698796800
ok,218.8,223.0,218.7,219.0,1650,1698883200
ok,217.0,221.0,213.1,217.0,2239,1699142400
ok,217.0,238.0,214.0,221.0,3000,1699228800
ok,217.2,225.4,217.1,223.7,1920,1699315200
ok,225.0,226.0,218.1,224.9,3410,1699401600
ok,225.0,230.0,220.8,222.0,2425,1699488000
ok,218.1,227.0,217.0,227.0,2779,1700438400
ok,222.5,224.0,216.6,219.9,3540,1700524800
ok,216.0,235.9,216.0,235.9,2120,1700611200
ok,231.2,236.6,221.0,236.6,5240,1700697600
ok,232.0,252.9,226.0,251.9,14268,1700956800
ok,246.9,266.0,242.0,248.0,7145,1701043200
ok,252.5,272.0,238.0,266.5,9365,1701129600
ok,266.5,261.2,245.0,253.6,11066,1701216000
ok,249.0,249.1,240.0,240.0,5800,1701302400
ok,236.0,237.0,232.0,237.0,6905,1701561600
ok,237.0,241.7,228.2,240.0,2180,1701648000
ok,236.0,240.0,228.0,238.0,4320,1701734400
ok,234.0,241.9,229.4,238.0,4105,1701820800
ok,233.4,247.5,232.1,242.7,9660,1701907200
ok,245.0,259.9,245.0,259.9,3687,1702166400
ok,265.0,265.0,244.0,253.0,11290,1702252800
ok,249.0,276.0,246.4,273.9,40394,1702339200
ok,274.0,286.0,268.6,285.6,31247,1702425600
ok,279.9,284.0,273.5,279.1,13767,1702512000
ok,275.0,307.0,269.0,306.5,69054,1702771200
ok,307.0,309.0,288.0,297.0,29751,1702857600
ok,295.0,298.7,281.0,293.0,31035,1702944000
ok,294.0,322.3,285.0,312.1,28555,1703030400
ok,313.0,315.0,295.0,300.0,19685,1703116800
ok,301.0,312.0,295.0,295.0,36314,1703376000
ok,300.9,312.9,283.0,295.0,31551,1703635200
ok,292.3,306.0,292.3,295.9,20613,1703721600
ok,291.5,312.1,283.3,283.3,32788,1704067200
ok,281.0,293.0,276.0,280.0,26565,1704153600
ok,275.1,296.0,275.1,293.1,15523,1704240000
ok,297.1,318.0,295.3,309.0,90957,1704326400
ok,315.0,323.0,306.0,314.0,57451,1704585600
ok,315.0,339.0,310.0,333.5,80247,1704672000
ok,340.1,347.0,317.1,321.0,26567,1704758400
ok,322.0,328.4,316.0,320.4,31980,1704844800
ok,315.1,339.6,315.0,338.0,56521,1704931200
ok,344.0,371.8,339.1,358.5,80396,1705190400
ok,362.0,394.3,356.2,394.3,100781,1705363200
ok,402.1,424.4,367.5,380.0,105531,1705449600
ok,373.0,393.0,372.0,387.0,43272,1705536000
ok,379.3,398.0,371.0,378.9,47026,1705795200
ok,371.5,378.0,352.2,354.0,30610,1705881600
ok,347.0,370.0,344.0,355.0,20497,1705968000
ok,348.0,367.0,348.0,354.6,15474,1706054400
ok,361.6,387.0,347.4,374.1,120451,1706140800
ok,369.1,387.0,369.1,376.0,27796,1706400000
ok,369.0,404.0,368.5,400.0,80935,1706486400
ok,400.0,431.0,397.0,429.9,102197,1706572800
ok,438.0,438.5,423.0,430.0,50071,1706659200
ok,421.4,432.4,406.7,426.8,44831,1706745600
ok,430.0,430.0,413.1,420.0,75448,1707004800
ok,415.0,440.0,415.0,429.0,22130,1707091200
ok,425.0,442.6,425.0,432.3,17495,1707177600
ok,440.0,449.0,422.0,446.0,53327,1707264000
ok,437.1,454.0,428.4,430.0,29947,1707350400
ok,425.0,435.3,421.5,424.0,33668,1707609600
ok,416.0,434.0,409.0,425.0,30689,1707696000
ok,418.0,450.0,418.0,426.0,37503,1707782400
ok,420.0,438.0,420.0,435.0,30242,1707868800
ok,442.0,451.9,427.0,450.0,60627,1707955200
ok,450.0,450.0,423.0,430.0,29050,1708214400
ok,421.4,428.0,414.1,414.2,24983,1708387200
ok,406.5,422.4,401.8,410.0,16970,1708473600
ok,401.8,427.0,395.1,421.0,18590,1708560000
ok,412.6,422.0,398.0,398.0,29407,1708819200
ok,405.9,405.9,393.1,396.0,5732,1708905600
ok,388.1,405.0,388.0,388.0,12430,1708992000
ok,385.1,397.0,385.1,395.0,11172,1709078400
ok,402.9,402.9,370.1,371.0,9795,1709164800
ok,378.0,378.0,362.7,370.0,12450,1709424000
ok,377.4,391.6,377.4,391.6,70,1709510400
ok,393.0,393.0,375.6,378.0,14331,1709596800
ok,372.1,402.9,365.0,402.9,25629,1709683200
ok,396.2,401.0,382.0,400.0,12005,1709769600
ok,400.6,408.0,396.0,404.9,11557,1710028800
ok,397.1,409.0,397.1,403.0,25069,1710201600
ok,411.0,411.0,394.1,399.8,14584,1710288000
ok,392.0,400.9,386.1,390.0,7439,1710374400
ok,384.1,390.0,375.1,376.3,12192,1710633600
ok,375.2,384.0,375.0,384.0,6361,1710720000
ok,381.0,390.0,375.4,380.0,4922,1710806400
ok,376.2,384.1,376.0,376.0,6070,1710892800
ok,372.0,391.0,372.0,376.0,4225,1710979200
