s,o,h,l,c,v,t
ok,373.2,410.5,373.2,410.5,120801,1696982400
ok,418.7,451.5,402.0,440.1,53234,1697068800
ok,431.3,431.3,396.1,407.5,71195,1697414400
ok,407.5,432.0,407.5,429.6,40342,1697500800
ok,425.0,460.0,416.5,450.1,24712,1697587200
ok,450.1,457.0,441.1,446.8,32579,1697673600
ok,437.9,437.9,421.1,431.5,22589,1698537600
ok,423.1,454.0,423.1,441.5,20413,1698624000
ok,440.0,445.2,433.1,442.0,10300,1698710400
ok,435.0,448.8,435.0,438.0,12368,1698796800
ok,431.0,436.0,431.0,434.0,9660,1698883200
ok,435.0,435.0,415.0,424.8,16710,1699142400
ok,420.0,439.0,417.6,427.0,12244,1699228800
ok,420.1,445.0,420.1,431.1,14060,1699315200
ok,439.5,468.0,439.0,460.0,36200,1699401600
ok,463.0,465.0,446.7,452.0,17631,1699488000
ok,445.0,474.0,443.0,462.0,26462,1700438400
ok,459.0,464.8,446.0,462.0,15340,1700524800
ok,452.9,492.0,452.9,484.5,21333,1700611200
ok,475.0,520.0,471.0,515.0,24561,1700697600
ok,510.0,534.0,501.0,531.0,28973,1700956800
ok,520.4,530.0,497.1,515.2,54021,1701043200
ok,505.0,525.0,504.9,514.0,18057,1701129600
ok,514.0,545.0,503.9,523.0,16010,1701216000
ok,533.4,533.4,499.8,501.2,22157,1701302400
ok,500.0,508.0,492.0,500.0,12907,1701561600
ok,495.0,515.0,493.0,506.0,17551,1701648000
ok,500.0,510.0,485.2,486.0,29374,1701734400
ok,495.0,504.0,481.0,485.0,15690,1701820800
ok,475.3,512.0,475.3,507.0,31801,1701907200
ok,510.0,530.0,510.0,516.0,4610,1702166400
ok,526.0,536.5,506.0,513.5,39771,1702252800
ok,510.0,535.3,506.0,529.5,57697,1702339200
ok,539.0,573.0,522.0,554.1,48659,1702425600
ok,544.0,575.2,544.0,555.0,19222,1702512000
ok,544.0,575.0,534.0,575.0,25631,1702771200
ok,570.0,579.0,550.0,553.0,46249,1702857600
ok,550.1,572.0,545.0,568.9,37834,1702944000
ok,580.2,605.0,563.0,592.0,53369,1703030400
ok,581.0,651.2,581.0,651.0,71420,1703116800
ok,655.0,716.1,642.1,687.0,69213,1703376000
ok,700.7,701.0,661.2,685.0,53036,1703635200
ok,685.0,707.0,666.2,704.9,54518,1703721600
ok,704.9,747.6,686.0,701.0,40322,1704067200
ok,687.0,707.8,670.1,707.8,71934,1704153600
ok,695.0,720.1,673.0,720.1,35844,1704240000
ok,720.0,775.0,706.0,775.0,76502,1704326400
ok,782.0,805.8,745.0,795.6,46744,1704585600
ok,779.7,786.4,762.3,777.0,39975,1704672000
ok,782.0,782.0,736.0,736.0,77066,1704758400
ok,722.0,752.0,715.0,728.4,26029,1704844800
ok,728.4,742.9,707.0,721.0,29185,1704931200
ok,715.0,746.0,715.0,736.0,25615,1705190400
ok,746.0,759.9,721.7,750.0,31796,1705363200
ok,765.0,765.0,719.1,736.0,27012,1705449600
ok,722.0,729.0,708.0,715.0,20185,1705536000
ok,722.0,749.9,709.0,709.4,13505,1705795200
ok,700.1,720.0,690.1,710.0,14210,1705881600
ok,696.0,722.0,689.0,700.0,13159,1705968000
ok,687.1,714.0,685.0,700.0,20819,1706054400
ok,686.0,699.0,680.0,699.0,13068,1706140800
ok,700.0,710.0,683.0,701.0,8004,1706400000
ok,689.0,715.0,689.0,704.9,9685,1706486400
ok,692.0,734.0,692.0,707.0,12962,1706572800
ok,700.0,721.0,696.0,696.0,15063,1706659200
ok,688.0,696.0,682.1,684.0,10476,1706745600
ok,690.0,691.5,671.1,673.0,8927,1707004800
ok,670.0,689.0,670.0,683.0,5566,1707091200
ok,685.0,700.0,670.0,689.0,6864,1707177600
ok,702.7,702.7,682.0,692.0,14062,1707264000
ok,690.0,705.0,686.1,700.0,11615,1707350400
ok,710.0,726.0,693.1,703.0,8934,1707609600
ok,692.0,709.0,692.0,707.0,8475,1707696000
ok,693.2,730.3,693.2,721.8,39381,1707782400
ok,734.0,736.2,712.1,730.0,28088,1707868800
ok,730.0,739.0,705.0,715.0,12122,1707955200
ok,700.7,715.0,692.0,696.0,13125,1708214400
ok,696.0,713.0,692.0,708.0,17501,1708387200
ok,720.0,720.0,690.7,706.0,16385,1708473600
ok,699.0,700.0,681.0,700.0,7472,1708560000
ok,700.0,700.0,670.0,687.0,7718,1708819200
ok,690.0,700.0,663.6,690.0,11450,1708905600
ok,676.2,690.0,668.0,689.7,2090,1708992000
ok,676.0,689.0,667.5,687.0,10772,1709078400
ok,673.4,683.3,658.0,670.0,8562,1709164800
ok,657.1,661.0,648.6,654.0,3505,1709424000
ok,667.0,693.6,667.0,693.0,5300,1709510400
ok,706.8,706.8,663.0,667.0,5519,1709596800
ok,655.0,677.0,654.3,672.0,8096,1709683200
ok,680.0,680.0,658.0,675.0,7320,1709769600
ok,663.6,679.0,663.6,678.0,4150,1710028800
ok,672.1,702.9,672.0,702.9,15680,1710201600
ok,690.3,704.0,690.0,703.0,9778,1710288000
ok,700.0,713.7,690.0,713.7,12900,1710374400
ok,700.0,708.0,688.0,700.0,10828,1710633600
ok,687.0,700.0,680.0,683.6,4205,1710720000
ok,681.0,751.9,680.1,719.2,24790,1710806400
ok,706.0,715.0,694.1,706.0,4156,1710892800
ok,720.1,720.1,683.4,690.0,3545,1710979200
ok,677.0,699.8,675.2,680.0,3435,1711324800
ok,670.0,687.5,670.0,686.5,3552,1711411200
ok,675.0,688.5,673.0,687.0,2426,1711497600
