s,o,h,l,c,v,t
ok,100.0,110.0,100.0,110.0,150,1640476800
ok,110.0,121.0,110.0,121.0,184,1640563200
ok,119.3,133.1,119.3,133.1,160,1640649600
ok,133.1,146.4,133.1,146.4,137,1640736000
ok,144.6,161.0,144.6,161.0,239,1641081600
ok,164.2,177.1,164.2,177.1,217,1641168000
ok,177.1,194.8,177.1,194.8,212,1641254400
ok,198.6,214.2,198.6,214.2,315,1641340800
ok,214.2,235.6,214.2,235.6,445,1641427200
ok,240.3,259.1,240.3,259.1,20,1641686400
ok,259.1,285.0,259.1,285.0,440,1641772800
ok,290.7,313.5,290.7,313.5,556,1641859200
ok,309.6,344.8,309.6,344.8,1630,1641945600
ok,351.6,379.2,351.6,379.2,2675,1642032000
ok,379.2,417.1,386.7,417.1,12392,1642291200
ok,425.4,458.8,425.4,458.8,240409,1642377600
ok,467.9,503.0,441.0,496.0,357427,1642464000
ok,505.0,505.0,472.0,477.0,148537,1642550400
ok,475.0,480.0,458.7,479.0,135601,1642636800
ok,488.0,488.0,465.9,470.0,86480,1642896000
ok,465.0,470.0,450.1,455.0,102924,1642982400
ok,455.0,461.0,440.0,447.0,71995,1643068800
ok,440.0,451.2,435.0,437.0,64379,1643155200
ok,432.0,452.0,432.0,441.0,36998,1643241600
ok,449.0,466.0,446.0,461.0,64363,1643500800
ok,470.0,479.0,448.0,448.1,43054,1643587200
ok,441.0,463.0,441.0,455.0,59724,1643673600
ok,455.0,466.0,451.0,451.0,74742,1643846400
ok,450.0,452.1,445.0,445.8,34341,1644105600
ok,440.1,450.0,440.0,450.0,38037,1644192000
ok,459.0,467.0,437.0,441.1,46197,1644278400
ok,438.0,441.0,433.1,436.3,33968,1644364800
ok,430.0,447.7,430.0,431.0,32370,1644451200
ok,425.0,425.0,407.0,409.0,47777,1644710400
ok,401.0,419.1,401.0,406.0,24853,1644796800
ok,405.0,423.1,400.2,422.0,29078,1644883200
ok,422.0,423.0,408.1,409.0,23013,1644969600
ok,409.0,418.4,403.3,418.0,23187,1645056000
ok,409.7,416.2,397.0,410.0,27972,1645315200
ok,410.0,420.0,405.1,414.0,37810,1645401600
ok,405.8,440.0,405.8,427.0,97982,1645488000
ok,430.0,465.9,427.1,452.0,126540,1645574400
ok,452.0,455.0,431.0,435.0,52331,1645660800
ok,435.0,443.0,422.0,428.7,48473,1645920000
ok,428.0,453.0,415.0,415.2,52097,1646006400
ok,407.2,420.1,401.0,403.0,31844,1646179200
ok,403.0,409.0,398.0,400.0,27820,1646524800
ok,408.0,408.0,375.0,389.0,68379,1646611200
ok,387.0,393.0,374.9,378.0,26126,1646784000
ok,378.0,401.5,370.5,394.5,32450,1646870400
ok,400.0,418.0,395.0,418.0,36795,1647129600
ok,420.0,420.0,400.0,408.0,13178,1647216000
ok,400.0,416.0,400.0,403.0,26137,1647302400
ok,396.1,404.0,394.1,399.9,19150,1647388800
ok,395.0,404.0,391.2,391.4,22386,1647734400
ok,390.0,406.8,387.1,404.0,29067,1647820800
ok,412.0,412.0,397.0,400.0,21203,1647907200
ok,400.0,405.0,392.1,395.0,14092,1647993600
ok,395.0,397.8,387.1,390.0,25713,1648080000
ok,385.0,390.0,378.0,378.1,21284,1648339200
ok,374.0,383.0,372.0,372.0,26946,1648425600
ok,372.0,385.0,367.0,368.0,17649,1648512000
ok,362.1,380.0,362.1,380.0,16223,1648598400
ok,380.0,385.9,370.7,371.0,12636,1648684800
ok,371.0,374.0,365.0,365.4,15135,1648944000
ok,360.1,370.0,360.0,361.0,15069,1649030400
ok,355.3,361.0,345.0,348.0,30439,1649116800
ok,342.1,347.9,336.0,337.6,22140,1649203200
ok,332.0,348.0,332.0,343.0,21036,1649289600
ok,343.0,350.0,329.0,329.0,22565,1649635200
ok,325.0,327.0,315.9,318.1,18704,1649721600
ok,312.2,327.0,307.1,317.0,17952,1649808000
ok,318.0,322.0,305.5,307.0,12627,1650153600
ok,302.2,306.9,293.0,293.0,19079,1650240000
ok,287.2,310.0,286.0,294.0,21022,1650326400
ok,290.1,298.0,285.2,289.0,13265,1650412800
ok,285.0,298.9,278.0,291.0,13285,1650499200
ok,296.8,320.1,293.0,314.0,18912,1650758400
ok,314.0,320.0,303.0,306.0,29117,1650844800
ok,306.0,310.0,299.0,300.0,10899,1650931200
ok,294.0,311.0,294.0,302.9,11404,1651017600
ok,297.1,305.0,297.0,297.0,17856,1651104000
ok,295.0,298.1,287.0,290.0,12336,1651449600
ok,290.0,294.9,280.0,285.0,17738,1651622400
ok,279.4,288.0,272.8,273.0,15544,1651708800
ok,267.6,275.0,264.0,275.0,15570,1651968000
ok,275.0,287.6,270.5,283.0,15266,1652054400
ok,283.0,295.3,280.0,295.0,9540,1652140800
ok,300.0,321.0,296.0,319.9,23420,1652227200
ok,322.0,324.3,304.5,305.6,23602,1652313600
ok,299.6,300.0,285.0,290.0,17808,1652745600
ok,284.4,300.9,276.4,297.0,18345,1652832000
ok,292.0,302.0,285.0,287.0,13280,1652918400
ok,283.4,291.0,283.1,283.1,10805,1653004800
ok,280.2,287.0,280.2,283.0,7849,1653264000
ok,278.0,290.7,278.0,289.7,7495,1653350400
ok,284.0,295.3,284.0,286.0,14519,1653436800
ok,281.3,290.0,281.3,288.0,5137,1653523200
ok,283.1,289.0,280.0,283.9,15899,1653609600
ok,280.0,285.0,274.5,278.0,11925,1653868800
ok,274.0,275.0,270.6,272.0,15093,1653955200
ok,266.7,282.0,266.7,273.0,8010,1654041600
ok,268.0,280.0,268.0,268.0,6463,1654128000
ok,266.4,273.0,262.9,264.0,9360,1654214400
ok,260.0,275.0,259.7,260.0,11102,1654473600
ok,256.2,263.0,252.2,252.3,7845,1654560000
ok,249.0,266.0,247.1,263.8,12669,1654646400
ok,262.0,265.0,257.1,258.0,10632,1654732800
ok,253.0,263.0,253.0,255.0,11977,1654819200
ok,251.0,260.0,250.0,252.1,4780,1655078400
ok,247.5,254.0,237.0,240.0,14816,1655164800
