s,o,h,l,c,v,t
ok,232.0,255.2,232.0,255.2,680,1687046400
ok,260.3,280.7,260.3,280.7,9227,1687132800
ok,286.3,297.8,267.1,270.2,39591,1687219200
ok,275.0,275.0,255.3,255.4,26510,1687305600
ok,253.0,260.0,246.2,247.2,13557,1687392000
ok,242.3,257.0,235.7,252.0,18370,1687651200
ok,252.0,260.0,246.7,248.0,9432,1687737600
ok,250.0,250.7,243.6,247.3,15028,1687824000
ok,243.0,251.0,243.0,251.0,12380,1687910400
ok,251.0,252.0,241.9,247.1,8642,1688256000
ok,242.8,247.8,238.0,241.9,7620,1688342400
ok,237.1,251.6,235.0,251.6,4536,1688428800
ok,246.6,246.6,232.3,240.7,9616,1688515200
ok,240.0,240.0,225.5,237.0,7785,1688601600
ok,234.0,237.0,230.0,237.0,7452,1688860800
ok,232.6,235.0,227.1,227.3,5025,1688947200
ok,223.0,231.0,220.3,225.0,5420,1689033600
ok,221.2,234.0,221.1,230.0,12039,1689120000
ok,230.0,234.0,225.8,226.0,4160,1689206400
ok,222.0,226.0,221.9,226.0,2868,1689465600
ok,221.6,234.4,221.6,229.5,5821,1689552000
ok,225.1,234.0,225.1,227.8,4660,1689638400
ok,225.1,232.7,225.1,232.7,4060,1689724800
ok,228.1,236.6,224.0,233.3,8052,1689811200
ok,228.8,241.0,226.1,240.4,6190,1690070400
ok,238.0,249.0,228.8,240.0,8370,1690156800
ok,244.8,249.4,230.1,238.0,5154,1690243200
ok,233.5,238.0,231.1,237.0,5390,1690329600
ok,232.3,241.0,228.4,234.0,11928,1690416000
ok,238.0,238.0,226.5,237.0,4065,1690675200
ok,232.3,237.0,230.0,230.0,4160,1690761600
ok,226.1,232.0,224.4,224.4,5149,1690848000
ok,223.1,229.5,223.1,224.9,3087,1690934400
ok,222.1,228.4,218.1,227.0,3583,1691020800
ok,222.5,222.5,215.2,219.0,2760,1691280000
ok,215.0,224.1,211.3,224.1,9805,1691366400
ok,219.7,219.7,213.3,218.0,3010,1691452800
ok,213.7,221.0,209.0,221.0,3050,1691539200
ok,216.6,218.0,212.4,215.0,2380,1691625600
ok,215.0,226.0,210.0,222.0,6103,1691884800
ok,218.0,218.0,209.9,215.0,4390,1691971200
ok,210.7,210.7,205.0,209.9,4360,1692057600
ok,205.8,206.0,195.3,204.0,11061,1692144000
ok,200.0,204.1,194.0,195.0,6473,1692230400
ok,191.2,196.8,189.0,189.1,2630,1692489600
ok,186.0,189.7,174.0,177.9,9764,1692576000
ok,175.0,181.0,169.0,179.0,11235,1692662400
ok,175.5,193.4,175.5,193.0,5716,1692748800
ok,196.8,196.8,178.2,183.0,7035,1692835200
ok,181.0,182.0,172.6,173.9,5293,1693094400
ok,170.5,182.0,165.2,175.7,3666,1693180800
ok,172.2,179.1,171.0,178.4,2420,1693267200
ok,175.0,178.0,172.5,178.0,3420,1693353600
ok,174.5,179.5,171.1,172.1,3213,1693699200
ok,170.0,181.0,169.0,181.0,2521,1693785600
ok,177.4,185.5,177.4,182.5,2158,1693872000
ok,178.9,182.0,173.1,177.8,2060,1694044800
ok,177.0,195.5,174.7,195.5,11079,1694304000
ok,192.0,215.0,188.5,215.0,21704,1694390400
ok,210.7,228.0,210.7,221.8,12813,1694476800
ok,217.4,230.7,211.0,230.5,15611,1694563200
ok,226.0,226.0,207.5,211.0,16666,1694908800
ok,207.0,230.5,207.0,227.4,17359,1694995200
ok,224.0,250.1,224.0,250.1,53540,1695081600
ok,255.0,275.1,252.0,263.0,34003,1695254400
ok,257.8,261.0,242.8,256.0,34621,1695513600
ok,250.9,272.2,245.9,258.0,22465,1695600000
ok,263.1,283.8,253.1,283.8,60611,1695686400
