s,o,h,l,c,v,t
ok,222.0,244.2,199.8,225.0,139185,1695600000
ok,225.0,247.5,220.5,247.5,62839,1695686400
ok,252.4,272.2,252.4,272.0,46297,1695772800
ok,270.0,270.0,244.8,244.8,53436,1696118400
ok,240.0,240.0,225.1,232.0,73085,1696204800
ok,228.0,245.0,227.5,233.0,50026,1696291200
ok,230.0,241.0,230.0,234.0,23887,1696377600
ok,232.0,234.0,228.1,231.0,20058,1696464000
ok,226.9,227.7,219.0,221.0,36803,1696723200
ok,218.0,228.5,215.1,221.1,29630,1696809600
ok,219.0,225.0,217.1,221.0,31543,1696896000
ok,217.5,227.0,217.2,224.4,23622,1696982400
ok,220.0,223.0,215.2,217.9,19981,1697068800
ok,214.0,224.0,204.0,207.2,27787,1697414400
ok,204.0,214.0,202.0,204.0,15790,1697500800
ok,201.1,210.0,201.1,207.0,8589,1697587200
ok,204.2,209.2,201.0,201.8,15772,1697673600
ok,198.0,201.9,193.0,194.0,17340,1698537600
ok,193.0,199.9,190.3,199.0,13572,1698624000
ok,195.1,195.8,192.0,195.0,7120,1698710400
ok,192.0,197.0,191.0,194.8,7495,1698796800
ok,191.0,192.0,184.0,186.0,10813,1698883200
ok,184.0,186.0,182.6,184.0,10675,1699142400
ok,186.0,193.9,183.1,191.7,10575,1699228800
ok,190.1,197.0,187.2,194.9,6590,1699315200
ok,192.0,195.8,188.5,194.0,12885,1699401600
ok,192.0,194.0,188.0,190.0,11530,1699488000
ok,191.0,195.0,187.0,187.3,7208,1700438400
ok,187.0,187.0,178.0,180.0,7616,1700524800
ok,176.5,193.8,175.0,193.3,18628,1700611200
ok,189.5,203.0,185.9,201.5,19022,1700697600
ok,198.0,210.0,195.0,204.6,25307,1700956800
ok,201.0,207.0,197.0,199.0,25439,1701043200
ok,200.0,213.2,198.0,209.0,17176,1701129600
ok,209.0,213.0,200.9,200.9,38005,1701216000
ok,200.0,204.0,191.7,196.0,14706,1701302400
ok,195.0,204.0,192.4,202.5,32493,1701561600
ok,199.1,212.1,199.1,208.0,29146,1701648000
ok,205.2,209.0,199.0,199.6,13131,1701734400
ok,197.1,205.0,197.1,203.9,10953,1701820800
ok,199.9,216.4,199.9,210.0,26063,1701907200
ok,214.0,222.0,211.6,220.0,4700,1702166400
ok,221.0,223.0,210.0,216.0,32962,1702252800
