s,o,h,l,c,v,t
ok,270.0,275.4,243.0,243.0,69350,1688515200
ok,238.2,238.2,218.7,218.7,26946,1688601600
ok,214.4,226.0,197.9,218.1,263768,1688860800
ok,218.1,218.1,208.0,209.1,82952,1688947200
ok,209.0,210.4,205.0,206.1,46920,1689033600
ok,206.9,220.0,202.8,219.5,77758,1689120000
ok,217.0,223.5,207.6,208.6,76665,1689206400
ok,212.0,212.7,205.0,207.5,44573,1689465600
ok,206.0,214.0,204.1,211.5,49975,1689552000
ok,211.5,214.0,211.2,211.3,41978,1689638400
ok,211.0,212.0,207.4,208.0,38450,1689724800
ok,205.3,228.8,205.3,217.0,87926,1689811200
ok,215.0,224.0,215.0,220.0,76728,1690070400
ok,217.0,235.5,217.0,225.0,117096,1690156800
ok,224.4,235.0,222.0,230.0,68437,1690243200
ok,230.0,230.1,220.0,222.0,63411,1690329600
ok,222.0,225.0,215.1,218.0,52702,1690416000
ok,213.7,222.0,210.0,210.9,37013,1690675200
ok,210.0,218.9,207.5,209.5,55013,1690761600
ok,208.1,216.0,206.2,206.2,42913,1690848000
ok,205.6,211.1,205.6,208.0,28714,1690934400
ok,209.5,211.3,206.0,207.0,41739,1691020800
ok,202.9,214.0,200.2,202.0,41679,1691280000
ok,202.0,205.9,198.3,200.0,51751,1691366400
ok,200.0,202.0,193.2,194.0,38481,1691452800
ok,191.1,201.0,189.0,200.1,43607,1691539200
ok,196.5,204.0,195.4,199.0,42298,1691625600
ok,196.0,196.0,191.2,192.1,37934,1691884800
ok,192.0,195.9,190.0,190.5,30083,1691971200
ok,190.0,190.0,183.0,183.4,44990,1692057600
ok,182.6,185.0,179.0,179.2,22557,1692144000
ok,182.0,184.9,179.0,180.0,22438,1692230400
ok,180.0,187.0,173.6,173.6,21024,1692489600
ok,173.0,173.0,156.4,165.1,58531,1692576000
ok,162.0,179.0,162.0,178.3,24115,1692662400
ok,176.7,183.6,172.5,182.0,31189,1692748800
ok,180.0,182.0,170.6,171.0,34492,1692835200
ok,174.0,174.0,163.1,164.1,29768,1693094400
ok,163.0,170.0,163.0,165.5,16631,1693180800
ok,164.2,168.0,163.0,166.0,10508,1693267200
ok,163.0,169.0,163.0,164.3,14058,1693353600
ok,163.0,163.0,159.0,160.0,26024,1693699200
ok,159.0,165.0,157.0,164.2,13404,1693785600
ok,164.5,165.0,160.0,161.1,8592,1693872000
ok,159.0,162.3,159.0,162.3,17335,1694044800
ok,160.0,171.0,159.3,164.0,21435,1694304000
ok,161.0,175.0,161.0,171.9,30653,1694390400
ok,172.0,172.0,166.2,166.2,17835,1694476800
ok,163.1,175.4,163.1,175.0,26141,1694563200
ok,175.0,175.0,165.0,167.0,26541,1694908800
ok,164.0,169.9,161.3,167.0,14326,1694995200
ok,170.3,179.5,165.1,179.5,34798,1695081600
ok,179.5,192.8,178.5,188.0,86981,1695254400
ok,188.0,191.0,180.0,184.0,58233,1695513600
ok,181.0,189.0,178.0,181.1,30282,1695600000
ok,181.1,195.0,181.1,191.6,62508,1695686400
ok,194.1,194.1,181.5,188.0,64132,1695772800
ok,189.0,189.0,171.5,177.0,58511,1696118400
ok,175.0,187.0,170.6,181.7,34890,1696204800
ok,178.1,180.1,175.0,177.5,19636,1696291200
ok,175.0,186.5,175.0,180.0,20286,1696377600
ok,177.0,182.0,175.4,179.0,20970,1696464000
ok,176.0,178.0,171.1,172.5,31350,1696723200
ok,172.0,175.0,168.9,174.1,19490,1696809600
ok,170.7,179.9,167.4,168.3,22985,1696896000
ok,166.7,174.4,166.7,170.0,24426,1696982400
ok,169.0,173.4,167.0,169.5,29833,1697068800
ok,166.3,168.0,163.1,165.0,24347,1697414400
ok,163.0,173.3,163.0,166.9,17010,1697500800
ok,165.1,170.9,165.1,169.0,15002,1697587200
ok,166.1,170.0,163.7,167.9,16169,1697673600
ok,164.7,169.5,162.0,163.0,16730,1698537600
ok,160.4,165.0,160.4,162.0,23152,1698624000
ok,161.0,164.0,160.4,162.9,8336,1698710400
ok,164.0,164.0,158.5,160.2,24687,1698796800
ok,161.0,163.0,156.7,157.0,16831,1698883200
ok,156.0,157.0,152.0,153.0,22041,1699142400
ok,150.0,157.0,150.0,155.0,12755,1699228800
ok,152.3,162.2,152.3,159.0,17827,1699315200
ok,156.0,161.0,156.0,160.2,7265,1699401600
ok,157.3,160.0,155.4,156.0,10135,1699488000
ok,156.0,160.5,153.0,154.6,16820,1700438400
ok,152.2,154.0,149.6,151.5,13983,1700524800
ok,150.0,158.0,149.0,158.0,10768,1700611200
ok,158.0,160.0,153.0,159.9,12918,1700697600
ok,156.8,170.0,156.8,168.9,35639,1700956800
ok,169.0,177.0,165.1,166.5,27810,1701043200
ok,166.0,170.0,163.3,168.0,20036,1701129600
ok,168.0,174.4,163.1,166.0,24342,1701216000
ok,163.0,167.2,160.2,166.0,18671,1701302400
ok,163.0,164.8,160.1,164.8,10065,1701561600
ok,161.6,168.5,161.6,166.0,25520,1701648000
ok,169.3,169.3,161.9,164.0,15325,1701734400
ok,160.8,167.0,160.8,166.0,10650,1701820800
ok,169.3,174.1,163.0,174.0,53440,1701907200
ok,177.0,190.0,177.0,188.0,13646,1702166400
ok,190.0,191.7,176.0,182.0,107894,1702252800
ok,180.0,200.0,178.5,198.0,134953,1702339200
ok,201.0,202.9,187.0,191.5,92825,1702425600
ok,194.0,201.2,185.5,197.9,86893,1702512000
ok,194.0,213.1,186.5,212.0,144136,1702771200
ok,213.1,216.2,200.0,202.2,146485,1702857600
ok,198.2,210.0,198.2,206.2,98865,1702944000
ok,204.5,218.0,204.5,212.0,160725,1703030400
ok,216.2,216.2,202.0,204.0,102576,1703116800
ok,200.0,212.0,199.1,204.0,115113,1703376000
ok,205.0,210.0,196.5,199.0,107868,1703635200
ok,196.0,210.0,196.0,202.2,76068,1703721600
ok,202.2,207.0,196.0,197.0,77379,1704067200
ok,200.0,200.0,190.2,192.0,53823,1704153600
ok,190.0,205.0,190.0,202.0,79414,1704240000
ok,202.0,209.1,200.6,203.0,105154,1704326400
ok,207.0,218.2,200.0,212.0,221098,1704585600
ok,212.0,233.2,211.0,233.2,290067,1704672000
ok,237.8,254.0,228.0,236.0,334224,1704758400
ok,237.0,244.0,228.1,232.0,160810,1704844800
ok,235.0,246.9,229.0,242.0,193739,1704931200
ok,243.0,250.9,237.0,239.0,163087,1705190400
ok,243.0,260.1,238.0,243.5,204019,1705363200
ok,248.3,248.3,226.5,226.9,226218,1705449600
ok,223.0,249.1,220.0,242.0,231430,1705536000
ok,242.0,254.8,238.2,238.9,191038,1705795200
ok,235.0,247.7,231.0,233.0,106746,1705881600
ok,229.1,239.9,229.1,233.9,64694,1705968000
ok,229.3,239.0,228.0,228.3,69439,1706054400
ok,225.0,234.5,225.0,226.2,52092,1706140800
ok,229.0,234.0,226.1,230.0,48830,1706400000
ok,234.0,238.0,228.0,228.0,73028,1706486400
ok,230.0,239.7,230.0,238.5,99084,1706572800
ok,236.5,241.5,229.5,231.0,64527,1706659200
ok,230.0,232.0,223.2,223.9,75948,1706745600
ok,220.0,227.0,220.0,222.0,34108,1707004800
ok,226.4,226.4,220.0,222.5,49186,1707091200
ok,220.0,229.2,218.2,223.0,33751,1707177600
ok,222.1,232.3,222.1,229.8,54955,1707264000
ok,233.0,242.9,226.0,238.0,154308,1707350400
ok,242.5,247.0,236.3,236.3,146754,1707609600
ok,236.3,245.0,236.1,242.9,74376,1707696000
ok,239.0,247.7,234.3,238.5,176137,1707782400
ok,234.0,246.9,234.0,237.5,63533,1707868800
ok,233.5,245.0,233.5,238.1,99332,1707955200
ok,238.1,242.0,230.0,231.0,84375,1708214400
ok,227.0,233.0,226.1,228.0,81286,1708387200
ok,224.3,232.5,224.0,225.2,53393,1708473600
ok,221.0,234.4,221.0,221.0,78756,1708560000
ok,221.0,225.0,215.1,216.0,56718,1708819200
ok,220.3,223.0,214.1,222.0,37241,1708905600
ok,218.5,222.8,216.2,220.6,55276,1708992000
ok,225.0,225.0,214.0,217.0,34040,1709078400
ok,213.0,216.0,207.1,208.0,50916,1709164800
ok,212.1,212.1,203.0,209.0,35702,1709424000
ok,213.0,229.5,213.0,228.0,1482,1709510400
ok,232.5,232.5,214.0,215.4,89514,1709596800
ok,215.0,224.9,211.1,217.5,69286,1709683200
ok,217.5,226.0,217.0,221.0,56997,1709769600
ok,222.9,226.0,219.6,222.0,39504,1710028800
ok,226.4,227.0,220.0,224.0,48956,1710201600
