s,o,h,l,c,v,t
ok,260.11,285.82,260.11,285.82,53050,1608076800
ok,299.43,313.8,299.43,313.8,82221,1608163200
ok,328.92,328.92,282.8,286.58,78494,1608422400
ok,281.29,294.9,259.36,292.63,60950,1608508800
ok,287.33,287.33,279.77,287.33,32646,1608595200
ok,287.33,292.63,275.99,282.04,16780,1608681600
ok,275.99,310.02,275.99,295.65,53120,1608768000
ok,300.19,309.26,292.63,292.63,72682,1609027200
ok,287.33,301.7,286.58,296.41,13200,1609113600
ok,310.02,310.02,288.85,291.87,20180,1609200000
ok,287.33,297.16,287.33,297.16,11930,1609286400
ok,291.87,294.9,288.09,289.6,10550,1609372800
ok,287.33,293.38,285.82,286.58,12200,1609632000
ok,285.82,291.12,282.8,285.07,11910,1609718400
ok,280.53,309.26,280.53,289.6,12881,1609804800
ok,289.6,294.9,287.33,289.6,11846,1609891200
ok,284.31,291.12,281.29,288.85,8342,1609977600
ok,284.31,288.85,283.55,285.82,8420,1610236800
ok,286.58,295.65,283.55,288.85,22075,1610323200
ok,285.07,289.6,282.8,285.82,11793,1610409600
ok,284.31,291.12,284.31,290.36,9015,1610496000
ok,286.58,306.24,286.58,299.43,24735,1610841600
ok,313.8,313.8,298.68,303.21,18495,1610928000
ok,297.16,306.24,297.16,302.46,18151,1611014400
ok,298.68,308.51,296.41,300.19,9485,1611100800
ok,305.48,329.68,299.43,329.68,40405,1611187200
ok,317.58,362.19,317.58,362.19,31823,1611446400
ok,362.19,397.73,348.58,397.73,47755,1611532800
ok,397.73,406.81,383.36,396.98,26215,1611619200
ok,377.32,412.1,377.32,406.05,25862,1611705600
ok,425.71,425.71,393.95,402.27,14435,1611792000
ok,402.27,404.54,388.66,404.54,21790,1612051200
ok,397.73,444.61,393.95,444.61,29582,1612137600
ok,453.69,488.47,437.05,488.47,37690,1612224000
ok,512.67,534.59,473.35,490.74,34106,1612310400
ok,481.66,531.57,464.27,511.15,34561,1612396800
ok,502.84,548.96,496.03,524.76,25785,1612656000
ok,517.96,530.06,499.05,510.4,24905,1612742400
ok,534.59,534.59,480.15,483.93,22132,1612828800
ok,511.91,511.91,470.32,483.93,26200,1612915200
ok,474.86,483.93,467.3,468.81,15428,1613001600
ok,465.03,476.37,456.71,463.52,20260,1613260800
ok,461.25,491.49,461.25,486.2,40120,1613347200
ok,486.2,491.49,474.1,491.49,28501,1613433600
ok,481.66,489.98,475.61,480.15,34932,1613520000
ok,476.37,498.3,476.37,491.49,21616,1613606400
ok,499.81,506.62,479.4,491.49,40535,1613865600
ok,499.05,501.32,481.66,489.22,18510,1613952000
ok,480.15,489.22,480.15,487.71,17585,1614038400
ok,487.71,495.27,480.15,488.47,20264,1614124800
ok,491.49,491.49,480.91,486.2,13120,1614211200
ok,477.88,478.64,465.03,470.32,14411,1614470400
ok,462.76,480.15,453.69,472.59,14902,1614556800
ok,496.03,496.03,466.54,467.3,8426,1614643200
ok,459.74,485.44,459.74,471.83,16220,1614729600
ok,471.83,488.47,471.83,486.2,12160,1614816000
ok,480.15,486.2,480.15,481.66,7910,1615161600
ok,472.59,484.69,472.59,483.93,14810,1615248000
ok,480.15,501.32,477.13,496.79,13721,1615334400
ok,479.4,536.86,479.4,526.28,44120,1615680000
ok,551.98,551.98,507.37,514.93,25060,1615766400
ok,506.62,524.01,504.35,508.13,8842,1615852800
ok,498.3,517.96,489.22,504.35,7630,1615939200
ok,494.52,512.67,494.52,509.64,6386,1616025600
ok,499.81,522.5,476.37,514.18,21793,1616284800
ok,514.18,521.74,494.52,517.96,12700,1616371200
ok,492.25,541.4,492.25,540.64,43777,1616457600
ok,540.64,548.2,526.28,533.08,18923,1616544000
ok,551.98,555.77,514.18,527.03,10760,1616630400
ok,521.74,527.03,511.91,516.45,13610,1616976000
ok,514.18,534.59,498.3,521.74,5594,1617062400
ok,514.18,525.52,514.18,520.98,7189,1617148800
ok,511.15,530.81,511.15,530.81,17943,1617235200
ok,530.06,534.59,521.74,532.33,9256,1617494400
ok,533.08,542.91,522.5,535.35,11655,1617580800
ok,529.3,558.03,526.28,539.89,14289,1617667200
ok,530.81,567.11,530.81,549.72,22025,1617753600
ok,544.42,559.55,539.13,553.5,10213,1617840000
ok,552.74,604.91,551.98,573.16,25653,1618185600
ok,577.69,629.87,577.69,629.87,45712,1618272000
ok,660.87,668.43,608.7,619.28,40059,1618444800
ok,620.04,620.04,597.35,607.94,29998,1618704000
ok,595.84,607.94,582.99,591.3,13642,1618790400
ok,591.3,606.43,574.67,597.35,11927,1618876800
ok,586.01,608.7,579.21,588.28,11935,1618963200
ok,576.94,586.01,575.43,584.5,10350,1619049600
ok,582.23,582.23,553.5,558.79,18366,1619308800
ok,531.57,573.91,531.57,551.98,13105,1619395200
ok,542.16,582.23,542.16,582.23,9220,1619481600
ok,570.89,593.57,548.96,583.74,6769,1619568000
ok,574.67,603.4,573.16,597.35,8804,1619654400
ok,586.01,612.48,576.18,608.7,16014,1619913600
ok,608.7,612.48,591.3,599.62,16942,1620000000
ok,610.21,610.21,588.28,598.87,6540,1620086400
ok,590.55,598.87,588.28,589.79,7210,1620172800
ok,589.79,595.84,574.67,574.67,9309,1620259200
ok,578.45,624.57,567.11,587.52,30693,1620518400
ok,587.52,603.4,576.94,601.89,5919,1620604800
ok,613.23,613.99,601.89,610.96,12944,1620691200
ok,611.72,653.31,608.7,638.94,33795,1620777600
ok,642.72,655.58,627.6,635.16,24444,1620864000
ok,642.72,659.36,623.82,627.6,25792,1621123200
ok,626.09,643.48,620.79,631.38,20835,1621209600
ok,638.94,663.14,631.38,644.99,27370,1621296000
ok,657.09,657.09,622.31,635.16,25322,1621382400
ok,627.6,635.16,617.01,623.06,21914,1621468800
ok,610.96,632.89,610.96,627.6,12830,1621728000
ok,627.6,632.89,616.26,618.53,12269,1621814400
ok,610.21,625.33,610.21,612.48,10215,1621900800
ok,604.91,650.28,604.16,634.4,36891,1622073600
ok,631.38,641.97,604.91,610.21,26738,1622332800
ok,608.7,620.04,595.84,597.35,30437,1622419200
ok,587.52,599.62,582.23,589.79,24965,1622505600
ok,589.79,626.84,578.45,619.28,19008,1622592000
ok,631.38,631.38,600.38,601.89,18901,1622678400
ok,590.55,597.35,586.01,590.55,6435,1622937600
ok,597.35,604.91,590.55,595.84,20385,1623024000
ok,586.77,609.45,586.77,598.87,12447,1623110400
ok,587.52,604.91,587.52,594.33,6139,1623196800
ok,589.79,653.31,582.99,653.31,96143,1623283200
ok,685.82,718.34,685.82,718.34,17664,1623542400
ok,753.88,790.17,699.43,725.14,81217,1623628800
ok,760.68,775.8,731.19,736.48,79578,1623715200
ok,722.12,733.46,663.89,706.99,51201,1623801600
ok,693.38,709.26,679.77,682.8,16795,1623888000
ok,680.53,691.12,639.7,661.63,30764,1624147200
ok,648.77,686.58,635.92,646.5,25140,1624233600
ok,635.16,702.46,635.16,670.7,11837,1624320000
ok,657.84,676.75,642.72,650.28,10960,1624406400
ok,638.94,679.77,637.43,651.04,12090,1624492800
ok,638.94,672.97,638.94,660.11,12282,1624752000
ok,647.26,662.38,638.94,647.26,9045,1624838400
ok,637.43,671.46,635.92,637.43,6893,1624924800
ok,642.72,646.5,623.82,631.38,15060,1625011200
ok,642.72,656.33,623.82,631.38,7561,1625097600
ok,621.55,631.38,620.79,631.38,1774,1625356800
ok,626.09,633.65,616.26,624.57,1640,1625443200
ok,612.48,657.09,612.48,657.09,12311,1625529600
ok,657.09,657.09,621.55,640.45,5865,1625616000
ok,631.38,646.5,625.33,646.5,19999,1625702400
ok,646.5,669.19,643.48,660.87,13015,1625961600
ok,648.77,666.92,641.97,660.11,14943,1626048000
ok,647.26,664.65,642.72,657.09,6690,1626134400
ok,669.19,669.19,644.23,659.36,4345,1626220800
ok,646.5,673.72,644.99,672.97,18108,1626307200
ok,660.87,699.43,660.87,695.65,21870,1626566400
ok,709.26,710.78,684.01,702.46,29255,1626652800
ok,703.21,728.17,691.87,718.34,41571,1626739200
ok,719.24,747.83,709.26,744.05,36976,1626912000
ok,733.46,756.14,725.9,747.83,30898,1627171200
ok,755.39,756.07,725.9,741.02,14942,1627257600
ok,748.58,770.51,726.65,744.8,19418,1627344000
ok,759.7,806.05,737.24,748.51,16239,1627430400
ok,738.75,744.8,728.17,733.61,11406,1627516800
ok,721.36,741.02,721.36,737.24,12949,1627776000
ok,735.73,751.98,726.65,737.24,24890,1627862400
ok,751.98,751.98,729.68,748.58,13563,1627948800
ok,752.36,761.44,737.24,744.8,25246,1628035200
ok,755.39,755.39,722.12,729.68,12866,1628121600
ok,715.31,758.41,715.31,733.46,15800,1628380800
ok,748.13,778.83,723.02,775.05,43092,1628467200
ok,763.71,852.17,759.92,852.17,85263,1628553600
ok,843.86,937.39,843.1,877.13,78191,1628640000
ok,877.13,964.84,894.52,964.84,99432,1628726400
ok,945.94,1022.31,873.35,1022.31,57818,1628985600
ok,1020.79,1020.79,926.28,967.86,43504,1629072000
ok,950.47,1064.65,950.47,1064.65,71755,1629158400
ok,1047.26,1150.09,1047.26,1150.09,53488,1629244800
ok,1127.11,1127.11,1063.89,1074.48,21471,1629331200
ok,1053.01,1058.6,981.17,982.99,47405,1629763200
ok,963.33,1058.6,945.18,1058.6,106520,1629849600
ok,1037.43,1156.9,1017.01,1156.9,80872,1629936000
ok,1133.76,1133.76,1069.19,1118.34,22735,1630195200
ok,1096.03,1096.03,1015.5,1054.06,40471,1630368000
ok,1033.04,1058.6,992.82,1005.67,16427,1630454400
ok,1005.67,1074.48,966.35,967.86,23098,1630540800
ok,979.21,1025.33,907.37,975.12,37460,1630800000
ok,955.77,1013.38,930.21,1013.23,16230,1630886400
ok,992.97,992.97,958.79,958.79,13450,1630972800
ok,939.89,976.94,937.62,955.77,3695,1631059200
ok,938.45,1013.23,936.79,993.57,5125,1631145600
ok,976.18,1017.77,976.18,1014.74,17646,1631404800
ok,1013.23,1028.36,964.84,1001.13,11728,1631491200
ok,981.47,1041.21,964.84,998.11,7280,1631577600
ok,978.15,1017.77,958.79,1017.77,11735,1631664000
ok,997.43,997.43,916.45,981.47,12580,1631750400
ok,961.89,967.86,883.33,899.81,18950,1632096000
ok,888.47,933.84,869.57,873.35,7649,1632182400
ok,877.13,926.28,873.35,907.37,3250,1632268800
ok,925.52,925.52,881.13,908.88,2380,1632355200
ok,890.74,913.42,877.13,890.74,2270,1632614400
ok,908.13,926.28,831.76,854.44,9140,1632700800
ok,837.81,850.66,816.64,831.76,12230,1632787200
ok,815.12,869.57,793.35,857.47,7120,1632873600
ok,843.1,854.44,816.64,821.93,2935,1632960000
ok,806.81,839.32,793.95,834.78,6245,1633219200
ok,818.15,848.39,786.39,842.19,2732,1633305600
ok,825.71,854.44,806.12,814.37,8766,1633392000
ok,824.2,873.35,809.83,831.76,999,1633478400
ok,815.12,846.88,798.87,846.12,1660,1633824000
ok,829.26,831.76,809.83,831.76,1635,1633910400
ok,815.12,848.39,809.07,843.1,400,1634428800
ok,826.24,842.72,794.71,794.71,3418,1634515200
ok,793.95,824.2,771.27,822.91,4071,1634601600
ok,806.88,839.32,806.81,839.32,3920,1634688000
ok,831.76,831.76,805.29,824.2,2160,1634774400
ok,816.64,858.3,809.07,843.86,4008,1635033600
ok,843.86,928.24,843.86,927.79,14659,1635120000
ok,909.64,982.99,897.54,947.45,7044,1635206400
ok,930.81,945.18,911.91,926.28,2066,1635292800
ok,908.13,940.64,907.75,930.06,1785,1635379200
ok,911.46,966.35,896.03,929.98,4370,1635638400
ok,922.5,955.77,907.75,929.22,5640,1635724800
ok,911.15,979.21,907.37,941.4,5545,1635811200
ok,930.06,940.64,914.93,936.86,1091,1635897600
ok,918.71,956.52,900.57,930.06,17742,1636329600
