s,o,h,l,c,v,t
ok,141.0,155.1,141.0,155.1,460,1681344000
ok,158.2,170.6,158.2,170.6,490,1681603200
ok,174.0,187.6,174.0,187.6,313,1681689600
ok,186.0,206.3,186.0,206.3,10126,1681776000
ok,210.4,226.9,210.4,226.9,1483,1681862400
ok,231.4,249.5,231.4,249.5,1839,1681948800
ok,254.4,274.4,239.8,254.0,120512,1682208000
ok,259.0,259.0,235.5,239.0,52538,1682294400
ok,235.0,251.7,235.0,246.0,20790,1682380800
ok,241.3,251.5,237.0,250.0,17748,1682467200
ok,246.0,246.5,241.5,242.8,14715,1682553600
ok,238.3,241.0,230.0,232.0,23631,1682812800
ok,232.0,234.6,222.3,225.0,14972,1682985600
ok,225.0,225.0,218.0,220.0,8519,1683072000
ok,217.0,229.5,217.0,227.9,8573,1683158400
ok,232.4,232.4,216.5,219.0,8520,1683417600
ok,214.8,220.0,212.0,213.5,14386,1683504000
ok,212.0,224.0,211.0,216.0,8320,1683590400
ok,220.0,220.0,214.1,218.0,4895,1683676800
ok,222.3,235.0,213.0,216.0,5733,1683763200
ok,220.0,220.0,209.2,210.9,7205,1684022400
ok,207.0,212.0,206.0,210.0,17348,1684108800
ok,205.8,213.0,205.8,210.0,5545,1684195200
ok,206.0,215.0,206.0,213.9,8941,1684281600
ok,212.5,228.9,210.5,224.0,28558,1684368000
ok,227.9,232.0,217.8,220.1,24657,1684627200
ok,215.7,225.0,212.1,222.0,12147,1684713600
ok,218.0,234.1,218.0,234.1,37997,1684800000
ok,235.0,236.0,226.4,230.0,13414,1684886400
ok,230.0,234.0,225.0,225.4,33586,1685232000
ok,221.1,223.3,213.0,215.3,13389,1685404800
ok,212.0,218.0,209.0,210.0,17134,1685491200
ok,210.1,217.5,209.0,217.0,9983,1685577600
ok,213.0,228.0,211.0,225.0,16071,1685836800
ok,220.7,229.5,217.0,219.0,7931,1685923200
ok,215.4,228.0,215.4,226.0,12875,1686009600
ok,230.0,240.7,226.0,236.0,50252,1686096000
ok,231.5,244.0,231.5,238.0,22198,1686182400
ok,234.0,246.6,234.0,246.0,29258,1686441600
ok,250.9,255.0,236.9,242.9,28687,1686528000
ok,238.2,249.7,235.7,248.0,29852,1686614400
ok,243.1,250.9,234.5,235.5,33273,1686700800
ok,231.1,240.0,231.1,238.0,26485,1686787200
ok,234.0,246.8,230.0,246.8,34491,1687046400
ok,251.7,251.7,237.7,239.0,17448,1687132800
ok,243.0,243.7,233.8,236.0,15302,1687219200
ok,239.9,239.9,226.4,228.1,14961,1687305600
ok,225.0,230.4,221.9,226.0,12510,1687392000
ok,226.0,229.5,213.5,229.5,38034,1687651200
ok,225.3,241.0,217.6,217.6,23371,1687737600
ok,214.0,227.4,214.0,223.0,14269,1687824000
ok,223.0,227.0,216.0,220.5,21048,1687910400
ok,221.0,221.0,213.7,219.0,13826,1688256000
ok,215.1,220.0,212.1,217.0,12637,1688342400
ok,220.0,220.0,212.1,216.8,10030,1688428800
ok,213.1,219.0,210.2,211.0,13060,1688515200
ok,210.0,214.5,206.2,210.0,15308,1688601600
ok,206.6,216.0,206.6,212.0,10454,1688860800
ok,212.0,216.2,208.0,212.0,11629,1688947200
ok,207.9,209.9,206.3,208.0,5197,1689033600
ok,203.9,225.0,201.0,218.0,19055,1689120000
ok,222.3,223.3,212.0,214.0,8373,1689206400
ok,218.2,218.2,209.0,209.4,6208,1689465600
ok,205.6,218.2,205.6,214.0,7510,1689552000
ok,210.0,215.0,207.8,210.0,8880,1689638400
ok,206.1,211.0,206.1,210.0,11862,1689724800
ok,210.0,221.2,207.6,214.0,9102,1689811200
ok,210.1,216.7,210.1,215.0,10551,1690070400
ok,215.0,222.3,211.0,215.0,15281,1690156800
ok,212.0,220.5,211.3,219.0,15761,1690243200
ok,215.0,220.5,212.7,212.7,4453,1690329600
ok,210.8,219.0,209.0,210.5,11575,1690416000
ok,210.0,212.0,205.0,208.0,10765,1690675200
ok,206.1,210.0,205.0,207.0,7358,1690761600
ok,207.0,214.9,204.0,204.1,10745,1690848000
ok,202.0,206.7,202.0,204.8,4363,1690934400
ok,204.0,206.8,200.1,205.0,8940,1691020800
ok,201.0,209.1,192.7,209.1,11382,1691280000
ok,205.0,205.0,189.2,199.8,10320,1691366400
ok,195.9,203.0,191.6,193.9,10437,1691452800
ok,190.2,195.0,187.1,192.1,9310,1691539200
ok,192.0,199.7,190.0,195.0,5948,1691625600
ok,191.5,194.8,189.0,192.0,9650,1691884800
ok,188.5,192.0,186.7,192.0,10547,1691971200
ok,188.2,188.2,179.7,180.0,13363,1692057600
