s,o,h,l,c,v,t
ok,293.22,305.4,289.21,303.67,5205,1641081600
ok,215.75,237.3,215.75,237.3,150,1660694400
ok,242.03,261.03,242.03,261.03,260,1660780800
ok,266.21,287.12,266.21,287.12,650,1661040000
ok,292.85,315.76,292.85,315.76,6530,1661126400
ok,322.04,347.31,322.04,347.31,11400,1661212800
ok,354.22,382.04,354.22,382.04,76612,1661299200
ok,389.68,396.41,367.13,377.32,26490,1661385600
ok,370.04,372.86,363.77,370.59,7780,1661472000
ok,363.77,363.77,344.31,345.49,23769,1661644800
ok,340.13,354.59,336.4,348.49,11390,1661731200
ok,354.59,354.59,339.13,340.95,4255,1661817600
ok,334.67,352.4,328.4,342.77,9980,1661904000
ok,344.58,354.59,329.4,352.77,12030,1661990400
ok,352.77,362.77,346.4,357.31,7310,1662076800
ok,351.04,370.04,351.04,363.68,12667,1662249600
ok,358.22,378.22,356.4,356.68,14357,1662336000
ok,350.95,363.68,350.95,363.68,10888,1662422400
ok,356.68,361.86,352.77,361.86,5436,1662508800
ok,357.31,371.68,354.77,363.68,10950,1662595200
ok,357.4,365.5,356.95,357.31,11457,1662854400
ok,350.95,359.13,348.49,348.49,12660,1662940800
ok,348.49,359.04,344.4,359.04,3740,1663027200
ok,363.68,367.31,351.95,365.5,11227,1663113600
ok,372.77,372.77,342.77,354.49,9427,1663200000
ok,347.49,349.95,336.4,349.95,5590,1663286400
ok,343.68,345.4,332.77,340.68,5330,1663459200
ok,334.58,345.49,325.67,330.04,5377,1663632000
ok,323.67,342.86,323.67,335.49,2920,1663718400
ok,328.86,348.95,322.95,325.49,4700,1663804800
ok,319.13,320.13,308.04,308.22,4236,1664064000
ok,313.67,323.58,307.4,311.4,1215,1664236800
ok,317.58,340.04,305.58,340.04,1241,1664323200
ok,340.04,340.95,322.85,340.95,1859,1664409600
ok,340.95,340.95,323.67,338.49,923,1665273600
ok,334.58,334.58,318.22,327.13,2471,1665360000
ok,320.67,321.67,308.04,321.67,940,1665446400
ok,315.31,333.67,304.85,325.49,2411,1665532800
ok,319.04,328.13,312.85,328.13,1220,1665619200
ok,321.58,321.58,306.58,318.04,1950,1665878400
ok,312.76,323.67,305.76,323.67,1405,1665964800
ok,317.22,317.22,301.85,309.76,2775,1666137600
ok,303.67,312.76,295.58,301.85,2700,1666224000
ok,296.03,300.94,292.85,295.4,1350,1666483200
ok,289.67,303.67,284.49,295.49,690,1667174400
ok,289.58,312.94,281.85,307.31,5687,1667260800
ok,301.22,313.67,295.49,313.67,5855,1667347200
ok,309.13,310.04,292.76,298.22,3750,1667433600
ok,292.31,304.58,292.31,304.58,2610,1667692800
ok,298.58,314.13,293.76,310.4,6865,1667779200
ok,304.22,304.22,294.58,296.49,1685,1667865600
ok,291.31,308.4,287.03,290.03,5926,1667952000
ok,295.49,301.4,279.03,301.4,8525,1668038400
ok,295.4,313.49,284.58,312.67,5577,1668297600
ok,306.49,306.49,289.12,302.67,5050,1668384000
ok,307.13,307.22,283.85,290.94,12633,1668470400
ok,290.94,302.31,288.21,302.31,5984,1668556800
