s,o,h,l,c,v,t
ok,118.76,118.76,113.96,113.96,1490,1555545600
ok,111.7,111.7,107.19,107.19,1490,1555545600
ok,108.31,109.45,106.03,109.45,420,1555804800
ok,107.19,108.31,104.93,108.31,420,1555804800
ok,103.75,103.75,98.34,98.34,619,1555891200
ok,109.45,109.45,103.75,103.75,619,1555891200
ok,98.34,99.42,97.26,97.26,500,1555977600
ok,97.26,98.33,96.19,96.19,500,1555977600
ok,91.96,91.96,87.83,89.89,620,1556064000
ok,95.13,95.13,90.85,92.99,620,1556064000
ok,88.86,89.89,87.83,89.89,521,1556150400
ok,88.86,89.89,87.83,89.89,521,1556150400
ok,88.86,91.96,88.86,91.96,380,1556409600
ok,92.99,92.99,91.96,91.96,190,1556496000
ok,91.96,92.99,89.89,91.96,440,1556582400
ok,90.93,95.06,90.93,95.06,330,1556755200
ok,94.02,94.02,94.02,94.02,60,1557014400
ok,92.99,95.06,92.99,94.02,655,1557100800
ok,94.02,95.06,94.02,94.02,490,1557187200
ok,94.02,95.06,92.99,94.02,830,1557273600
ok,92.99,95.06,91.96,95.06,240,1557360000
ok,94.02,94.02,90.92,90.92,200,1557619200
ok,91.95,96.09,91.95,96.09,730,1557705600
ok,97.11,97.11,92.98,92.98,300,1557792000
ok,88.85,91.95,88.85,91.95,550,1557878400
ok,92.98,95.05,92.98,95.05,360,1557964800
ok,90.91,97.11,90.91,97.11,660,1558224000
ok,98.14,101.24,95.04,100.21,1540,1558310400
ok,99.17,103.31,99.17,102.27,1270,1558396800
ok,103.31,111.57,103.31,107.44,18720,1558483200
ok,109.5,112.6,100.2,102.27,5440,1558569600
ok,103.3,108.47,103.3,105.37,5630,1558828800
ok,103.3,110.53,102.27,108.47,1040,1558915200
ok,105.36,105.36,101.23,101.23,2200,1559001600
ok,102.26,110.53,102.26,108.46,7770,1559088000
ok,110.53,116.73,107.43,107.43,4820,1559174400
ok,105.36,115.69,105.36,113.63,790,1559433600
ok,111.57,111.57,105.37,107.44,1850,1559520000
ok,106.4,107.44,104.34,107.44,1510,1559606400
ok,106.4,106.4,103.3,103.3,2140,1559779200
ok,105.37,106.4,103.3,103.3,860,1560124800
ok,105.37,111.56,104.33,110.53,5228,1560211200
ok,110.53,110.53,107.44,107.44,1310,1560297600
ok,105.37,111.57,105.37,106.4,2250,1560384000
ok,108.47,108.47,103.31,103.31,4750,1560643200
ok,105.37,105.37,104.34,104.34,1000,1560729600
ok,105.37,110.54,104.34,108.47,3310,1560816000
ok,106.4,110.54,106.4,109.5,3290,1560902400
ok,107.43,112.6,105.37,110.53,2080,1560988800
ok,108.47,112.6,108.47,108.47,4250,1561248000
ok,107.44,110.53,107.44,107.44,730,1561334400
ok,105.37,108.47,105.37,107.44,570,1561420800
ok,105.37,108.47,105.37,108.47,810,1561507200
ok,106.4,108.47,106.4,107.44,680,1561593600
ok,105.37,108.47,105.37,106.41,580,1561852800
ok,104.34,108.47,104.34,107.44,1150,1561939200
ok,107.44,108.47,106.4,107.44,570,1562025600
ok,106.4,110.53,106.4,109.5,2290,1562112000
ok,107.43,110.53,107.43,110.53,1020,1562198400
ok,108.47,109.5,107.43,107.43,770,1562457600
ok,106.4,109.5,105.37,105.37,1210,1562544000
ok,105.37,107.44,105.37,107.44,640,1562630400
ok,106.4,108.47,106.4,108.47,590,1562716800
ok,106.4,107.44,105.37,107.44,540,1562803200
ok,106.4,107.44,106.4,107.44,430,1563062400
ok,106.41,106.41,106.41,106.41,360,1563148800
ok,107.44,110.54,107.44,108.47,1350,1563235200
ok,106.4,112.6,106.4,109.5,820,1563321600
ok,107.44,109.51,107.44,108.47,290,1563408000
ok,110.54,110.54,106.41,106.41,370,1563667200
ok,106.41,106.41,106.41,106.41,570,1563753600
ok,106.41,106.41,105.38,105.38,430,1563840000
ok,106.41,106.41,104.35,104.35,1440,1563926400
ok,105.38,109.51,103.31,104.35,2240,1564012800
ok,103.31,104.35,103.31,103.31,1380,1564272000
ok,103.31,104.35,103.31,103.31,400,1564358400
ok,103.31,105.38,102.28,103.31,1940,1564444800
ok,102.28,103.31,101.25,102.28,540,1564531200
ok,103.31,110.54,102.28,107.45,3296,1564617600
ok,108.48,117.78,108.48,111.58,9469,1564876800
ok,111.58,111.58,107.45,108.48,1110,1564963200
ok,106.42,112.62,104.35,107.45,1320,1565049600
ok,105.38,109.51,104.35,109.51,735,1565136000
ok,107.45,107.45,105.38,106.41,850,1565222400
ok,104.35,106.41,103.31,105.38,690,1565481600
ok,103.31,108.48,103.31,105.38,1140,1565568000
ok,105.38,105.38,104.35,104.35,290,1565654400
ok,105.38,105.38,104.35,104.35,390,1565740800
ok,103.32,105.38,103.32,103.32,560,1565827200
ok,104.35,104.35,102.28,103.32,370,1566086400
ok,103.32,105.38,102.28,102.28,870,1566172800
ok,102.28,103.32,101.25,103.32,4110,1566259200
ok,101.25,102.28,99.18,99.18,1180,1566345600
ok,99.18,99.18,98.15,99.18,1130,1566432000
ok,99.19,99.19,96.09,97.12,760,1566691200
ok,96.08,99.18,96.08,98.15,230,1566777600
ok,99.18,99.18,97.12,98.15,205,1566864000
ok,97.12,98.15,97.12,97.12,300,1566950400
ok,96.09,96.09,96.09,96.09,380,1567036800
ok,95.06,95.06,92.99,94.02,480,1567296000
ok,92.99,92.99,90.92,90.92,580,1567382400
ok,89.89,91.96,84.72,91.96,2120,1567468800
ok,90.92,96.09,90.92,92.99,870,1567555200
ok,94.02,95.06,89.89,89.89,620,1567641600
ok,88.86,88.86,86.79,87.82,260,1567900800
ok,86.79,86.79,84.73,85.76,385,1567987200
ok,85.76,90.92,85.76,90.92,2190,1568073600
ok,90.92,90.92,88.86,88.86,150,1568160000
ok,87.82,87.82,84.72,85.76,270,1568246400
ok,84.73,84.73,83.69,84.73,1170,1568505600
ok,83.69,84.73,81.63,81.63,870,1568592000
ok,82.66,84.73,82.66,84.73,100,1568678400
ok,84.73,89.9,84.73,89.9,720,1568764800
ok,90.93,90.93,87.83,87.83,190,1568851200
ok,86.79,86.79,83.69,83.69,210,1569110400
ok,82.66,82.66,80.6,80.6,730,1569196800
ok,80.6,80.6,79.56,80.6,240,1569283200
ok,80.6,81.6,79.59,81.6,630,1569456000
ok,80.6,81.61,78.58,78.58,1440,1569801600
ok,77.58,78.58,76.57,78.58,640,1569888000
ok,77.57,80.6,77.57,79.59,515,1569974400
ok,78.59,80.6,78.59,80.6,785,1570060800
ok,81.61,82.62,81.61,82.62,110,1570665600
ok,81.61,81.61,79.59,79.59,845,1571011200
ok,78.59,80.6,78.59,80.6,116,1571097600
ok,80.6,80.6,79.59,79.59,70,1571184000
ok,80.6,80.6,79.59,79.59,485,1571270400
ok,79.59,79.59,78.58,78.58,3385,1571616000
ok,79.59,81.61,78.58,78.58,1300,1571702400
ok,79.59,79.59,79.59,79.59,120,1571788800
ok,79.59,84.63,79.59,84.63,610,1571875200
ok,85.64,85.64,81.61,81.61,460,1572480000
ok,80.6,80.6,80.6,80.6,570,1572739200
ok,79.6,79.6,77.58,77.58,990,1572825600
ok,78.59,79.6,77.58,77.58,380,1572912000
ok,77.58,78.59,76.57,76.57,380,1572998400
ok,77.58,78.58,75.56,75.56,1670,1573084800
ok,74.55,75.56,74.55,75.56,60,1573344000
ok,74.55,76.57,74.55,76.57,310,1573430400
ok,77.57,77.57,74.55,76.57,228,1573516800
ok,76.57,79.59,76.57,79.59,1730,1573603200
ok,79.59,80.59,77.57,78.58,2960,1573689600
ok,78.58,80.59,77.57,79.59,1060,1573948800
ok,78.57,78.57,78.57,78.57,50,1574035200
ok,78.58,78.58,77.57,77.57,360,1574121600
ok,77.57,82.6,76.56,82.6,1863,1574208000
ok,82.6,82.6,79.58,79.58,180,1574294400
ok,78.57,78.57,76.56,76.56,80,1574553600
ok,76.55,76.55,75.55,75.55,260,1574640000
ok,75.55,76.55,75.55,75.55,1150,1574726400
ok,74.54,76.55,74.54,76.55,130,1574812800
ok,75.54,80.58,75.54,80.58,1050,1574899200
ok,79.51,84.81,79.51,84.81,1050,1574899200
ok,83.75,83.75,82.69,82.69,90,1575158400
ok,81.64,81.64,81.64,81.64,60,1575331200
ok,80.58,81.64,80.58,81.64,220,1575417600
ok,80.57,80.57,79.51,79.51,330,1575504000
ok,78.45,80.57,78.45,79.51,460,1575763200
ok,78.45,80.57,78.45,79.51,230,1575849600
ok,79.52,84.82,79.52,84.82,750,1575936000
ok,84.82,84.82,82.7,83.76,710,1576022400
ok,83.76,91.18,83.76,89.06,2220,1576108800
ok,88.0,88.0,86.94,86.94,480,1576368000
ok,85.91,85.91,82.84,82.84,90,1576454400
ok,82.84,83.87,81.82,82.84,530,1576540800
ok,81.83,82.85,81.83,81.83,510,1576627200
ok,82.85,82.85,81.83,81.83,250,1576713600
ok,81.83,84.89,81.83,84.89,640,1576972800
ok,85.92,86.94,83.87,84.89,860,1577059200
ok,83.87,84.89,83.87,84.89,335,1577145600
ok,83.87,85.91,83.87,85.91,450,1577232000
ok,85.91,86.94,85.91,85.91,440,1577318400
ok,85.91,92.05,85.91,92.05,850,1577577600
ok,91.02,91.02,86.93,86.93,890,1577664000
ok,85.91,85.91,83.86,84.89,180,1577750400
ok,85.9,85.9,84.88,85.9,890,1577836800
ok,84.88,86.93,84.88,86.93,450,1577923200
ok,85.9,88.97,84.88,88.97,790,1578182400
ok,88.97,89.99,87.95,88.97,800,1578268800
ok,87.95,93.06,87.95,89.99,1540,1578355200
ok,89.99,97.15,89.99,97.15,11165,1578441600
ok,97.14,98.17,95.1,95.1,2310,1578528000
ok,96.12,97.14,92.03,93.05,1160,1578787200
ok,93.05,100.21,92.03,95.1,1020,1578873600
