s,o,h,l,c,v,t
ok,265.5,292.0,265.5,292.0,680,1679443200
ok,297.8,321.2,297.8,321.2,6317,1679529600
ok,327.6,353.3,327.6,353.3,8740,1679788800
ok,360.3,367.5,327.3,340.0,97727,1679875200
ok,340.0,347.0,331.1,342.0,34239,1679961600
ok,347.0,347.0,330.3,337.0,24389,1680048000
ok,343.7,343.7,324.0,332.0,31298,1680134400
ok,332.0,336.0,307.8,312.0,35279,1680393600
ok,307.0,307.1,293.1,297.0,34267,1680480000
ok,293.0,300.0,289.2,298.9,16077,1680566400
ok,293.0,305.1,290.0,298.0,8585,1680652800
ok,298.0,300.0,292.2,293.9,10773,1680739200
ok,289.0,290.0,275.6,275.6,20584,1680998400
ok,271.6,282.6,271.2,279.0,11394,1681084800
ok,275.0,304.0,274.6,280.5,10110,1681171200
ok,281.1,308.5,281.1,305.0,21164,1681257600
ok,311.1,316.0,292.0,292.2,20822,1681344000
ok,290.0,302.9,287.2,297.9,14280,1681603200
ok,292.0,296.0,285.6,288.9,9551,1681689600
ok,294.6,294.6,278.2,291.0,8861,1681776000
ok,285.3,295.0,285.0,295.0,8620,1681862400
ok,290.1,295.0,284.4,284.5,6531,1681948800
ok,284.0,284.0,274.4,275.0,6952,1682208000
ok,270.0,281.5,270.0,275.3,5315,1682294400
ok,270.1,280.5,270.0,279.0,10429,1682380800
ok,275.0,281.0,272.0,272.5,7107,1682467200
ok,268.1,274.0,268.1,273.5,5596,1682553600
ok,268.4,273.0,261.2,261.3,9439,1682812800
ok,261.0,263.0,251.9,255.0,6600,1682985600
ok,250.3,260.0,250.3,260.0,4928,1683072000
ok,260.0,268.0,251.2,268.0,8253,1683158400
ok,263.0,263.0,251.3,256.0,4850,1683417600
ok,253.0,253.0,237.2,245.0,9444,1683504000
ok,245.0,255.0,237.2,249.0,4036,1683590400
ok,244.3,245.0,240.1,243.0,2265,1683676800
ok,238.3,246.0,234.2,243.7,3890,1683763200
ok,239.0,243.5,225.0,233.0,8232,1684022400
ok,228.4,237.5,220.1,230.0,5092,1684108800
ok,231.0,248.1,226.0,243.1,14843,1684195200
ok,238.3,245.0,229.1,244.9,4381,1684281600
ok,240.1,259.4,236.0,257.0,10888,1684368000
ok,254.1,257.0,246.0,248.0,12133,1684627200
ok,244.0,266.9,244.0,259.0,10207,1684713600
ok,254.1,270.0,254.1,266.1,11880,1684800000
ok,261.0,265.9,256.0,261.2,9351,1684886400
ok,256.0,266.2,247.1,253.9,10840,1685232000
ok,248.9,250.5,237.0,244.0,9429,1685404800
ok,239.2,247.8,231.5,235.0,6755,1685491200
ok,237.0,239.5,226.4,236.0,10112,1685577600
ok,240.7,248.7,240.7,248.4,13843,1685836800
ok,243.5,249.7,240.0,240.0,20075,1685923200
ok,237.0,252.9,237.0,251.9,10327,1686009600
ok,247.0,260.0,246.9,252.0,16638,1686096000
ok,248.0,268.0,248.0,258.0,18122,1686182400
ok,255.0,267.7,254.0,264.8,20489,1686441600
ok,270.0,270.0,258.9,264.9,17636,1686528000
ok,264.9,274.0,258.1,271.0,20037,1686614400
ok,265.6,274.0,261.0,269.0,24238,1686700800
ok,272.0,272.0,262.0,264.0,13820,1686787200
ok,260.2,273.0,260.2,273.0,20808,1687046400
ok,278.4,278.4,267.1,273.8,16412,1687132800
ok,274.0,275.4,264.6,264.6,28198,1687219200
ok,269.0,269.0,253.5,255.0,13226,1687305600
ok,259.0,259.0,241.0,245.0,19022,1687392000
ok,240.1,267.9,237.7,258.8,17102,1687651200
ok,263.9,263.9,248.2,251.0,18524,1687737600
ok,246.4,261.0,246.4,253.5,19390,1687824000
ok,250.1,263.4,248.0,251.0,9400,1687910400
ok,247.0,250.9,236.0,249.9,21157,1688256000
ok,245.0,245.0,235.0,238.1,11886,1688342400
ok,237.0,242.8,228.0,231.0,10769,1688428800
ok,231.0,235.0,222.0,222.1,16714,1688515200
ok,217.8,238.0,217.0,221.0,23012,1688601600
ok,225.4,227.4,217.2,227.4,6503,1688860800
ok,231.9,235.0,219.1,229.0,10690,1688947200
ok,233.5,233.5,223.0,225.0,2407,1689033600
ok,221.1,242.0,221.1,240.0,16774,1689120000
ok,236.0,244.8,233.0,234.6,8800,1689206400
ok,230.1,239.2,226.0,233.5,8657,1689465600
ok,237.9,241.0,226.5,240.0,3882,1689552000
ok,241.0,244.0,229.9,235.3,6626,1689638400
ok,230.6,238.0,227.0,238.0,11628,1689724800
ok,242.6,243.0,228.7,235.8,9123,1689811200
ok,240.0,240.0,227.0,239.9,10239,1690070400
ok,235.3,245.0,230.8,235.6,11015,1690156800
ok,240.0,244.8,231.1,231.1,7320,1690243200
ok,227.5,235.6,225.0,228.0,10054,1690329600
ok,224.0,229.5,224.0,224.0,6681,1690416000
ok,225.0,225.0,219.0,220.2,10216,1690675200
ok,218.0,225.0,218.0,220.2,6350,1690761600
ok,220.0,223.0,218.0,222.4,7245,1690848000
